#plotCorrelation --outFileCorMatrix
	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5854	0.2633	0.3119	0.3593	0.3894	0.3490	0.4683	0.2995	0.1847	0.8068	1.0000	0.9018	0.3280	0.4281	0.4869	0.4885	0.4489	0.6743	0.6951	0.6634	0.5468	0.5827	0.5035	0.5249	0.5914	0.5662	0.6295	0.6026	0.5292	0.4776	0.4897	0.4746	0.4922	0.4511	0.6295	0.6812	0.7919	0.7989	0.8518	0.1773	0.1615	0.1447
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5889	0.2950	0.3495	0.3807	0.4307	0.3812	0.5359	0.3105	0.2346	0.8095	0.9018	1.0000	0.3841	0.4717	0.5501	0.5490	0.4886	0.7040	0.7157	0.6938	0.5893	0.6091	0.5387	0.5455	0.6094	0.5857	0.6445	0.6478	0.6125	0.5378	0.5321	0.5012	0.5303	0.4846	0.6542	0.7890	0.8098	0.8235	0.8697	0.2391	0.2214	0.1577
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2643	0.4500	0.5604	0.5039	0.5832	0.6194	0.5349	0.4066	0.4764	0.3275	0.3280	0.3841	1.0000	0.6465	0.6770	0.6418	0.6230	0.7076	0.5824	0.6122	0.6185	0.6782	0.6816	0.5730	0.5470	0.4988	0.5270	0.6429	0.6542	0.7189	0.6628	0.5472	0.4222	0.5826	0.6120	0.5355	0.4726	0.5076	0.5377	0.1263	0.3016	0.2274
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3144	0.4492	0.5676	0.5076	0.5174	0.5088	0.4692	0.3879	0.3873	0.4261	0.4281	0.4717	0.6465	1.0000	0.6636	0.6390	0.5875	0.6771	0.6635	0.6665	0.6525	0.6610	0.6775	0.5972	0.6038	0.5869	0.6023	0.7071	0.6992	0.7014	0.6564	0.5759	0.5410	0.6043	0.6516	0.5943	0.5722	0.6125	0.6182	0.1286	0.2914	0.2753
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3664	0.4398	0.5494	0.5447	0.5675	0.5108	0.4973	0.4538	0.5055	0.5179	0.4869	0.5501	0.6770	0.6636	1.0000	0.7813	0.5799	0.6650	0.6489	0.7115	0.6709	0.6277	0.6980	0.5778	0.5551	0.5317	0.5481	0.7818	0.8492	0.7817	0.7138	0.5925	0.5230	0.5740	0.6856	0.7568	0.6889	0.7783	0.7230	0.2194	0.3582	0.2218
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3530	0.4773	0.5271	0.5084	0.5377	0.5321	0.5050	0.4097	0.4315	0.5191	0.4885	0.5490	0.6418	0.6390	0.7813	1.0000	0.7390	0.7237	0.6779	0.7406	0.7657	0.7391	0.7373	0.6730	0.6577	0.5820	0.6131	0.7681	0.8185	0.7796	0.7264	0.6290	0.5654	0.6035	0.6583	0.6979	0.6718	0.7289	0.7119	0.2372	0.3265	0.2200
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3072	0.5569	0.4799	0.4904	0.5196	0.5491	0.4346	0.3176	0.3246	0.4341	0.4489	0.4886	0.6230	0.5875	0.5799	0.7390	1.0000	0.7904	0.6921	0.7075	0.8790	0.8969	0.7833	0.7926	0.7846	0.6458	0.6992	0.6922	0.6953	0.7605	0.7405	0.6688	0.5821	0.6511	0.5572	0.5520	0.5758	0.5763	0.6325	0.1098	0.2577	0.2231
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5009	0.4941	0.5298	0.5546	0.5976	0.6526	0.7176	0.3915	0.3637	0.6088	0.6743	0.7040	0.7076	0.6771	0.6650	0.7237	0.7904	1.0000	0.8546	0.8379	0.8229	0.9065	0.8312	0.8020	0.8337	0.7792	0.8258	0.8170	0.7501	0.7777	0.7634	0.6966	0.6603	0.7477	0.7964	0.6728	0.7324	0.7420	0.8064	0.0988	0.2861	0.2368
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4747	0.4651	0.5493	0.5885	0.5621	0.5435	0.5429	0.3814	0.3323	0.6327	0.6951	0.7157	0.5824	0.6635	0.6489	0.6779	0.6921	0.8546	1.0000	0.8240	0.8237	0.8442	0.8058	0.7709	0.8417	0.8447	0.9268	0.8484	0.7598	0.7556	0.7669	0.7100	0.7377	0.7809	0.7855	0.6992	0.7473	0.7701	0.8129	0.1418	0.2774	0.2199
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4609	0.4674	0.5192	0.5363	0.5509	0.5463	0.5666	0.4278	0.3747	0.6321	0.6634	0.6938	0.6122	0.6665	0.7115	0.7406	0.7075	0.8379	0.8240	1.0000	0.7897	0.8291	0.8045	0.7746	0.7823	0.7419	0.7780	0.8209	0.7980	0.7664	0.7403	0.7030	0.6559	0.6913	0.7857	0.7149	0.7562	0.7900	0.8121	0.1788	0.3006	0.2522
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3707	0.5549	0.5190	0.6538	0.5788	0.5568	0.4845	0.3480	0.3578	0.5200	0.5468	0.5893	0.6185	0.6525	0.6709	0.7657	0.8790	0.8229	0.8237	0.7897	1.0000	0.9027	0.8456	0.8146	0.8674	0.8160	0.8310	0.8773	0.8110	0.8474	0.8565	0.7421	0.8053	0.8189	0.6784	0.6804	0.6783	0.7015	0.7463	0.1432	0.2945	0.2235
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4078	0.5328	0.5145	0.5905	0.5838	0.6151	0.5483	0.3719	0.3401	0.5371	0.5827	0.6091	0.6782	0.6610	0.6277	0.7391	0.8969	0.9065	0.8442	0.8291	0.9027	1.0000	0.8995	0.9033	0.9071	0.8310	0.8588	0.8308	0.7485	0.8110	0.8043	0.7658	0.7032	0.7965	0.7262	0.6208	0.6742	0.6759	0.7472	0.1128	0.2792	0.2269
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3672	0.5087	0.5354	0.6221	0.5841	0.5862	0.5245	0.3968	0.3956	0.4744	0.5035	0.5387	0.6816	0.6775	0.6980	0.7373	0.7833	0.8312	0.8058	0.8045	0.8456	0.8995	1.0000	0.8819	0.8433	0.8175	0.8060	0.8469	0.7862	0.8182	0.7957	0.8036	0.6900	0.8004	0.7337	0.6346	0.6478	0.6839	0.7076	0.0570	0.3100	0.2267
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3490	0.4761	0.4550	0.5269	0.5018	0.5201	0.4834	0.3092	0.3072	0.4888	0.5249	0.5455	0.5730	0.5972	0.5778	0.6730	0.7926	0.8020	0.7709	0.7746	0.8146	0.9033	0.8819	1.0000	0.8504	0.7960	0.7903	0.7588	0.6910	0.7230	0.7096	0.8191	0.6454	0.7263	0.6705	0.5660	0.6185	0.6351	0.6726	0.0506	0.2542	0.2091
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3999	0.4687	0.4507	0.5967	0.5392	0.5381	0.4931	0.3106	0.2836	0.5305	0.5914	0.6094	0.5470	0.6038	0.5551	0.6577	0.7846	0.8337	0.8417	0.7823	0.8674	0.9071	0.8433	0.8504	1.0000	0.8815	0.8812	0.8240	0.6993	0.7446	0.7727	0.7869	0.7598	0.8137	0.7013	0.6025	0.6554	0.6624	0.7242	0.0528	0.2442	0.1964
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3825	0.4243	0.4287	0.6134	0.5255	0.4989	0.4740	0.2833	0.2827	0.5028	0.5662	0.5857	0.4988	0.5869	0.5317	0.5820	0.6458	0.7792	0.8447	0.7419	0.8160	0.8310	0.8175	0.7960	0.8815	1.0000	0.8977	0.8378	0.6787	0.7107	0.7370	0.7337	0.8031	0.8623	0.7108	0.5882	0.6273	0.6442	0.6953	0.0469	0.2336	0.1824
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4282	0.4498	0.4560	0.5832	0.5344	0.5222	0.5022	0.3209	0.2772	0.5575	0.6295	0.6445	0.5270	0.6023	0.5481	0.6131	0.6992	0.8258	0.9268	0.7780	0.8310	0.8588	0.8060	0.7903	0.8812	0.8977	1.0000	0.8218	0.6909	0.7193	0.7448	0.7006	0.7646	0.8212	0.7265	0.6144	0.6708	0.6795	0.7398	0.0716	0.2410	0.2009
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4349	0.4846	0.5442	0.6979	0.6231	0.5698	0.5486	0.4438	0.4147	0.5753	0.6026	0.6478	0.6429	0.7071	0.7818	0.7681	0.6922	0.8170	0.8484	0.8209	0.8773	0.8308	0.8469	0.7588	0.8240	0.8378	0.8218	1.0000	0.8686	0.8614	0.8478	0.7344	0.8542	0.8407	0.7911	0.7679	0.7467	0.7978	0.8093	0.1504	0.3326	0.2203
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3976	0.4993	0.5590	0.6046	0.5812	0.5270	0.5236	0.4415	0.4597	0.5483	0.5292	0.6125	0.6542	0.6992	0.8492	0.8185	0.6953	0.7501	0.7598	0.7980	0.8110	0.7485	0.7862	0.6910	0.6993	0.6787	0.6909	0.8686	1.0000	0.8475	0.8170	0.6721	0.6707	0.6974	0.7344	0.8235	0.7310	0.8078	0.7694	0.2065	0.3549	0.2293
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3554	0.5543	0.5784	0.6712	0.6304	0.5872	0.5064	0.4321	0.4587	0.4786	0.4776	0.5378	0.7189	0.7014	0.7817	0.7796	0.7605	0.7777	0.7556	0.7664	0.8474	0.8110	0.8182	0.7230	0.7446	0.7107	0.7193	0.8614	0.8475	1.0000	0.8445	0.6936	0.6787	0.7644	0.7052	0.6949	0.6541	0.7009	0.7182	0.1640	0.3412	0.2768
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3475	0.5689	0.5516	0.7194	0.5995	0.5588	0.4780	0.3902	0.4076	0.4698	0.4897	0.5321	0.6628	0.6564	0.7138	0.7264	0.7405	0.7634	0.7669	0.7403	0.8565	0.8043	0.7957	0.7096	0.7727	0.7370	0.7448	0.8478	0.8170	0.8445	1.0000	0.7098	0.7061	0.7800	0.6731	0.6657	0.6380	0.6738	0.7009	0.1694	0.3073	0.2187
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3158	0.4816	0.4817	0.5643	0.4856	0.4651	0.4437	0.3061	0.3261	0.4475	0.4746	0.5012	0.5472	0.5759	0.5925	0.6290	0.6688	0.6966	0.7100	0.7030	0.7421	0.7658	0.8036	0.8191	0.7869	0.7337	0.7006	0.7344	0.6721	0.6936	0.7098	1.0000	0.6190	0.6825	0.6205	0.5632	0.5778	0.6106	0.6228	0.0848	0.2480	0.2331
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3390	0.3981	0.3913	0.5794	0.4745	0.4239	0.4079	0.2735	0.2552	0.4521	0.4922	0.5303	0.4222	0.5410	0.5230	0.5654	0.5821	0.6603	0.7377	0.6559	0.8053	0.7032	0.6900	0.6454	0.7598	0.8031	0.7646	0.8542	0.6707	0.6787	0.7061	0.6190	1.0000	0.7734	0.6150	0.6158	0.5845	0.6074	0.6365	0.0869	0.2282	0.1617
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3390	0.4486	0.4612	0.6698	0.5656	0.5284	0.4580	0.3221	0.3204	0.4048	0.4511	0.4846	0.5826	0.6043	0.5740	0.6035	0.6511	0.7477	0.7809	0.6913	0.8189	0.7965	0.8004	0.7263	0.8137	0.8623	0.8212	0.8407	0.6974	0.7644	0.7800	0.6825	0.7734	1.0000	0.6617	0.5656	0.5621	0.5885	0.6311	0.0400	0.2576	0.1808
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4324	0.3868	0.5151	0.5226	0.5396	0.5442	0.5841	0.4757	0.5829	0.5805	0.6295	0.6542	0.6120	0.6516	0.6856	0.6583	0.5572	0.7964	0.7855	0.7857	0.6784	0.7262	0.7337	0.6705	0.7013	0.7108	0.7265	0.7911	0.7344	0.7052	0.6731	0.6205	0.6150	0.6617	1.0000	0.6705	0.7130	0.7485	0.7666	0.0838	0.2846	0.2094
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4692	0.3862	0.4649	0.4962	0.5183	0.4435	0.5103	0.4007	0.3856	0.6560	0.6812	0.7890	0.5355	0.5943	0.7568	0.6979	0.5520	0.6728	0.6992	0.7149	0.6804	0.6208	0.6346	0.5660	0.6025	0.5882	0.6144	0.7679	0.8235	0.6949	0.6657	0.5632	0.6158	0.5656	0.6705	1.0000	0.7679	0.8338	0.8136	0.2332	0.2959	0.1902
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5380	0.3704	0.4335	0.4671	0.4793	0.4328	0.5085	0.3859	0.3212	0.7386	0.7919	0.8098	0.4726	0.5722	0.6889	0.6718	0.5758	0.7324	0.7473	0.7562	0.6783	0.6742	0.6478	0.6185	0.6554	0.6273	0.6708	0.7467	0.7310	0.6541	0.6380	0.5778	0.5845	0.5621	0.7130	0.7679	1.0000	0.8609	0.8661	0.2123	0.2599	0.1862
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5433	0.3863	0.4698	0.4999	0.5005	0.4393	0.5268	0.4223	0.3660	0.7546	0.7989	0.8235	0.5076	0.6125	0.7783	0.7289	0.5763	0.7420	0.7701	0.7900	0.7015	0.6759	0.6839	0.6351	0.6624	0.6442	0.6795	0.7978	0.8078	0.7009	0.6738	0.6106	0.6074	0.5885	0.7485	0.8338	0.8609	1.0000	0.8990	0.1876	0.2958	0.1956
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5775	0.4019	0.4688	0.5268	0.5428	0.5024	0.5647	0.4235	0.3398	0.7818	0.8518	0.8697	0.5377	0.6182	0.7230	0.7119	0.6325	0.8064	0.8129	0.8121	0.7463	0.7472	0.7076	0.6726	0.7242	0.6953	0.7398	0.8093	0.7694	0.7182	0.7009	0.6228	0.6365	0.6311	0.7666	0.8136	0.8661	0.8990	1.0000	0.2159	0.2767	0.2042
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0978	0.1145	0.1486	0.0615	0.0914	0.0602	0.0879	0.0553	0.1345	0.3295	0.1773	0.2391	0.1263	0.1286	0.2194	0.2372	0.1098	0.0988	0.1418	0.1788	0.1432	0.1128	0.0570	0.0506	0.0528	0.0469	0.0716	0.1504	0.2065	0.1640	0.1694	0.0848	0.0869	0.0400	0.0838	0.2332	0.2123	0.1876	0.2159	1.0000	0.0824	0.0447
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1262	0.2005	0.2408	0.2300	0.2383	0.2302	0.2062	0.2011	0.2210	0.1775	0.1615	0.2214	0.3016	0.2914	0.3582	0.3265	0.2577	0.2861	0.2774	0.3006	0.2945	0.2792	0.3100	0.2542	0.2442	0.2336	0.2410	0.3326	0.3549	0.3412	0.3073	0.2480	0.2282	0.2576	0.2846	0.2959	0.2599	0.2958	0.2767	0.0824	1.0000	0.1141
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1009	0.5458	0.3657	0.1567	0.3406	0.1940	0.1753	0.1730	0.1437	0.2521	0.1447	0.1577	0.2274	0.2753	0.2218	0.2200	0.2231	0.2368	0.2199	0.2522	0.2235	0.2269	0.2267	0.2091	0.1964	0.1824	0.2009	0.2203	0.2293	0.2768	0.2187	0.2331	0.1617	0.1808	0.2094	0.1902	0.1862	0.1956	0.2042	0.0447	0.1141	1.0000
