#plotCorrelation --outFileCorMatrix
	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5032	0.5506	0.5152	0.6740	0.6520	0.6563	0.6993	0.7126	0.8565	0.8506	1.0000	0.9056	0.7946	0.8277	0.8126	0.7763	0.7498	0.7996	0.8187	0.8044	0.8737	0.8197	0.7945	0.8128	0.8415	0.7942	0.6846	0.7353	0.7290	0.5548	0.5299	0.5455	0.5726	0.6392	0.6828	0.6706	0.3898	0.3154	0.3183	0.3705	0.4010	0.4105
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5792	0.6399	0.6149	0.7015	0.6646	0.7034	0.7246	0.7768	0.8768	0.8737	0.9056	1.0000	0.7763	0.8922	0.8120	0.7855	0.7895	0.8560	0.9008	0.8456	0.8929	0.7844	0.8135	0.8531	0.9071	0.8604	0.6890	0.7262	0.6904	0.5896	0.5791	0.5304	0.5924	0.6412	0.6678	0.6737	0.4535	0.3478	0.2988	0.3643	0.3986	0.3693
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5473	0.6128	0.5360	0.6630	0.8224	0.7284	0.8082	0.7666	0.8699	0.8428	0.7946	0.7763	1.0000	0.7856	0.8457	0.8024	0.7524	0.7632	0.7656	0.8005	0.7004	0.6894	0.7042	0.6870	0.7246	0.6989	0.7036	0.8168	0.8523	0.5109	0.5311	0.5605	0.5707	0.6183	0.6856	0.6430	0.4169	0.3755	0.3558	0.3649	0.4429	0.4556
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5043	0.5513	0.5103	0.6092	0.6558	0.6484	0.6850	0.7103	0.8048	0.8414	0.8277	0.8922	0.7856	1.0000	0.8083	0.7618	0.6860	0.7375	0.8025	0.7620	0.7994	0.7174	0.7058	0.7010	0.7846	0.7159	0.6674	0.7626	0.7192	0.5459	0.5020	0.5331	0.5779	0.5980	0.7023	0.6568	0.3842	0.3228	0.3071	0.3800	0.3846	0.3990
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4763	0.5318	0.4775	0.6644	0.6956	0.6480	0.7035	0.7106	0.8655	0.8549	0.8126	0.8120	0.8457	0.8083	1.0000	0.8220	0.7230	0.7456	0.7685	0.7574	0.7117	0.7002	0.7649	0.7104	0.7460	0.7101	0.7019	0.7669	0.7983	0.5604	0.5098	0.5733	0.6226	0.6914	0.7107	0.7074	0.3714	0.3227	0.3441	0.3980	0.4338	0.4635
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4574	0.5169	0.4797	0.6820	0.6627	0.6194	0.6657	0.6812	0.8378	0.8443	0.7763	0.7855	0.8024	0.7618	0.8220	1.0000	0.6800	0.7397	0.7376	0.7167	0.6836	0.6931	0.7648	0.7230	0.7486	0.7194	0.6478	0.6942	0.7183	0.5215	0.4722	0.5404	0.5785	0.7253	0.7730	0.6355	0.3575	0.3186	0.3040	0.3394	0.3872	0.4061
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6208	0.6794	0.6542	0.6168	0.6890	0.7365	0.7682	0.7873	0.8018	0.7434	0.7498	0.7895	0.7524	0.6860	0.7230	0.6800	1.0000	0.8041	0.8329	0.8072	0.6966	0.6496	0.6692	0.7193	0.7476	0.7485	0.6602	0.6914	0.7052	0.5395	0.5929	0.5285	0.5363	0.5330	0.5545	0.6138	0.4593	0.3739	0.2889	0.3301	0.4800	0.5825
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6581	0.7295	0.7109	0.7256	0.7137	0.7586	0.7886	0.8210	0.8538	0.8361	0.7996	0.8560	0.7632	0.7375	0.7456	0.7397	0.8041	1.0000	0.8571	0.8242	0.7626	0.7180	0.7761	0.8435	0.8536	0.9274	0.6617	0.6716	0.6693	0.5181	0.5499	0.5478	0.5490	0.5992	0.5974	0.5623	0.4997	0.3893	0.2776	0.3317	0.3868	0.3352
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6553	0.7349	0.7050	0.6464	0.7072	0.7584	0.7808	0.8292	0.8378	0.8050	0.8187	0.9008	0.7656	0.8025	0.7685	0.7376	0.8329	0.8571	1.0000	0.8440	0.7788	0.6999	0.7419	0.7776	0.8258	0.8167	0.6885	0.7165	0.7092	0.6259	0.7375	0.5349	0.5929	0.5798	0.6208	0.6928	0.5384	0.3886	0.2982	0.3605	0.4040	0.3799
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6476	0.7014	0.6762	0.6454	0.7238	0.7633	0.8043	0.8154	0.8283	0.7987	0.8044	0.8456	0.8005	0.7620	0.7574	0.7167	0.8072	0.8242	0.8440	1.0000	0.7728	0.7136	0.6921	0.7437	0.7941	0.7765	0.6674	0.7335	0.7286	0.5223	0.5737	0.5113	0.5410	0.5523	0.6043	0.5937	0.4863	0.3979	0.3023	0.3606	0.4331	0.3760
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5201	0.5583	0.5367	0.6289	0.5883	0.6281	0.6567	0.6793	0.7754	0.8010	0.8737	0.8929	0.7004	0.7994	0.7117	0.6836	0.6966	0.7626	0.7788	0.7728	1.0000	0.8308	0.7202	0.7928	0.8372	0.7727	0.6053	0.6608	0.6151	0.4829	0.4906	0.4610	0.4903	0.5500	0.6098	0.5550	0.3789	0.3023	0.2642	0.3412	0.3189	0.3250
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4712	0.5146	0.4896	0.6196	0.5849	0.5921	0.6332	0.6357	0.7560	0.7643	0.8197	0.7844	0.6894	0.7174	0.7002	0.6931	0.6496	0.7180	0.6999	0.7136	0.8308	1.0000	0.6906	0.7468	0.7744	0.7053	0.5903	0.6331	0.6271	0.4477	0.4554	0.4962	0.4832	0.5902	0.6564	0.5462	0.3427	0.2879	0.2587	0.3673	0.3175	0.3423
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4282	0.4919	0.4573	0.7648	0.5766	0.5665	0.5961	0.6329	0.8470	0.8484	0.7945	0.8135	0.7042	0.7058	0.7649	0.7648	0.6692	0.7761	0.7419	0.6921	0.7202	0.6906	1.0000	0.8594	0.8250	0.8186	0.6099	0.6053	0.5965	0.5036	0.4593	0.4699	0.5534	0.6805	0.6122	0.5746	0.3557	0.2605	0.2615	0.2977	0.3221	0.3292
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5303	0.5956	0.5737	0.7917	0.6020	0.6346	0.6547	0.6994	0.8444	0.8422	0.8128	0.8531	0.6870	0.7010	0.7104	0.7230	0.7193	0.8435	0.7776	0.7437	0.7928	0.7468	0.8594	1.0000	0.8989	0.8965	0.5917	0.5843	0.5544	0.4747	0.4763	0.4346	0.5146	0.6240	0.5760	0.4895	0.3997	0.2987	0.2387	0.2941	0.2856	0.2918
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5783	0.6395	0.6203	0.7626	0.6430	0.6823	0.7031	0.7494	0.8610	0.8589	0.8415	0.9071	0.7246	0.7846	0.7460	0.7486	0.7476	0.8536	0.8258	0.7941	0.8372	0.7744	0.8250	0.8989	1.0000	0.8848	0.6257	0.6512	0.6073	0.5112	0.5133	0.4629	0.5396	0.6342	0.5998	0.5354	0.4377	0.3274	0.2592	0.3199	0.3275	0.3080
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5908	0.6608	0.6444	0.7541	0.6360	0.6835	0.7012	0.7489	0.8343	0.8311	0.7942	0.8604	0.6989	0.7159	0.7101	0.7194	0.7485	0.9274	0.8167	0.7765	0.7727	0.7053	0.8186	0.8965	0.8848	1.0000	0.6077	0.6028	0.5781	0.4917	0.5090	0.4570	0.5227	0.6004	0.5736	0.5081	0.4520	0.3343	0.2451	0.3061	0.3283	0.2887
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4373	0.4789	0.4394	0.5371	0.5994	0.5774	0.6214	0.6223	0.7125	0.6826	0.6846	0.6890	0.7036	0.6674	0.7019	0.6478	0.6602	0.6617	0.6885	0.6674	0.6053	0.5903	0.6099	0.5917	0.6257	0.6077	1.0000	0.6454	0.6767	0.4949	0.4741	0.5481	0.5118	0.5208	0.5848	0.6404	0.3330	0.2967	0.2950	0.3541	0.3848	0.3885
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5099	0.5415	0.4921	0.5502	0.6994	0.6687	0.7399	0.7076	0.7763	0.7491	0.7353	0.7262	0.8168	0.7626	0.7669	0.6942	0.6914	0.6716	0.7165	0.7335	0.6608	0.6331	0.6053	0.5843	0.6512	0.6028	0.6454	1.0000	0.8002	0.5090	0.5156	0.5247	0.5296	0.5293	0.6112	0.6254	0.3770	0.3492	0.3315	0.3519	0.4210	0.4368
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5160	0.5510	0.4983	0.5273	0.7485	0.6925	0.7784	0.7273	0.7877	0.7356	0.7290	0.6904	0.8523	0.7192	0.7983	0.7183	0.7052	0.6693	0.7092	0.7286	0.6151	0.6271	0.5965	0.5544	0.6073	0.5781	0.6767	0.8002	1.0000	0.5167	0.5101	0.5605	0.5666	0.5611	0.6380	0.6841	0.3823	0.3686	0.3601	0.3638	0.4547	0.5001
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3208	0.3754	0.3460	0.3931	0.4398	0.4232	0.4366	0.4880	0.5564	0.5273	0.5548	0.5896	0.5109	0.5459	0.5604	0.5215	0.5395	0.5181	0.6259	0.5223	0.4829	0.4477	0.5036	0.4747	0.5112	0.4917	0.4949	0.5090	0.5167	1.0000	0.5311	0.3975	0.4613	0.4166	0.4475	0.5981	0.2718	0.2127	0.2394	0.2674	0.3069	0.3409
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4520	0.5481	0.4808	0.4027	0.5211	0.5196	0.5384	0.5733	0.5539	0.5095	0.5299	0.5791	0.5311	0.5020	0.5098	0.4722	0.5929	0.5499	0.7375	0.5737	0.4906	0.4554	0.4593	0.4763	0.5133	0.5090	0.4741	0.5156	0.5101	0.5311	1.0000	0.3549	0.4154	0.3512	0.3961	0.5327	0.3358	0.2707	0.2099	0.2555	0.2743	0.2849
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3111	0.3460	0.3148	0.3839	0.4657	0.4325	0.4754	0.4668	0.5511	0.5309	0.5455	0.5304	0.5605	0.5331	0.5733	0.5404	0.5285	0.5478	0.5349	0.5113	0.4610	0.4962	0.4699	0.4346	0.4629	0.4570	0.5481	0.5247	0.5605	0.3975	0.3549	1.0000	0.4084	0.4353	0.5413	0.5578	0.2478	0.2240	0.2411	0.3867	0.3393	0.3505
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6238	0.4235	0.3856	0.4516	0.5099	0.4700	0.4926	0.5326	0.6115	0.5859	0.5726	0.5924	0.5707	0.5779	0.6226	0.5785	0.5363	0.5490	0.5929	0.5410	0.4903	0.4832	0.5534	0.5146	0.5396	0.5227	0.5118	0.5296	0.5666	0.4613	0.4154	0.4084	1.0000	0.4964	0.4926	0.5732	0.2839	0.2363	0.2360	0.5655	0.2955	0.3387
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3433	0.3910	0.3711	0.5777	0.5050	0.4763	0.5088	0.5373	0.7074	0.7128	0.6392	0.6412	0.6183	0.5980	0.6914	0.7253	0.5330	0.5992	0.5798	0.5523	0.5500	0.5902	0.6805	0.6240	0.6342	0.6004	0.5208	0.5293	0.5611	0.4166	0.3512	0.4353	0.4964	1.0000	0.5665	0.5148	0.2608	0.2271	0.2355	0.2643	0.3020	0.3169
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3453	0.3898	0.3516	0.5247	0.5448	0.4955	0.5398	0.5362	0.6793	0.6964	0.6828	0.6678	0.6856	0.7023	0.7107	0.7730	0.5545	0.5974	0.6208	0.6043	0.6098	0.6564	0.6122	0.5760	0.5998	0.5736	0.5848	0.6112	0.6380	0.4475	0.3961	0.5413	0.4926	0.5665	1.0000	0.5888	0.2686	0.2569	0.2739	0.5512	0.3637	0.3925
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3145	0.3682	0.3168	0.3984	0.5248	0.4566	0.4977	0.5196	0.6371	0.6080	0.6706	0.6737	0.6430	0.6568	0.7074	0.6355	0.6138	0.5623	0.6928	0.5937	0.5550	0.5462	0.5746	0.4895	0.5354	0.5081	0.6404	0.6254	0.6841	0.5981	0.5327	0.5578	0.5732	0.5148	0.5888	1.0000	0.2662	0.2322	0.3013	0.3435	0.4007	0.4796
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5380	0.6096	0.6047	0.3500	0.4868	0.5605	0.5671	0.5992	0.4519	0.4150	0.3898	0.4535	0.4169	0.3842	0.3714	0.3575	0.4593	0.4997	0.5384	0.4863	0.3789	0.3427	0.3557	0.3997	0.4377	0.4520	0.3330	0.3770	0.3823	0.2718	0.3358	0.2478	0.2839	0.2608	0.2686	0.2662	1.0000	0.2992	0.1341	0.1744	0.2297	0.1550
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4208	0.4530	0.4439	0.2751	0.4157	0.4446	0.4650	0.4729	0.3675	0.3501	0.3154	0.3478	0.3755	0.3228	0.3227	0.3186	0.3739	0.3893	0.3886	0.3979	0.3023	0.2879	0.2605	0.2987	0.3274	0.3343	0.2967	0.3492	0.3686	0.2127	0.2707	0.2240	0.2363	0.2271	0.2569	0.2322	0.2992	1.0000	0.1369	0.1526	0.1990	0.1652
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1788	0.2208	0.1671	0.2255	0.2933	0.2613	0.2978	0.2781	0.3341	0.3132	0.3183	0.2988	0.3558	0.3071	0.3441	0.3040	0.2889	0.2776	0.2982	0.3023	0.2642	0.2587	0.2615	0.2387	0.2592	0.2451	0.2950	0.3315	0.3601	0.2394	0.2099	0.2411	0.2360	0.2355	0.2739	0.3013	0.1341	0.1369	1.0000	0.1614	0.1999	0.2158
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4203	0.2540	0.2364	0.2524	0.3083	0.2989	0.3194	0.3274	0.3591	0.3602	0.3705	0.3643	0.3649	0.3800	0.3980	0.3394	0.3301	0.3317	0.3605	0.3606	0.3412	0.3673	0.2977	0.2941	0.3199	0.3061	0.3541	0.3519	0.3638	0.2674	0.2555	0.3867	0.5655	0.2643	0.5512	0.3435	0.1744	0.1526	0.1614	1.0000	0.2151	0.2185
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2894	0.3157	0.3070	0.2682	0.4004	0.3899	0.4220	0.4252	0.4410	0.3761	0.4010	0.3986	0.4429	0.3846	0.4338	0.3872	0.4800	0.3868	0.4040	0.4331	0.3189	0.3175	0.3221	0.2856	0.3275	0.3283	0.3848	0.4210	0.4547	0.3069	0.2743	0.3393	0.2955	0.3020	0.3637	0.4007	0.2297	0.1990	0.1999	0.2151	1.0000	0.2604
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1969	0.2283	0.1857	0.2539	0.3745	0.3159	0.3603	0.3342	0.4127	0.3880	0.4105	0.3693	0.4556	0.3990	0.4635	0.4061	0.5825	0.3352	0.3799	0.3760	0.3250	0.3423	0.3292	0.2918	0.3080	0.2887	0.3885	0.4368	0.5001	0.3409	0.2849	0.3505	0.3387	0.3169	0.3925	0.4796	0.1550	0.1652	0.2158	0.2185	0.2604	1.0000
