#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5607	0.6448	0.6083	0.6241	0.7834	0.7941	0.8092	0.8234	0.8530	0.7760	1.0000	0.7864	0.7936	0.8163	0.8047	0.7626	0.7575	0.7178	0.7684	0.7558	0.6865	0.6499	0.7695	0.7566	0.7540	0.7280	0.7373	0.7206	0.6999	0.8112	0.7949	0.8081	0.7911	0.7796	0.7811	0.7862	0.7999	0.7814	0.7738	0.7315	0.7203	0.7125
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6058	0.6850	0.6489	0.6642	0.7884	0.7986	0.8052	0.8292	0.8504	0.7722	0.7864	1.0000	0.8062	0.8297	0.8163	0.7655	0.7621	0.7386	0.7830	0.7742	0.6623	0.6160	0.7461	0.7335	0.7345	0.7018	0.7139	0.6990	0.6730	0.7989	0.7805	0.7879	0.7729	0.7632	0.7655	0.7658	0.7818	0.7674	0.7574	0.7243	0.7111	0.7078
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6689	0.7328	0.7041	0.7111	0.7844	0.8105	0.8113	0.8446	0.8838	0.7978	0.7936	0.8062	1.0000	0.8631	0.8598	0.8090	0.8094	0.7503	0.7963	0.7924	0.6080	0.5642	0.7166	0.6815	0.6845	0.6565	0.6839	0.6888	0.6529	0.7880	0.7694	0.7898	0.7532	0.7435	0.7489	0.7459	0.7573	0.7754	0.7819	0.6998	0.6910	0.6745
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6548	0.7307	0.6957	0.7083	0.8129	0.8253	0.8276	0.8718	0.8996	0.8077	0.8163	0.8297	0.8631	1.0000	0.8704	0.8113	0.8071	0.7709	0.8166	0.8094	0.6497	0.6028	0.7476	0.7255	0.7282	0.6969	0.7144	0.7076	0.6772	0.8137	0.7906	0.8143	0.7858	0.7747	0.7752	0.7752	0.7908	0.7934	0.7901	0.7290	0.7170	0.7139
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6584	0.7302	0.6988	0.7107	0.8100	0.8180	0.8288	0.8558	0.8872	0.7963	0.8047	0.8163	0.8598	0.8704	1.0000	0.8046	0.8007	0.7695	0.8130	0.8100	0.6478	0.6002	0.7466	0.7210	0.7216	0.6919	0.7114	0.7061	0.6719	0.8134	0.7930	0.8074	0.7774	0.7715	0.7752	0.7741	0.7849	0.7846	0.7858	0.7332	0.7135	0.7085
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5960	0.6643	0.6350	0.6433	0.7564	0.7894	0.7937	0.8061	0.8474	0.7802	0.7626	0.7655	0.8090	0.8113	0.8046	1.0000	0.7783	0.7037	0.7538	0.7464	0.6240	0.5896	0.7244	0.6983	0.6934	0.6733	0.6938	0.6889	0.6613	0.7833	0.7667	0.7808	0.7513	0.7439	0.7482	0.7465	0.7601	0.7691	0.7728	0.6935	0.6865	0.6630
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5865	0.6540	0.6249	0.6333	0.7513	0.7993	0.7915	0.8047	0.8455	0.7855	0.7575	0.7621	0.8094	0.8071	0.8007	0.7783	1.0000	0.6940	0.7458	0.7369	0.6208	0.5896	0.7230	0.6923	0.6898	0.6720	0.6954	0.6894	0.6663	0.7800	0.7636	0.7808	0.7548	0.7407	0.7460	0.7434	0.7546	0.7769	0.7860	0.6872	0.6867	0.6505
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7204	0.7701	0.7549	0.7678	0.7889	0.7120	0.7444	0.7610	0.7666	0.6856	0.7178	0.7386	0.7503	0.7709	0.7695	0.7037	0.6940	1.0000	0.8139	0.8281	0.5891	0.5049	0.6510	0.6483	0.6362	0.5998	0.6020	0.5956	0.5423	0.7233	0.7025	0.6795	0.6642	0.6894	0.6797	0.6816	0.6914	0.6644	0.6564	0.7173	0.6194	0.6475
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6911	0.7617	0.7345	0.7506	0.8333	0.7723	0.8115	0.8170	0.8331	0.7455	0.7684	0.7830	0.7963	0.8166	0.8130	0.7538	0.7458	0.8139	1.0000	0.8450	0.6547	0.5820	0.7278	0.7221	0.7092	0.6748	0.6798	0.6686	0.6219	0.7971	0.7730	0.7575	0.7405	0.7627	0.7523	0.7544	0.7671	0.7352	0.7315	0.7665	0.6825	0.7038
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7276	0.7826	0.7672	0.7806	0.8207	0.7553	0.7949	0.8033	0.8183	0.7281	0.7558	0.7742	0.7924	0.8094	0.8100	0.7464	0.7369	0.8281	0.8450	1.0000	0.6228	0.5422	0.7013	0.6889	0.6774	0.6425	0.6462	0.6382	0.5891	0.7741	0.7538	0.7338	0.7102	0.7376	0.7316	0.7304	0.7399	0.7123	0.7097	0.7538	0.6632	0.6919
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2939	0.4083	0.3648	0.3879	0.7347	0.7102	0.7694	0.7064	0.7372	0.6766	0.6865	0.6623	0.6080	0.6497	0.6478	0.6240	0.6208	0.5891	0.6547	0.6228	1.0000	0.8546	0.8721	0.8821	0.8674	0.8631	0.8432	0.8048	0.8259	0.8308	0.8196	0.8248	0.8412	0.8341	0.8272	0.8491	0.8558	0.7569	0.7505	0.7785	0.7539	0.7402
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1970	0.3140	0.2697	0.2891	0.6794	0.6810	0.7293	0.6675	0.7079	0.6543	0.6499	0.6160	0.5642	0.6028	0.6002	0.5896	0.5896	0.5049	0.5820	0.5422	0.8546	1.0000	0.8874	0.8824	0.8707	0.8907	0.8753	0.8457	0.8967	0.8079	0.8053	0.8377	0.8554	0.8245	0.8200	0.8502	0.8520	0.7549	0.7510	0.7477	0.7631	0.7203
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3612	0.4843	0.4354	0.4569	0.7987	0.8070	0.8720	0.7998	0.8497	0.7711	0.7695	0.7461	0.7166	0.7476	0.7466	0.7244	0.7230	0.6510	0.7278	0.7013	0.8721	0.8874	1.0000	0.9346	0.9254	0.9224	0.9129	0.8721	0.8964	0.9217	0.9153	0.9234	0.9187	0.9131	0.9205	0.9308	0.9410	0.8467	0.8511	0.8313	0.8306	0.8003
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3376	0.4664	0.4147	0.4405	0.7994	0.7848	0.8561	0.7849	0.8204	0.7494	0.7566	0.7335	0.6815	0.7255	0.7210	0.6983	0.6923	0.6483	0.7221	0.6889	0.8821	0.8824	0.9346	1.0000	0.9285	0.9178	0.8948	0.8501	0.8654	0.9094	0.8964	0.8954	0.9048	0.9026	0.8999	0.9164	0.9291	0.8256	0.8207	0.8324	0.8093	0.7975
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3364	0.4653	0.4112	0.4367	0.7863	0.7794	0.8470	0.7807	0.8139	0.7416	0.7540	0.7345	0.6845	0.7282	0.7216	0.6934	0.6898	0.6362	0.7092	0.6774	0.8674	0.8707	0.9254	0.9285	1.0000	0.9050	0.8927	0.8435	0.8622	0.8961	0.8878	0.8849	0.8971	0.8870	0.8931	0.9058	0.9167	0.8171	0.8108	0.8173	0.8077	0.7957
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2977	0.4212	0.3723	0.3947	0.7555	0.7596	0.8154	0.7555	0.7945	0.7287	0.7280	0.7018	0.6565	0.6969	0.6919	0.6733	0.6720	0.5998	0.6748	0.6425	0.8631	0.8907	0.9224	0.9178	0.9050	1.0000	0.8884	0.8530	0.8827	0.8745	0.8679	0.8879	0.8951	0.8763	0.8748	0.8956	0.9056	0.8113	0.8085	0.7979	0.8002	0.7713
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3282	0.4442	0.3976	0.4161	0.7546	0.7872	0.8203	0.7615	0.8102	0.7486	0.7373	0.7139	0.6839	0.7144	0.7114	0.6938	0.6954	0.6020	0.6798	0.6462	0.8432	0.8753	0.9129	0.8948	0.8927	0.8884	1.0000	0.8558	0.8814	0.8760	0.8695	0.8834	0.8879	0.8707	0.8766	0.8936	0.8996	0.8207	0.8172	0.7877	0.8113	0.7621
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3561	0.4572	0.4185	0.4305	0.7337	0.7571	0.7742	0.7488	0.7966	0.7354	0.7206	0.6990	0.6888	0.7076	0.7061	0.6889	0.6894	0.5956	0.6686	0.6382	0.8048	0.8457	0.8721	0.8501	0.8435	0.8530	0.8558	1.0000	0.8845	0.8287	0.8253	0.8724	0.8677	0.8301	0.8317	0.8570	0.8592	0.8008	0.7980	0.7600	0.7864	0.7265
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2781	0.3857	0.3442	0.3583	0.7034	0.7497	0.7529	0.7234	0.7804	0.7273	0.6999	0.6730	0.6529	0.6772	0.6719	0.6613	0.6663	0.5423	0.6219	0.5891	0.8259	0.8967	0.8964	0.8654	0.8622	0.8827	0.8814	0.8845	1.0000	0.8227	0.8247	0.8881	0.8820	0.8336	0.8365	0.8659	0.8704	0.8074	0.8035	0.7494	0.7963	0.7276
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4710	0.5875	0.5386	0.5603	0.8476	0.8414	0.9278	0.8537	0.9009	0.8079	0.8112	0.7989	0.7880	0.8137	0.8134	0.7833	0.7800	0.7233	0.7971	0.7741	0.8308	0.8079	0.9217	0.9094	0.8961	0.8745	0.8760	0.8287	0.8227	1.0000	0.9274	0.9145	0.9004	0.9150	0.9215	0.9190	0.9321	0.8588	0.8694	0.8413	0.8104	0.8147
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4527	0.5678	0.5211	0.5412	0.8233	0.8313	0.9055	0.8300	0.8788	0.7946	0.7949	0.7805	0.7694	0.7906	0.7930	0.7667	0.7636	0.7025	0.7730	0.7538	0.8196	0.8053	0.9153	0.8964	0.8878	0.8679	0.8695	0.8253	0.8247	0.9274	1.0000	0.9010	0.8905	0.8963	0.9109	0.9098	0.9198	0.8447	0.8535	0.8266	0.8071	0.7867
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4217	0.5377	0.4894	0.5086	0.8095	0.8361	0.8790	0.8547	0.9093	0.8188	0.8081	0.7879	0.7898	0.8143	0.8074	0.7808	0.7808	0.6795	0.7575	0.7338	0.8248	0.8377	0.9234	0.8954	0.8849	0.8879	0.8834	0.8724	0.8881	0.9145	0.9010	1.0000	0.9226	0.8990	0.9033	0.9185	0.9254	0.8762	0.8850	0.8092	0.8280	0.8013
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3969	0.5150	0.4656	0.4860	0.8046	0.8265	0.8591	0.8294	0.8702	0.7980	0.7911	0.7729	0.7532	0.7858	0.7774	0.7513	0.7548	0.6642	0.7405	0.7102	0.8412	0.8554	0.9187	0.9048	0.8971	0.8951	0.8879	0.8677	0.8820	0.9004	0.8905	0.9226	1.0000	0.8898	0.8911	0.9083	0.9168	0.8585	0.8585	0.8118	0.8206	0.7865
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4297	0.5430	0.4979	0.5184	0.8174	0.8069	0.8772	0.8186	0.8594	0.7756	0.7796	0.7632	0.7435	0.7747	0.7715	0.7439	0.7407	0.6894	0.7627	0.7376	0.8341	0.8245	0.9131	0.9026	0.8870	0.8763	0.8707	0.8301	0.8336	0.9150	0.8963	0.8990	0.8898	1.0000	0.8971	0.9054	0.9165	0.8356	0.8436	0.8277	0.8008	0.7891
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4203	0.5356	0.4885	0.5092	0.8088	0.8181	0.8902	0.8177	0.8664	0.7775	0.7811	0.7655	0.7489	0.7752	0.7752	0.7482	0.7460	0.6797	0.7523	0.7316	0.8272	0.8200	0.9205	0.8999	0.8931	0.8748	0.8766	0.8317	0.8365	0.9215	0.9109	0.9033	0.8911	0.8971	1.0000	0.9122	0.9176	0.8398	0.8491	0.8176	0.8061	0.7943
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4094	0.5272	0.4801	0.5013	0.8160	0.8154	0.8803	0.8208	0.8677	0.7832	0.7862	0.7658	0.7459	0.7752	0.7741	0.7465	0.7434	0.6816	0.7544	0.7304	0.8491	0.8502	0.9308	0.9164	0.9058	0.8956	0.8936	0.8570	0.8659	0.9190	0.9098	0.9185	0.9083	0.9054	0.9122	1.0000	0.9275	0.8478	0.8527	0.8321	0.8172	0.7948
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4182	0.5411	0.4899	0.5120	0.8270	0.8369	0.8906	0.8349	0.8845	0.8051	0.7999	0.7818	0.7573	0.7908	0.7849	0.7601	0.7546	0.6914	0.7671	0.7399	0.8558	0.8520	0.9410	0.9291	0.9167	0.9056	0.8996	0.8592	0.8704	0.9321	0.9198	0.9254	0.9168	0.9165	0.9176	0.9275	1.0000	0.8618	0.8603	0.8378	0.8321	0.8109
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4564	0.5521	0.5132	0.5283	0.7799	0.8271	0.8300	0.8193	0.8726	0.8120	0.7814	0.7674	0.7754	0.7934	0.7846	0.7691	0.7769	0.6644	0.7352	0.7123	0.7569	0.7549	0.8467	0.8256	0.8171	0.8113	0.8207	0.8008	0.8074	0.8588	0.8447	0.8762	0.8585	0.8356	0.8398	0.8478	0.8618	1.0000	0.8445	0.7585	0.7708	0.7336
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4472	0.5452	0.5056	0.5190	0.7753	0.8146	0.8510	0.8192	0.8752	0.8021	0.7738	0.7574	0.7819	0.7901	0.7858	0.7728	0.7860	0.6564	0.7315	0.7097	0.7505	0.7510	0.8511	0.8207	0.8108	0.8085	0.8172	0.7980	0.8035	0.8694	0.8535	0.8850	0.8585	0.8436	0.8491	0.8527	0.8603	0.8445	1.0000	0.7580	0.7609	0.7273
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4961	0.5899	0.5583	0.5764	0.8096	0.7489	0.8164	0.7625	0.7882	0.7134	0.7315	0.7243	0.6998	0.7290	0.7332	0.6935	0.6872	0.7173	0.7665	0.7538	0.7785	0.7477	0.8313	0.8324	0.8173	0.7979	0.7877	0.7600	0.7494	0.8413	0.8266	0.8092	0.8118	0.8277	0.8176	0.8321	0.8378	0.7585	0.7580	1.0000	0.7383	0.7406
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4053	0.5041	0.4637	0.4798	0.7294	0.7768	0.7768	0.7450	0.7873	0.7310	0.7203	0.7111	0.6910	0.7170	0.7135	0.6865	0.6867	0.6194	0.6825	0.6632	0.7539	0.7631	0.8306	0.8093	0.8077	0.8002	0.8113	0.7864	0.7963	0.8104	0.8071	0.8280	0.8206	0.8008	0.8061	0.8172	0.8321	0.7708	0.7609	0.7383	1.0000	0.7200
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4301	0.5296	0.4843	0.5079	0.7464	0.7221	0.7786	0.7509	0.7755	0.6831	0.7125	0.7078	0.6745	0.7139	0.7085	0.6630	0.6505	0.6475	0.7038	0.6919	0.7402	0.7203	0.8003	0.7975	0.7957	0.7713	0.7621	0.7265	0.7276	0.8147	0.7867	0.8013	0.7865	0.7891	0.7943	0.7948	0.8109	0.7336	0.7273	0.7406	0.7200	1.0000
