#plotCorrelation --outFileCorMatrix
	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5847	0.8355	0.8933	0.8910	0.9220	0.8190	0.8996	0.8518	0.8634	0.8794	0.8612	0.8540	0.7989	0.7958	0.8253	0.8764	0.9031	0.8843	0.8701	0.9114	0.9363	0.9250	0.9526	1.0000	0.8393	0.8105	0.8100	0.7762	0.5738	0.6211	0.7028	0.6211	0.7069	0.6690	0.5342	0.6934	0.6883	0.7600	0.7400	0.7695	0.7016	0.6646
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4748	0.6994	0.7776	0.7914	0.8060	0.6979	0.7786	0.7230	0.7462	0.7593	0.7487	0.6755	0.7092	0.7407	0.7650	0.7829	0.7965	0.7867	0.7875	0.8160	0.8299	0.8047	0.8131	0.8393	1.0000	0.7346	0.7445	0.7520	0.5229	0.5682	0.6052	0.5609	0.6498	0.6235	0.5240	0.5992	0.6343	0.7085	0.6476	0.6713	0.5967	0.5749
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4575	0.6959	0.7362	0.7518	0.7608	0.6580	0.7392	0.6919	0.7108	0.7093	0.6920	0.6484	0.6703	0.6840	0.7422	0.7597	0.7496	0.7696	0.7683	0.7556	0.8143	0.7935	0.7857	0.8105	0.7346	1.0000	0.6988	0.7554	0.4874	0.5815	0.5665	0.5225	0.6277	0.7159	0.5433	0.6213	0.5842	0.6679	0.6239	0.6438	0.5798	0.5856
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6471	0.7693	0.8323	0.8157	0.8201	0.6851	0.7664	0.7430	0.7614	0.7635	0.7344	0.5899	0.6447	0.6129	0.6452	0.7127	0.7362	0.8288	0.7578	0.7697	0.8208	0.8155	0.7907	0.8100	0.7445	0.6988	1.0000	0.7598	0.5269	0.4977	0.5771	0.5479	0.6883	0.6474	0.4499	0.5368	0.4935	0.5730	0.4965	0.5391	0.4416	0.4333
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5655	0.6677	0.7761	0.7723	0.7642	0.5994	0.6987	0.6602	0.6923	0.6825	0.6587	0.5471	0.6300	0.6260	0.7115	0.7501	0.6965	0.8134	0.7837	0.7407	0.8170	0.7906	0.7519	0.7762	0.7520	0.7554	0.7598	1.0000	0.5135	0.5647	0.5190	0.5452	0.6904	0.6128	0.5616	0.5551	0.5319	0.6279	0.5218	0.5416	0.4580	0.4898
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4058	0.5244	0.5826	0.5980	0.5940	0.4915	0.5553	0.5376	0.5623	0.5537	0.5511	0.4172	0.4507	0.4458	0.4560	0.4770	0.5018	0.5630	0.5251	0.5453	0.5739	0.5546	0.5474	0.5738	0.5229	0.4874	0.5269	0.5135	1.0000	0.3629	0.4200	0.4061	0.4979	0.4297	0.3314	0.3620	0.3521	0.4095	0.3507	0.3725	0.3087	0.2955
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2752	0.5318	0.5524	0.5739	0.5740	0.5888	0.6289	0.6301	0.5735	0.5882	0.5800	0.4952	0.5257	0.6396	0.7739	0.6037	0.6085	0.5200	0.5686	0.6215	0.5979	0.5579	0.5763	0.6211	0.5682	0.5815	0.4977	0.5647	0.3629	1.0000	0.5040	0.3956	0.4487	0.4403	0.4951	0.4018	0.4919	0.5299	0.5097	0.5333	0.4649	0.4218
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3550	0.7300	0.6678	0.7215	0.7277	0.8215	0.8137	0.8018	0.7669	0.7969	0.8057	0.5485	0.5861	0.6464	0.6752	0.5926	0.7022	0.5980	0.6165	0.7201	0.6492	0.6283	0.6579	0.7028	0.6052	0.5665	0.5771	0.5190	0.4200	0.5040	1.0000	0.4991	0.5202	0.4890	0.3428	0.4152	0.4743	0.4996	0.5161	0.5655	0.4556	0.3649
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3471	0.5454	0.6020	0.6339	0.6294	0.5772	0.6293	0.5822	0.6148	0.6164	0.6234	0.4412	0.4914	0.5834	0.5175	0.5121	0.5540	0.5806	0.5544	0.6033	0.6034	0.5797	0.5623	0.6211	0.5609	0.5225	0.5479	0.5452	0.4061	0.3956	0.4991	1.0000	0.5148	0.4455	0.3497	0.4044	0.3880	0.4587	0.3968	0.4288	0.3407	0.3308
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5603	0.6685	0.7472	0.7729	0.7517	0.6110	0.6929	0.6695	0.7181	0.6969	0.6885	0.4858	0.5529	0.6460	0.5417	0.5709	0.6028	0.7411	0.6540	0.6685	0.7256	0.7041	0.6734	0.7069	0.6498	0.6277	0.6883	0.6904	0.4979	0.4487	0.5202	0.5148	1.0000	0.5526	0.3990	0.4457	0.3973	0.4740	0.3875	0.4219	0.3420	0.3289
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4515	0.6398	0.6644	0.6640	0.6704	0.5794	0.6411	0.6099	0.6252	0.6303	0.6167	0.5030	0.5994	0.5419	0.5729	0.6120	0.6169	0.6736	0.6503	0.6554	0.6822	0.6549	0.6588	0.6690	0.6235	0.7159	0.6474	0.6128	0.4297	0.4403	0.4890	0.4455	0.5526	1.0000	0.3982	0.4472	0.4850	0.5290	0.4660	0.4852	0.4155	0.3883
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2066	0.3405	0.4400	0.4361	0.4419	0.3686	0.4349	0.3727	0.3784	0.3962	0.3792	0.4475	0.4741	0.5421	0.6219	0.6068	0.5356	0.4938	0.5444	0.5219	0.5452	0.5240	0.5259	0.5342	0.5240	0.5433	0.4499	0.5616	0.3314	0.4951	0.3428	0.3497	0.3990	0.3982	1.0000	0.4527	0.5065	0.5760	0.5270	0.5202	0.4895	0.5158
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2393	0.4286	0.5207	0.5441	0.5788	0.4677	0.5438	0.4662	0.5007	0.5090	0.5063	0.6401	0.6401	0.5896	0.6215	0.6733	0.6459	0.6334	0.6204	0.6014	0.6881	0.7145	0.6969	0.6934	0.5992	0.6213	0.5368	0.5551	0.3620	0.4018	0.4152	0.4044	0.4457	0.4472	0.4527	1.0000	0.5866	0.6742	0.6531	0.6415	0.6425	0.6871
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1187	0.4239	0.5099	0.5146	0.5639	0.5320	0.5805	0.4957	0.4910	0.5393	0.5444	0.6671	0.8120	0.7352	0.7890	0.8482	0.7486	0.6028	0.7415	0.7181	0.6539	0.6340	0.7216	0.6883	0.6343	0.5842	0.4935	0.5319	0.3521	0.4919	0.4743	0.3880	0.3973	0.4850	0.5065	0.5866	1.0000	0.8922	0.8576	0.8091	0.8176	0.7373
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1575	0.4447	0.5674	0.5850	0.6273	0.5366	0.6132	0.5128	0.5326	0.5696	0.5756	0.7143	0.8070	0.7848	0.8305	0.8729	0.7919	0.6721	0.7717	0.7562	0.7396	0.7156	0.7703	0.7600	0.7085	0.6679	0.5730	0.6279	0.4095	0.5299	0.4996	0.4587	0.4740	0.5290	0.5760	0.6742	0.8922	1.0000	0.8615	0.8315	0.8354	0.8067
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1333	0.4516	0.5102	0.5122	0.5742	0.5760	0.6143	0.5347	0.5126	0.5650	0.5631	0.7686	0.7905	0.7698	0.8225	0.8554	0.8099	0.5994	0.7284	0.7336	0.6751	0.6808	0.7582	0.7400	0.6476	0.6239	0.4965	0.5218	0.3507	0.5097	0.5161	0.3968	0.3875	0.4660	0.5270	0.6531	0.8576	0.8615	1.0000	0.8931	0.8996	0.8216
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2009	0.5191	0.5480	0.5543	0.6152	0.6368	0.6656	0.6000	0.5633	0.6192	0.6116	0.7858	0.7420	0.7920	0.8384	0.8487	0.8956	0.6292	0.7175	0.7663	0.6970	0.7051	0.7812	0.7695	0.6713	0.6438	0.5391	0.5416	0.3725	0.5333	0.5655	0.4288	0.4219	0.4852	0.5202	0.6415	0.8091	0.8315	0.8931	1.0000	0.8985	0.8139
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0863	0.3828	0.4341	0.4455	0.5151	0.5078	0.5469	0.4671	0.4508	0.4975	0.4987	0.7818	0.7301	0.7346	0.7653	0.7952	0.7766	0.5414	0.6352	0.6676	0.6205	0.6271	0.7124	0.7016	0.5967	0.5798	0.4416	0.4580	0.3087	0.4649	0.4556	0.3407	0.3420	0.4155	0.4895	0.6425	0.8176	0.8354	0.8996	0.8985	1.0000	0.8674
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0733	0.2852	0.3958	0.4025	0.4661	0.3725	0.4452	0.3513	0.3682	0.3957	0.3948	0.7374	0.6510	0.6531	0.7062	0.7525	0.6917	0.5380	0.6077	0.5869	0.6237	0.6255	0.6829	0.6646	0.5749	0.5856	0.4333	0.4898	0.2955	0.4218	0.3649	0.3308	0.3289	0.3883	0.5158	0.6871	0.7373	0.8067	0.8216	0.8139	0.8674	1.0000
