#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6411	0.7181	0.6842	0.6966	0.7962	0.7869	0.8091	0.8080	0.8533	0.8641	1.0000	0.7962	0.7915	0.8018	0.8488	0.8820	0.8255	0.7587	0.8046	0.8013	0.5807	0.8097	0.7888	0.7993	0.7667	0.7617	0.7713	0.7648	0.7764	0.7753	0.7775	0.6329	0.7370	0.7098	0.7130	0.6781	0.7009	0.6918	0.6559	0.7010	0.7011	0.7206
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5766	0.6493	0.6180	0.6269	0.7526	0.7708	0.7798	0.7560	0.8006	0.8024	0.7962	1.0000	0.7693	0.7461	0.7979	0.8408	0.7886	0.6897	0.7431	0.7355	0.5706	0.7788	0.7614	0.7714	0.7401	0.7335	0.7429	0.7363	0.7512	0.7594	0.7642	0.6091	0.7145	0.6870	0.6842	0.6595	0.6835	0.6742	0.6452	0.6732	0.6531	0.6804
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5669	0.6391	0.6073	0.6166	0.7477	0.7764	0.7906	0.7521	0.8007	0.7982	0.7915	0.7693	1.0000	0.7414	0.7959	0.8388	0.7876	0.6808	0.7352	0.7263	0.5705	0.7760	0.7590	0.7710	0.7434	0.7305	0.7410	0.7341	0.7456	0.7676	0.7779	0.6064	0.7129	0.6808	0.6807	0.6578	0.6854	0.6746	0.6500	0.6736	0.6412	0.6737
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5868	0.6836	0.6439	0.6637	0.7737	0.7566	0.7866	0.7780	0.7747	0.8046	0.8018	0.7461	0.7414	1.0000	0.8194	0.8432	0.8365	0.7768	0.8244	0.8106	0.6640	0.8445	0.8190	0.8039	0.7958	0.8086	0.8049	0.8081	0.8199	0.7719	0.7690	0.7237	0.7908	0.7905	0.7793	0.7445	0.7457	0.7212	0.6911	0.7171	0.7388	0.7994
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5749	0.6731	0.6281	0.6469	0.8153	0.8056	0.8251	0.8217	0.8368	0.8653	0.8488	0.7979	0.7959	0.8194	1.0000	0.9024	0.8561	0.7496	0.8083	0.7943	0.6512	0.8525	0.8276	0.8486	0.8212	0.8112	0.8157	0.8139	0.8288	0.8114	0.8124	0.6947	0.7927	0.7769	0.7753	0.7450	0.7538	0.7362	0.7100	0.7342	0.7453	0.7517
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5697	0.6735	0.6262	0.6437	0.8465	0.8602	0.8743	0.8441	0.8784	0.8948	0.8820	0.8408	0.8388	0.8432	0.9024	1.0000	0.8986	0.7562	0.8260	0.8107	0.6935	0.9015	0.8788	0.9057	0.8640	0.8542	0.8664	0.8628	0.8809	0.8674	0.8706	0.7268	0.8448	0.8142	0.8098	0.7857	0.8046	0.7867	0.7698	0.7783	0.7712	0.7794
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5062	0.6227	0.5729	0.5942	0.8030	0.7957	0.8320	0.7981	0.8081	0.8246	0.8255	0.7886	0.7876	0.8365	0.8561	0.8986	1.0000	0.7352	0.8059	0.7883	0.7192	0.9251	0.9019	0.8813	0.8566	0.8731	0.8860	0.8762	0.8867	0.8262	0.8512	0.7596	0.8668	0.8499	0.8402	0.8083	0.8130	0.7678	0.7482	0.7680	0.7689	0.8112
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7046	0.7576	0.7410	0.7551	0.7043	0.6717	0.6983	0.7250	0.7387	0.7601	0.7587	0.6897	0.6808	0.7768	0.7496	0.7562	0.7352	1.0000	0.8041	0.8185	0.4802	0.7142	0.6928	0.6666	0.6481	0.6742	0.6699	0.6665	0.6770	0.6503	0.6433	0.5707	0.6359	0.6315	0.6217	0.5810	0.5851	0.5758	0.5213	0.6009	0.6352	0.7017
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6741	0.7490	0.7200	0.7365	0.7577	0.7350	0.7617	0.7722	0.7875	0.8085	0.8046	0.7431	0.7352	0.8244	0.8083	0.8260	0.8059	0.8041	1.0000	0.8364	0.5613	0.7915	0.7662	0.7486	0.7283	0.7510	0.7459	0.7431	0.7566	0.7241	0.7220	0.6391	0.7163	0.7093	0.6983	0.6595	0.6671	0.6523	0.6045	0.6674	0.6944	0.7534
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7118	0.7703	0.7536	0.7678	0.7446	0.7166	0.7440	0.7628	0.7833	0.8005	0.8013	0.7355	0.7263	0.8106	0.7943	0.8107	0.7883	0.8185	0.8364	1.0000	0.5196	0.7674	0.7459	0.7241	0.6969	0.7248	0.7240	0.7176	0.7283	0.7007	0.6998	0.6061	0.6888	0.6746	0.6650	0.6258	0.6318	0.6210	0.5703	0.6472	0.6811	0.7400
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1556	0.2793	0.2324	0.2525	0.6338	0.6377	0.6649	0.5973	0.5424	0.5833	0.5807	0.5706	0.5705	0.6640	0.6512	0.6935	0.7192	0.4802	0.5613	0.5196	1.0000	0.8021	0.7993	0.8312	0.8487	0.8169	0.8161	0.8440	0.8459	0.7443	0.7404	0.8496	0.8836	0.8786	0.8684	0.8866	0.8716	0.8387	0.8935	0.7525	0.7118	0.7360
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4491	0.5710	0.5202	0.5426	0.8056	0.8054	0.8389	0.7923	0.7847	0.8107	0.8097	0.7788	0.7760	0.8445	0.8525	0.9015	0.9251	0.7142	0.7915	0.7674	0.8021	1.0000	0.9250	0.9193	0.9005	0.9133	0.9189	0.9171	0.9303	0.8570	0.8711	0.8243	0.9191	0.9062	0.8918	0.8707	0.8717	0.8260	0.8224	0.8039	0.8070	0.8379
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4302	0.5507	0.5021	0.5228	0.7890	0.7916	0.8284	0.7730	0.7651	0.7865	0.7888	0.7614	0.7590	0.8190	0.8276	0.8788	0.9019	0.6928	0.7662	0.7459	0.7993	0.9250	1.0000	0.9051	0.8902	0.8938	0.9076	0.9078	0.9179	0.8426	0.8546	0.8129	0.9127	0.8928	0.8833	0.8639	0.8647	0.8226	0.8247	0.8007	0.7782	0.8224
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3942	0.5181	0.4659	0.4866	0.8017	0.8106	0.8292	0.7806	0.7794	0.8055	0.7993	0.7714	0.7710	0.8039	0.8486	0.9057	0.8813	0.6666	0.7486	0.7241	0.8312	0.9193	0.9051	1.0000	0.9200	0.8980	0.9085	0.9188	0.9264	0.8716	0.8801	0.8212	0.9247	0.8961	0.8881	0.8859	0.8842	0.8669	0.8822	0.8234	0.8022	0.8036
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3661	0.4912	0.4391	0.4602	0.7822	0.7887	0.8185	0.7625	0.7410	0.7753	0.7667	0.7401	0.7434	0.7958	0.8212	0.8640	0.8566	0.6481	0.7283	0.6969	0.8487	0.9005	0.8902	0.9200	1.0000	0.8857	0.8917	0.9057	0.9145	0.8530	0.8529	0.8357	0.9169	0.9026	0.8970	0.8914	0.8857	0.8615	0.8771	0.8134	0.7825	0.8034
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4007	0.5200	0.4726	0.4939	0.7700	0.7669	0.7986	0.7519	0.7330	0.7653	0.7617	0.7335	0.7305	0.8086	0.8112	0.8542	0.8731	0.6742	0.7510	0.7248	0.8169	0.9133	0.8938	0.8980	0.8857	1.0000	0.8954	0.9015	0.9131	0.8303	0.8398	0.8270	0.9099	0.8982	0.8838	0.8710	0.8667	0.8235	0.8291	0.7922	0.7820	0.8197
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3977	0.5181	0.4692	0.4906	0.7753	0.7745	0.8152	0.7584	0.7449	0.7715	0.7713	0.7429	0.7410	0.8049	0.8157	0.8664	0.8860	0.6699	0.7459	0.7240	0.8161	0.9189	0.9076	0.9085	0.8917	0.8954	1.0000	0.9108	0.9159	0.8384	0.8508	0.8216	0.9185	0.8972	0.8891	0.8720	0.8724	0.8303	0.8383	0.8002	0.7861	0.8137
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3796	0.5042	0.4546	0.4769	0.7770	0.7753	0.8079	0.7550	0.7357	0.7660	0.7648	0.7363	0.7341	0.8081	0.8139	0.8628	0.8762	0.6665	0.7431	0.7176	0.8440	0.9171	0.9078	0.9188	0.9057	0.9015	0.9108	1.0000	0.9246	0.8427	0.8495	0.8428	0.9283	0.9131	0.9030	0.8914	0.8901	0.8521	0.8632	0.8095	0.7878	0.8248
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3897	0.5194	0.4655	0.4885	0.7917	0.7988	0.8307	0.7722	0.7480	0.7828	0.7764	0.7512	0.7456	0.8199	0.8288	0.8809	0.8867	0.6770	0.7566	0.7283	0.8459	0.9303	0.9179	0.9264	0.9145	0.9131	0.9159	0.9246	1.0000	0.8577	0.8577	0.8496	0.9387	0.9261	0.9142	0.9018	0.8962	0.8548	0.8683	0.8249	0.8042	0.8310
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4310	0.5324	0.4907	0.5072	0.7726	0.8048	0.8198	0.7583	0.7655	0.7841	0.7753	0.7594	0.7676	0.7719	0.8114	0.8674	0.8262	0.6503	0.7241	0.7007	0.7443	0.8570	0.8426	0.8716	0.8530	0.8303	0.8384	0.8427	0.8577	1.0000	0.8389	0.7485	0.8422	0.8205	0.8135	0.8044	0.8162	0.7925	0.7995	0.7626	0.7269	0.7496
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4229	0.5274	0.4847	0.4994	0.7663	0.7939	0.8073	0.7489	0.7726	0.7814	0.7775	0.7642	0.7779	0.7690	0.8124	0.8706	0.8512	0.6433	0.7220	0.6998	0.7404	0.8711	0.8546	0.8801	0.8529	0.8398	0.8508	0.8495	0.8577	0.8389	1.0000	0.7427	0.8482	0.8171	0.8094	0.8023	0.8139	0.7889	0.7943	0.7529	0.7233	0.7506
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2603	0.3802	0.3348	0.3591	0.6738	0.6644	0.6980	0.6472	0.5917	0.6350	0.6329	0.6091	0.6064	0.7237	0.6947	0.7268	0.7596	0.5707	0.6391	0.6061	0.8496	0.8243	0.8129	0.8212	0.8357	0.8270	0.8216	0.8428	0.8496	0.7485	0.7427	1.0000	0.8670	0.8773	0.8630	0.8576	0.8375	0.7980	0.8223	0.7433	0.7303	0.7689
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3315	0.4609	0.4096	0.4320	0.7604	0.7633	0.8000	0.7350	0.7062	0.7382	0.7370	0.7145	0.7129	0.7908	0.7927	0.8448	0.8668	0.6359	0.7163	0.6888	0.8836	0.9191	0.9127	0.9247	0.9169	0.9099	0.9185	0.9283	0.9387	0.8422	0.8482	0.8670	1.0000	0.9322	0.9231	0.9196	0.9098	0.8690	0.8963	0.8237	0.7928	0.8251
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3046	0.4401	0.3860	0.4128	0.7461	0.7406	0.7765	0.7209	0.6692	0.7146	0.7098	0.6870	0.6808	0.7905	0.7769	0.8142	0.8499	0.6315	0.7093	0.6746	0.8786	0.9062	0.8928	0.8961	0.9026	0.8982	0.8972	0.9131	0.9261	0.8205	0.8171	0.8773	0.9322	1.0000	0.9262	0.9149	0.8910	0.8459	0.8645	0.8012	0.7897	0.8252
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3064	0.4416	0.3852	0.4112	0.7458	0.7355	0.7732	0.7241	0.6752	0.7200	0.7130	0.6842	0.6807	0.7793	0.7753	0.8098	0.8402	0.6217	0.6983	0.6650	0.8684	0.8918	0.8833	0.8881	0.8970	0.8838	0.8891	0.9030	0.9142	0.8135	0.8094	0.8630	0.9231	0.9262	1.0000	0.9028	0.8889	0.8416	0.8642	0.8010	0.7869	0.8116
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2632	0.3933	0.3416	0.3653	0.7163	0.7176	0.7489	0.6877	0.6412	0.6833	0.6781	0.6595	0.6578	0.7445	0.7450	0.7857	0.8083	0.5810	0.6595	0.6258	0.8866	0.8707	0.8639	0.8859	0.8914	0.8710	0.8720	0.8914	0.9018	0.8044	0.8023	0.8576	0.9196	0.9149	0.9028	1.0000	0.8849	0.8479	0.8807	0.7915	0.7638	0.7888
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2976	0.4197	0.3705	0.3899	0.7272	0.7410	0.7802	0.7024	0.6729	0.7045	0.7009	0.6835	0.6854	0.7457	0.7538	0.8046	0.8130	0.5851	0.6671	0.6318	0.8716	0.8717	0.8647	0.8842	0.8857	0.8667	0.8724	0.8901	0.8962	0.8162	0.8139	0.8375	0.9098	0.8910	0.8889	0.8849	1.0000	0.8525	0.8820	0.8043	0.7528	0.7800
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3226	0.4306	0.3888	0.4014	0.7084	0.7226	0.7454	0.6851	0.6729	0.6929	0.6918	0.6742	0.6746	0.7212	0.7362	0.7867	0.7678	0.5758	0.6523	0.6210	0.8387	0.8260	0.8226	0.8669	0.8615	0.8235	0.8303	0.8521	0.8548	0.7925	0.7889	0.7980	0.8690	0.8459	0.8416	0.8479	0.8525	1.0000	0.8797	0.7777	0.7199	0.7492
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2417	0.3564	0.3119	0.3268	0.6874	0.7137	0.7380	0.6593	0.6346	0.6609	0.6559	0.6452	0.6500	0.6911	0.7100	0.7698	0.7482	0.5213	0.6045	0.5703	0.8935	0.8224	0.8247	0.8822	0.8771	0.8291	0.8383	0.8632	0.8683	0.7995	0.7943	0.8223	0.8963	0.8645	0.8642	0.8807	0.8820	0.8797	1.0000	0.7901	0.7241	0.7399
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3758	0.4801	0.4371	0.4545	0.7083	0.7206	0.7671	0.6977	0.6778	0.7047	0.7010	0.6732	0.6736	0.7171	0.7342	0.7783	0.7680	0.6009	0.6674	0.6472	0.7525	0.8039	0.8007	0.8234	0.8134	0.7922	0.8002	0.8095	0.8249	0.7626	0.7529	0.7433	0.8237	0.8012	0.8010	0.7915	0.8043	0.7777	0.7901	1.0000	0.7094	0.7264
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4062	0.5101	0.4630	0.4873	0.7030	0.6754	0.7145	0.6970	0.6669	0.7072	0.7011	0.6531	0.6412	0.7388	0.7453	0.7712	0.7689	0.6352	0.6944	0.6811	0.7118	0.8070	0.7782	0.8022	0.7825	0.7820	0.7861	0.7878	0.8042	0.7269	0.7233	0.7303	0.7928	0.7897	0.7869	0.7638	0.7528	0.7199	0.7241	0.7094	1.0000	0.7327
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4677	0.5672	0.5340	0.5527	0.7192	0.7011	0.7372	0.7104	0.6862	0.7158	0.7206	0.6804	0.6737	0.7994	0.7517	0.7794	0.8112	0.7017	0.7534	0.7400	0.7360	0.8379	0.8224	0.8036	0.8034	0.8197	0.8137	0.8248	0.8310	0.7496	0.7506	0.7689	0.8251	0.8252	0.8116	0.7888	0.7800	0.7492	0.7399	0.7264	0.7327	1.0000
