#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5735	0.6450	0.6236	0.6143	0.7688	0.7503	0.7534	0.7992	0.7942	0.8016	1.0000	0.7666	0.7420	0.7784	0.7961	0.8390	0.7873	0.6869	0.7395	0.7322	0.5669	0.7121	0.6843	0.6812	0.6806	0.6568	0.6065	0.6708	0.6397	0.7588	0.7769	0.7673	0.7371	0.7314	0.7401	0.7338	0.7491	0.7570	0.7607	0.6678	0.6504	0.6763
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5629	0.6344	0.6121	0.6032	0.7736	0.7449	0.7492	0.7995	0.7889	0.7961	0.7666	1.0000	0.7368	0.7883	0.7936	0.8372	0.7852	0.6769	0.7312	0.7225	0.5673	0.7107	0.6783	0.6773	0.6830	0.6560	0.6040	0.6721	0.6462	0.7562	0.7736	0.7685	0.7411	0.7284	0.7382	0.7314	0.7438	0.7656	0.7751	0.6689	0.6379	0.6692
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5877	0.6852	0.6646	0.6447	0.7506	0.7711	0.7775	0.7716	0.8006	0.8036	0.7420	0.7368	1.0000	0.7832	0.8178	0.8382	0.8348	0.7777	0.8245	0.8114	0.6630	0.7877	0.7899	0.7789	0.7430	0.7425	0.7229	0.7170	0.6834	0.8169	0.8425	0.7963	0.7926	0.8067	0.8018	0.8052	0.8171	0.7665	0.7612	0.7111	0.7390	0.7999
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5253	0.6181	0.5936	0.5779	0.8222	0.7838	0.7883	0.7999	0.8083	0.8160	0.7784	0.7883	0.7832	1.0000	0.8241	0.8733	0.8305	0.6961	0.7589	0.7414	0.6640	0.7989	0.7755	0.7719	0.7788	0.7483	0.6971	0.7439	0.7347	0.8273	0.8375	0.8264	0.8176	0.7978	0.8133	0.8063	0.8304	0.8182	0.8036	0.7630	0.7130	0.7349
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5742	0.6719	0.6455	0.6265	0.8028	0.8142	0.8209	0.8357	0.8480	0.8652	0.7961	0.7936	0.8178	0.8241	1.0000	0.9004	0.8552	0.7488	0.8062	0.7935	0.6492	0.7910	0.7758	0.7740	0.7519	0.7438	0.6934	0.7340	0.7051	0.8262	0.8511	0.8449	0.8200	0.8100	0.8139	0.8124	0.8275	0.8088	0.8080	0.7300	0.7448	0.7500
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5645	0.6681	0.6387	0.6203	0.8589	0.8444	0.8414	0.8768	0.8800	0.8933	0.8390	0.8372	0.8382	0.8733	0.9004	1.0000	0.8972	0.7517	0.8211	0.8063	0.6911	0.8436	0.8122	0.8074	0.8029	0.7840	0.7247	0.7847	0.7667	0.8768	0.9001	0.9036	0.8620	0.8528	0.8647	0.8613	0.8802	0.8662	0.8686	0.7735	0.7679	0.7747
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5058	0.6226	0.5939	0.5717	0.7932	0.8020	0.7983	0.8069	0.8250	0.8246	0.7873	0.7852	0.8348	0.8305	0.8552	0.8972	1.0000	0.7352	0.8049	0.7880	0.7170	0.8655	0.8493	0.8398	0.8115	0.8072	0.7583	0.7654	0.7422	0.9015	0.9251	0.8767	0.8545	0.8724	0.8849	0.8751	0.8858	0.8239	0.8466	0.7629	0.7687	0.8096
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7044	0.7589	0.7560	0.7413	0.6668	0.7023	0.7247	0.7364	0.7579	0.7585	0.6869	0.6769	0.7777	0.6961	0.7488	0.7517	0.7352	1.0000	0.8043	0.8191	0.4795	0.6331	0.6315	0.6221	0.5827	0.5793	0.5704	0.5719	0.5133	0.6919	0.7136	0.6595	0.6457	0.6729	0.6675	0.6646	0.6750	0.6451	0.6365	0.5956	0.6365	0.7029
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6737	0.7498	0.7366	0.7192	0.7292	0.7556	0.7717	0.7848	0.8031	0.8066	0.7395	0.7312	0.8245	0.7589	0.8062	0.8211	0.8049	0.8043	1.0000	0.8366	0.5601	0.7134	0.7086	0.6981	0.6646	0.6574	0.6383	0.6482	0.5969	0.7648	0.7902	0.7415	0.7251	0.7491	0.7430	0.7409	0.7543	0.7194	0.7147	0.6615	0.6946	0.7538
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7120	0.7712	0.7684	0.7541	0.7121	0.7424	0.7625	0.7811	0.8006	0.7996	0.7322	0.7225	0.8114	0.7414	0.7935	0.8063	0.7880	0.8191	0.8366	1.0000	0.5182	0.6862	0.6743	0.6650	0.6294	0.6239	0.6053	0.6171	0.5625	0.7450	0.7666	0.7170	0.6937	0.7233	0.7222	0.7155	0.7260	0.6959	0.6927	0.6423	0.6815	0.7404
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1546	0.2790	0.2519	0.2314	0.6348	0.6318	0.5963	0.5404	0.5803	0.5824	0.5669	0.5673	0.6630	0.6640	0.6492	0.6911	0.7170	0.4795	0.5601	0.5182	1.0000	0.8821	0.8773	0.8671	0.8703	0.8857	0.8484	0.8376	0.8907	0.7975	0.8003	0.8279	0.8477	0.8154	0.8140	0.8429	0.8444	0.7415	0.7361	0.7502	0.7110	0.7348
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3283	0.4584	0.4292	0.4066	0.7610	0.7588	0.7338	0.7043	0.7361	0.7373	0.7121	0.7107	0.7877	0.7989	0.7910	0.8436	0.8655	0.6331	0.7134	0.6862	0.8821	1.0000	0.9310	0.9218	0.9089	0.9188	0.8653	0.8677	0.8932	0.9118	0.9179	0.9220	0.9159	0.9089	0.9174	0.9278	0.9381	0.8403	0.8451	0.8200	0.7912	0.8224
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3042	0.4403	0.4124	0.3853	0.7380	0.7451	0.7213	0.6676	0.7101	0.7147	0.6843	0.6783	0.7899	0.7755	0.7758	0.8122	0.8493	0.6315	0.7086	0.6743	0.8773	0.9310	1.0000	0.9260	0.8900	0.9141	0.8768	0.8434	0.8596	0.8923	0.9055	0.8917	0.9011	0.8972	0.8962	0.9129	0.9253	0.8180	0.8123	0.7971	0.7893	0.8246
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3063	0.4424	0.4119	0.3853	0.7315	0.7441	0.7247	0.6734	0.7132	0.7204	0.6812	0.6773	0.7789	0.7719	0.7740	0.8074	0.8398	0.6221	0.6981	0.6650	0.8671	0.9218	0.9260	1.0000	0.8878	0.9016	0.8623	0.8390	0.8590	0.8825	0.8911	0.8829	0.8955	0.8827	0.8880	0.9025	0.9134	0.8105	0.8040	0.7971	0.7866	0.8110
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2946	0.4168	0.3870	0.3674	0.7385	0.7253	0.7007	0.6713	0.7004	0.7038	0.6806	0.6830	0.7430	0.7788	0.7519	0.8029	0.8115	0.5827	0.6646	0.6294	0.8703	0.9089	0.8900	0.8878	1.0000	0.8841	0.8363	0.8511	0.8788	0.8638	0.8702	0.8809	0.8845	0.8653	0.8712	0.8896	0.8955	0.8145	0.8104	0.8006	0.7514	0.7772
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2606	0.3916	0.3630	0.3396	0.7153	0.7151	0.6871	0.6395	0.6777	0.6831	0.6568	0.6560	0.7425	0.7483	0.7438	0.7840	0.8072	0.5793	0.6574	0.6239	0.8857	0.9188	0.9141	0.9016	0.8841	1.0000	0.8569	0.8467	0.8778	0.8627	0.8694	0.8832	0.8907	0.8697	0.8706	0.8909	0.9010	0.8022	0.7989	0.7882	0.7626	0.7866
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2596	0.3802	0.3587	0.3337	0.6615	0.6715	0.6468	0.5904	0.6333	0.6355	0.6065	0.6040	0.7229	0.6971	0.6934	0.7247	0.7583	0.5704	0.6383	0.6053	0.8484	0.8653	0.8768	0.8623	0.8363	0.8569	1.0000	0.7956	0.8178	0.8119	0.8229	0.8169	0.8350	0.8249	0.8203	0.8421	0.8482	0.7458	0.7383	0.7390	0.7295	0.7683
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3183	0.4264	0.3974	0.3847	0.7196	0.7063	0.6824	0.6707	0.6901	0.6914	0.6708	0.6721	0.7170	0.7439	0.7340	0.7847	0.7654	0.5719	0.6482	0.6171	0.8376	0.8677	0.8434	0.8390	0.8511	0.8467	0.7956	1.0000	0.8779	0.8204	0.8237	0.8656	0.8610	0.8216	0.8275	0.8505	0.8527	0.7905	0.7858	0.7751	0.7174	0.7454
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2328	0.3480	0.3183	0.3031	0.7103	0.6822	0.6532	0.6299	0.6512	0.6566	0.6397	0.6462	0.6834	0.7347	0.7051	0.7667	0.7422	0.5133	0.5969	0.5625	0.8907	0.8932	0.8596	0.8590	0.8788	0.8778	0.8178	0.8779	1.0000	0.8197	0.8170	0.8808	0.8744	0.8247	0.8336	0.8596	0.8647	0.7965	0.7915	0.7857	0.7179	0.7325
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4289	0.5501	0.5220	0.5004	0.7889	0.7878	0.7725	0.7637	0.7880	0.7859	0.7588	0.7562	0.8169	0.8273	0.8262	0.8768	0.9015	0.6919	0.7648	0.7450	0.7975	0.9118	0.8923	0.8825	0.8638	0.8627	0.8119	0.8204	0.8197	1.0000	0.9244	0.9007	0.8885	0.8931	0.9070	0.9072	0.9173	0.8404	0.8498	0.7966	0.7773	0.8205
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4480	0.5706	0.5420	0.5189	0.8026	0.8044	0.7920	0.7833	0.8097	0.8105	0.7769	0.7736	0.8425	0.8375	0.8511	0.9001	0.9251	0.7136	0.7902	0.7666	0.8003	0.9179	0.9055	0.8911	0.8702	0.8694	0.8229	0.8237	0.8170	0.9244	1.0000	0.9148	0.8985	0.9127	0.9178	0.9166	0.9298	0.8548	0.8668	0.7990	0.8064	0.8360
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3864	0.5101	0.4785	0.4576	0.8077	0.7972	0.7753	0.7763	0.7953	0.8021	0.7673	0.7685	0.7963	0.8264	0.8449	0.9036	0.8767	0.6595	0.7415	0.7170	0.8279	0.9220	0.8917	0.8829	0.8809	0.8832	0.8169	0.8656	0.8808	0.9007	0.9148	1.0000	0.9175	0.8946	0.9044	0.9153	0.9233	0.8693	0.8782	0.8193	0.7964	0.7968
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3630	0.4885	0.4572	0.4355	0.7861	0.7801	0.7610	0.7391	0.7660	0.7742	0.7371	0.7411	0.7926	0.8176	0.8200	0.8620	0.8545	0.6457	0.7251	0.6937	0.8477	0.9159	0.9011	0.8955	0.8845	0.8907	0.8350	0.8610	0.8744	0.8885	0.8985	0.9175	1.0000	0.8840	0.8895	0.9045	0.9133	0.8505	0.8495	0.8101	0.7805	0.8010
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3988	0.5183	0.4921	0.4701	0.7648	0.7682	0.7513	0.7314	0.7612	0.7650	0.7314	0.7284	0.8067	0.7978	0.8100	0.8528	0.8724	0.6729	0.7491	0.7233	0.8154	0.9089	0.8972	0.8827	0.8653	0.8697	0.8249	0.8216	0.8247	0.8931	0.9127	0.8946	0.8840	1.0000	0.8947	0.9007	0.9123	0.8285	0.8367	0.7875	0.7809	0.8175
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3954	0.5164	0.4886	0.4669	0.7716	0.7733	0.7571	0.7427	0.7699	0.7705	0.7401	0.7382	0.8018	0.8133	0.8139	0.8647	0.8849	0.6675	0.7430	0.7222	0.8140	0.9174	0.8962	0.8880	0.8712	0.8706	0.8203	0.8275	0.8336	0.9070	0.9178	0.9044	0.8895	0.8947	1.0000	0.9100	0.9149	0.8357	0.8466	0.7958	0.7847	0.8113
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3771	0.5019	0.4742	0.4514	0.7728	0.7752	0.7543	0.7337	0.7639	0.7652	0.7338	0.7314	0.8052	0.8063	0.8124	0.8613	0.8751	0.6646	0.7409	0.7155	0.8429	0.9278	0.9129	0.9025	0.8896	0.8909	0.8421	0.8505	0.8596	0.9072	0.9166	0.9153	0.9045	0.9007	0.9100	1.0000	0.9239	0.8409	0.8460	0.8055	0.7865	0.8224
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3870	0.5171	0.4858	0.4623	0.7970	0.7900	0.7712	0.7467	0.7759	0.7825	0.7491	0.7438	0.8171	0.8304	0.8275	0.8802	0.8858	0.6750	0.7543	0.7260	0.8444	0.9381	0.9253	0.9134	0.8955	0.9010	0.8482	0.8527	0.8647	0.9173	0.9298	0.9233	0.9133	0.9123	0.9149	0.9239	1.0000	0.8563	0.8544	0.8212	0.8030	0.8287
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4255	0.5275	0.5022	0.4852	0.8022	0.7697	0.7551	0.7629	0.7726	0.7823	0.7570	0.7656	0.7665	0.8182	0.8088	0.8662	0.8239	0.6451	0.7194	0.6959	0.7415	0.8403	0.8180	0.8105	0.8145	0.8022	0.7458	0.7905	0.7965	0.8404	0.8548	0.8693	0.8505	0.8285	0.8357	0.8409	0.8563	1.0000	0.8369	0.7581	0.7233	0.7449
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4143	0.5192	0.4908	0.4759	0.7911	0.7615	0.7439	0.7693	0.7729	0.7776	0.7607	0.7751	0.7612	0.8036	0.8080	0.8686	0.8466	0.6365	0.7147	0.6927	0.7361	0.8451	0.8123	0.8040	0.8104	0.7989	0.7383	0.7858	0.7915	0.8498	0.8668	0.8782	0.8495	0.8367	0.8466	0.8460	0.8544	0.8369	1.0000	0.7466	0.7171	0.7435
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3714	0.4746	0.4500	0.4322	0.7149	0.7046	0.6938	0.6738	0.6972	0.7014	0.6678	0.6689	0.7111	0.7630	0.7300	0.7735	0.7629	0.5956	0.6615	0.6423	0.7502	0.8200	0.7971	0.7971	0.8006	0.7882	0.7390	0.7751	0.7857	0.7966	0.7990	0.8193	0.8101	0.7875	0.7958	0.8055	0.8212	0.7581	0.7466	1.0000	0.7059	0.7214
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4069	0.5121	0.4893	0.4645	0.6721	0.7019	0.6974	0.6647	0.7007	0.7066	0.6504	0.6379	0.7390	0.7130	0.7448	0.7679	0.7687	0.6365	0.6946	0.6815	0.7110	0.7912	0.7893	0.7866	0.7514	0.7626	0.7295	0.7174	0.7179	0.7773	0.8064	0.7964	0.7805	0.7809	0.7847	0.7865	0.8030	0.7233	0.7171	0.7059	1.0000	0.7328
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4694	0.5687	0.5540	0.5345	0.6963	0.7172	0.7094	0.6836	0.7203	0.7153	0.6763	0.6692	0.7999	0.7349	0.7500	0.7747	0.8096	0.7029	0.7538	0.7404	0.7348	0.8224	0.8246	0.8110	0.7772	0.7866	0.7683	0.7454	0.7325	0.8205	0.8360	0.7968	0.8010	0.8175	0.8113	0.8224	0.8287	0.7449	0.7435	0.7214	0.7328	1.0000
