#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5665	0.6647	0.6357	0.6193	0.7715	0.7608	0.7827	0.7885	0.8284	0.8382	1.0000	0.7643	0.7603	0.7690	0.8396	0.8748	0.7924	0.7146	0.7722	0.7631	0.5675	0.5071	0.6907	0.6622	0.6686	0.6513	0.6262	0.6351	0.6005	0.7470	0.7756	0.7694	0.7327	0.7219	0.7292	0.7222	0.7430	0.7445	0.7421	0.6477	0.6539	0.6629
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4965	0.5829	0.5566	0.5462	0.7057	0.7278	0.7387	0.7110	0.7625	0.7572	0.7643	1.0000	0.7256	0.6997	0.7596	0.8099	0.7495	0.6315	0.6957	0.6861	0.5363	0.4913	0.6620	0.6290	0.6257	0.6251	0.5975	0.6131	0.5806	0.7168	0.7374	0.7281	0.6909	0.6838	0.6951	0.6871	0.7045	0.7148	0.7213	0.6094	0.5908	0.6210
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4867	0.5727	0.5456	0.5355	0.7006	0.7347	0.7524	0.7066	0.7643	0.7523	0.7603	0.7256	1.0000	0.6959	0.7579	0.8090	0.7488	0.6226	0.6879	0.6765	0.5356	0.4934	0.6613	0.6229	0.6226	0.6287	0.5967	0.6159	0.5884	0.7143	0.7350	0.7299	0.6970	0.6809	0.6931	0.6853	0.6995	0.7253	0.7382	0.6122	0.5766	0.6142
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5034	0.6198	0.5957	0.5722	0.7305	0.7130	0.7485	0.7364	0.7326	0.7644	0.7690	0.6997	0.6959	1.0000	0.7862	0.8156	0.8075	0.7320	0.7889	0.7734	0.6701	0.6019	0.7533	0.7514	0.7380	0.6997	0.6977	0.6668	0.6358	0.7867	0.8163	0.7697	0.7567	0.7735	0.7704	0.7722	0.7871	0.7326	0.7304	0.6608	0.6898	0.7588
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4926	0.6103	0.5786	0.5565	0.7800	0.7696	0.7928	0.7882	0.8055	0.8198	0.8396	0.7596	0.7579	0.7862	1.0000	0.8837	0.8291	0.7019	0.7717	0.7555	0.6376	0.5867	0.7544	0.7351	0.7329	0.7083	0.6984	0.6860	0.6579	0.7946	0.8245	0.8204	0.7874	0.7759	0.7811	0.7785	0.7970	0.7767	0.7788	0.6822	0.6982	0.7047
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4872	0.6117	0.5763	0.5553	0.8174	0.8335	0.8517	0.8150	0.8550	0.8598	0.8748	0.8099	0.8090	0.8156	0.8837	1.0000	0.8805	0.7115	0.7939	0.7758	0.6770	0.6379	0.8168	0.7803	0.7750	0.7695	0.7471	0.7468	0.7286	0.8559	0.8839	0.8879	0.8385	0.8274	0.8418	0.8376	0.8593	0.8429	0.8475	0.7347	0.7300	0.7390
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4117	0.5511	0.5171	0.4914	0.7662	0.7583	0.8002	0.7610	0.7721	0.7927	0.7924	0.7495	0.7488	0.8075	0.8291	0.8805	1.0000	0.6866	0.7701	0.7497	0.7148	0.6676	0.8423	0.8223	0.8104	0.7788	0.7733	0.7237	0.7028	0.8834	0.9114	0.8593	0.8292	0.8501	0.8650	0.8533	0.8661	0.7954	0.8252	0.7208	0.7267	0.7764
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6448	0.7082	0.7060	0.6893	0.6475	0.6118	0.6430	0.6726	0.6895	0.7123	0.7146	0.6315	0.6226	0.7320	0.7019	0.7115	0.6866	1.0000	0.7635	0.7823	0.4868	0.3816	0.5677	0.5613	0.5489	0.5078	0.5018	0.4932	0.4331	0.6354	0.6601	0.6055	0.5801	0.6124	0.6089	0.6030	0.6165	0.5874	0.5809	0.5215	0.5660	0.6417
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6074	0.6974	0.6831	0.6624	0.7104	0.6862	0.7173	0.7290	0.7473	0.7671	0.7722	0.6957	0.6879	0.7889	0.7717	0.7939	0.7701	0.7635	1.0000	0.8038	0.5683	0.4780	0.6631	0.6531	0.6399	0.6044	0.5951	0.5837	0.5318	0.7225	0.7520	0.7027	0.6752	0.7038	0.6983	0.6938	0.7105	0.6748	0.6738	0.6005	0.6359	0.7035
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6536	0.7239	0.7210	0.7041	0.6951	0.6651	0.6961	0.7175	0.7422	0.7627	0.7631	0.6861	0.6765	0.7734	0.7555	0.7758	0.7497	0.7823	0.8038	1.0000	0.5294	0.4292	0.6309	0.6124	0.6006	0.5632	0.5551	0.5470	0.4913	0.6987	0.7237	0.6730	0.6378	0.6722	0.6727	0.6635	0.6767	0.6467	0.6468	0.5774	0.6206	0.6880
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1145	0.2578	0.2326	0.2043	0.6109	0.6032	0.6419	0.5804	0.5160	0.5639	0.5675	0.5363	0.5356	0.6701	0.6376	0.6770	0.7148	0.4868	0.5683	0.5294	1.0000	0.8216	0.8426	0.8540	0.8367	0.8072	0.8315	0.7590	0.7911	0.7784	0.7911	0.7897	0.8044	0.7939	0.7888	0.8130	0.8212	0.7036	0.6991	0.6912	0.6783	0.7240
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	-0.0060	0.1421	0.1100	0.0860	0.5654	0.5721	0.6040	0.5233	0.4582	0.5031	0.5071	0.4913	0.4934	0.6019	0.5867	0.6379	0.6676	0.3816	0.4780	0.4292	0.8216	1.0000	0.8621	0.8557	0.8440	0.8477	0.8656	0.8084	0.8746	0.7620	0.7657	0.8014	0.8203	0.7829	0.7819	0.8150	0.8172	0.6981	0.6951	0.7047	0.6588	0.6872
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2038	0.3588	0.3242	0.2977	0.7154	0.7201	0.7632	0.6864	0.6516	0.6885	0.6907	0.6620	0.6613	0.7533	0.7544	0.8168	0.8423	0.5677	0.6631	0.6309	0.8426	0.8621	1.0000	0.9196	0.9086	0.8930	0.9050	0.8441	0.8776	0.8960	0.9038	0.9109	0.9011	0.8928	0.9031	0.9149	0.9274	0.8136	0.8219	0.7882	0.7544	0.7932
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1693	0.3313	0.2988	0.2672	0.6980	0.6934	0.7349	0.6688	0.6072	0.6553	0.6622	0.6290	0.6229	0.7514	0.7351	0.7803	0.8223	0.5613	0.6531	0.6124	0.8540	0.8557	0.9196	1.0000	0.9122	0.8709	0.8992	0.8158	0.8398	0.8728	0.8885	0.8774	0.8834	0.8790	0.8780	0.8973	0.9122	0.7884	0.7861	0.7598	0.7497	0.7921
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1709	0.3331	0.2970	0.2661	0.6972	0.6869	0.7308	0.6727	0.6141	0.6591	0.6686	0.6257	0.6226	0.7380	0.7329	0.7750	0.8104	0.5489	0.6399	0.6006	0.8367	0.8440	0.9086	0.9122	1.0000	0.8688	0.8847	0.8102	0.8393	0.8610	0.8711	0.8675	0.8766	0.8615	0.8683	0.8848	0.8979	0.7801	0.7763	0.7601	0.7465	0.7759
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1636	0.3094	0.2739	0.2510	0.6766	0.6942	0.7396	0.6481	0.6130	0.6463	0.6513	0.6251	0.6287	0.6997	0.7083	0.7695	0.7788	0.5078	0.6044	0.5632	0.8072	0.8477	0.8930	0.8709	0.8688	1.0000	0.8638	0.8240	0.8602	0.8398	0.8480	0.8631	0.8640	0.8415	0.8487	0.8698	0.8770	0.7834	0.7816	0.7648	0.7072	0.7396
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1215	0.2780	0.2435	0.2162	0.6640	0.6667	0.7028	0.6303	0.5752	0.6187	0.6262	0.5975	0.5967	0.6977	0.6984	0.7471	0.7733	0.5018	0.5951	0.5551	0.8315	0.8656	0.9050	0.8992	0.8847	0.8638	1.0000	0.8193	0.8595	0.8388	0.8468	0.8662	0.8710	0.8466	0.8484	0.8715	0.8835	0.7694	0.7687	0.7501	0.7205	0.7493
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1913	0.3197	0.2847	0.2701	0.6529	0.6704	0.6984	0.6249	0.6112	0.6330	0.6351	0.6131	0.6159	0.6668	0.6860	0.7468	0.7237	0.4932	0.5837	0.5470	0.7590	0.8084	0.8441	0.8158	0.8102	0.8240	0.8193	1.0000	0.8582	0.7882	0.7925	0.8435	0.8353	0.7889	0.7973	0.8230	0.8264	0.7546	0.7518	0.7343	0.6668	0.7003
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1000	0.2372	0.2015	0.1841	0.6307	0.6621	0.6914	0.5979	0.5687	0.5939	0.6005	0.5806	0.5884	0.6358	0.6579	0.7286	0.7028	0.4331	0.5318	0.4913	0.7911	0.8746	0.8776	0.8398	0.8393	0.8602	0.8595	0.8582	1.0000	0.7924	0.7903	0.8618	0.8555	0.7979	0.8081	0.8383	0.8446	0.7633	0.7589	0.7507	0.6744	0.6929
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3206	0.4652	0.4321	0.4069	0.7491	0.7530	0.7957	0.7309	0.7206	0.7486	0.7470	0.7168	0.7143	0.7867	0.7946	0.8559	0.8834	0.6354	0.7225	0.6987	0.7784	0.7620	0.8960	0.8728	0.8610	0.8398	0.8388	0.7882	0.7924	1.0000	0.9105	0.8870	0.8688	0.8736	0.8901	0.8902	0.9024	0.8135	0.8283	0.7594	0.7368	0.7897
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3424	0.4888	0.4551	0.4278	0.7691	0.7696	0.8085	0.7537	0.7438	0.7743	0.7756	0.7374	0.7350	0.8163	0.8245	0.8839	0.9114	0.6601	0.7520	0.7237	0.7911	0.7657	0.9038	0.8885	0.8711	0.8480	0.8468	0.7925	0.7903	0.9105	1.0000	0.9043	0.8809	0.8971	0.9036	0.9018	0.9174	0.8316	0.8490	0.7626	0.7707	0.8072
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2802	0.4279	0.3902	0.3656	0.7647	0.7749	0.7983	0.7401	0.7385	0.7622	0.7694	0.7281	0.7299	0.7697	0.8204	0.8879	0.8593	0.6055	0.7027	0.6730	0.7897	0.8014	0.9109	0.8774	0.8675	0.8631	0.8662	0.8435	0.8618	0.8870	0.9043	1.0000	0.9056	0.8792	0.8908	0.9034	0.9131	0.8474	0.8584	0.7905	0.7664	0.7686
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2426	0.3925	0.3553	0.3302	0.7404	0.7493	0.7852	0.7176	0.6922	0.7227	0.7327	0.6909	0.6970	0.7567	0.7874	0.8385	0.8292	0.5801	0.6752	0.6378	0.8044	0.8203	0.9011	0.8834	0.8766	0.8640	0.8710	0.8353	0.8555	0.8688	0.8809	0.9056	1.0000	0.8633	0.8709	0.8870	0.8979	0.8257	0.8276	0.7757	0.7416	0.7655
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2843	0.4279	0.3967	0.3709	0.7266	0.7244	0.7611	0.7055	0.6825	0.7167	0.7219	0.6838	0.6809	0.7735	0.7759	0.8274	0.8501	0.6124	0.7038	0.6722	0.7939	0.7829	0.8928	0.8790	0.8615	0.8415	0.8466	0.7889	0.7979	0.8736	0.8971	0.8792	0.8633	1.0000	0.8758	0.8827	0.8966	0.7997	0.8118	0.7494	0.7410	0.7855
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2831	0.4268	0.3944	0.3688	0.7334	0.7329	0.7801	0.7141	0.6970	0.7282	0.7292	0.6951	0.6931	0.7704	0.7811	0.8418	0.8650	0.6089	0.6983	0.6727	0.7888	0.7819	0.9031	0.8780	0.8683	0.8487	0.8484	0.7973	0.8081	0.8901	0.9036	0.8908	0.8709	0.8758	1.0000	0.8940	0.9002	0.8089	0.8238	0.7595	0.7467	0.7801
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2590	0.4080	0.3752	0.3488	0.7346	0.7336	0.7717	0.7093	0.6853	0.7202	0.7222	0.6871	0.6853	0.7722	0.7785	0.8376	0.8533	0.6030	0.6938	0.6635	0.8130	0.8150	0.9149	0.8973	0.8848	0.8698	0.8715	0.8230	0.8383	0.8902	0.9018	0.9034	0.8870	0.8827	0.8940	1.0000	0.9101	0.8145	0.8233	0.7697	0.7476	0.7912
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2717	0.4267	0.3903	0.3625	0.7524	0.7617	0.7994	0.7296	0.7009	0.7347	0.7430	0.7045	0.6995	0.7871	0.7970	0.8593	0.8661	0.6165	0.7105	0.6767	0.8212	0.8172	0.9274	0.9122	0.8979	0.8770	0.8835	0.8264	0.8446	0.9024	0.9174	0.9131	0.8979	0.8966	0.9002	0.9101	1.0000	0.8321	0.8330	0.7890	0.7682	0.7996
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3251	0.4468	0.4160	0.3969	0.7305	0.7681	0.7870	0.7139	0.7221	0.7344	0.7445	0.7148	0.7253	0.7326	0.7767	0.8429	0.7954	0.5874	0.6748	0.6467	0.7036	0.6981	0.8136	0.7884	0.7801	0.7834	0.7694	0.7546	0.7633	0.8135	0.8316	0.8474	0.8257	0.7997	0.8089	0.8145	0.8321	1.0000	0.8100	0.7172	0.6779	0.7057
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3174	0.4417	0.4085	0.3916	0.7236	0.7565	0.7733	0.7046	0.7315	0.7377	0.7421	0.7213	0.7382	0.7304	0.7788	0.8475	0.8252	0.5809	0.6738	0.6468	0.6991	0.6951	0.8219	0.7861	0.7763	0.7816	0.7687	0.7518	0.7589	0.8283	0.8490	0.8584	0.8276	0.8118	0.8238	0.8233	0.8330	0.8100	1.0000	0.7071	0.6746	0.7077
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2538	0.3775	0.3475	0.3274	0.6508	0.6659	0.7210	0.6386	0.6159	0.6422	0.6477	0.6094	0.6122	0.6608	0.6822	0.7347	0.7208	0.5215	0.6005	0.5774	0.6912	0.7047	0.7882	0.7598	0.7601	0.7648	0.7501	0.7343	0.7507	0.7594	0.7626	0.7905	0.7757	0.7494	0.7595	0.7697	0.7890	0.7172	0.7071	1.0000	0.6537	0.6719
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2914	0.4168	0.3895	0.3608	0.6481	0.6164	0.6625	0.6415	0.6045	0.6455	0.6539	0.5908	0.5766	0.6898	0.6982	0.7300	0.7267	0.5660	0.6359	0.6206	0.6783	0.6588	0.7544	0.7497	0.7465	0.7072	0.7205	0.6668	0.6744	0.7368	0.7707	0.7664	0.7416	0.7410	0.7467	0.7476	0.7682	0.6779	0.6746	0.6537	1.0000	0.6814
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3607	0.4798	0.4628	0.4404	0.6647	0.6470	0.6892	0.6546	0.6263	0.6674	0.6629	0.6210	0.6142	0.7588	0.7047	0.7390	0.7764	0.6417	0.7035	0.6880	0.7240	0.6872	0.7932	0.7921	0.7759	0.7396	0.7493	0.7003	0.6929	0.7897	0.8072	0.7686	0.7655	0.7855	0.7801	0.7912	0.7996	0.7057	0.7077	0.6719	0.6814	1.0000
