#plotCorrelation --outFileCorMatrix
	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1018	0.5248	0.5635	0.5410	0.6411	0.6488	0.5697	0.6200	0.6129	0.7739	1.0000	0.5801	0.6157	0.6986	0.6539	0.8568	0.6752	0.6807	0.7506	0.6087	0.6679	0.6572	0.8150	0.7097	0.7205	0.8079	0.7801	0.7760	0.6913	0.7184	0.6022	0.5014	0.5772	0.5748	0.4412	0.4343	0.2762	0.3353	0.4098	0.3917	0.3246	0.3130
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1343	0.6704	0.6906	0.6577	0.8291	0.8062	0.7888	0.8418	0.7865	0.5839	0.5801	1.0000	0.8388	0.8892	0.7683	0.8307	0.7421	0.7775	0.7330	0.6319	0.6327	0.6611	0.7258	0.7346	0.6740	0.5855	0.6302	0.6230	0.7926	0.7350	0.5707	0.6008	0.7078	0.6307	0.6625	0.5393	0.4123	0.4517	0.4858	0.5179	0.5181	0.5506
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1269	0.6436	0.6590	0.6304	0.7729	0.7792	0.7408	0.7921	0.7544	0.6213	0.6157	0.8388	1.0000	0.8636	0.7468	0.8218	0.7730	0.7930	0.7477	0.7625	0.7161	0.6917	0.8009	0.7750	0.7658	0.6327	0.7136	0.6733	0.7932	0.7465	0.5499	0.5789	0.6878	0.6702	0.6378	0.5146	0.3844	0.4321	0.5046	0.5005	0.4860	0.4905
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1380	0.6820	0.7126	0.6714	0.8661	0.8256	0.7892	0.8507	0.8035	0.6869	0.6986	0.8892	0.8636	1.0000	0.7999	0.8941	0.7903	0.8390	0.8118	0.7228	0.7231	0.7245	0.8347	0.8053	0.7682	0.7047	0.7443	0.7330	0.8424	0.8196	0.6255	0.6076	0.7331	0.6994	0.6416	0.5563	0.4089	0.4582	0.4944	0.5066	0.5060	0.5137
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1523	0.7186	0.7524	0.7386	0.7657	0.8312	0.7864	0.8108	0.7966	0.6650	0.6539	0.7683	0.7468	0.7999	1.0000	0.8348	0.8435	0.8434	0.8429	0.6185	0.7118	0.6877	0.7332	0.7673	0.7676	0.7363	0.7543	0.7740	0.7444	0.7114	0.5567	0.5818	0.7065	0.5754	0.6224	0.5826	0.3534	0.4541	0.5214	0.5718	0.5421	0.6142
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1317	0.6770	0.7139	0.6873	0.8077	0.8327	0.7596	0.8153	0.7906	0.8249	0.8568	0.8307	0.8218	0.8941	0.8348	1.0000	0.8444	0.8483	0.8709	0.7295	0.7830	0.7758	0.8950	0.8606	0.8486	0.8426	0.8513	0.8397	0.8622	0.8490	0.7122	0.6516	0.7383	0.6924	0.6472	0.5623	0.3881	0.4494	0.5415	0.5409	0.4990	0.4752
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1667	0.7173	0.7850	0.7473	0.7537	0.8445	0.7721	0.7858	0.7884	0.7244	0.6752	0.7421	0.7730	0.7903	0.8435	0.8444	1.0000	0.8588	0.8713	0.7878	0.7965	0.7289	0.8240	0.8260	0.8946	0.7763	0.8377	0.8326	0.7940	0.7655	0.5758	0.6340	0.7163	0.6712	0.7060	0.6169	0.3513	0.4602	0.6049	0.7316	0.4460	0.4307
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2602	0.7391	0.7606	0.7548	0.7850	0.8494	0.8073	0.8336	0.8159	0.6831	0.6807	0.7775	0.7930	0.8390	0.8434	0.8483	0.8588	1.0000	0.8699	0.7301	0.7909	0.7524	0.8110	0.8183	0.8384	0.7588	0.8111	0.8140	0.7978	0.7525	0.5662	0.5784	0.7350	0.6557	0.6165	0.6008	0.3714	0.5164	0.5197	0.5254	0.4946	0.4436
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1834	0.7420	0.7742	0.7735	0.7746	0.8506	0.7954	0.8193	0.8103	0.7616	0.7506	0.7330	0.7477	0.8118	0.8429	0.8709	0.8713	0.8699	1.0000	0.7159	0.7900	0.7575	0.8407	0.8224	0.8525	0.8473	0.8635	0.9331	0.7786	0.7792	0.6118	0.5904	0.7155	0.6520	0.5926	0.6090	0.3453	0.4900	0.5197	0.5114	0.4534	0.4069
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1609	0.5069	0.5328	0.5077	0.5956	0.6487	0.5638	0.6006	0.6056	0.6690	0.6087	0.6319	0.7625	0.7228	0.6185	0.7295	0.7878	0.7301	0.7159	1.0000	0.8067	0.7077	0.8797	0.8013	0.9009	0.6747	0.8040	0.7235	0.7743	0.7530	0.5364	0.5576	0.6279	0.7654	0.6348	0.4094	0.3114	0.4241	0.5226	0.4272	0.3709	0.3830
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1214	0.5637	0.5784	0.5713	0.6119	0.6835	0.6057	0.6476	0.6463	0.7395	0.6679	0.6327	0.7161	0.7231	0.7118	0.7830	0.7965	0.7909	0.7900	0.8067	1.0000	0.8488	0.8362	0.8930	0.9098	0.8136	0.8693	0.8072	0.7369	0.7317	0.5656	0.5335	0.6337	0.6782	0.5871	0.4494	0.3069	0.3858	0.4973	0.4364	0.3604	0.3691
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1751	0.5471	0.5665	0.5571	0.6279	0.6669	0.6037	0.6528	0.6367	0.7036	0.6572	0.6611	0.6917	0.7245	0.6877	0.7758	0.7289	0.7524	0.7575	0.7077	0.8488	1.0000	0.7850	0.8379	0.7987	0.7707	0.7998	0.7459	0.7322	0.7333	0.6066	0.5272	0.6357	0.6997	0.5732	0.4363	0.3123	0.4382	0.4623	0.4233	0.3702	0.3950
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1424	0.6029	0.6327	0.6120	0.7175	0.7572	0.6704	0.7204	0.7110	0.8199	0.8150	0.7258	0.8009	0.8347	0.7332	0.8950	0.8240	0.8110	0.8407	0.8797	0.8362	0.7850	1.0000	0.8631	0.9033	0.8301	0.8836	0.8452	0.8493	0.8565	0.6812	0.6064	0.6899	0.7647	0.6236	0.4883	0.3489	0.4379	0.5285	0.4605	0.4100	0.4195
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1287	0.5590	0.5815	0.5638	0.6686	0.7149	0.6321	0.6875	0.6741	0.8084	0.7097	0.7346	0.7750	0.8053	0.7673	0.8606	0.8260	0.8183	0.8224	0.8013	0.8930	0.8379	0.8631	1.0000	0.9099	0.8343	0.8667	0.8234	0.8217	0.8096	0.6554	0.6119	0.7055	0.7265	0.6868	0.4679	0.3610	0.4407	0.5577	0.4722	0.4405	0.4545
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1533	0.5963	0.6304	0.6155	0.6543	0.7423	0.6467	0.6787	0.6883	0.8079	0.7205	0.6740	0.7658	0.7682	0.7676	0.8486	0.8946	0.8384	0.8525	0.9009	0.9098	0.7987	0.9033	0.9099	1.0000	0.8493	0.9237	0.8730	0.8187	0.8106	0.6299	0.6164	0.6953	0.7399	0.6870	0.5004	0.3333	0.4431	0.5862	0.5139	0.4216	0.3995
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1212	0.5608	0.5929	0.5861	0.6153	0.6869	0.5917	0.6389	0.6400	0.8661	0.8079	0.5855	0.6327	0.7047	0.7363	0.8426	0.7763	0.7588	0.8473	0.6747	0.8136	0.7707	0.8301	0.8343	0.8493	1.0000	0.9008	0.9026	0.7267	0.7528	0.6433	0.5541	0.6239	0.6195	0.5238	0.4633	0.2851	0.3740	0.4829	0.4282	0.3328	0.3429
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1227	0.6132	0.6418	0.6367	0.6569	0.7389	0.6467	0.6859	0.6916	0.8260	0.7801	0.6302	0.7136	0.7443	0.7543	0.8513	0.8377	0.8111	0.8635	0.8040	0.8693	0.7998	0.8836	0.8667	0.9237	0.9008	1.0000	0.8992	0.7665	0.7854	0.6371	0.5762	0.6519	0.6750	0.5731	0.5040	0.3055	0.3923	0.5246	0.4593	0.3716	0.3560
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1898	0.6399	0.6743	0.6721	0.6686	0.7538	0.6716	0.7033	0.7077	0.8182	0.7760	0.6230	0.6733	0.7330	0.7740	0.8397	0.8326	0.8140	0.9331	0.7235	0.8072	0.7459	0.8452	0.8234	0.8730	0.9026	0.8992	1.0000	0.7510	0.7627	0.6160	0.5659	0.6637	0.6456	0.5531	0.5305	0.3045	0.4414	0.5071	0.4678	0.3835	0.3501
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3380	0.5509	0.5889	0.5485	0.7085	0.7206	0.6415	0.6986	0.6743	0.7561	0.6913	0.7926	0.7932	0.8424	0.7444	0.8622	0.7940	0.7978	0.7786	0.7743	0.7369	0.7322	0.8493	0.8217	0.8187	0.7267	0.7665	0.7510	1.0000	0.8324	0.6856	0.6497	0.7619	0.7522	0.7231	0.4592	0.4010	0.5964	0.5603	0.5044	0.4763	0.5100
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1357	0.5390	0.5726	0.5515	0.6876	0.7022	0.6244	0.6761	0.6586	0.7748	0.7184	0.7350	0.7465	0.8196	0.7114	0.8490	0.7655	0.7525	0.7792	0.7530	0.7317	0.7333	0.8565	0.8096	0.8106	0.7528	0.7854	0.7627	0.8324	1.0000	0.7337	0.6185	0.6784	0.8066	0.6575	0.4497	0.3506	0.4483	0.5257	0.4491	0.4340	0.4527
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1036	0.3848	0.4103	0.4009	0.5119	0.5300	0.4513	0.4996	0.4866	0.6921	0.6022	0.5707	0.5499	0.6255	0.5567	0.7122	0.5758	0.5662	0.6118	0.5364	0.5656	0.6066	0.6812	0.6554	0.6299	0.6433	0.6371	0.6160	0.6856	0.7337	1.0000	0.5278	0.5414	0.5777	0.5262	0.3207	0.2728	0.3559	0.4183	0.3248	0.3396	0.3575
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1843	0.6119	0.4802	0.4450	0.5480	0.5642	0.4927	0.5196	0.5141	0.5815	0.5014	0.6008	0.5789	0.6076	0.5818	0.6516	0.6340	0.5784	0.5904	0.5576	0.5335	0.5272	0.6064	0.6119	0.6164	0.5541	0.5762	0.5659	0.6497	0.6185	0.5278	1.0000	0.5484	0.5296	0.6035	0.3629	0.2807	0.3462	0.4656	0.4439	0.3422	0.3881
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3675	0.5312	0.5544	0.5311	0.6474	0.6624	0.6138	0.6550	0.6308	0.6165	0.5772	0.7078	0.6878	0.7331	0.7065	0.7383	0.7163	0.7350	0.7155	0.6279	0.6337	0.6357	0.6899	0.7055	0.6953	0.6239	0.6519	0.6637	0.7619	0.6784	0.5414	0.5484	1.0000	0.6272	0.6600	0.4355	0.3656	0.6079	0.5036	0.4546	0.4431	0.4531
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2699	0.4178	0.4427	0.4207	0.5569	0.5610	0.4940	0.5432	0.5299	0.6396	0.5748	0.6307	0.6702	0.6994	0.5754	0.6924	0.6712	0.6557	0.6520	0.7654	0.6782	0.6997	0.7647	0.7265	0.7399	0.6195	0.6750	0.6456	0.7522	0.8066	0.5777	0.5296	0.6272	1.0000	0.6225	0.3439	0.3164	0.4982	0.4732	0.3695	0.3906	0.4213
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1993	0.3720	0.4164	0.3735	0.5316	0.5299	0.4603	0.4967	0.4797	0.5931	0.4412	0.6625	0.6378	0.6416	0.6224	0.6472	0.7060	0.6165	0.5926	0.6348	0.5871	0.5732	0.6236	0.6868	0.6870	0.5238	0.5731	0.5531	0.7231	0.6575	0.5262	0.6035	0.6600	0.6225	1.0000	0.3287	0.3362	0.4909	0.5805	0.4993	0.4237	0.5003
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0760	0.6807	0.7181	0.7231	0.6399	0.7153	0.7116	0.6977	0.6929	0.3880	0.4343	0.5393	0.5146	0.5563	0.5826	0.5623	0.6169	0.6008	0.6090	0.4094	0.4494	0.4363	0.4883	0.4679	0.5004	0.4633	0.5040	0.5305	0.4592	0.4497	0.3207	0.3629	0.4355	0.3439	0.3287	1.0000	0.2180	0.2567	0.2974	0.3853	0.3302	0.2560
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1568	0.2688	0.2959	0.2610	0.3574	0.3444	0.3275	0.3584	0.3321	0.2921	0.2762	0.4123	0.3844	0.4089	0.3534	0.3881	0.3513	0.3714	0.3453	0.3114	0.3069	0.3123	0.3489	0.3610	0.3333	0.2851	0.3055	0.3045	0.4010	0.3506	0.2728	0.2807	0.3656	0.3164	0.3362	0.2180	1.0000	0.2821	0.2919	0.2330	0.2479	0.2676
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7495	0.3073	0.3231	0.3085	0.3912	0.3944	0.3650	0.3944	0.3725	0.3757	0.3353	0.4517	0.4321	0.4582	0.4541	0.4494	0.4602	0.5164	0.4900	0.4241	0.3858	0.4382	0.4379	0.4407	0.4431	0.3740	0.3923	0.4414	0.5964	0.4483	0.3559	0.3462	0.6079	0.4982	0.4909	0.2567	0.2821	1.0000	0.3568	0.2747	0.3154	0.3350
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1592	0.3330	0.3658	0.3498	0.4187	0.4577	0.3869	0.4061	0.4101	0.5072	0.4098	0.4858	0.5046	0.4944	0.5214	0.5415	0.6049	0.5197	0.5197	0.5226	0.4973	0.4623	0.5285	0.5577	0.5862	0.4829	0.5246	0.5071	0.5603	0.5257	0.4183	0.4656	0.5036	0.4732	0.5805	0.2974	0.2919	0.3568	1.0000	0.4486	0.3114	0.3479
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0964	0.4807	0.6132	0.5001	0.5400	0.5803	0.5117	0.5209	0.5216	0.4018	0.3917	0.5179	0.5005	0.5066	0.5718	0.5409	0.7316	0.5254	0.5114	0.4272	0.4364	0.4233	0.4605	0.4722	0.5139	0.4282	0.4593	0.4678	0.5044	0.4491	0.3248	0.4439	0.4546	0.3695	0.4993	0.3853	0.2330	0.2747	0.4486	1.0000	0.2809	0.3021
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1218	0.3961	0.4079	0.4077	0.4790	0.4918	0.4671	0.4900	0.4693	0.3466	0.3246	0.5181	0.4860	0.5060	0.5421	0.4990	0.4460	0.4946	0.4534	0.3709	0.3604	0.3702	0.4100	0.4405	0.4216	0.3328	0.3716	0.3835	0.4763	0.4340	0.3396	0.3422	0.4431	0.3906	0.4237	0.3302	0.2479	0.3154	0.3114	0.2809	1.0000	0.3168
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1358	0.3066	0.3290	0.2981	0.4464	0.4112	0.3862	0.4303	0.3976	0.3630	0.3130	0.5506	0.4905	0.5137	0.6142	0.4752	0.4307	0.4436	0.4069	0.3830	0.3691	0.3950	0.4195	0.4545	0.3995	0.3429	0.3560	0.3501	0.5100	0.4527	0.3575	0.3881	0.4531	0.4213	0.5003	0.2560	0.2676	0.3350	0.3479	0.3021	0.3168	1.0000
