#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5168	0.6214	0.5776	0.5969	0.8197	0.8423	0.8414	0.8315	0.8684	0.8778	1.0000	0.9320	0.9210	0.9260	0.9218	0.9086	0.9250	0.9367	0.9255	0.9154	0.9027	0.8830	0.8824	0.8194	0.8252	0.8526	0.8227	0.8262	0.8145	0.8068	0.8302	0.8298	0.8014	0.7978	0.8568	0.8535	0.8662	0.9094	0.9327	0.7447	0.8113	0.7921
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4997	0.6032	0.5612	0.5787	0.8172	0.8316	0.8377	0.8331	0.8550	0.8624	0.9320	1.0000	0.9032	0.9156	0.9089	0.8993	0.9162	0.9251	0.9198	0.9033	0.8952	0.8765	0.8762	0.8164	0.7989	0.8388	0.8101	0.8110	0.7974	0.7892	0.8084	0.8111	0.7852	0.7823	0.8346	0.8438	0.8440	0.8885	0.9118	0.7257	0.7892	0.7729
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4757	0.5777	0.5372	0.5552	0.8343	0.8444	0.8409	0.8412	0.8461	0.8526	0.9210	0.9032	1.0000	0.9038	0.9062	0.8971	0.9120	0.9218	0.9177	0.9078	0.8936	0.8837	0.8779	0.8098	0.8014	0.8371	0.7902	0.7953	0.7796	0.7629	0.7922	0.7887	0.7627	0.7590	0.8260	0.8194	0.8316	0.8694	0.8851	0.7103	0.7764	0.7552
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4683	0.5718	0.5299	0.5475	0.8300	0.8374	0.8429	0.8448	0.8502	0.8589	0.9260	0.9156	0.9038	1.0000	0.9115	0.8989	0.9178	0.9224	0.9241	0.9048	0.8980	0.8822	0.8825	0.8144	0.8051	0.8282	0.7933	0.7971	0.7818	0.7695	0.7934	0.7931	0.7678	0.7649	0.8192	0.8305	0.8316	0.8768	0.8964	0.7024	0.7677	0.7510
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4634	0.5682	0.5246	0.5418	0.8461	0.8362	0.8797	0.8920	0.8832	0.8909	0.9218	0.9089	0.9062	0.9115	1.0000	0.9269	0.9244	0.9313	0.9294	0.9020	0.8927	0.8954	0.8912	0.8364	0.8130	0.8167	0.8291	0.8200	0.8003	0.8022	0.8247	0.8179	0.7948	0.7942	0.8153	0.8458	0.8622	0.9147	0.8875	0.6973	0.7681	0.7480
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4476	0.5539	0.5097	0.5275	0.8637	0.8528	0.8755	0.8852	0.8671	0.8654	0.9086	0.8993	0.8971	0.8989	0.9269	1.0000	0.9152	0.9227	0.9237	0.9116	0.9050	0.9020	0.8942	0.8294	0.8003	0.8239	0.8108	0.8068	0.7896	0.7718	0.8022	0.7951	0.7693	0.7717	0.8156	0.8381	0.8420	0.8788	0.8697	0.6894	0.7580	0.7316
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4581	0.5644	0.5221	0.5409	0.8584	0.8588	0.8665	0.8712	0.8570	0.8611	0.9250	0.9162	0.9120	0.9178	0.9244	0.9152	1.0000	0.9322	0.9347	0.9217	0.9119	0.9023	0.8995	0.8253	0.8072	0.8417	0.7977	0.8015	0.7828	0.7655	0.7928	0.7916	0.7657	0.7623	0.8261	0.8277	0.8341	0.8770	0.8884	0.7044	0.7702	0.7495
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4649	0.5755	0.5296	0.5489	0.8597	0.8647	0.8682	0.8761	0.8708	0.8689	0.9367	0.9251	0.9218	0.9224	0.9313	0.9227	0.9322	1.0000	0.9440	0.9330	0.9216	0.9115	0.9047	0.8392	0.8207	0.8466	0.8186	0.8142	0.7969	0.7759	0.8067	0.8009	0.7780	0.7720	0.8351	0.8479	0.8466	0.8929	0.8975	0.7118	0.7806	0.7573
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4098	0.5210	0.4773	0.4961	0.8930	0.8785	0.8806	0.9015	0.8562	0.8602	0.9255	0.9198	0.9177	0.9241	0.9294	0.9237	0.9347	0.9440	1.0000	0.9370	0.9283	0.9267	0.9168	0.8372	0.8088	0.8382	0.7860	0.7843	0.7620	0.7365	0.7654	0.7639	0.7439	0.7417	0.8065	0.8189	0.8129	0.8597	0.8787	0.6725	0.7420	0.7195
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3949	0.5111	0.4644	0.4872	0.8884	0.8901	0.8594	0.8700	0.8361	0.8305	0.9154	0.9033	0.9078	0.9048	0.9020	0.9116	0.9217	0.9330	0.9370	1.0000	0.9333	0.9229	0.8995	0.8178	0.8095	0.8440	0.7662	0.7747	0.7535	0.7066	0.7477	0.7435	0.7212	0.7145	0.8131	0.7995	0.8016	0.8328	0.8656	0.6759	0.7427	0.7137
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3948	0.5111	0.4628	0.4851	0.8773	0.8761	0.8535	0.8674	0.8285	0.8217	0.9027	0.8952	0.8936	0.8980	0.8927	0.9050	0.9119	0.9216	0.9283	0.9333	1.0000	0.9110	0.8969	0.8162	0.8075	0.8313	0.7598	0.7730	0.7554	0.7104	0.7510	0.7451	0.7170	0.7126	0.8024	0.7948	0.7985	0.8271	0.8574	0.6666	0.7322	0.7044
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3539	0.4660	0.4216	0.4413	0.8965	0.8720	0.8622	0.8876	0.8229	0.8194	0.8830	0.8765	0.8837	0.8822	0.8954	0.9020	0.9023	0.9115	0.9267	0.9229	0.9110	1.0000	0.8939	0.8092	0.7846	0.8095	0.7462	0.7473	0.7218	0.6811	0.7192	0.7143	0.6960	0.6939	0.7697	0.7749	0.7726	0.8079	0.8276	0.6289	0.6962	0.6677
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3789	0.4836	0.4417	0.4582	0.8814	0.8514	0.8644	0.8876	0.8316	0.8277	0.8824	0.8762	0.8779	0.8825	0.8912	0.8942	0.8995	0.9047	0.9168	0.8995	0.8969	0.8939	1.0000	0.8190	0.7728	0.7974	0.7645	0.7534	0.7311	0.7052	0.7336	0.7300	0.7142	0.7153	0.7658	0.8007	0.7760	0.8219	0.8296	0.6273	0.6979	0.6683
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4494	0.5380	0.5021	0.5160	0.7741	0.7660	0.7978	0.8033	0.7827	0.7721	0.8194	0.8164	0.8098	0.8144	0.8364	0.8294	0.8253	0.8392	0.8372	0.8178	0.8162	0.8092	0.8190	1.0000	0.7334	0.7518	0.7464	0.7369	0.7279	0.7104	0.7345	0.7308	0.7058	0.7058	0.7421	0.7891	0.7596	0.7983	0.7879	0.6424	0.6994	0.6827
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4862	0.5748	0.5344	0.5547	0.7367	0.7564	0.7439	0.7395	0.7481	0.7410	0.8252	0.7989	0.8014	0.8051	0.8130	0.8003	0.8072	0.8207	0.8088	0.8095	0.8075	0.7846	0.7728	0.7334	1.0000	0.7637	0.7038	0.7351	0.7309	0.7014	0.7377	0.7337	0.6882	0.6756	0.7682	0.7401	0.7712	0.7899	0.7926	0.6802	0.7301	0.7198
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5477	0.6317	0.6033	0.6192	0.7621	0.7945	0.7732	0.7560	0.7709	0.7672	0.8526	0.8388	0.8371	0.8282	0.8167	0.8239	0.8417	0.8466	0.8382	0.8440	0.8313	0.8095	0.7974	0.7518	0.7637	1.0000	0.7309	0.7536	0.7477	0.7242	0.7525	0.7574	0.7162	0.7086	0.8283	0.7658	0.7818	0.8009	0.8302	0.7463	0.7893	0.7779
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5712	0.6439	0.6124	0.6230	0.6755	0.6984	0.7514	0.7400	0.8240	0.8120	0.8227	0.8101	0.7902	0.7933	0.8291	0.8108	0.7977	0.8186	0.7860	0.7662	0.7598	0.7462	0.7645	0.7464	0.7038	0.7309	1.0000	0.7907	0.7869	0.8111	0.8194	0.8088	0.7952	0.7996	0.7772	0.8433	0.8251	0.8745	0.8139	0.7050	0.7591	0.7452
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5999	0.6756	0.6424	0.6566	0.6738	0.7095	0.7390	0.7142	0.7952	0.7859	0.8262	0.8110	0.7953	0.7971	0.8200	0.8068	0.8015	0.8142	0.7843	0.7747	0.7730	0.7473	0.7534	0.7369	0.7351	0.7536	0.7907	1.0000	0.8040	0.8107	0.8319	0.8216	0.7809	0.7748	0.7997	0.8091	0.8375	0.8633	0.8243	0.7414	0.7863	0.7762
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6430	0.7137	0.6820	0.6954	0.6422	0.6876	0.7189	0.6883	0.7814	0.7692	0.8145	0.7974	0.7796	0.7818	0.8003	0.7896	0.7828	0.7969	0.7620	0.7535	0.7554	0.7218	0.7311	0.7279	0.7309	0.7477	0.7869	0.8040	1.0000	0.8221	0.8452	0.8327	0.7840	0.7789	0.8063	0.8127	0.8439	0.8603	0.8203	0.7616	0.8024	0.7948
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6976	0.7546	0.7289	0.7350	0.5943	0.6383	0.7096	0.6696	0.7897	0.7928	0.8068	0.7892	0.7629	0.7695	0.8022	0.7718	0.7655	0.7759	0.7365	0.7066	0.7104	0.6811	0.7052	0.7104	0.7014	0.7242	0.8111	0.8107	0.8221	1.0000	0.8745	0.8719	0.8242	0.8240	0.7999	0.8245	0.8567	0.8924	0.8280	0.7704	0.8117	0.8096
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6862	0.7542	0.7232	0.7342	0.6317	0.6776	0.7275	0.6924	0.8061	0.7999	0.8302	0.8084	0.7922	0.7934	0.8247	0.8022	0.7928	0.8067	0.7654	0.7477	0.7510	0.7192	0.7336	0.7345	0.7377	0.7525	0.8194	0.8319	0.8452	0.8745	1.0000	0.8821	0.8257	0.8206	0.8278	0.8373	0.8824	0.9062	0.8427	0.7904	0.8317	0.8262
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6913	0.7554	0.7271	0.7372	0.6293	0.6760	0.7259	0.6871	0.7976	0.7955	0.8298	0.8111	0.7887	0.7931	0.8179	0.7951	0.7916	0.8009	0.7639	0.7435	0.7451	0.7143	0.7300	0.7308	0.7337	0.7574	0.8088	0.8216	0.8327	0.8719	0.8821	1.0000	0.8196	0.8147	0.8265	0.8317	0.8679	0.8945	0.8440	0.7905	0.8293	0.8280
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6285	0.6889	0.6635	0.6705	0.6174	0.6519	0.7093	0.6783	0.7843	0.7859	0.8014	0.7852	0.7627	0.7678	0.7948	0.7693	0.7657	0.7780	0.7439	0.7212	0.7170	0.6960	0.7142	0.7058	0.6882	0.7162	0.7952	0.7809	0.7840	0.8242	0.8257	0.8196	1.0000	0.7946	0.7730	0.8048	0.8213	0.8590	0.8108	0.7248	0.7705	0.7648
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6182	0.6787	0.6529	0.6596	0.6164	0.6483	0.7092	0.6829	0.7911	0.7980	0.7978	0.7823	0.7590	0.7649	0.7942	0.7717	0.7623	0.7720	0.7417	0.7145	0.7126	0.6939	0.7153	0.7058	0.6756	0.7086	0.7996	0.7748	0.7789	0.8240	0.8206	0.8147	0.7946	1.0000	0.7662	0.8136	0.8176	0.8564	0.8082	0.7149	0.7625	0.7552
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6505	0.7325	0.6989	0.7152	0.6989	0.7534	0.7480	0.7121	0.7888	0.7811	0.8568	0.8346	0.8260	0.8192	0.8153	0.8156	0.8261	0.8351	0.8065	0.8131	0.8024	0.7697	0.7658	0.7421	0.7682	0.8283	0.7772	0.7997	0.8063	0.7999	0.8278	0.8265	0.7730	0.7662	1.0000	0.8073	0.8399	0.8548	0.8511	0.8114	0.8502	0.8389
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5869	0.6649	0.6316	0.6442	0.7014	0.7303	0.7722	0.7609	0.8379	0.8241	0.8535	0.8438	0.8194	0.8305	0.8458	0.8381	0.8277	0.8479	0.8189	0.7995	0.7948	0.7749	0.8007	0.7891	0.7401	0.7658	0.8433	0.8091	0.8127	0.8245	0.8373	0.8317	0.8048	0.8136	0.8073	1.0000	0.8442	0.8879	0.8472	0.7318	0.7863	0.7719
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6322	0.7144	0.6771	0.6924	0.6902	0.7288	0.7646	0.7353	0.8296	0.8271	0.8662	0.8440	0.8316	0.8316	0.8622	0.8420	0.8341	0.8466	0.8129	0.8016	0.7985	0.7726	0.7760	0.7596	0.7712	0.7818	0.8251	0.8375	0.8439	0.8567	0.8824	0.8679	0.8213	0.8176	0.8399	0.8442	1.0000	0.9123	0.8697	0.7811	0.8308	0.8199
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6217	0.7088	0.6694	0.6838	0.7259	0.7556	0.8094	0.7900	0.8805	0.8817	0.9094	0.8885	0.8694	0.8768	0.9147	0.8788	0.8770	0.8929	0.8597	0.8328	0.8271	0.8079	0.8219	0.7983	0.7899	0.8009	0.8745	0.8633	0.8603	0.8924	0.9062	0.8945	0.8590	0.8564	0.8548	0.8879	0.9123	1.0000	0.9065	0.7807	0.8405	0.8287
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5681	0.6674	0.6247	0.6426	0.7462	0.7844	0.7892	0.7648	0.8405	0.8597	0.9327	0.9118	0.8851	0.8964	0.8875	0.8697	0.8884	0.8975	0.8787	0.8656	0.8574	0.8276	0.8296	0.7879	0.7926	0.8302	0.8139	0.8243	0.8203	0.8280	0.8427	0.8440	0.8108	0.8082	0.8511	0.8472	0.8697	0.9065	1.0000	0.7644	0.8250	0.8113
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7507	0.7958	0.7813	0.7933	0.5413	0.6217	0.6231	0.5652	0.6842	0.6729	0.7447	0.7257	0.7103	0.7024	0.6973	0.6894	0.7044	0.7118	0.6725	0.6759	0.6666	0.6289	0.6273	0.6424	0.6802	0.7463	0.7050	0.7414	0.7616	0.7704	0.7904	0.7905	0.7248	0.7149	0.8114	0.7318	0.7811	0.7807	0.7644	1.0000	0.8332	0.8461
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7242	0.7873	0.7627	0.7764	0.6105	0.6805	0.6890	0.6374	0.7486	0.7411	0.8113	0.7892	0.7764	0.7677	0.7681	0.7580	0.7702	0.7806	0.7420	0.7427	0.7322	0.6962	0.6979	0.6994	0.7301	0.7893	0.7591	0.7863	0.8024	0.8117	0.8317	0.8293	0.7705	0.7625	0.8502	0.7863	0.8308	0.8405	0.8250	0.8332	1.0000	0.8609
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7563	0.8053	0.7915	0.8027	0.5751	0.6525	0.6625	0.6087	0.7294	0.7231	0.7921	0.7729	0.7552	0.7510	0.7480	0.7316	0.7495	0.7573	0.7195	0.7137	0.7044	0.6677	0.6683	0.6827	0.7198	0.7779	0.7452	0.7762	0.7948	0.8096	0.8262	0.8280	0.7648	0.7552	0.8389	0.7719	0.8199	0.8287	0.8113	0.8461	0.8609	1.0000
