#plotCorrelation --outFileCorMatrix
	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2178	0.4803	0.3255	0.4884	0.3868	0.5031	0.4928	0.4440	0.4380	0.5346	0.6937	0.6190	0.6564	0.5755	1.0000	0.5760	0.5928	0.5828	0.6001	0.5975	0.6925	0.7252	0.7267	0.6800	0.6522	0.7020	0.7111	0.7041	0.6963	0.6965	0.6807	0.6293	0.6687	0.7006	0.6722	0.7033	0.6921	0.6874	0.7229	0.6926	0.5690	0.5715
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1337	0.5327	0.6830	0.7057	0.7491	0.7831	0.7333	0.7492	0.6789	0.6302	0.6507	0.6420	0.6114	0.6047	0.5760	1.0000	0.7659	0.7923	0.7973	0.7175	0.7228	0.7610	0.7973	0.7776	0.7641	0.7991	0.7677	0.7743	0.7836	0.7642	0.7316	0.8127	0.8437	0.7869	0.7883	0.8731	0.8877	0.8090	0.8000	0.8013	0.4980	0.4689
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1979	0.5656	0.6189	0.6874	0.7216	0.7609	0.8140	0.7755	0.8070	0.6393	0.6856	0.6878	0.6819	0.6144	0.5928	0.7659	1.0000	0.7881	0.8013	0.7036	0.7029	0.7467	0.7892	0.7741	0.7513	0.7863	0.7601	0.7660	0.7694	0.7485	0.7612	0.8213	0.8269	0.8070	0.8157	0.8351	0.8037	0.7890	0.8010	0.7894	0.5680	0.4450
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1657	0.6004	0.6300	0.6656	0.7528	0.8259	0.8083	0.7902	0.7638	0.7399	0.6531	0.5837	0.6198	0.6911	0.5828	0.7923	0.7881	1.0000	0.9068	0.7881	0.6960	0.7245	0.7771	0.8226	0.8193	0.8344	0.7735	0.7680	0.8062	0.7807	0.7667	0.8034	0.8672	0.8456	0.7629	0.8006	0.8338	0.7960	0.7690	0.7296	0.5106	0.3347
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1925	0.6756	0.6697	0.6873	0.7560	0.8468	0.8347	0.8107	0.7902	0.8250	0.6681	0.6621	0.7241	0.6470	0.6001	0.7973	0.8013	0.9068	1.0000	0.7811	0.7291	0.7552	0.7842	0.7908	0.8113	0.8319	0.7602	0.7615	0.8003	0.7986	0.7984	0.9040	0.9050	0.8579	0.8538	0.8524	0.8402	0.8410	0.8205	0.7904	0.5627	0.4397
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1200	0.4461	0.3778	0.5474	0.5217	0.6501	0.5799	0.5889	0.5541	0.6665	0.6909	0.6017	0.6006	0.6633	0.5975	0.7175	0.7036	0.7881	0.7811	1.0000	0.8263	0.8006	0.8378	0.9025	0.9131	0.9037	0.8450	0.8706	0.8933	0.8893	0.7038	0.7011	0.8032	0.8083	0.7443	0.7863	0.8304	0.7752	0.7540	0.7333	0.4957	0.4787
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1386	0.4614	0.2882	0.5523	0.4016	0.5678	0.4981	0.4757	0.4557	0.6558	0.8633	0.7615	0.7800	0.7028	0.6925	0.7228	0.7029	0.6960	0.7291	0.8263	1.0000	0.9618	0.9411	0.9097	0.9289	0.9446	0.9213	0.9438	0.9515	0.9699	0.7843	0.7879	0.8564	0.8553	0.8346	0.8868	0.8966	0.8613	0.8757	0.8821	0.6346	0.8264
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1444	0.5197	0.3652	0.6137	0.4402	0.5867	0.5842	0.5179	0.5173	0.6665	0.8960	0.7961	0.8224	0.7438	0.7252	0.7610	0.7467	0.7245	0.7552	0.8006	0.9618	1.0000	0.9718	0.9109	0.8864	0.9352	0.9577	0.9451	0.9427	0.9366	0.8229	0.8310	0.8616	0.8720	0.8947	0.9257	0.9397	0.9054	0.9233	0.9181	0.6463	0.8043
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1517	0.5265	0.4217	0.6549	0.4990	0.6303	0.6315	0.5619	0.5583	0.6832	0.8909	0.7884	0.8081	0.7574	0.7267	0.7973	0.7892	0.7771	0.7842	0.8378	0.9411	0.9718	1.0000	0.9492	0.9100	0.9540	0.9728	0.9746	0.9601	0.9427	0.8368	0.8250	0.8768	0.8753	0.8965	0.9317	0.9511	0.9170	0.9301	0.9212	0.6394	0.7142
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1368	0.4672	0.3793	0.6058	0.5169	0.6454	0.6106	0.5820	0.5680	0.6985	0.8034	0.6899	0.6876	0.7468	0.6800	0.7776	0.7741	0.8226	0.7908	0.9025	0.9097	0.9109	0.9492	1.0000	0.9660	0.9748	0.9625	0.9753	0.9766	0.9564	0.7836	0.7502	0.8495	0.8592	0.8327	0.8674	0.9260	0.8647	0.8481	0.8266	0.5634	0.5664
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1333	0.4688	0.3670	0.5823	0.5295	0.6746	0.5871	0.6004	0.5666	0.7121	0.7688	0.6759	0.6740	0.7184	0.6522	0.7641	0.7513	0.8193	0.8113	0.9131	0.9289	0.8864	0.9100	0.9660	1.0000	0.9762	0.9124	0.9468	0.9689	0.9755	0.7640	0.7643	0.8711	0.8684	0.8114	0.8585	0.8962	0.8427	0.8235	0.8130	0.5588	0.5950
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1427	0.5204	0.4135	0.6292	0.5559	0.6974	0.6345	0.6294	0.5999	0.7420	0.8271	0.7303	0.7424	0.7493	0.7020	0.7991	0.7863	0.8344	0.8319	0.9037	0.9446	0.9352	0.9540	0.9748	0.9762	1.0000	0.9505	0.9692	0.9824	0.9822	0.8138	0.8093	0.8968	0.9110	0.8632	0.9127	0.9349	0.8935	0.8836	0.8689	0.6009	0.6486
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1448	0.4949	0.3671	0.6258	0.4574	0.5882	0.5972	0.5233	0.5247	0.6812	0.8634	0.7402	0.7576	0.7556	0.7111	0.7677	0.7601	0.7735	0.7602	0.8450	0.9213	0.9577	0.9728	0.9625	0.9124	0.9505	1.0000	0.9682	0.9594	0.9332	0.8066	0.7723	0.8354	0.8511	0.8591	0.8884	0.9503	0.9002	0.8942	0.8727	0.6020	0.6609
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1386	0.4778	0.3575	0.6061	0.4663	0.6041	0.5752	0.5312	0.5190	0.6885	0.8627	0.7468	0.7582	0.7509	0.7041	0.7743	0.7660	0.7680	0.7615	0.8706	0.9438	0.9451	0.9746	0.9753	0.9468	0.9692	0.9682	1.0000	0.9747	0.9664	0.8016	0.7659	0.8502	0.8527	0.8531	0.8912	0.9256	0.8861	0.8839	0.8778	0.6071	0.6721
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1402	0.4900	0.3752	0.6103	0.5059	0.6492	0.6003	0.5761	0.5572	0.7058	0.8357	0.7308	0.7362	0.7493	0.6963	0.7836	0.7694	0.8062	0.8003	0.8933	0.9515	0.9427	0.9601	0.9766	0.9689	0.9824	0.9594	0.9747	1.0000	0.9764	0.8035	0.7922	0.8772	0.8818	0.8562	0.8975	0.9357	0.8847	0.8775	0.8659	0.5986	0.6649
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1388	0.4837	0.3469	0.5808	0.4910	0.6478	0.5638	0.5660	0.5347	0.7385	0.8339	0.7342	0.7472	0.7262	0.6965	0.7642	0.7485	0.7807	0.7986	0.8893	0.9699	0.9366	0.9427	0.9564	0.9755	0.9822	0.9332	0.9664	0.9764	1.0000	0.7928	0.7879	0.8801	0.8879	0.8405	0.8922	0.9102	0.8725	0.8681	0.8640	0.6073	0.7130
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4589	0.6231	0.5068	0.6415	0.5668	0.7043	0.6790	0.6175	0.6087	0.6586	0.7929	0.7645	0.8072	0.6875	0.6807	0.7316	0.7612	0.7667	0.7984	0.7038	0.7843	0.8229	0.8368	0.7836	0.7640	0.8138	0.8066	0.8016	0.8035	0.7928	1.0000	0.8183	0.8530	0.8589	0.8313	0.8477	0.8263	0.8301	0.8978	0.8311	0.8108	0.6139
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1739	0.6739	0.6839	0.7212	0.7223	0.8052	0.8365	0.7781	0.7863	0.6786	0.7482	0.7577	0.8139	0.6519	0.6293	0.8127	0.8213	0.8034	0.9040	0.7011	0.7879	0.8310	0.8250	0.7502	0.7643	0.8093	0.7723	0.7659	0.7922	0.7879	0.8183	1.0000	0.9175	0.8521	0.9320	0.9209	0.8704	0.8740	0.8861	0.8825	0.6131	0.6317
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2138	0.6281	0.6250	0.7043	0.7257	0.8638	0.7743	0.7656	0.7240	0.7139	0.7780	0.7522	0.7807	0.6943	0.6687	0.8437	0.8269	0.8672	0.9050	0.8032	0.8564	0.8616	0.8768	0.8495	0.8711	0.8968	0.8354	0.8502	0.8772	0.8801	0.8530	0.9175	1.0000	0.9129	0.8784	0.9280	0.9007	0.8819	0.8934	0.8848	0.6607	0.6324
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2863	0.6068	0.5125	0.6360	0.6633	0.8043	0.7247	0.7418	0.7117	0.7355	0.7835	0.7405	0.7670	0.6966	0.7006	0.7869	0.8070	0.8456	0.8579	0.8083	0.8553	0.8720	0.8753	0.8592	0.8684	0.9110	0.8511	0.8527	0.8818	0.8879	0.8589	0.8521	0.9129	1.0000	0.8550	0.9094	0.8713	0.8539	0.8860	0.8477	0.6910	0.6328
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1906	0.6207	0.5536	0.6808	0.6009	0.7156	0.7538	0.6903	0.7065	0.6696	0.8106	0.7960	0.8276	0.6950	0.6722	0.7883	0.8157	0.7629	0.8538	0.7443	0.8346	0.8947	0.8965	0.8327	0.8114	0.8632	0.8591	0.8531	0.8562	0.8405	0.8313	0.9320	0.8784	0.8550	1.0000	0.9429	0.8916	0.8957	0.9142	0.8973	0.6383	0.6455
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1672	0.6117	0.6004	0.7321	0.6666	0.7740	0.7493	0.7262	0.7006	0.6973	0.8349	0.8023	0.8134	0.6989	0.7033	0.8731	0.8351	0.8006	0.8524	0.7863	0.8868	0.9257	0.9317	0.8674	0.8585	0.9127	0.8884	0.8912	0.8975	0.8922	0.8477	0.9209	0.9280	0.9094	0.9429	1.0000	0.9377	0.9180	0.9399	0.9370	0.6457	0.6937
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1447	0.5593	0.5425	0.7193	0.6108	0.7073	0.7070	0.6523	0.6276	0.7020	0.8228	0.7471	0.7536	0.7502	0.6921	0.8877	0.8037	0.8338	0.8402	0.8304	0.8966	0.9397	0.9511	0.9260	0.8962	0.9349	0.9503	0.9256	0.9357	0.9102	0.8263	0.8704	0.9007	0.8713	0.8916	0.9377	1.0000	0.9300	0.9165	0.9069	0.5939	0.6459
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1564	0.6149	0.5557	0.7285	0.5914	0.6975	0.7087	0.6418	0.6201	0.7193	0.8342	0.7671	0.8242	0.7256	0.6874	0.8090	0.7890	0.7960	0.8410	0.7752	0.8613	0.9054	0.9170	0.8647	0.8427	0.8935	0.9002	0.8861	0.8847	0.8725	0.8301	0.8740	0.8819	0.8539	0.8957	0.9180	0.9300	1.0000	0.9181	0.9089	0.6185	0.6575
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3328	0.6259	0.5354	0.7147	0.5672	0.6985	0.6984	0.6234	0.6131	0.6881	0.8731	0.8271	0.8615	0.7280	0.7229	0.8000	0.8010	0.7690	0.8205	0.7540	0.8757	0.9233	0.9301	0.8481	0.8235	0.8836	0.8942	0.8839	0.8775	0.8681	0.8978	0.8861	0.8934	0.8860	0.9142	0.9399	0.9165	0.9181	1.0000	0.9309	0.7650	0.7121
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1616	0.5897	0.5318	0.7276	0.5551	0.6696	0.6753	0.6101	0.5877	0.6477	0.8618	0.8403	0.8497	0.7070	0.6926	0.8013	0.7894	0.7296	0.7904	0.7333	0.8821	0.9181	0.9212	0.8266	0.8130	0.8689	0.8727	0.8778	0.8659	0.8640	0.8311	0.8825	0.8848	0.8477	0.8973	0.9370	0.9069	0.9089	0.9309	1.0000	0.6581	0.7610
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7451	0.5050	0.2970	0.4514	0.3386	0.5113	0.4269	0.3800	0.3714	0.4721	0.6730	0.6865	0.7007	0.5321	0.5690	0.4980	0.5680	0.5106	0.5627	0.4957	0.6346	0.6463	0.6394	0.5634	0.5588	0.6009	0.6020	0.6071	0.5986	0.6073	0.8108	0.6131	0.6607	0.6910	0.6383	0.6457	0.5939	0.6185	0.7650	0.6581	1.0000	0.5873
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1096	0.3586	0.1177	0.3712	0.1357	0.2977	0.2460	0.1974	0.1880	0.4150	0.7807	0.7042	0.7586	0.5250	0.5715	0.4689	0.4450	0.3347	0.4397	0.4787	0.8264	0.8043	0.7142	0.5664	0.5950	0.6486	0.6609	0.6721	0.6649	0.7130	0.6139	0.6317	0.6324	0.6328	0.6455	0.6937	0.6459	0.6575	0.7121	0.7610	0.5873	1.0000
