#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5801	0.6759	0.6475	0.6316	0.7784	0.7677	0.7885	0.7953	0.8334	0.8433	1.0000	0.7718	0.7673	0.7763	0.8446	0.8784	0.7984	0.7239	0.7797	0.7709	0.5810	0.5217	0.6996	0.6725	0.6785	0.6612	0.6369	0.6464	0.6123	0.7544	0.7827	0.7762	0.7410	0.7302	0.7371	0.7307	0.7510	0.7519	0.7493	0.6581	0.6637	0.6736
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5122	0.5959	0.5699	0.5599	0.7140	0.7360	0.7463	0.7200	0.7696	0.7649	0.7718	1.0000	0.7335	0.7083	0.7669	0.8160	0.7570	0.6431	0.7049	0.6959	0.5506	0.5055	0.6716	0.6397	0.6364	0.6357	0.6091	0.6247	0.5924	0.7248	0.7455	0.7361	0.7005	0.6930	0.7036	0.6964	0.7134	0.7234	0.7292	0.6206	0.6021	0.6325
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5018	0.5858	0.5588	0.5494	0.7090	0.7422	0.7594	0.7155	0.7709	0.7594	0.7673	0.7335	1.0000	0.7040	0.7651	0.8145	0.7559	0.6334	0.6970	0.6858	0.5487	0.5075	0.6707	0.6339	0.6332	0.6393	0.6080	0.6266	0.5997	0.7227	0.7427	0.7371	0.7054	0.6900	0.7018	0.6941	0.7080	0.7330	0.7455	0.6227	0.5880	0.6253
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5195	0.6326	0.6090	0.5862	0.7388	0.7212	0.7550	0.7445	0.7408	0.7719	0.7763	0.7083	0.7040	1.0000	0.7927	0.8210	0.8126	0.7405	0.7954	0.7808	0.6803	0.6133	0.7602	0.7588	0.7458	0.7079	0.7060	0.6770	0.6462	0.7925	0.8213	0.7760	0.7640	0.7801	0.7761	0.7791	0.7933	0.7397	0.7375	0.6703	0.6985	0.7671
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5085	0.6230	0.5917	0.5704	0.7867	0.7764	0.7988	0.7947	0.8112	0.8252	0.8446	0.7669	0.7651	0.7927	1.0000	0.8872	0.8341	0.7112	0.7790	0.7629	0.6483	0.5986	0.7615	0.7431	0.7408	0.7166	0.7068	0.6954	0.6680	0.8007	0.8299	0.8257	0.7938	0.7824	0.7872	0.7851	0.8030	0.7838	0.7853	0.6915	0.7069	0.7139
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5031	0.6245	0.5897	0.5694	0.8227	0.8384	0.8554	0.8208	0.8593	0.8640	0.8784	0.8160	0.8145	0.8210	0.8872	1.0000	0.8838	0.7204	0.8006	0.7828	0.6866	0.6482	0.8219	0.7868	0.7816	0.7759	0.7543	0.7544	0.7363	0.8599	0.8874	0.8911	0.8434	0.8325	0.8460	0.8425	0.8635	0.8474	0.8517	0.7424	0.7375	0.7469
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4294	0.5656	0.5316	0.5069	0.7726	0.7651	0.8060	0.7681	0.7787	0.7986	0.7984	0.7570	0.7559	0.8126	0.8341	0.8838	1.0000	0.6958	0.7770	0.7568	0.7228	0.6766	0.8468	0.8273	0.8159	0.7851	0.7795	0.7313	0.7107	0.8868	0.9139	0.8629	0.8341	0.8540	0.8688	0.8575	0.8697	0.8010	0.8298	0.7284	0.7340	0.7827
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6557	0.7180	0.7149	0.6991	0.6588	0.6232	0.6530	0.6826	0.6993	0.7215	0.7239	0.6431	0.6334	0.7405	0.7112	0.7204	0.6958	1.0000	0.7710	0.7893	0.5021	0.4000	0.5804	0.5741	0.5628	0.5219	0.5165	0.5083	0.4499	0.6459	0.6702	0.6173	0.5928	0.6238	0.6197	0.6147	0.6278	0.5993	0.5932	0.5360	0.5782	0.6532
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6196	0.7079	0.6930	0.6738	0.7199	0.6958	0.7255	0.7379	0.7554	0.7744	0.7797	0.7049	0.6970	0.7954	0.7790	0.8006	0.7770	0.7710	1.0000	0.8098	0.5821	0.4939	0.6734	0.6640	0.6514	0.6162	0.6071	0.5967	0.5458	0.7311	0.7598	0.7119	0.6855	0.7127	0.7069	0.7036	0.7199	0.6849	0.6832	0.6125	0.6465	0.7134
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6645	0.7334	0.7301	0.7139	0.7048	0.6746	0.7047	0.7269	0.7501	0.7701	0.7709	0.6959	0.6858	0.7808	0.7629	0.7828	0.7568	0.7893	0.8098	1.0000	0.5436	0.4459	0.6417	0.6246	0.6130	0.5760	0.5684	0.5610	0.5063	0.7075	0.7318	0.6827	0.6492	0.6824	0.6819	0.6738	0.6866	0.6574	0.6567	0.5901	0.6311	0.6982
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1419	0.2816	0.2565	0.2292	0.6227	0.6147	0.6522	0.5922	0.5304	0.5773	0.5810	0.5506	0.5487	0.6803	0.6483	0.6866	0.7228	0.5021	0.5821	0.5436	1.0000	0.8261	0.8467	0.8581	0.8412	0.8126	0.8362	0.7658	0.7966	0.7844	0.7966	0.7955	0.8103	0.8002	0.7944	0.8183	0.8261	0.7119	0.7075	0.7000	0.6869	0.7321
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0239	0.1684	0.1365	0.1132	0.5775	0.5841	0.6147	0.5364	0.4739	0.5181	0.5217	0.5055	0.5075	0.6133	0.5986	0.6482	0.6766	0.4000	0.4939	0.4459	0.8261	1.0000	0.8658	0.8595	0.8481	0.8518	0.8693	0.8138	0.8779	0.7683	0.7719	0.8068	0.8249	0.7888	0.7873	0.8200	0.8219	0.7060	0.7032	0.7130	0.6679	0.6963
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2278	0.3789	0.3444	0.3189	0.7234	0.7279	0.7694	0.6955	0.6614	0.6976	0.6996	0.6716	0.6707	0.7602	0.7615	0.8219	0.8468	0.5804	0.6734	0.6417	0.8467	0.8658	1.0000	0.9220	0.9113	0.8960	0.9078	0.8480	0.8807	0.8989	0.9063	0.9133	0.9037	0.8959	0.9056	0.9176	0.9293	0.8184	0.8266	0.7939	0.7613	0.7993
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1949	0.3529	0.3206	0.2899	0.7069	0.7021	0.7425	0.6785	0.6189	0.6661	0.6725	0.6397	0.6339	0.7588	0.7431	0.7868	0.8273	0.5741	0.6640	0.6246	0.8581	0.8595	0.9220	1.0000	0.9147	0.8747	0.9020	0.8207	0.8441	0.8764	0.8915	0.8808	0.8866	0.8826	0.8815	0.9004	0.9146	0.7941	0.7920	0.7666	0.7566	0.7988
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1964	0.3543	0.3188	0.2891	0.7060	0.6956	0.7383	0.6821	0.6253	0.6695	0.6785	0.6364	0.6332	0.7458	0.7408	0.7816	0.8159	0.5628	0.6514	0.6130	0.8412	0.8481	0.9113	0.9147	1.0000	0.8722	0.8879	0.8155	0.8434	0.8649	0.8749	0.8711	0.8801	0.8656	0.8720	0.8882	0.9008	0.7861	0.7823	0.7671	0.7539	0.7826
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1886	0.3305	0.2957	0.2733	0.6857	0.7025	0.7465	0.6580	0.6237	0.6563	0.6612	0.6357	0.6393	0.7079	0.7166	0.7759	0.7851	0.5219	0.6162	0.5760	0.8126	0.8518	0.8960	0.8747	0.8722	1.0000	0.8676	0.8286	0.8638	0.8442	0.8518	0.8666	0.8679	0.8457	0.8526	0.8735	0.8803	0.7892	0.7873	0.7709	0.7154	0.7473
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1478	0.3001	0.2662	0.2397	0.6731	0.6759	0.7113	0.6408	0.5872	0.6299	0.6369	0.6091	0.6080	0.7060	0.7068	0.7543	0.7795	0.5165	0.6071	0.5684	0.8362	0.8693	0.9078	0.9020	0.8879	0.8676	1.0000	0.8243	0.8633	0.8429	0.8509	0.8699	0.8745	0.8510	0.8523	0.8752	0.8870	0.7752	0.7749	0.7576	0.7281	0.7569
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2161	0.3416	0.3074	0.2933	0.6628	0.6803	0.7068	0.6365	0.6229	0.6439	0.6464	0.6247	0.6266	0.6770	0.6954	0.7544	0.7313	0.5083	0.5967	0.5610	0.7658	0.8138	0.8480	0.8207	0.8155	0.8286	0.8243	1.0000	0.8619	0.7943	0.7981	0.8478	0.8401	0.7947	0.8025	0.8280	0.8311	0.7611	0.7587	0.7418	0.6758	0.7091
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1267	0.2608	0.2254	0.2088	0.6408	0.6715	0.6999	0.6092	0.5808	0.6055	0.6123	0.5924	0.5997	0.6462	0.6680	0.7363	0.7107	0.4499	0.5458	0.5063	0.7966	0.8779	0.8807	0.8441	0.8434	0.8638	0.8633	0.8619	1.0000	0.7978	0.7958	0.8656	0.8594	0.8032	0.8131	0.8429	0.8485	0.7695	0.7655	0.7572	0.6828	0.7020
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3410	0.4820	0.4492	0.4253	0.7562	0.7602	0.8015	0.7389	0.7285	0.7563	0.7544	0.7248	0.7227	0.7925	0.8007	0.8599	0.8868	0.6459	0.7311	0.7075	0.7844	0.7683	0.8989	0.8764	0.8649	0.8442	0.8429	0.7943	0.7978	1.0000	0.9132	0.8899	0.8724	0.8768	0.8932	0.8932	0.9049	0.8186	0.8331	0.7662	0.7443	0.7956
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3627	0.5055	0.4720	0.4458	0.7758	0.7764	0.8141	0.7612	0.7514	0.7812	0.7827	0.7455	0.7427	0.8213	0.8299	0.8874	0.9139	0.6702	0.7598	0.7318	0.7966	0.7719	0.9063	0.8915	0.8749	0.8518	0.8509	0.7981	0.7958	0.9132	1.0000	0.9068	0.8842	0.8995	0.9061	0.9045	0.9197	0.8359	0.8529	0.7695	0.7772	0.8128
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3019	0.4459	0.4085	0.3849	0.7712	0.7814	0.8038	0.7478	0.7461	0.7691	0.7762	0.7361	0.7371	0.7760	0.8257	0.8911	0.8629	0.6173	0.7119	0.6827	0.7955	0.8068	0.9133	0.8808	0.8711	0.8666	0.8699	0.8478	0.8656	0.8899	0.9068	1.0000	0.9083	0.8825	0.8935	0.9062	0.9154	0.8516	0.8622	0.7962	0.7726	0.7755
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2657	0.4121	0.3754	0.3512	0.7476	0.7565	0.7909	0.7259	0.7014	0.7310	0.7410	0.7005	0.7054	0.7640	0.7938	0.8434	0.8341	0.5928	0.6855	0.6492	0.8103	0.8249	0.9037	0.8866	0.8801	0.8679	0.8745	0.8401	0.8594	0.8724	0.8842	0.9083	1.0000	0.8669	0.8741	0.8904	0.9010	0.8306	0.8324	0.7818	0.7485	0.7729
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3063	0.4461	0.4151	0.3904	0.7340	0.7321	0.7678	0.7143	0.6917	0.7256	0.7302	0.6930	0.6900	0.7801	0.7824	0.8325	0.8540	0.6238	0.7127	0.6824	0.8002	0.7888	0.8959	0.8826	0.8656	0.8457	0.8510	0.7947	0.8032	0.8768	0.8995	0.8825	0.8669	1.0000	0.8787	0.8861	0.8995	0.8051	0.8166	0.7564	0.7476	0.7924
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3041	0.4445	0.4121	0.3876	0.7406	0.7401	0.7862	0.7222	0.7055	0.7361	0.7371	0.7036	0.7018	0.7761	0.7872	0.8460	0.8688	0.6197	0.7069	0.6819	0.7944	0.7873	0.9056	0.8815	0.8720	0.8526	0.8523	0.8025	0.8131	0.8932	0.9061	0.8935	0.8741	0.8787	1.0000	0.8970	0.9028	0.8136	0.8284	0.7661	0.7539	0.7861
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2818	0.4272	0.3946	0.3693	0.7424	0.7414	0.7781	0.7181	0.6949	0.7289	0.7307	0.6964	0.6941	0.7791	0.7851	0.8425	0.8575	0.6147	0.7036	0.6738	0.8183	0.8200	0.9176	0.9004	0.8882	0.8735	0.8752	0.8280	0.8429	0.8932	0.9045	0.9062	0.8904	0.8861	0.8970	1.0000	0.9128	0.8195	0.8283	0.7765	0.7548	0.7975
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2942	0.4454	0.4092	0.3825	0.7595	0.7687	0.8051	0.7381	0.7098	0.7428	0.7510	0.7134	0.7080	0.7933	0.8030	0.8635	0.8697	0.6278	0.7199	0.6866	0.8261	0.8219	0.9293	0.9146	0.9008	0.8803	0.8870	0.8311	0.8485	0.9049	0.9197	0.9154	0.9010	0.8995	0.9028	0.9128	1.0000	0.8365	0.8377	0.7947	0.7744	0.8057
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3455	0.4639	0.4340	0.4150	0.7376	0.7749	0.7927	0.7223	0.7302	0.7422	0.7519	0.7234	0.7330	0.7397	0.7838	0.8474	0.8010	0.5993	0.6849	0.6574	0.7119	0.7060	0.8184	0.7941	0.7861	0.7892	0.7752	0.7611	0.7695	0.8186	0.8359	0.8516	0.8306	0.8051	0.8136	0.8195	0.8365	1.0000	0.8151	0.7243	0.6861	0.7142
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3370	0.4588	0.4254	0.4091	0.7316	0.7631	0.7792	0.7133	0.7393	0.7452	0.7493	0.7292	0.7455	0.7375	0.7853	0.8517	0.8298	0.5932	0.6832	0.6567	0.7075	0.7032	0.8266	0.7920	0.7823	0.7873	0.7749	0.7587	0.7655	0.8331	0.8529	0.8622	0.8324	0.8166	0.8284	0.8283	0.8377	0.8151	1.0000	0.7148	0.6831	0.7161
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2761	0.3970	0.3676	0.3482	0.6603	0.6750	0.7286	0.6491	0.6267	0.6531	0.6581	0.6206	0.6227	0.6703	0.6915	0.7424	0.7284	0.5360	0.6125	0.5901	0.7000	0.7130	0.7939	0.7666	0.7671	0.7709	0.7576	0.7418	0.7572	0.7662	0.7695	0.7962	0.7818	0.7564	0.7661	0.7765	0.7947	0.7243	0.7148	1.0000	0.6635	0.6820
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3127	0.4344	0.4084	0.3802	0.6581	0.6269	0.6717	0.6520	0.6153	0.6560	0.6637	0.6021	0.5880	0.6985	0.7069	0.7375	0.7340	0.5782	0.6465	0.6311	0.6869	0.6679	0.7613	0.7566	0.7539	0.7154	0.7281	0.6758	0.6828	0.7443	0.7772	0.7726	0.7485	0.7476	0.7539	0.7548	0.7744	0.6861	0.6831	0.6635	1.0000	0.6911
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3809	0.4973	0.4798	0.4588	0.6750	0.6572	0.6980	0.6657	0.6378	0.6778	0.6736	0.6325	0.6253	0.7671	0.7139	0.7469	0.7827	0.6532	0.7134	0.6982	0.7321	0.6963	0.7993	0.7988	0.7826	0.7473	0.7569	0.7091	0.7020	0.7956	0.8128	0.7755	0.7729	0.7924	0.7861	0.7975	0.8057	0.7142	0.7161	0.6820	0.6911	1.0000
