#plotCorrelation --outFileCorMatrix
	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4774	0.5253	0.4817	0.5834	0.5376	0.6316	0.5281	0.8226	0.8832	0.9140	1.0000	0.8119	0.8725	0.8847	0.6248	0.7836	0.7483	0.7290	0.6628	0.6707	0.6162	0.6139	0.6855	0.7312	0.7421	0.7871	0.8239	0.8232	0.8257	0.7749	0.8146	0.7702	0.7048	0.7183	0.7139	0.2088	0.2058	0.6180	0.2965	0.3879	0.4381	0.3576
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3408	0.3397	0.3186	0.4633	0.6146	0.4572	0.3387	0.6842	0.7739	0.7889	0.8119	1.0000	0.8340	0.8329	0.4614	0.5864	0.5629	0.5579	0.4633	0.5079	0.4609	0.4103	0.5127	0.5582	0.5809	0.6193	0.6653	0.6649	0.6517	0.5674	0.6033	0.5782	0.4956	0.5014	0.5192	0.3133	0.2490	0.5540	0.2039	0.2655	0.3065	0.2359
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3348	0.3695	0.3459	0.4955	0.3969	0.4580	0.3355	0.7082	0.8208	0.8291	0.8725	0.8340	1.0000	0.9129	0.4945	0.5692	0.5372	0.5268	0.4794	0.5355	0.4822	0.4477	0.5663	0.6104	0.6432	0.6623	0.7193	0.6908	0.7087	0.5867	0.6257	0.6159	0.5176	0.4971	0.5247	0.1721	0.1525	0.6235	0.1882	0.2633	0.3276	0.2135
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3689	0.3878	0.3719	0.5568	0.4340	0.4978	0.3859	0.8126	0.8334	0.8473	0.8847	0.8329	0.9129	1.0000	0.5350	0.6470	0.5916	0.5800	0.5313	0.5540	0.5085	0.4778	0.5841	0.6250	0.6554	0.6826	0.7362	0.7167	0.7331	0.6280	0.6666	0.6386	0.5493	0.5534	0.5651	0.2280	0.1633	0.6255	0.2417	0.3014	0.3349	0.2598
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3841	0.5733	0.3970	0.4140	0.4619	0.5418	0.4042	0.6176	0.5765	0.6008	0.6248	0.4614	0.4945	0.5350	1.0000	0.6654	0.5295	0.5530	0.6782	0.6304	0.6052	0.7592	0.7912	0.7542	0.7546	0.6214	0.7269	0.6475	0.6498	0.8204	0.8467	0.7023	0.6763	0.6691	0.6136	0.0883	0.1585	0.3613	0.2370	0.3836	0.2773	0.2653
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5680	0.6045	0.5065	0.5428	0.5777	0.7109	0.6468	0.8358	0.7491	0.8203	0.7836	0.5864	0.5692	0.6470	0.6654	1.0000	0.8627	0.8301	0.7906	0.6945	0.6714	0.6864	0.6778	0.7105	0.6963	0.7545	0.7705	0.8091	0.7662	0.8472	0.8733	0.7729	0.7871	0.8500	0.7875	0.2027	0.2300	0.4429	0.3718	0.4962	0.4523	0.4760
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5710	0.5473	0.5070	0.5195	0.5706	0.6827	0.6841	0.7655	0.7184	0.7971	0.7483	0.5629	0.5372	0.5916	0.5295	0.8627	1.0000	0.8163	0.6959	0.6080	0.6091	0.5791	0.5465	0.5954	0.5774	0.7063	0.6797	0.7400	0.7082	0.7417	0.7933	0.6865	0.7194	0.8018	0.7209	0.2146	0.2251	0.4114	0.3757	0.4554	0.4631	0.5205
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5369	0.5204	0.5033	0.5275	0.5374	0.6552	0.6304	0.7174	0.6943	0.7560	0.7290	0.5579	0.5268	0.5800	0.5530	0.8301	0.8163	1.0000	0.6773	0.6534	0.6153	0.5908	0.5767	0.6391	0.6030	0.6943	0.6835	0.7467	0.7179	0.7574	0.7844	0.7265	0.7277	0.7754	0.7667	0.2401	0.2212	0.4028	0.3493	0.4403	0.4325	0.4597
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5230	0.6863	0.5013	0.4649	0.5674	0.6363	0.6159	0.6850	0.6064	0.6439	0.6628	0.4633	0.4794	0.5313	0.6782	0.7906	0.6959	0.6773	1.0000	0.6614	0.6813	0.7246	0.6964	0.7233	0.6947	0.6594	0.7205	0.7002	0.7119	0.8250	0.8139	0.7569	0.7476	0.8049	0.7389	0.1636	0.2092	0.3607	0.3068	0.5695	0.3798	0.4066
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4559	0.5452	0.4876	0.5002	0.4970	0.6090	0.5576	0.5790	0.6210	0.6458	0.6707	0.5079	0.5355	0.5540	0.6304	0.6945	0.6080	0.6534	0.6614	1.0000	0.8119	0.7166	0.7942	0.8320	0.7752	0.7006	0.7629	0.7691	0.7807	0.7987	0.7728	0.8902	0.8761	0.7104	0.7967	0.0557	0.2133	0.3872	0.2731	0.4330	0.3284	0.3312
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4803	0.5679	0.4374	0.4519	0.4776	0.5808	0.5341	0.5734	0.5761	0.6112	0.6162	0.4609	0.4822	0.5085	0.6052	0.6714	0.6091	0.6153	0.6813	0.8119	1.0000	0.6656	0.7248	0.7773	0.6865	0.6340	0.6999	0.6956	0.6815	0.7433	0.7358	0.7607	0.7986	0.6839	0.6967	0.0875	0.2336	0.3443	0.2619	0.4658	0.3161	0.3432
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4568	0.6719	0.5031	0.4613	0.5562	0.6039	0.5712	0.5529	0.5501	0.5756	0.6139	0.4103	0.4477	0.4778	0.7592	0.6864	0.5791	0.5908	0.7246	0.7166	0.6656	1.0000	0.8559	0.8138	0.8146	0.6657	0.7686	0.6810	0.7376	0.8367	0.8361	0.8068	0.7917	0.7553	0.6981	0.0430	0.1780	0.3573	0.2677	0.4224	0.3250	0.3290
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4282	0.6203	0.4790	0.4843	0.5209	0.5925	0.4919	0.5861	0.6225	0.6387	0.6855	0.5127	0.5663	0.5841	0.7912	0.6778	0.5465	0.5767	0.6964	0.7942	0.7248	0.8559	1.0000	0.8913	0.8975	0.7214	0.8403	0.7385	0.7788	0.8381	0.8393	0.8514	0.8146	0.7078	0.6990	0.0507	0.1820	0.4038	0.2466	0.4059	0.2929	0.2962
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4533	0.6246	0.5096	0.5174	0.5418	0.6216	0.5323	0.6233	0.6669	0.6831	0.7312	0.5582	0.6104	0.6250	0.7542	0.7105	0.5954	0.6391	0.7233	0.8320	0.7773	0.8138	0.8913	1.0000	0.8783	0.7435	0.8447	0.7835	0.8197	0.8476	0.8494	0.8972	0.8366	0.7372	0.7759	0.0592	0.1974	0.4412	0.2664	0.4177	0.3334	0.3108
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4566	0.5970	0.4972	0.5202	0.5313	0.6142	0.5146	0.6262	0.6785	0.6920	0.7421	0.5809	0.6432	0.6554	0.7546	0.6963	0.5774	0.6030	0.6947	0.7752	0.6865	0.8146	0.8975	0.8783	1.0000	0.7533	0.9262	0.7774	0.8216	0.8312	0.8336	0.8621	0.7976	0.7125	0.7191	0.0773	0.2007	0.4624	0.2562	0.4124	0.3385	0.2965
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5266	0.5299	0.5425	0.6040	0.5452	0.6696	0.6187	0.6855	0.7387	0.7657	0.7871	0.6193	0.6623	0.6826	0.6214	0.7545	0.7063	0.6943	0.6594	0.7006	0.6340	0.6657	0.7214	0.7435	0.7533	1.0000	0.8099	0.8106	0.8375	0.7486	0.8052	0.7912	0.7541	0.7270	0.6907	0.0880	0.2140	0.4733	0.3020	0.4003	0.4901	0.5857
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5511	0.5959	0.5225	0.5638	0.5599	0.6766	0.5737	0.7150	0.7643	0.7886	0.8239	0.6653	0.7193	0.7362	0.7269	0.7705	0.6797	0.6835	0.7205	0.7629	0.6999	0.7686	0.8403	0.8447	0.9262	0.8099	1.0000	0.8315	0.8627	0.8412	0.8581	0.8587	0.8014	0.7545	0.7445	0.1455	0.2210	0.5160	0.2933	0.4391	0.3994	0.3525
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5239	0.5459	0.5228	0.5865	0.5500	0.6801	0.6034	0.7310	0.7738	0.8075	0.8232	0.6649	0.6908	0.7167	0.6475	0.8091	0.7400	0.7467	0.7002	0.7691	0.6956	0.6810	0.7385	0.7835	0.7774	0.8106	0.8315	1.0000	0.8461	0.8055	0.8328	0.8445	0.8016	0.7667	0.7669	0.1804	0.2519	0.5045	0.3199	0.4444	0.4460	0.3954
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5353	0.5753	0.6269	0.7426	0.5991	0.6967	0.6949	0.7004	0.7583	0.7755	0.8257	0.6517	0.7087	0.7331	0.6498	0.7662	0.7082	0.7179	0.7119	0.7807	0.6815	0.7376	0.7788	0.8197	0.8216	0.8375	0.8627	0.8461	1.0000	0.8082	0.8395	0.9024	0.8212	0.7714	0.8065	0.1060	0.2385	0.5514	0.3110	0.4503	0.4174	0.3906
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5356	0.7079	0.5298	0.5229	0.5952	0.6908	0.6149	0.7304	0.7104	0.7507	0.7749	0.5674	0.5867	0.6280	0.8204	0.8472	0.7417	0.7574	0.8250	0.7987	0.7433	0.8367	0.8381	0.8476	0.8312	0.7486	0.8412	0.8055	0.8082	1.0000	0.9322	0.8735	0.8485	0.8596	0.8433	0.1580	0.2331	0.4325	0.3293	0.5051	0.3892	0.4046
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5528	0.6986	0.5567	0.5660	0.6205	0.7189	0.6420	0.7689	0.7565	0.8014	0.8146	0.6033	0.6257	0.6666	0.8467	0.8733	0.7933	0.7844	0.8139	0.7728	0.7358	0.8361	0.8393	0.8494	0.8336	0.8052	0.8581	0.8328	0.8395	0.9322	1.0000	0.8751	0.8542	0.8688	0.8072	0.1510	0.2216	0.4704	0.3494	0.4833	0.4513	0.4295
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5290	0.6344	0.5925	0.5874	0.5994	0.6936	0.6770	0.6556	0.7000	0.7145	0.7702	0.5782	0.6159	0.6386	0.7023	0.7729	0.6865	0.7265	0.7569	0.8902	0.7607	0.8068	0.8514	0.8972	0.8621	0.7912	0.8587	0.8445	0.9024	0.8735	0.8751	1.0000	0.9046	0.8129	0.8945	0.1248	0.2332	0.4626	0.3105	0.4770	0.4087	0.3795
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5387	0.6335	0.5585	0.5389	0.5798	0.6865	0.6717	0.6410	0.6506	0.6891	0.7048	0.4956	0.5176	0.5493	0.6763	0.7871	0.7194	0.7277	0.7476	0.8761	0.7986	0.7917	0.8146	0.8366	0.7976	0.7541	0.8014	0.8016	0.8212	0.8485	0.8542	0.9046	1.0000	0.8107	0.8260	0.0619	0.2282	0.3995	0.3281	0.4799	0.4095	0.4167
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5827	0.6814	0.5623	0.5210	0.6299	0.7114	0.7121	0.7037	0.6596	0.7077	0.7183	0.5014	0.4971	0.5534	0.6691	0.8500	0.8018	0.7754	0.8049	0.7104	0.6839	0.7553	0.7078	0.7372	0.7125	0.7270	0.7545	0.7667	0.7714	0.8596	0.8688	0.8129	0.8107	1.0000	0.8111	0.1679	0.2752	0.3896	0.3599	0.5325	0.4439	0.4796
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5384	0.5899	0.5471	0.5133	0.5842	0.6754	0.6597	0.6579	0.6561	0.6862	0.7139	0.5192	0.5247	0.5651	0.6136	0.7875	0.7209	0.7667	0.7389	0.7967	0.6967	0.6981	0.6990	0.7759	0.7191	0.6907	0.7445	0.7669	0.8065	0.8433	0.8072	0.8945	0.8260	0.8111	1.0000	0.1365	0.2523	0.3999	0.3208	0.5060	0.3968	0.4128
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1485	0.0638	0.0613	0.0913	0.0917	0.1313	0.1289	0.2195	0.2052	0.1788	0.2088	0.3133	0.1721	0.2280	0.0883	0.2027	0.2146	0.2401	0.1636	0.0557	0.0875	0.0430	0.0507	0.0592	0.0773	0.0880	0.1455	0.1804	0.1060	0.1580	0.1510	0.1248	0.0619	0.1679	0.1365	1.0000	0.0447	0.1002	0.0848	0.1177	0.0572	0.1353
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3570	0.1590	0.1878	0.1764	0.3346	0.2731	0.2254	0.1912	0.1897	0.1984	0.2058	0.2490	0.1525	0.1633	0.1585	0.2300	0.2251	0.2212	0.2092	0.2133	0.2336	0.1780	0.1820	0.1974	0.2007	0.2140	0.2210	0.2519	0.2385	0.2331	0.2216	0.2332	0.2282	0.2752	0.2523	0.0447	1.0000	0.1146	0.1181	0.5359	0.1719	0.1465
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2625	0.2655	0.2781	0.3530	0.2967	0.3498	0.2816	0.5069	0.5823	0.5880	0.6180	0.5540	0.6235	0.6255	0.3613	0.4429	0.4114	0.4028	0.3607	0.3872	0.3443	0.3573	0.4038	0.4412	0.4624	0.4733	0.5160	0.5045	0.5514	0.4325	0.4704	0.4626	0.3995	0.3896	0.3999	0.1002	0.1146	1.0000	0.1500	0.2018	0.2482	0.1730
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2554	0.2404	0.2467	0.2245	0.2484	0.3080	0.3144	0.3093	0.2805	0.3144	0.2965	0.2039	0.1882	0.2417	0.2370	0.3718	0.3757	0.3493	0.3068	0.2731	0.2619	0.2677	0.2466	0.2664	0.2562	0.3020	0.2933	0.3199	0.3110	0.3293	0.3494	0.3105	0.3281	0.3599	0.3208	0.0848	0.1181	0.1500	1.0000	0.2098	0.2120	0.2321
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4665	0.3904	0.3303	0.2985	0.3520	0.4481	0.4287	0.4125	0.3608	0.3864	0.3879	0.2655	0.2633	0.3014	0.3836	0.4962	0.4554	0.4403	0.5695	0.4330	0.4658	0.4224	0.4059	0.4177	0.4124	0.4003	0.4391	0.4444	0.4503	0.5051	0.4833	0.4770	0.4799	0.5325	0.5060	0.1177	0.5359	0.2018	0.2098	1.0000	0.2740	0.2925
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3482	0.3056	0.3117	0.2889	0.3055	0.4000	0.4112	0.4084	0.4050	0.4342	0.4381	0.3065	0.3276	0.3349	0.2773	0.4523	0.4631	0.4325	0.3798	0.3284	0.3161	0.3250	0.2929	0.3334	0.3385	0.4901	0.3994	0.4460	0.4174	0.3892	0.4513	0.4087	0.4095	0.4439	0.3968	0.0572	0.1719	0.2482	0.2120	0.2740	1.0000	0.2715
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3685	0.3187	0.3452	0.2986	0.3508	0.4042	0.4913	0.3976	0.3416	0.3829	0.3576	0.2359	0.2135	0.2598	0.2653	0.4760	0.5205	0.4597	0.4066	0.3312	0.3432	0.3290	0.2962	0.3108	0.2965	0.5857	0.3525	0.3954	0.3906	0.4046	0.4295	0.3795	0.4167	0.4796	0.4128	0.1353	0.1465	0.1730	0.2321	0.2925	0.2715	1.0000
