#plotCorrelation --outFileCorMatrix
	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5847	0.4964	0.7218	0.7900	0.7707	0.7959	0.7573	0.8230	0.8321	0.8712	1.0000	0.8851	0.8668	0.8772	0.8940	0.8665	0.8224	0.8177	0.8048	0.7685	0.7961	0.7433	0.8035	0.8488	0.8179	0.8022	0.8362	0.8239	0.8448	0.8310	0.8556	0.8748	0.6688	0.6777	0.5522	0.5537	0.6816	0.6266	0.7306	0.7337	0.6800	0.6663
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6167	0.4882	0.7586	0.8148	0.7739	0.7694	0.7607	0.8064	0.8806	0.9382	0.8851	1.0000	0.9369	0.9313	0.9235	0.9002	0.8838	0.8805	0.8684	0.8297	0.8394	0.8353	0.8918	0.9333	0.8980	0.9070	0.9213	0.9144	0.9018	0.8915	0.9162	0.9273	0.7097	0.6957	0.5379	0.5486	0.6853	0.6727	0.7940	0.7636	0.7393	0.7237
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5967	0.4641	0.7565	0.8351	0.7634	0.7210	0.7373	0.7737	0.8597	0.9067	0.8668	0.9369	1.0000	0.9363	0.9304	0.9045	0.8463	0.8401	0.8493	0.8940	0.8179	0.8384	0.8952	0.9425	0.9219	0.9078	0.9359	0.9158	0.9460	0.9095	0.9375	0.9433	0.6999	0.6979	0.5048	0.5582	0.7227	0.6651	0.7617	0.7315	0.7077	0.6705
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6504	0.4789	0.7075	0.8219	0.7749	0.7846	0.8018	0.8254	0.9345	0.9256	0.8772	0.9313	0.9363	1.0000	0.9537	0.9411	0.9142	0.8493	0.7986	0.8769	0.8484	0.7763	0.8742	0.8986	0.8546	0.8535	0.8849	0.8783	0.8783	0.8703	0.9196	0.9252	0.6714	0.6912	0.5480	0.6187	0.7383	0.6993	0.8010	0.7713	0.7630	0.7327
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6781	0.5031	0.7400	0.8430	0.8210	0.8326	0.8143	0.8562	0.8985	0.8989	0.8940	0.9235	0.9304	0.9537	1.0000	0.9437	0.8746	0.8268	0.7918	0.8185	0.8253	0.7757	0.8778	0.8965	0.8577	0.8418	0.8855	0.8778	0.9033	0.8818	0.9325	0.9394	0.6880	0.7169	0.5558	0.5700	0.7353	0.6268	0.7367	0.7406	0.6889	0.6691
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7002	0.4704	0.7191	0.8148	0.7978	0.8093	0.8331	0.8412	0.8753	0.8870	0.8665	0.9002	0.9045	0.9411	0.9437	1.0000	0.8599	0.7975	0.7558	0.8151	0.8178	0.7453	0.8607	0.8695	0.8246	0.8201	0.8592	0.8581	0.8663	0.8591	0.9057	0.9139	0.6482	0.6920	0.5357	0.5634	0.7398	0.6241	0.7310	0.7140	0.6840	0.6476
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5520	0.4400	0.6227	0.7715	0.6532	0.7764	0.7322	0.7434	0.9214	0.9081	0.8224	0.8838	0.8463	0.9142	0.8746	0.8599	1.0000	0.9103	0.7973	0.8089	0.8139	0.6786	0.7418	0.7725	0.7026	0.7325	0.7473	0.7448	0.7278	0.7017	0.7978	0.7815	0.6654	0.5955	0.6268	0.7165	0.7165	0.7859	0.8648	0.8684	0.8616	0.8450
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3882	0.4262	0.6445	0.7711	0.6269	0.7275	0.6630	0.6806	0.8512	0.9036	0.8177	0.8805	0.8401	0.8493	0.8268	0.7975	0.9103	1.0000	0.8917	0.7946	0.7920	0.7618	0.7118	0.8106	0.7614	0.7906	0.7792	0.7780	0.7478	0.7327	0.7525	0.7707	0.8122	0.5855	0.6362	0.6879	0.6917	0.7813	0.8708	0.8510	0.8457	0.8121
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3146	0.4092	0.7060	0.7421	0.6972	0.6343	0.6011	0.6481	0.7522	0.8700	0.8048	0.8684	0.8493	0.7986	0.7918	0.7558	0.7973	0.8917	1.0000	0.7902	0.7799	0.7741	0.7098	0.8327	0.8146	0.8174	0.8097	0.7867	0.7875	0.7716	0.7448	0.7889	0.7148	0.5883	0.5471	0.6208	0.6706	0.7474	0.8211	0.7985	0.7780	0.7490
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4405	0.3968	0.6154	0.7311	0.6132	0.5977	0.6490	0.6480	0.7774	0.8515	0.7685	0.8297	0.8940	0.8769	0.8185	0.8151	0.8089	0.7946	0.7902	1.0000	0.7703	0.7155	0.7300	0.8006	0.7721	0.7704	0.7850	0.7685	0.7692	0.7642	0.7691	0.7971	0.6169	0.5784	0.4801	0.6826	0.7073	0.7770	0.8149	0.7454	0.7787	0.7006
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4304	0.4500	0.6415	0.7276	0.6787	0.6858	0.7132	0.7152	0.8173	0.8328	0.7961	0.8394	0.8179	0.8484	0.8253	0.8178	0.8139	0.7920	0.7799	0.7703	1.0000	0.7075	0.7173	0.7972	0.7843	0.7624	0.7829	0.7641	0.7802	0.7825	0.7706	0.8121	0.6226	0.6073	0.5054	0.6131	0.6917	0.7315	0.7730	0.8134	0.7891	0.8148
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4482	0.3970	0.6843	0.7007	0.6663	0.5867	0.6103	0.6560	0.7195	0.7983	0.7433	0.8353	0.8384	0.7763	0.7757	0.7453	0.6786	0.7618	0.7741	0.7155	0.7075	1.0000	0.8265	0.9001	0.8963	0.9046	0.8923	0.8875	0.8546	0.8696	0.8081	0.8467	0.6323	0.6069	0.3915	0.3814	0.5594	0.5203	0.6517	0.5836	0.5798	0.5472
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7712	0.4760	0.7045	0.7956	0.7772	0.7124	0.7246	0.8077	0.7881	0.8432	0.8035	0.8918	0.8952	0.8742	0.8778	0.8607	0.7418	0.7118	0.7098	0.7300	0.7173	0.8265	1.0000	0.9422	0.9069	0.9318	0.9440	0.9618	0.9167	0.9222	0.9492	0.9348	0.6403	0.6820	0.3910	0.2993	0.5557	0.4379	0.5933	0.5144	0.5054	0.4822
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5966	0.4621	0.7732	0.8026	0.7825	0.7032	0.7246	0.7777	0.8338	0.8855	0.8488	0.9333	0.9425	0.8986	0.8965	0.8695	0.7725	0.8106	0.8327	0.8006	0.7972	0.9001	0.9422	1.0000	0.9802	0.9812	0.9867	0.9833	0.9617	0.9711	0.9364	0.9620	0.7091	0.7034	0.4459	0.4108	0.6328	0.5623	0.6997	0.6367	0.6264	0.6007
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5151	0.4430	0.7632	0.7692	0.7628	0.6522	0.6863	0.7339	0.7964	0.8358	0.8179	0.8980	0.9219	0.8546	0.8577	0.8246	0.7026	0.7614	0.8146	0.7721	0.7843	0.8963	0.9069	0.9802	1.0000	0.9682	0.9796	0.9620	0.9685	0.9769	0.9114	0.9544	0.6712	0.6916	0.3953	0.3688	0.6016	0.5270	0.6558	0.6061	0.5865	0.5719
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5595	0.4386	0.7423	0.7606	0.7317	0.6432	0.6761	0.7289	0.7861	0.8651	0.8022	0.9070	0.9078	0.8535	0.8418	0.8201	0.7325	0.7906	0.8174	0.7704	0.7624	0.9046	0.9318	0.9812	0.9682	1.0000	0.9746	0.9800	0.9272	0.9482	0.8961	0.9214	0.6857	0.6632	0.4049	0.3655	0.5878	0.5402	0.6843	0.5917	0.6043	0.5719
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6095	0.4570	0.7682	0.7872	0.7835	0.6896	0.7196	0.7730	0.8196	0.8657	0.8362	0.9213	0.9359	0.8849	0.8855	0.8592	0.7473	0.7792	0.8097	0.7850	0.7829	0.8923	0.9440	0.9867	0.9796	0.9746	1.0000	0.9788	0.9650	0.9711	0.9390	0.9617	0.6828	0.7016	0.4181	0.3748	0.6104	0.5281	0.6679	0.6066	0.5925	0.5719
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6578	0.4541	0.7512	0.7798	0.7811	0.6980	0.7208	0.7819	0.8058	0.8672	0.8239	0.9144	0.9158	0.8783	0.8778	0.8581	0.7448	0.7780	0.7867	0.7685	0.7641	0.8875	0.9618	0.9833	0.9620	0.9800	0.9788	1.0000	0.9424	0.9681	0.9330	0.9498	0.7127	0.6969	0.4115	0.3496	0.5861	0.5077	0.6577	0.5717	0.5730	0.5443
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6058	0.4630	0.7762	0.8048	0.8130	0.7172	0.7311	0.7837	0.8193	0.8307	0.8448	0.9018	0.9460	0.8783	0.9033	0.8663	0.7278	0.7478	0.7875	0.7692	0.7802	0.8546	0.9167	0.9617	0.9685	0.9272	0.9650	0.9424	1.0000	0.9659	0.9525	0.9722	0.6698	0.7210	0.4303	0.3743	0.6269	0.4945	0.6227	0.6111	0.5561	0.5529
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5977	0.4540	0.7656	0.7806	0.8062	0.7036	0.7297	0.7816	0.8050	0.8288	0.8310	0.8915	0.9095	0.8703	0.8818	0.8591	0.7017	0.7327	0.7716	0.7642	0.7825	0.8696	0.9222	0.9711	0.9769	0.9482	0.9711	0.9681	0.9659	1.0000	0.9283	0.9722	0.6696	0.7108	0.4032	0.3522	0.5983	0.4933	0.6268	0.5773	0.5530	0.5378
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7487	0.4765	0.7530	0.8045	0.8243	0.7718	0.7772	0.8380	0.8630	0.8571	0.8556	0.9162	0.9375	0.9196	0.9325	0.9057	0.7978	0.7525	0.7448	0.7691	0.7706	0.8081	0.9492	0.9364	0.9114	0.8961	0.9390	0.9330	0.9525	0.9283	1.0000	0.9651	0.6593	0.7220	0.4596	0.3873	0.6201	0.4894	0.6285	0.6119	0.5671	0.5596
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6609	0.4785	0.7673	0.8144	0.8331	0.7679	0.7776	0.8338	0.8599	0.8716	0.8748	0.9273	0.9433	0.9252	0.9394	0.9139	0.7815	0.7707	0.7889	0.7971	0.8121	0.8467	0.9348	0.9620	0.9544	0.9214	0.9617	0.9498	0.9722	0.9722	0.9651	1.0000	0.6743	0.7346	0.4585	0.4282	0.6550	0.5403	0.6685	0.6464	0.6019	0.5913
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3787	0.3603	0.5450	0.6529	0.5651	0.6067	0.5363	0.5779	0.6449	0.6955	0.6688	0.7097	0.6999	0.6714	0.6880	0.6482	0.6654	0.8122	0.7148	0.6169	0.6226	0.6323	0.6403	0.7091	0.6712	0.6857	0.6828	0.7127	0.6698	0.6696	0.6593	0.6743	1.0000	0.5118	0.5236	0.4370	0.5089	0.5213	0.6092	0.5884	0.5670	0.5487
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5304	0.3786	0.6044	0.6207	0.6598	0.6209	0.6069	0.6535	0.6467	0.6538	0.6777	0.6957	0.6979	0.6912	0.7169	0.6920	0.5955	0.5855	0.5883	0.5784	0.6073	0.6069	0.6820	0.7034	0.6916	0.6632	0.7016	0.6969	0.7210	0.7108	0.7220	0.7346	0.5118	1.0000	0.4124	0.3338	0.4986	0.3980	0.4959	0.5023	0.4483	0.4464
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2800	0.2986	0.4071	0.5268	0.4393	0.5690	0.4624	0.4821	0.5599	0.5658	0.5522	0.5379	0.5048	0.5480	0.5558	0.5357	0.6268	0.6362	0.5471	0.4801	0.5054	0.3915	0.3910	0.4459	0.3953	0.4049	0.4181	0.4115	0.4303	0.4032	0.4596	0.4585	0.5236	0.4124	1.0000	0.5290	0.4937	0.5189	0.5599	0.5987	0.5636	0.5380
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1117	0.2537	0.3549	0.5336	0.3394	0.4790	0.4368	0.4138	0.5758	0.6475	0.5537	0.5486	0.5582	0.6187	0.5700	0.5634	0.7165	0.6879	0.6208	0.6826	0.6131	0.3814	0.2993	0.4108	0.3688	0.3655	0.3748	0.3496	0.3743	0.3522	0.3873	0.4282	0.4370	0.3338	0.5290	1.0000	0.6790	0.8589	0.8001	0.7996	0.8123	0.7376
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3456	0.3463	0.5362	0.6683	0.5508	0.5996	0.5843	0.5935	0.6655	0.7171	0.6816	0.6853	0.7227	0.7383	0.7353	0.7398	0.7165	0.6917	0.6706	0.7073	0.6917	0.5594	0.5557	0.6328	0.6016	0.5878	0.6104	0.5861	0.6269	0.5983	0.6201	0.6550	0.5089	0.4986	0.4937	0.6790	1.0000	0.6779	0.7002	0.7116	0.6875	0.6283
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1484	0.3027	0.4306	0.5893	0.4027	0.4845	0.4863	0.4614	0.6534	0.7647	0.6266	0.6727	0.6651	0.6993	0.6268	0.6241	0.7859	0.7813	0.7474	0.7770	0.7315	0.5203	0.4379	0.5623	0.5270	0.5402	0.5281	0.5077	0.4945	0.4933	0.4894	0.5403	0.5213	0.3980	0.5189	0.8589	0.6779	1.0000	0.9061	0.8517	0.9060	0.8362
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2911	0.3718	0.5510	0.6793	0.5179	0.5935	0.5935	0.5882	0.7632	0.8940	0.7306	0.7940	0.7617	0.8010	0.7367	0.7310	0.8648	0.8708	0.8211	0.8149	0.7730	0.6517	0.5933	0.6997	0.6558	0.6843	0.6679	0.6577	0.6227	0.6268	0.6285	0.6685	0.6092	0.4959	0.5599	0.8001	0.7002	0.9061	1.0000	0.8567	0.9093	0.8359
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2289	0.3712	0.5453	0.6742	0.5281	0.6393	0.5930	0.5828	0.7803	0.7993	0.7337	0.7636	0.7315	0.7713	0.7406	0.7140	0.8684	0.8510	0.7985	0.7454	0.8134	0.5836	0.5144	0.6367	0.6061	0.5917	0.6066	0.5717	0.6111	0.5773	0.6119	0.6464	0.5884	0.5023	0.5987	0.7996	0.7116	0.8517	0.8567	1.0000	0.8821	0.9083
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2035	0.3384	0.4909	0.6363	0.4546	0.5543	0.5491	0.5210	0.7672	0.8051	0.6800	0.7393	0.7077	0.7630	0.6889	0.6840	0.8616	0.8457	0.7780	0.7787	0.7891	0.5798	0.5054	0.6264	0.5865	0.6043	0.5925	0.5730	0.5561	0.5530	0.5671	0.6019	0.5670	0.4483	0.5636	0.8123	0.6875	0.9060	0.9093	0.8821	1.0000	0.8830
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1878	0.3454	0.4794	0.6036	0.4590	0.5583	0.5484	0.5149	0.7637	0.7548	0.6663	0.7237	0.6705	0.7327	0.6691	0.6476	0.8450	0.8121	0.7490	0.7006	0.8148	0.5472	0.4822	0.6007	0.5719	0.5719	0.5719	0.5443	0.5529	0.5378	0.5596	0.5913	0.5487	0.4464	0.5380	0.7376	0.6283	0.8362	0.8359	0.9083	0.8830	1.0000
