#plotCorrelation --outFileCorMatrix
	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4892	0.4730	0.4615	0.6335	0.6259	0.6184	0.5909	0.7272	0.6345	0.6766	1.0000	0.8392	0.8292	0.9005	0.8328	0.8123	0.8057	0.7342	0.7723	0.6875	0.7285	0.6983	0.7918	0.7338	0.7339	0.7905	0.6527	0.7317	0.7125	0.7197	0.3891	0.4259	0.5168	0.6723	0.5808	0.6586	0.6396	0.6853	0.4119	0.4856	0.3409	0.2696
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5682	0.5569	0.5394	0.6548	0.6927	0.6596	0.6477	0.7058	0.6337	0.6823	0.8392	1.0000	0.8147	0.7892	0.8756	0.8328	0.8977	0.8109	0.7434	0.7063	0.7967	0.7365	0.7748	0.7787	0.7101	0.7918	0.6850	0.8017	0.7644	0.7491	0.4370	0.4769	0.5390	0.5914	0.5726	0.6548	0.5962	0.6538	0.4015	0.4301	0.3299	0.2638
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5907	0.5656	0.5488	0.7241	0.7300	0.7137	0.6825	0.7756	0.6964	0.7409	0.8292	0.8147	1.0000	0.8567	0.8642	0.8371	0.8328	0.7407	0.7388	0.7332	0.7729	0.7432	0.8602	0.7992	0.8170	0.8822	0.7563	0.7980	0.7852	0.7793	0.4687	0.5205	0.5583	0.7039	0.5975	0.7213	0.6544	0.7171	0.4699	0.5146	0.3802	0.2822
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5723	0.5544	0.5491	0.6936	0.7076	0.6875	0.6623	0.7918	0.7177	0.7015	0.9005	0.7892	0.8567	1.0000	0.8700	0.8186	0.8232	0.7286	0.7444	0.7583	0.7875	0.7670	0.8307	0.7459	0.7553	0.8652	0.7240	0.7722	0.7605	0.7878	0.4523	0.4694	0.5314	0.7531	0.5523	0.6903	0.6344	0.6606	0.4343	0.4648	0.3472	0.2913
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6382	0.6250	0.6148	0.7358	0.7661	0.7388	0.7180	0.8362	0.8260	0.7137	0.8328	0.8756	0.8642	0.8700	1.0000	0.8620	0.8905	0.8170	0.7933	0.8398	0.8707	0.8460	0.8455	0.7853	0.7499	0.9174	0.7563	0.8163	0.8154	0.8491	0.4893	0.4844	0.5229	0.7033	0.5660	0.6750	0.6118	0.6101	0.4099	0.4341	0.3458	0.2973
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5811	0.5753	0.5619	0.6753	0.7167	0.6975	0.6755	0.8103	0.7051	0.7259	0.8123	0.8328	0.8371	0.8186	0.8620	1.0000	0.9168	0.8872	0.8423	0.8316	0.8615	0.8218	0.8116	0.7663	0.7490	0.8684	0.7744	0.8258	0.8221	0.8247	0.4708	0.4925	0.5568	0.6605	0.5888	0.6721	0.6302	0.6801	0.4358	0.4615	0.3552	0.2617
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6431	0.6278	0.6272	0.6776	0.7573	0.7058	0.7031	0.8213	0.7247	0.7214	0.8057	0.8977	0.8328	0.8232	0.8905	0.9168	1.0000	0.9051	0.8145	0.8593	0.9151	0.8735	0.7855	0.7570	0.7084	0.8756	0.7953	0.8948	0.8488	0.8631	0.5147	0.5429	0.5869	0.6512	0.5724	0.6896	0.6081	0.6804	0.4285	0.4178	0.3321	0.2805
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5812	0.5851	0.5731	0.6195	0.6858	0.6600	0.6490	0.7381	0.6611	0.6496	0.7342	0.8109	0.7407	0.7286	0.8170	0.8872	0.9051	1.0000	0.8534	0.8115	0.8570	0.8003	0.7251	0.6997	0.6466	0.7906	0.7227	0.7875	0.7911	0.7885	0.4485	0.4570	0.4891	0.5707	0.5447	0.5843	0.5418	0.5697	0.3575	0.3762	0.3005	0.2513
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5707	0.5681	0.5597	0.6366	0.6732	0.6635	0.6415	0.7153	0.6602	0.6405	0.7723	0.7434	0.7388	0.7444	0.7933	0.8423	0.8145	0.8534	1.0000	0.7771	0.8078	0.7503	0.7322	0.6869	0.6708	0.7869	0.6955	0.7332	0.7550	0.7605	0.4371	0.4428	0.4592	0.6189	0.5755	0.5849	0.5643	0.5639	0.3655	0.3967	0.3011	0.2539
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5947	0.5788	0.5856	0.6195	0.6879	0.6461	0.6407	0.8693	0.8074	0.6317	0.6875	0.7063	0.7332	0.7583	0.8398	0.8316	0.8593	0.8115	0.7771	1.0000	0.9050	0.9016	0.7057	0.6233	0.5910	0.8492	0.7360	0.7748	0.7571	0.8460	0.4586	0.4431	0.4770	0.6403	0.4789	0.6064	0.5096	0.5074	0.3264	0.3418	0.2756	0.2426
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6509	0.6406	0.6440	0.6712	0.7465	0.7040	0.6988	0.8318	0.7822	0.6698	0.7285	0.7967	0.7729	0.7875	0.8707	0.8615	0.9151	0.8570	0.8078	0.9050	1.0000	0.8969	0.7502	0.6968	0.6482	0.8673	0.7695	0.8302	0.8135	0.8672	0.5079	0.4804	0.5134	0.6467	0.5207	0.6351	0.5451	0.5543	0.3712	0.3634	0.2995	0.2695
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6765	0.6608	0.6722	0.6746	0.7550	0.7127	0.7087	0.8237	0.7743	0.6559	0.6983	0.7365	0.7432	0.7670	0.8460	0.8218	0.8735	0.8003	0.7503	0.9016	0.8969	1.0000	0.7347	0.6606	0.6323	0.8486	0.7748	0.8261	0.8044	0.9326	0.5298	0.4833	0.4931	0.6173	0.4977	0.6196	0.5367	0.5287	0.3746	0.3504	0.2883	0.2803
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7006	0.6869	0.6550	0.8592	0.8161	0.8433	0.7922	0.6954	0.6907	0.7497	0.7918	0.7748	0.8602	0.8307	0.8455	0.8116	0.7855	0.7251	0.7322	0.7057	0.7502	0.7347	1.0000	0.8554	0.8853	0.8894	0.8018	0.7984	0.8418	0.8144	0.5459	0.5235	0.4964	0.6257	0.5843	0.6652	0.6436	0.6395	0.4885	0.5149	0.3974	0.3449
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6462	0.6465	0.6156	0.7654	0.7696	0.7879	0.7434	0.6158	0.5994	0.7012	0.7338	0.7787	0.7992	0.7459	0.7853	0.7663	0.7570	0.6997	0.6869	0.6233	0.6968	0.6606	0.8554	1.0000	0.8385	0.8126	0.7501	0.7669	0.7898	0.7418	0.5043	0.5181	0.5021	0.5477	0.5622	0.6216	0.6106	0.6276	0.4669	0.4937	0.3756	0.3211
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6759	0.6718	0.6413	0.8168	0.7987	0.8316	0.7749	0.5961	0.5753	0.7261	0.7339	0.7101	0.8170	0.7553	0.7499	0.7490	0.7084	0.6466	0.6708	0.5910	0.6482	0.6323	0.8853	0.8385	1.0000	0.8236	0.7696	0.7616	0.7863	0.7404	0.5304	0.5317	0.4977	0.5707	0.5780	0.6560	0.6410	0.6700	0.5001	0.5514	0.4017	0.3375
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7039	0.6857	0.6758	0.8015	0.8272	0.8107	0.7822	0.8369	0.8573	0.7563	0.7905	0.7918	0.8822	0.8652	0.9174	0.8684	0.8756	0.7906	0.7869	0.8492	0.8673	0.8486	0.8894	0.8126	0.8236	1.0000	0.8356	0.8546	0.8536	0.8768	0.5519	0.5530	0.5457	0.7131	0.5783	0.7147	0.6358	0.6442	0.4867	0.4734	0.3763	0.3117
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7497	0.7387	0.7353	0.7638	0.8316	0.8141	0.7955	0.6692	0.6512	0.7099	0.6527	0.6850	0.7563	0.7240	0.7563	0.7744	0.7953	0.7227	0.6955	0.7360	0.7695	0.7748	0.8018	0.7501	0.7696	0.8356	1.0000	0.8544	0.8464	0.8407	0.5745	0.5856	0.5203	0.5502	0.5382	0.6368	0.5936	0.6134	0.5295	0.6149	0.3391	0.3260
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7873	0.7466	0.7529	0.7646	0.8505	0.8032	0.7956	0.7265	0.6705	0.7260	0.7317	0.8017	0.7980	0.7722	0.8163	0.8258	0.8948	0.7875	0.7332	0.7748	0.8302	0.8261	0.7984	0.7669	0.7616	0.8546	0.8544	1.0000	0.8623	0.8728	0.6263	0.7410	0.5986	0.5819	0.5643	0.6957	0.6040	0.6907	0.4434	0.4412	0.3413	0.3268
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7619	0.7622	0.7539	0.7889	0.8517	0.8418	0.8181	0.6876	0.6765	0.7193	0.7125	0.7644	0.7852	0.7605	0.8154	0.8221	0.8488	0.7911	0.7550	0.7571	0.8135	0.8044	0.8418	0.7898	0.7863	0.8536	0.8464	0.8623	1.0000	0.8662	0.6009	0.5456	0.5082	0.5659	0.5665	0.6340	0.5949	0.5966	0.4799	0.4437	0.3501	0.3490
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7777	0.7673	0.7745	0.7796	0.8536	0.8287	0.8121	0.7670	0.7478	0.7102	0.7197	0.7491	0.7793	0.7878	0.8491	0.8247	0.8631	0.7885	0.7605	0.8460	0.8672	0.9326	0.8144	0.7418	0.7404	0.8768	0.8407	0.8728	0.8662	1.0000	0.6098	0.5292	0.5071	0.6111	0.5438	0.6473	0.6034	0.5706	0.4405	0.4074	0.3288	0.3400
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7053	0.6861	0.7090	0.6242	0.7041	0.6879	0.6798	0.3892	0.4214	0.4408	0.3891	0.4370	0.4687	0.4523	0.4893	0.4708	0.5147	0.4485	0.4371	0.4586	0.5079	0.5298	0.5459	0.5043	0.5304	0.5519	0.5745	0.6263	0.6009	0.6098	1.0000	0.3898	0.2961	0.3203	0.3399	0.3879	0.3604	0.3225	0.3149	0.2581	0.2068	0.2889
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6104	0.5060	0.5082	0.5500	0.5889	0.5374	0.5331	0.4166	0.4017	0.4734	0.4259	0.4769	0.5205	0.4694	0.4844	0.4925	0.5429	0.4570	0.4428	0.4431	0.4804	0.4833	0.5235	0.5181	0.5317	0.5530	0.5856	0.7410	0.5456	0.5292	0.3898	1.0000	0.4611	0.3309	0.3698	0.4928	0.3822	0.5049	0.2852	0.3104	0.2293	0.2205
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3551	0.3325	0.3363	0.4184	0.4515	0.4026	0.4016	0.5093	0.4034	0.4971	0.5168	0.5390	0.5583	0.5314	0.5229	0.5568	0.5869	0.4891	0.4592	0.4770	0.5134	0.4931	0.4964	0.5021	0.4977	0.5457	0.5203	0.5986	0.5082	0.5071	0.2961	0.4611	1.0000	0.4199	0.3957	0.5199	0.4332	0.5847	0.3113	0.3562	0.2647	0.1626
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4028	0.3850	0.3909	0.5097	0.5253	0.4969	0.4806	0.7002	0.5991	0.5516	0.6723	0.5914	0.7039	0.7531	0.7033	0.6605	0.6512	0.5707	0.6189	0.6403	0.6467	0.6173	0.6257	0.5477	0.5707	0.7131	0.5502	0.5819	0.5659	0.6111	0.3203	0.3309	0.4199	1.0000	0.4236	0.5770	0.4999	0.5279	0.3307	0.3568	0.2611	0.1863
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4385	0.5211	0.4225	0.5126	0.5273	0.5183	0.4972	0.4735	0.4247	0.5268	0.5808	0.5726	0.5975	0.5523	0.5660	0.5888	0.5724	0.5447	0.5755	0.4789	0.5207	0.4977	0.5843	0.5622	0.5780	0.5783	0.5382	0.5643	0.5665	0.5438	0.3399	0.3698	0.3957	0.4236	1.0000	0.7077	0.4882	0.5155	0.3169	0.3729	0.2668	0.2143
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5125	0.5672	0.4736	0.5973	0.6103	0.5655	0.5540	0.6415	0.5480	0.6148	0.6586	0.6548	0.7213	0.6903	0.6750	0.6721	0.6896	0.5843	0.5849	0.6064	0.6351	0.6196	0.6652	0.6216	0.6560	0.7147	0.6368	0.6957	0.6340	0.6473	0.3879	0.4928	0.5199	0.5770	0.7077	1.0000	0.5333	0.6598	0.3697	0.4260	0.2987	0.2275
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4450	0.4345	0.4232	0.5525	0.5500	0.5518	0.5224	0.5372	0.4632	0.5984	0.6396	0.5962	0.6544	0.6344	0.6118	0.6302	0.6081	0.5418	0.5643	0.5096	0.5451	0.5367	0.6436	0.6106	0.6410	0.6358	0.5936	0.6040	0.5949	0.6034	0.3604	0.3822	0.4332	0.4999	0.4882	0.5333	1.0000	0.5993	0.3887	0.4199	0.2962	0.2298
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3957	0.3616	0.3516	0.5253	0.5150	0.4870	0.4639	0.5844	0.4254	0.6495	0.6853	0.6538	0.7171	0.6606	0.6101	0.6801	0.6804	0.5697	0.5639	0.5074	0.5543	0.5287	0.6395	0.6276	0.6700	0.6442	0.6134	0.6907	0.5966	0.5706	0.3225	0.5049	0.5847	0.5279	0.5155	0.6598	0.5993	1.0000	0.4087	0.5017	0.3220	0.1945
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3899	0.3891	0.3888	0.4589	0.4752	0.4710	0.4501	0.3474	0.3157	0.4276	0.4119	0.4015	0.4699	0.4343	0.4099	0.4358	0.4285	0.3575	0.3655	0.3264	0.3712	0.3746	0.4885	0.4669	0.5001	0.4867	0.5295	0.4434	0.4799	0.4405	0.3149	0.2852	0.3113	0.3307	0.3169	0.3697	0.3887	0.4087	1.0000	0.3064	0.2317	0.1848
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3261	0.3121	0.2948	0.4456	0.4115	0.4300	0.3962	0.3662	0.3100	0.4485	0.4856	0.4301	0.5146	0.4648	0.4341	0.4615	0.4178	0.3762	0.3967	0.3418	0.3634	0.3504	0.5149	0.4937	0.5514	0.4734	0.6149	0.4412	0.4437	0.4074	0.2581	0.3104	0.3562	0.3568	0.3729	0.4260	0.4199	0.5017	0.3064	1.0000	0.2569	0.1780
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2827	0.2617	0.2445	0.3440	0.3303	0.3448	0.3182	0.2874	0.2654	0.3399	0.3409	0.3299	0.3802	0.3472	0.3458	0.3552	0.3321	0.3005	0.3011	0.2756	0.2995	0.2883	0.3974	0.3756	0.4017	0.3763	0.3391	0.3413	0.3501	0.3288	0.2068	0.2293	0.2647	0.2611	0.2668	0.2987	0.2962	0.3220	0.2317	0.2569	1.0000	0.1399
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3894	0.3978	0.3838	0.3772	0.4028	0.3947	0.3867	0.1991	0.2370	0.2757	0.2696	0.2638	0.2822	0.2913	0.2973	0.2617	0.2805	0.2513	0.2539	0.2426	0.2695	0.2803	0.3449	0.3211	0.3375	0.3117	0.3260	0.3268	0.3490	0.3400	0.2889	0.2205	0.1626	0.1863	0.2143	0.2275	0.2298	0.1945	0.1848	0.1780	0.1399	1.0000
