#plotCorrelation --outFileCorMatrix
	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2507	0.2166	0.2930	0.3431	0.4004	0.4676	0.3068	0.3702	0.3131	0.5990	1.0000	0.6383	0.6370	0.6812	0.4127	0.6098	0.5321	0.4646	0.5072	0.5333	0.6278	0.5701	0.5581	0.7044	0.6046	0.6510	0.7131	0.6563	0.6382	0.6111	0.6796	0.6762	0.5847	0.5721	0.5484	0.4947	0.5194	0.5076	0.5612	0.5771	0.6164	0.5289
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2954	0.2648	0.2814	0.3485	0.3738	0.3738	0.4048	0.4529	0.4084	0.5712	0.6383	1.0000	0.6283	0.6579	0.5342	0.6438	0.5849	0.5602	0.6077	0.6088	0.5925	0.5955	0.5863	0.6707	0.6537	0.6909	0.6906	0.6487	0.6992	0.6465	0.6753	0.6605	0.6096	0.6524	0.6087	0.5844	0.5956	0.5097	0.5570	0.5079	0.5032	0.4556
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3244	0.3077	0.3140	0.3464	0.4025	0.4135	0.4652	0.5054	0.4485	0.6363	0.6370	0.6283	1.0000	0.7681	0.5575	0.6579	0.6730	0.6441	0.7143	0.6886	0.7401	0.6766	0.6440	0.7184	0.7261	0.8033	0.7705	0.7133	0.7594	0.7542	0.7438	0.7365	0.6180	0.6641	0.6652	0.5862	0.6091	0.5187	0.5198	0.5291	0.5349	0.4937
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3321	0.3269	0.3473	0.3543	0.4455	0.4900	0.4607	0.5016	0.4399	0.6037	0.6812	0.6579	0.7681	1.0000	0.5195	0.6837	0.7308	0.6587	0.7584	0.6983	0.6009	0.5927	0.6129	0.6706	0.7009	0.8376	0.7807	0.7131	0.7750	0.6723	0.7141	0.6426	0.5962	0.6396	0.5747	0.5416	0.5517	0.5583	0.5477	0.5655	0.5219	0.4869
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3265	0.2540	0.2182	0.2548	0.2640	0.2445	0.4507	0.5284	0.4874	0.5379	0.4127	0.5342	0.5575	0.5195	1.0000	0.6108	0.6203	0.5837	0.6143	0.6392	0.5823	0.6426	0.6341	0.6535	0.6529	0.6691	0.6730	0.7027	0.8540	0.8050	0.6860	0.7018	0.7772	0.7338	0.7673	0.8016	0.7614	0.5838	0.3885	0.4632	0.4165	0.3962
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4163	0.3338	0.2741	0.3196	0.4666	0.5802	0.5838	0.6527	0.6224	0.5238	0.6098	0.6438	0.6579	0.6837	0.6108	1.0000	0.6689	0.7126	0.7533	0.7689	0.5731	0.6741	0.6365	0.7986	0.7848	0.7327	0.7033	0.6733	0.7888	0.6809	0.7344	0.7374	0.6690	0.7823	0.7140	0.7106	0.7256	0.5270	0.5176	0.5333	0.5432	0.5746
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4372	0.3728	0.2799	0.3018	0.3890	0.3634	0.6064	0.7608	0.6441	0.5248	0.5321	0.5849	0.6730	0.7308	0.6203	0.6689	1.0000	0.7374	0.8116	0.7915	0.5662	0.5811	0.5827	0.6782	0.7022	0.8083	0.6896	0.6610	0.7627	0.6817	0.6496	0.6348	0.5913	0.6933	0.6266	0.6047	0.6230	0.5106	0.4564	0.5158	0.4537	0.4996
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5102	0.3976	0.2433	0.2917	0.3730	0.2979	0.7057	0.7835	0.7667	0.4953	0.4646	0.5602	0.6441	0.6587	0.5837	0.7126	0.7374	1.0000	0.8430	0.8489	0.5845	0.6314	0.5948	0.7371	0.7452	0.7061	0.6447	0.6288	0.7384	0.6744	0.6593	0.6869	0.5839	0.7430	0.6770	0.6421	0.6787	0.4780	0.4225	0.4722	0.4390	0.4959
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5154	0.4189	0.2833	0.3127	0.4118	0.3480	0.7285	0.8000	0.7740	0.5286	0.5072	0.6077	0.7143	0.7584	0.6143	0.7533	0.8116	0.8430	1.0000	0.8884	0.5964	0.6566	0.6368	0.7547	0.7890	0.7947	0.7021	0.6761	0.7989	0.7086	0.7042	0.6996	0.6185	0.7739	0.6931	0.6662	0.6945	0.5171	0.4670	0.4994	0.4513	0.5178
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5531	0.4284	0.2611	0.3219	0.4135	0.3185	0.7578	0.8529	0.8355	0.5401	0.5333	0.6088	0.6886	0.6983	0.6392	0.7689	0.7915	0.8489	0.8884	1.0000	0.6462	0.6877	0.6436	0.8152	0.8040	0.7493	0.7133	0.6968	0.8069	0.7473	0.7218	0.7648	0.6570	0.8125	0.7494	0.7126	0.7501	0.5423	0.4608	0.5402	0.5116	0.5550
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3024	0.2586	0.2567	0.3454	0.3241	0.3263	0.4345	0.4908	0.4480	0.7476	0.6278	0.5925	0.7401	0.6009	0.5823	0.5731	0.5662	0.5845	0.5964	0.6462	1.0000	0.7925	0.6939	0.7873	0.7155	0.7072	0.7687	0.7429	0.7062	0.8766	0.7904	0.8924	0.6648	0.6955	0.7866	0.6521	0.6990	0.5117	0.4875	0.5198	0.5494	0.4348
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3433	0.2762	0.2501	0.3378	0.3070	0.3064	0.5081	0.5575	0.5316	0.6453	0.5701	0.5955	0.6766	0.5927	0.6426	0.6741	0.5811	0.6314	0.6566	0.6877	0.7925	1.0000	0.8378	0.7965	0.7804	0.6999	0.7247	0.7086	0.7662	0.8119	0.8790	0.9033	0.7299	0.7714	0.8522	0.7944	0.7859	0.5355	0.4615	0.4952	0.5127	0.4770
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3124	0.2640	0.2476	0.3654	0.3091	0.3279	0.4586	0.5118	0.4822	0.6685	0.5581	0.5863	0.6440	0.6129	0.6341	0.6365	0.5827	0.5948	0.6368	0.6436	0.6939	0.8378	1.0000	0.7113	0.7199	0.6918	0.7104	0.7114	0.7545	0.7633	0.8219	0.7877	0.7042	0.7255	0.7828	0.7523	0.7161	0.5858	0.4973	0.4899	0.4723	0.4465
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4906	0.3440	0.2779	0.3558	0.3852	0.3571	0.6179	0.7113	0.6755	0.6533	0.7044	0.6707	0.7184	0.6706	0.6535	0.7986	0.6782	0.7371	0.7547	0.8152	0.7873	0.7965	0.7113	1.0000	0.8379	0.7497	0.7737	0.7588	0.8182	0.8148	0.8275	0.9046	0.7525	0.8509	0.8365	0.7772	0.8202	0.5630	0.5312	0.5907	0.6490	0.7156
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4399	0.3576	0.2859	0.3559	0.4188	0.3586	0.6129	0.6773	0.6471	0.6166	0.6046	0.6537	0.7261	0.7009	0.6529	0.7848	0.7022	0.7452	0.7890	0.8040	0.7155	0.7804	0.7199	0.8379	1.0000	0.7888	0.7585	0.7332	0.8184	0.7852	0.8099	0.8369	0.7059	0.8182	0.7945	0.7472	0.7772	0.5457	0.5081	0.5429	0.5456	0.5542
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3675	0.3355	0.3430	0.3600	0.4329	0.4423	0.5009	0.5746	0.4892	0.6802	0.6510	0.6909	0.8033	0.8376	0.6691	0.7327	0.8083	0.7061	0.7947	0.7493	0.7072	0.6999	0.6918	0.7497	0.7888	1.0000	0.8445	0.8149	0.8648	0.8103	0.7964	0.7563	0.7171	0.7516	0.7160	0.6882	0.6933	0.6187	0.5550	0.5753	0.5303	0.5112
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3372	0.2936	0.3301	0.3954	0.4238	0.4447	0.4542	0.5198	0.4591	0.7232	0.7131	0.6906	0.7705	0.7807	0.6730	0.7033	0.6896	0.6447	0.7021	0.7133	0.7687	0.7247	0.7104	0.7737	0.7585	0.8445	1.0000	0.8414	0.8588	0.8452	0.8206	0.8123	0.7738	0.7467	0.7535	0.7123	0.7159	0.6824	0.5708	0.6226	0.5831	0.4956
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3306	0.2963	0.2967	0.3427	0.3843	0.3951	0.4450	0.5145	0.4729	0.7750	0.6563	0.6487	0.7133	0.7131	0.7027	0.6733	0.6610	0.6288	0.6761	0.6968	0.7429	0.7086	0.7114	0.7588	0.7332	0.8149	0.8414	1.0000	0.8471	0.8536	0.7972	0.8026	0.7911	0.7594	0.7710	0.7392	0.7421	0.7325	0.5506	0.5920	0.5564	0.4681
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4143	0.3330	0.3212	0.3528	0.4342	0.3998	0.5577	0.6336	0.5865	0.6634	0.6382	0.6992	0.7594	0.7750	0.8540	0.7888	0.7627	0.7384	0.7989	0.8069	0.7062	0.7662	0.7545	0.8182	0.8184	0.8648	0.8588	0.8471	1.0000	0.8813	0.8523	0.8409	0.8542	0.8446	0.8416	0.8441	0.8244	0.7078	0.5437	0.6147	0.5696	0.5375
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3553	0.3037	0.2842	0.3487	0.3433	0.3472	0.5071	0.5791	0.5356	0.7427	0.6111	0.6465	0.7542	0.6723	0.8050	0.6809	0.6817	0.6744	0.7086	0.7473	0.8766	0.8119	0.7633	0.8148	0.7852	0.8103	0.8452	0.8536	0.8813	1.0000	0.8463	0.8978	0.8307	0.8202	0.8721	0.8192	0.8286	0.6649	0.5186	0.5698	0.5507	0.4743
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3595	0.2887	0.3055	0.3673	0.3936	0.3939	0.4885	0.5467	0.5059	0.6972	0.6796	0.6753	0.7438	0.7141	0.6860	0.7344	0.6496	0.6593	0.7042	0.7218	0.7904	0.8790	0.8219	0.8275	0.8099	0.7964	0.8206	0.7972	0.8523	0.8463	1.0000	0.9019	0.8036	0.8047	0.8475	0.8149	0.8018	0.6303	0.5435	0.5778	0.5800	0.5173
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4044	0.3078	0.2747	0.3561	0.3726	0.3369	0.5484	0.6209	0.5913	0.7128	0.6762	0.6605	0.7365	0.6426	0.7018	0.7374	0.6348	0.6869	0.6996	0.7648	0.8924	0.9033	0.7877	0.9046	0.8369	0.7563	0.8123	0.8026	0.8409	0.8978	0.9019	1.0000	0.8066	0.8466	0.9138	0.8357	0.8590	0.6051	0.5188	0.5794	0.6112	0.5469
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3394	0.2458	0.2556	0.3004	0.3225	0.3217	0.4298	0.5054	0.4664	0.6239	0.5847	0.6096	0.6180	0.5962	0.7772	0.6690	0.5913	0.5839	0.6185	0.6570	0.6648	0.7299	0.7042	0.7525	0.7059	0.7171	0.7738	0.7911	0.8542	0.8307	0.8036	0.8066	1.0000	0.7889	0.8271	0.8657	0.8252	0.6809	0.4742	0.5637	0.5274	0.4576
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4573	0.3494	0.2610	0.3281	0.3713	0.3174	0.6273	0.7107	0.6884	0.6116	0.5721	0.6524	0.6641	0.6396	0.7338	0.7823	0.6933	0.7430	0.7739	0.8125	0.6955	0.7714	0.7255	0.8509	0.8182	0.7516	0.7467	0.7594	0.8446	0.8202	0.8047	0.8466	0.7889	1.0000	0.8525	0.8475	0.9283	0.5936	0.5462	0.5517	0.5383	0.5310
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3989	0.2950	0.2415	0.3183	0.3114	0.2855	0.5590	0.6319	0.6083	0.6414	0.5484	0.6087	0.6652	0.5747	0.7673	0.7140	0.6266	0.6770	0.6931	0.7494	0.7866	0.8522	0.7828	0.8365	0.7945	0.7160	0.7535	0.7710	0.8416	0.8721	0.8475	0.9138	0.8271	0.8525	1.0000	0.8906	0.8869	0.6123	0.4600	0.5383	0.5365	0.4922
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3776	0.2768	0.2284	0.2930	0.2781	0.2795	0.5256	0.6024	0.5771	0.5813	0.4947	0.5844	0.5862	0.5416	0.8016	0.7106	0.6047	0.6421	0.6662	0.7126	0.6521	0.7944	0.7523	0.7772	0.7472	0.6882	0.7123	0.7392	0.8441	0.8192	0.8149	0.8357	0.8657	0.8475	0.8906	1.0000	0.8964	0.6185	0.4336	0.5190	0.4924	0.4666
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4179	0.3022	0.2309	0.3056	0.3145	0.2714	0.5725	0.6538	0.6343	0.6007	0.5194	0.5956	0.6091	0.5517	0.7614	0.7256	0.6230	0.6787	0.6945	0.7501	0.6990	0.7859	0.7161	0.8202	0.7772	0.6933	0.7159	0.7421	0.8244	0.8286	0.8018	0.8590	0.8252	0.9283	0.8869	0.8964	1.0000	0.5891	0.4562	0.5257	0.5142	0.4925
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2414	0.2097	0.2275	0.2584	0.2997	0.3083	0.3319	0.3870	0.3637	0.5452	0.5076	0.5097	0.5187	0.5583	0.5838	0.5270	0.5106	0.4780	0.5171	0.5423	0.5117	0.5355	0.5858	0.5630	0.5457	0.6187	0.6824	0.7325	0.7078	0.6649	0.6303	0.6051	0.6809	0.5936	0.6123	0.6185	0.5891	1.0000	0.4315	0.4979	0.4187	0.3408
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2222	0.2011	0.2309	0.3860	0.3329	0.3389	0.2878	0.3286	0.2931	0.5383	0.5612	0.5570	0.5198	0.5477	0.3885	0.5176	0.4564	0.4225	0.4670	0.4608	0.4875	0.4615	0.4973	0.5312	0.5081	0.5550	0.5708	0.5506	0.5437	0.5186	0.5435	0.5188	0.4742	0.5462	0.4600	0.4336	0.4562	0.4315	1.0000	0.4079	0.4093	0.3448
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2669	0.2185	0.2291	0.5679	0.2946	0.3328	0.6415	0.4232	0.3794	0.4893	0.5771	0.5079	0.5291	0.5655	0.4632	0.5333	0.5158	0.4722	0.4994	0.5402	0.5198	0.4952	0.4899	0.5907	0.5429	0.5753	0.6226	0.5920	0.6147	0.5698	0.5778	0.5794	0.5637	0.5517	0.5383	0.5190	0.5257	0.4979	0.4079	1.0000	0.4781	0.4128
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2624	0.2017	0.2254	0.2762	0.3096	0.3384	0.3219	0.3869	0.3513	0.4790	0.6164	0.5032	0.5349	0.5219	0.4165	0.5432	0.4537	0.4390	0.4513	0.5116	0.5494	0.5127	0.4723	0.6490	0.5456	0.5303	0.5831	0.5564	0.5696	0.5507	0.5800	0.6112	0.5274	0.5383	0.5365	0.4924	0.5142	0.4187	0.4093	0.4781	1.0000	0.5300
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3008	0.2389	0.1941	0.2492	0.2634	0.2693	0.4211	0.5280	0.4534	0.3827	0.5289	0.4556	0.4937	0.4869	0.3962	0.5746	0.4996	0.4959	0.5178	0.5550	0.4348	0.4770	0.4465	0.7156	0.5542	0.5112	0.4956	0.4681	0.5375	0.4743	0.5173	0.5469	0.4576	0.5310	0.4922	0.4666	0.4925	0.3408	0.3448	0.4128	0.5300	1.0000
