#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5503	0.6407	0.5995	0.6175	0.7588	0.7702	0.7780	0.8047	0.8292	0.7400	0.7563	1.0000	0.7789	0.8058	0.7904	0.7327	0.7285	0.7013	0.7524	0.7423	0.5620	0.7705	0.7495	0.7577	0.7408	0.7295	0.7329	0.7326	0.7509	0.7344	0.7234	0.6152	0.7100	0.6957	0.6975	0.6593	0.6735	0.6564	0.6252	0.6854	0.6698	0.6672
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6234	0.6967	0.6635	0.6716	0.7552	0.7835	0.7857	0.8224	0.8673	0.7689	0.7644	0.7789	1.0000	0.8435	0.8398	0.7821	0.7824	0.7160	0.7684	0.7643	0.5030	0.7591	0.7380	0.7597	0.7185	0.7078	0.7148	0.7105	0.7237	0.7433	0.7509	0.5543	0.6772	0.6374	0.6413	0.6082	0.6401	0.6451	0.6026	0.6589	0.6479	0.6309
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6071	0.6942	0.6542	0.6686	0.7877	0.8006	0.8044	0.8534	0.8853	0.7803	0.7909	0.8058	0.8435	1.0000	0.8523	0.7847	0.7794	0.7394	0.7915	0.7836	0.5476	0.7887	0.7622	0.7876	0.7558	0.7438	0.7448	0.7439	0.7619	0.7641	0.7604	0.6018	0.7128	0.6879	0.6913	0.6545	0.6749	0.6663	0.6301	0.6922	0.6779	0.6752
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6110	0.6934	0.6574	0.6709	0.7843	0.7921	0.8054	0.8349	0.8708	0.7671	0.7774	0.7904	0.8398	0.8523	1.0000	0.7769	0.7724	0.7378	0.7872	0.7839	0.5443	0.7879	0.7647	0.7798	0.7464	0.7396	0.7446	0.7426	0.7548	0.7540	0.7558	0.5994	0.7113	0.6824	0.6836	0.6489	0.6712	0.6645	0.6242	0.6968	0.6733	0.6691
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5399	0.6177	0.5842	0.5939	0.7232	0.7592	0.7654	0.7793	0.8257	0.7495	0.7295	0.7327	0.7821	0.7847	0.7769	1.0000	0.7467	0.6625	0.7194	0.7112	0.5323	0.7542	0.7350	0.7495	0.7166	0.7085	0.7141	0.7112	0.7272	0.7364	0.7406	0.5721	0.6865	0.6568	0.6516	0.6279	0.6514	0.6449	0.6124	0.6510	0.6426	0.6176
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5287	0.6063	0.5728	0.5827	0.7172	0.7715	0.7634	0.7770	0.8237	0.7554	0.7236	0.7285	0.7824	0.7794	0.7724	0.7467	1.0000	0.6515	0.7110	0.7008	0.5328	0.7504	0.7318	0.7497	0.7207	0.7049	0.7119	0.7081	0.7210	0.7456	0.7566	0.5695	0.6848	0.6506	0.6477	0.6264	0.6537	0.6460	0.6185	0.6442	0.6434	0.6033
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6814	0.7380	0.7209	0.7357	0.7597	0.6717	0.7090	0.7277	0.7342	0.6422	0.6784	0.7013	0.7160	0.7394	0.7378	0.6625	0.6515	1.0000	0.7875	0.8043	0.4352	0.6845	0.6614	0.6347	0.6171	0.6454	0.6348	0.6365	0.6476	0.6175	0.6094	0.5315	0.6017	0.5985	0.5852	0.5432	0.5456	0.5381	0.4766	0.6776	0.5656	0.5988
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6479	0.7282	0.6975	0.7157	0.8101	0.7407	0.7853	0.7909	0.8097	0.7107	0.7363	0.7524	0.7684	0.7915	0.7872	0.7194	0.7110	0.7875	1.0000	0.8229	0.5231	0.7683	0.7410	0.7234	0.7041	0.7284	0.7174	0.7192	0.7339	0.6980	0.6943	0.6060	0.6891	0.6826	0.6681	0.6286	0.6346	0.6215	0.5676	0.7340	0.6374	0.6627
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6890	0.7523	0.7348	0.7500	0.7959	0.7211	0.7664	0.7760	0.7929	0.6906	0.7221	0.7423	0.7643	0.7836	0.7839	0.7112	0.7008	0.8043	0.8229	1.0000	0.4780	0.7423	0.7192	0.6966	0.6695	0.7003	0.6942	0.6919	0.7028	0.6723	0.6700	0.5698	0.6590	0.6449	0.6322	0.5918	0.5961	0.5868	0.5300	0.7194	0.6158	0.6492
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0846	0.2181	0.1674	0.1898	0.6341	0.6358	0.6919	0.6208	0.6667	0.6056	0.6005	0.5620	0.5030	0.5476	0.5443	0.5323	0.5328	0.4352	0.5231	0.4780	1.0000	0.7811	0.7779	0.8149	0.8347	0.7998	0.7949	0.8291	0.8312	0.7204	0.7167	0.8340	0.8714	0.8657	0.8526	0.8752	0.8576	0.8229	0.8812	0.7117	0.7293	0.6813
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3967	0.5297	0.4739	0.4989	0.8259	0.8195	0.9176	0.8339	0.8879	0.7822	0.7850	0.7705	0.7591	0.7887	0.7879	0.7542	0.7504	0.6845	0.7683	0.7423	0.7811	1.0000	0.9169	0.9037	0.8868	0.9031	0.9104	0.9077	0.9226	0.8397	0.8525	0.8071	0.9105	0.8966	0.8813	0.8569	0.8583	0.8046	0.7975	0.8188	0.7836	0.7884
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3762	0.5077	0.4542	0.4774	0.7982	0.8080	0.8922	0.8070	0.8626	0.7671	0.7663	0.7495	0.7380	0.7622	0.7647	0.7350	0.7318	0.6614	0.7410	0.7192	0.7779	0.9169	1.0000	0.8881	0.8754	0.8817	0.8980	0.8969	0.9084	0.8233	0.8343	0.7942	0.9033	0.8818	0.8718	0.8492	0.8506	0.8005	0.7996	0.8019	0.7799	0.7564
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3407	0.4734	0.4178	0.4401	0.7829	0.8126	0.8631	0.8341	0.8964	0.7930	0.7812	0.7577	0.7597	0.7876	0.7798	0.7495	0.7497	0.6347	0.7234	0.6966	0.8149	0.9037	0.8881	1.0000	0.9116	0.8855	0.8908	0.9075	0.9159	0.8584	0.8685	0.8014	0.9134	0.8816	0.8701	0.8726	0.8678	0.8545	0.8716	0.7829	0.8040	0.7748
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3125	0.4474	0.3909	0.4144	0.7769	0.8020	0.8399	0.8054	0.8517	0.7696	0.7619	0.7408	0.7185	0.7558	0.7464	0.7166	0.7207	0.6171	0.7041	0.6695	0.8347	0.8868	0.8754	0.9116	1.0000	0.8743	0.8763	0.8956	0.9052	0.8384	0.8388	0.8193	0.9072	0.8915	0.8830	0.8803	0.8722	0.8483	0.8641	0.7850	0.7950	0.7570
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3494	0.4786	0.4270	0.4506	0.7908	0.7799	0.8601	0.7935	0.8401	0.7448	0.7489	0.7295	0.7078	0.7438	0.7396	0.7085	0.7049	0.6454	0.7284	0.7003	0.7998	0.9031	0.8817	0.8855	0.8743	1.0000	0.8828	0.8921	0.9046	0.8130	0.8225	0.8107	0.9008	0.8886	0.8709	0.8588	0.8524	0.8058	0.8097	0.8030	0.7727	0.7591
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3394	0.4710	0.4169	0.4410	0.7817	0.7930	0.8747	0.7932	0.8485	0.7475	0.7510	0.7329	0.7148	0.7448	0.7446	0.7141	0.7119	0.6348	0.7174	0.6942	0.7949	0.9104	0.8980	0.8908	0.8763	0.8828	1.0000	0.9000	0.9061	0.8182	0.8295	0.8031	0.9093	0.8858	0.8780	0.8574	0.8591	0.8082	0.8134	0.7916	0.7789	0.7652
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3260	0.4606	0.4065	0.4310	0.7894	0.7894	0.8636	0.7957	0.8494	0.7533	0.7562	0.7326	0.7105	0.7439	0.7426	0.7112	0.7081	0.6365	0.7192	0.6919	0.8291	0.9077	0.8969	0.9075	0.8956	0.8921	0.9000	1.0000	0.9171	0.8265	0.8328	0.8280	0.9210	0.9047	0.8926	0.8809	0.8785	0.8364	0.8464	0.8081	0.7913	0.7658
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3361	0.4764	0.4179	0.4434	0.8020	0.8141	0.8755	0.8119	0.8687	0.7785	0.7718	0.7509	0.7237	0.7619	0.7548	0.7272	0.7210	0.6476	0.7339	0.7028	0.8312	0.9226	0.9084	0.9159	0.9052	0.9046	0.9061	0.9171	1.0000	0.8427	0.8417	0.8355	0.9327	0.9188	0.9049	0.8922	0.8854	0.8392	0.8516	0.8146	0.8083	0.7843
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3801	0.4897	0.4454	0.4626	0.7492	0.8027	0.8069	0.7936	0.8545	0.7856	0.7507	0.7344	0.7433	0.7641	0.7540	0.7364	0.7456	0.6175	0.6980	0.6723	0.7204	0.8397	0.8233	0.8584	0.8384	0.8130	0.8182	0.8265	0.8427	1.0000	0.8227	0.7240	0.8256	0.8019	0.7926	0.7849	0.7961	0.7725	0.7793	0.7251	0.7390	0.6971
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3706	0.4830	0.4373	0.4532	0.7443	0.7884	0.8312	0.7939	0.8575	0.7742	0.7428	0.7234	0.7509	0.7604	0.7558	0.7406	0.7566	0.6094	0.6943	0.6700	0.7167	0.8525	0.8343	0.8685	0.8388	0.8225	0.8295	0.8328	0.8417	0.8227	1.0000	0.7170	0.8312	0.7967	0.7860	0.7823	0.7927	0.7696	0.7753	0.7252	0.7278	0.6911
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1950	0.3256	0.2759	0.3022	0.6973	0.6699	0.7376	0.6660	0.7016	0.6324	0.6430	0.6152	0.5543	0.6018	0.5994	0.5721	0.5695	0.5315	0.6060	0.5698	0.8340	0.8071	0.7942	0.8014	0.8193	0.8107	0.8031	0.8280	0.8355	0.7240	0.7170	1.0000	0.8541	0.8655	0.8487	0.8439	0.8210	0.7770	0.8011	0.7468	0.7190	0.7035
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2713	0.4119	0.3559	0.3809	0.7698	0.7799	0.8541	0.7719	0.8290	0.7397	0.7370	0.7100	0.6772	0.7128	0.7113	0.6865	0.6848	0.6017	0.6891	0.6590	0.8714	0.9105	0.9033	0.9134	0.9072	0.9008	0.9093	0.9210	0.9327	0.8256	0.8312	0.8541	1.0000	0.9253	0.9149	0.9113	0.9003	0.8538	0.8813	0.8067	0.8065	0.7720
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2443	0.3913	0.3323	0.3620	0.7708	0.7548	0.8360	0.7552	0.7957	0.7151	0.7226	0.6957	0.6374	0.6879	0.6824	0.6568	0.6506	0.5985	0.6826	0.6449	0.8657	0.8966	0.8818	0.8816	0.8915	0.8886	0.8858	0.9047	0.9188	0.8019	0.7967	0.8655	0.9253	1.0000	0.9182	0.9062	0.8799	0.8285	0.8459	0.8081	0.7822	0.7684
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2434	0.3904	0.3288	0.3579	0.7561	0.7489	0.8258	0.7508	0.7888	0.7070	0.7200	0.6975	0.6413	0.6913	0.6836	0.6516	0.6477	0.5852	0.6681	0.6322	0.8526	0.8813	0.8718	0.8701	0.8830	0.8709	0.8780	0.8926	0.9049	0.7926	0.7860	0.8487	0.9149	0.9182	1.0000	0.8918	0.8774	0.8213	0.8429	0.7911	0.7807	0.7665
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1988	0.3400	0.2838	0.3099	0.7204	0.7257	0.7897	0.7213	0.7656	0.6911	0.6899	0.6593	0.6082	0.6545	0.6489	0.6279	0.6264	0.5432	0.6286	0.5918	0.8752	0.8569	0.8492	0.8726	0.8803	0.8588	0.8574	0.8809	0.8922	0.7849	0.7823	0.8439	0.9113	0.9062	0.8918	1.0000	0.8725	0.8314	0.8654	0.7689	0.7719	0.7388
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2340	0.3662	0.3128	0.3343	0.7197	0.7573	0.7949	0.7286	0.7840	0.7140	0.7004	0.6735	0.6401	0.6749	0.6712	0.6514	0.6537	0.5456	0.6346	0.5961	0.8576	0.8583	0.8506	0.8678	0.8722	0.8524	0.8591	0.8785	0.8854	0.7961	0.7927	0.8210	0.9003	0.8799	0.8774	0.8725	1.0000	0.8351	0.8644	0.7570	0.7845	0.7284
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2657	0.3815	0.3367	0.3504	0.6957	0.7226	0.7425	0.7129	0.7678	0.6982	0.6809	0.6564	0.6451	0.6663	0.6645	0.6449	0.6460	0.5381	0.6215	0.5868	0.8229	0.8046	0.8005	0.8545	0.8483	0.8058	0.8082	0.8364	0.8392	0.7725	0.7696	0.7770	0.8538	0.8285	0.8213	0.8314	0.8351	1.0000	0.8673	0.7253	0.7555	0.6880
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1756	0.2988	0.2508	0.2673	0.6603	0.7131	0.7179	0.6833	0.7484	0.6877	0.6564	0.6252	0.6026	0.6301	0.6242	0.6124	0.6185	0.4766	0.5676	0.5300	0.8812	0.7975	0.7996	0.8716	0.8641	0.8097	0.8134	0.8464	0.8516	0.7793	0.7753	0.8011	0.8813	0.8459	0.8429	0.8654	0.8644	0.8673	1.0000	0.7128	0.7669	0.6893
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4260	0.5328	0.4968	0.5177	0.7828	0.7136	0.7909	0.7296	0.7591	0.6744	0.6944	0.6854	0.6589	0.6922	0.6968	0.6510	0.6442	0.6776	0.7340	0.7194	0.7117	0.8188	0.8019	0.7829	0.7850	0.8030	0.7916	0.8081	0.8146	0.7251	0.7252	0.7468	0.8067	0.8081	0.7911	0.7689	0.7570	0.7253	0.7128	1.0000	0.7012	0.7043
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3216	0.4346	0.3887	0.4069	0.6909	0.7452	0.7457	0.7093	0.7575	0.6937	0.6813	0.6698	0.6479	0.6779	0.6733	0.6426	0.6434	0.5656	0.6374	0.6158	0.7293	0.7836	0.7799	0.8040	0.7950	0.7727	0.7789	0.7913	0.8083	0.7390	0.7278	0.7190	0.8065	0.7822	0.7807	0.7719	0.7845	0.7555	0.7669	0.7012	1.0000	0.6805
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3515	0.4646	0.4130	0.4403	0.7111	0.6837	0.7479	0.7175	0.7454	0.6402	0.6730	0.6672	0.6309	0.6752	0.6691	0.6176	0.6033	0.5988	0.6627	0.6492	0.6813	0.7884	0.7564	0.7748	0.7570	0.7591	0.7652	0.7658	0.7843	0.6971	0.6911	0.7035	0.7720	0.7684	0.7665	0.7388	0.7284	0.6880	0.6893	0.7043	0.6805	1.0000
