#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2032	0.3206	0.2950	0.2765	0.6828	0.6836	0.7309	0.7101	0.6702	0.6560	0.6524	0.6196	0.5674	0.6049	0.6069	0.5925	0.5934	0.5098	0.5860	0.5470	1.0000	0.8062	0.8089	0.8388	0.8563	0.8259	0.8208	0.8513	0.8527	0.7566	0.7514	0.8554	0.8882	0.8828	0.8715	0.8764	0.8915	0.8470	0.8978	0.7504	0.7227	0.7630
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4581	0.5735	0.5462	0.5267	0.8257	0.8330	0.9063	0.8801	0.8315	0.7964	0.7967	0.7827	0.7715	0.7958	0.7930	0.7690	0.7662	0.7066	0.7758	0.7572	0.8062	1.0000	0.9282	0.9013	0.8915	0.8970	0.9117	0.9108	0.9207	0.8460	0.8537	0.8217	0.9160	0.8972	0.8884	0.8708	0.8688	0.8266	0.8255	0.8286	0.7883	0.8054
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4760	0.5929	0.5651	0.5440	0.8497	0.8432	0.9288	0.9025	0.8554	0.8096	0.8131	0.8015	0.7901	0.8164	0.8163	0.7859	0.7830	0.7268	0.7993	0.7771	0.8089	0.9282	1.0000	0.9148	0.9013	0.9158	0.9221	0.9202	0.9328	0.8601	0.8701	0.8324	0.9221	0.9100	0.8969	0.8771	0.8754	0.8299	0.8236	0.8430	0.8161	0.8082
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4260	0.5426	0.5126	0.4937	0.8115	0.8368	0.8795	0.9095	0.8551	0.8191	0.8087	0.7890	0.7907	0.8089	0.8151	0.7815	0.7826	0.6827	0.7599	0.7366	0.8388	0.9013	0.9148	1.0000	0.9229	0.8996	0.9036	0.9185	0.9258	0.8761	0.8850	0.8258	0.9237	0.8959	0.8856	0.8843	0.8889	0.8734	0.8888	0.8113	0.8028	0.8280
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4022	0.5208	0.4912	0.4716	0.8066	0.8287	0.8606	0.8712	0.8311	0.7990	0.7928	0.7753	0.7553	0.7802	0.7878	0.7533	0.7572	0.6682	0.7431	0.7136	0.8563	0.8915	0.9013	0.9229	1.0000	0.8906	0.8921	0.9094	0.9177	0.8598	0.8586	0.8427	0.9196	0.9055	0.8982	0.8891	0.8961	0.8691	0.8830	0.8139	0.7886	0.8201
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4345	0.5484	0.5230	0.5030	0.8196	0.8087	0.8785	0.8611	0.8206	0.7773	0.7813	0.7659	0.7456	0.7749	0.7776	0.7463	0.7432	0.6929	0.7651	0.7408	0.8259	0.8970	0.9158	0.8996	0.8906	1.0000	0.8980	0.9064	0.9173	0.8374	0.8442	0.8357	0.9139	0.9033	0.8882	0.8723	0.8772	0.8310	0.8348	0.8300	0.7902	0.7993
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4252	0.5406	0.5138	0.4938	0.8108	0.8194	0.8912	0.8678	0.8197	0.7790	0.7828	0.7682	0.7513	0.7780	0.7777	0.7505	0.7481	0.6831	0.7546	0.7350	0.8208	0.9117	0.9221	0.9036	0.8921	0.8980	1.0000	0.9133	0.9184	0.8413	0.8497	0.8293	0.9212	0.9008	0.8941	0.8773	0.8761	0.8321	0.8375	0.8195	0.7960	0.8047
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4141	0.5327	0.5058	0.4855	0.8184	0.8172	0.8817	0.8690	0.8226	0.7847	0.7879	0.7688	0.7476	0.7773	0.7779	0.7488	0.7464	0.6851	0.7572	0.7334	0.8513	0.9108	0.9202	0.9185	0.9094	0.9064	0.9133	1.0000	0.9283	0.8491	0.8533	0.8507	0.9317	0.9180	0.9070	0.8951	0.8969	0.8578	0.8667	0.8340	0.7961	0.8156
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4233	0.5466	0.5168	0.4953	0.8294	0.8388	0.8918	0.8860	0.8367	0.8067	0.8017	0.7846	0.7594	0.7878	0.7936	0.7623	0.7575	0.6951	0.7698	0.7430	0.8527	0.9207	0.9328	0.9258	0.9177	0.9173	0.9184	0.9283	1.0000	0.8630	0.8606	0.8569	0.9417	0.9296	0.9177	0.9008	0.9067	0.8599	0.8712	0.8399	0.8126	0.8305
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4608	0.5575	0.5330	0.5179	0.7827	0.8280	0.8316	0.8735	0.8206	0.8131	0.7823	0.7696	0.7768	0.7866	0.7949	0.7708	0.7790	0.6682	0.7383	0.7159	0.7566	0.8460	0.8601	0.8761	0.8598	0.8374	0.8413	0.8491	0.8630	1.0000	0.8451	0.7597	0.8480	0.8272	0.8192	0.8228	0.8127	0.8022	0.8085	0.7620	0.7350	0.7704
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4507	0.5493	0.5225	0.5095	0.7773	0.8146	0.8517	0.8757	0.8196	0.8026	0.7741	0.7584	0.7827	0.7868	0.7911	0.7745	0.7882	0.6596	0.7333	0.7121	0.7514	0.8537	0.8701	0.8850	0.8586	0.8442	0.8497	0.8533	0.8606	0.8451	1.0000	0.7518	0.8512	0.8213	0.8113	0.8179	0.8088	0.7978	0.8043	0.7601	0.7279	0.7591
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2997	0.4141	0.3931	0.3710	0.7379	0.7129	0.7716	0.7398	0.7093	0.6784	0.6895	0.6659	0.6114	0.6523	0.6540	0.6274	0.6254	0.5933	0.6582	0.6269	0.8554	0.8217	0.8324	0.8258	0.8427	0.8357	0.8293	0.8507	0.8569	0.7597	0.7518	1.0000	0.8735	0.8836	0.8690	0.8453	0.8646	0.8058	0.8268	0.7806	0.7417	0.7525
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3672	0.4908	0.4625	0.4418	0.8012	0.8091	0.8731	0.8512	0.8017	0.7726	0.7717	0.7490	0.7190	0.7501	0.7508	0.7274	0.7260	0.6551	0.7307	0.7052	0.8882	0.9160	0.9221	0.9237	0.9196	0.9139	0.9212	0.9317	0.9417	0.8480	0.8512	0.8735	1.0000	0.9354	0.9262	0.9138	0.9232	0.8732	0.8970	0.8334	0.8017	0.8294
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3432	0.4724	0.4458	0.4209	0.8016	0.7870	0.8572	0.8222	0.7872	0.7509	0.7585	0.7363	0.6844	0.7248	0.7289	0.7010	0.6954	0.6522	0.7250	0.6929	0.8828	0.8972	0.9100	0.8959	0.9055	0.9033	0.9008	0.9180	0.9296	0.8272	0.8213	0.8836	0.9354	1.0000	0.9293	0.8960	0.9188	0.8508	0.8661	0.8346	0.7986	0.8074
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3415	0.4711	0.4416	0.4174	0.7891	0.7817	0.8481	0.8158	0.7832	0.7435	0.7559	0.7375	0.6870	0.7255	0.7314	0.6962	0.6928	0.6403	0.7125	0.6811	0.8715	0.8884	0.8969	0.8856	0.8982	0.8882	0.8941	0.9070	0.9177	0.8192	0.8113	0.8690	0.9262	0.9293	1.0000	0.8938	0.9060	0.8442	0.8629	0.8192	0.7970	0.8066
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3341	0.4503	0.4213	0.4035	0.7580	0.7895	0.8218	0.8123	0.7639	0.7507	0.7397	0.7174	0.6868	0.7153	0.7179	0.6969	0.6989	0.6062	0.6833	0.6506	0.8764	0.8708	0.8771	0.8843	0.8891	0.8723	0.8773	0.8951	0.9008	0.8228	0.8179	0.8453	0.9138	0.8960	0.8938	1.0000	0.8898	0.8568	0.8822	0.7901	0.7643	0.8103
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3034	0.4279	0.4002	0.3791	0.7584	0.7620	0.8169	0.7963	0.7580	0.7305	0.7308	0.7047	0.6591	0.6954	0.7006	0.6763	0.6750	0.6047	0.6781	0.6466	0.8915	0.8688	0.8754	0.8889	0.8961	0.8772	0.8761	0.8969	0.9067	0.8127	0.8088	0.8646	0.9232	0.9188	0.9060	0.8898	1.0000	0.8543	0.8837	0.7998	0.7738	0.7997
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3614	0.4632	0.4354	0.4244	0.7358	0.7594	0.7753	0.7979	0.7505	0.7363	0.7232	0.7016	0.6911	0.7090	0.7104	0.6912	0.6924	0.5992	0.6711	0.6420	0.8470	0.8266	0.8299	0.8734	0.8691	0.8310	0.8321	0.8578	0.8599	0.8022	0.7978	0.8058	0.8732	0.8508	0.8442	0.8568	0.8543	1.0000	0.8856	0.7620	0.7284	0.7868
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2831	0.3916	0.3633	0.3502	0.7064	0.7517	0.7540	0.7819	0.7254	0.7284	0.7016	0.6756	0.6550	0.6748	0.6803	0.6629	0.6690	0.5469	0.6249	0.5929	0.8978	0.8255	0.8236	0.8888	0.8830	0.8348	0.8375	0.8667	0.8712	0.8085	0.8043	0.8268	0.8970	0.8661	0.8629	0.8822	0.8837	0.8856	1.0000	0.7520	0.7296	0.7967
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5000	0.5940	0.5797	0.5631	0.8120	0.7521	0.8186	0.7910	0.7653	0.7161	0.7339	0.7271	0.7032	0.7371	0.7327	0.6965	0.6903	0.7202	0.7687	0.7564	0.7504	0.8286	0.8430	0.8113	0.8139	0.8300	0.8195	0.8340	0.8399	0.7620	0.7601	0.7806	0.8334	0.8346	0.8192	0.7901	0.7998	0.7620	0.7520	1.0000	0.7422	0.7383
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4338	0.5338	0.5120	0.4886	0.7481	0.7246	0.7796	0.7773	0.7531	0.6847	0.7152	0.7103	0.6766	0.7120	0.7170	0.6658	0.6537	0.6500	0.7060	0.6932	0.7227	0.7883	0.8161	0.8028	0.7886	0.7902	0.7960	0.7961	0.8126	0.7350	0.7279	0.7417	0.8017	0.7986	0.7970	0.7643	0.7738	0.7284	0.7296	0.7422	1.0000	0.7199
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4078	0.5059	0.4820	0.4662	0.7290	0.7758	0.7745	0.7862	0.7446	0.7301	0.7203	0.7107	0.6911	0.7141	0.7174	0.6858	0.6866	0.6197	0.6817	0.6634	0.7630	0.8054	0.8082	0.8280	0.8201	0.7993	0.8047	0.8156	0.8305	0.7704	0.7591	0.7525	0.8294	0.8074	0.8066	0.8103	0.7997	0.7868	0.7967	0.7383	0.7199	1.0000
