#plotCorrelation --outFileCorMatrix
	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5807	0.4693	0.5234	0.5441	0.6218	0.5104	0.8416	0.9015	0.8899	0.8529	1.0000	0.9238	0.8999	0.6211	0.5379	0.6358	0.7929	0.7366	0.7620	0.7970	0.8148	0.8186	0.8219	0.8255	0.6994	0.6845	0.6005	0.6639	0.6377	0.6808	0.7253	0.7354	0.7359	0.6972	0.7288	0.6440	0.3636	0.3058	0.4545	0.3661	0.1115	0.2334
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5330	0.4083	0.4887	0.4987	0.6116	0.4774	0.8281	0.8698	0.8556	0.8726	0.9238	1.0000	0.8997	0.5670	0.5162	0.6022	0.8240	0.7544	0.8119	0.7718	0.7999	0.7526	0.7991	0.7819	0.6788	0.6531	0.5474	0.6203	0.6206	0.6229	0.6611	0.6727	0.6911	0.6646	0.6555	0.6204	0.3629	0.3220	0.4532	0.3893	0.1098	0.2136
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5282	0.4114	0.4709	0.4886	0.5830	0.4547	0.8096	0.8570	0.8476	0.8200	0.8999	0.8997	1.0000	0.5721	0.5009	0.5922	0.7642	0.7067	0.7394	0.7534	0.7653	0.7549	0.7773	0.7716	0.6457	0.6312	0.5401	0.6180	0.6005	0.6230	0.6667	0.6773	0.6792	0.6471	0.6650	0.6148	0.3367	0.2906	0.4250	0.3508	0.0980	0.2163
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4343	0.5290	0.5055	0.5246	0.5923	0.6028	0.4580	0.4911	0.4592	0.5550	0.6211	0.5670	0.5721	1.0000	0.7593	0.5877	0.6938	0.7392	0.5859	0.5725	0.6940	0.7813	0.7077	0.6910	0.7461	0.7337	0.6494	0.7948	0.6851	0.6482	0.7857	0.7017	0.8779	0.7820	0.8942	0.3457	0.3953	0.2780	0.3270	0.3452	0.1519	0.1295
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3860	0.4775	0.5518	0.5017	0.5997	0.5987	0.3715	0.4058	0.3743	0.5279	0.5379	0.5162	0.5009	0.7593	1.0000	0.5542	0.6796	0.6501	0.5980	0.5406	0.6640	0.6656	0.6373	0.6311	0.7329	0.7928	0.6214	0.6630	0.6822	0.5936	0.6565	0.6239	0.7570	0.7116	0.7301	0.2886	0.4781	0.2891	0.3572	0.3940	0.2642	0.1607
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4103	0.4100	0.5905	0.4812	0.5447	0.4156	0.4868	0.5404	0.5086	0.6208	0.6358	0.6022	0.5922	0.5877	0.5542	1.0000	0.6813	0.5855	0.5463	0.6306	0.8512	0.6643	0.6629	0.7388	0.6752	0.7047	0.7740	0.6504	0.6384	0.8017	0.7716	0.7639	0.8068	0.6941	0.7066	0.3789	0.3080	0.2474	0.2906	0.2800	0.0932	0.1269
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5273	0.4990	0.6147	0.5878	0.6971	0.6270	0.6135	0.6606	0.5979	0.8411	0.7929	0.8240	0.7642	0.6938	0.6796	0.6813	1.0000	0.8365	0.8682	0.7613	0.8812	0.7620	0.8080	0.7753	0.8310	0.8048	0.6833	0.6939	0.6934	0.6812	0.7155	0.6995	0.8126	0.7845	0.7450	0.4743	0.4298	0.3773	0.4698	0.4813	0.1281	0.2064
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5105	0.5044	0.5236	0.5496	0.6417	0.6098	0.5736	0.5972	0.5540	0.7267	0.7366	0.7544	0.7067	0.7392	0.6501	0.5855	0.8365	1.0000	0.8062	0.6934	0.7940	0.7376	0.7521	0.6983	0.7670	0.7181	0.6025	0.6829	0.6533	0.5943	0.6774	0.6286	0.7752	0.7442	0.7405	0.4292	0.3988	0.3477	0.4497	0.4502	0.1154	0.1859
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5115	0.4821	0.5518	0.5741	0.6637	0.6416	0.5959	0.6218	0.5757	0.7911	0.7620	0.8119	0.7394	0.5859	0.5980	0.5463	0.8682	0.8062	1.0000	0.7183	0.8082	0.6900	0.7318	0.6775	0.7707	0.7049	0.5653	0.5877	0.6186	0.5446	0.5815	0.5694	0.6826	0.6984	0.6316	0.4517	0.4199	0.3791	0.4824	0.5189	0.1233	0.1991
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5892	0.5310	0.5393	0.5557	0.6698	0.6071	0.6549	0.7033	0.6825	0.7138	0.7970	0.7718	0.7534	0.5725	0.5406	0.6306	0.7613	0.6934	0.7183	1.0000	0.8064	0.8178	0.8126	0.8142	0.7188	0.6824	0.6612	0.6820	0.6527	0.7207	0.7291	0.7471	0.6948	0.7428	0.7404	0.5005	0.4269	0.3153	0.5065	0.5962	0.1440	0.1638
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5556	0.5431	0.7018	0.6292	0.7012	0.6216	0.6266	0.6769	0.6395	0.7819	0.8148	0.7999	0.7653	0.6940	0.6640	0.8512	0.8812	0.7940	0.8082	0.8064	1.0000	0.8213	0.8245	0.8481	0.8473	0.8308	0.8226	0.7560	0.7490	0.8284	0.8313	0.8163	0.8749	0.8398	0.8251	0.4934	0.4174	0.3551	0.4664	0.4388	0.1209	0.1628
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7289	0.6303	0.5664	0.6067	0.6887	0.6933	0.6645	0.7360	0.7048	0.7032	0.8186	0.7526	0.7549	0.7813	0.6656	0.6643	0.7620	0.7376	0.6900	0.8178	0.8213	1.0000	0.8483	0.8650	0.7750	0.7564	0.7361	0.7958	0.7142	0.7766	0.8393	0.8294	0.8184	0.8264	0.8999	0.5548	0.4416	0.3168	0.4095	0.3932	0.1620	0.1646
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5605	0.5318	0.5490	0.5579	0.7025	0.6042	0.6807	0.7206	0.7011	0.7397	0.8219	0.7991	0.7773	0.7077	0.6373	0.6629	0.8080	0.7521	0.7318	0.8126	0.8245	0.8483	1.0000	0.8449	0.7833	0.7331	0.6831	0.7727	0.7267	0.7449	0.7945	0.7936	0.7884	0.8031	0.8275	0.5227	0.4988	0.3366	0.4567	0.4060	0.2637	0.1955
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5446	0.5309	0.6004	0.5702	0.6840	0.5785	0.6852	0.7408	0.7276	0.7282	0.8255	0.7819	0.7716	0.6910	0.6311	0.7388	0.7753	0.6983	0.6775	0.8142	0.8481	0.8650	0.8449	1.0000	0.7601	0.7608	0.7709	0.7727	0.7326	0.8440	0.8546	0.9295	0.8221	0.8090	0.8433	0.5339	0.4687	0.3072	0.4093	0.3665	0.1786	0.1842
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5055	0.5700	0.6735	0.6276	0.7390	0.7048	0.4988	0.5438	0.4961	0.6821	0.6994	0.6788	0.6457	0.7461	0.7329	0.6752	0.8310	0.7670	0.7707	0.7188	0.8473	0.7750	0.7833	0.7601	1.0000	0.8183	0.7487	0.7127	0.7081	0.7076	0.7452	0.7294	0.8304	0.8030	0.7989	0.3971	0.5824	0.3743	0.4463	0.4831	0.3408	0.1585
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4692	0.5324	0.7203	0.5965	0.6481	0.6384	0.4891	0.5364	0.5045	0.6622	0.6845	0.6531	0.6312	0.7337	0.7928	0.7047	0.8048	0.7181	0.7049	0.6824	0.8308	0.7564	0.7331	0.7608	0.8183	1.0000	0.7679	0.7111	0.7105	0.7349	0.7691	0.7423	0.8444	0.7946	0.7962	0.3881	0.4240	0.3214	0.3981	0.4233	0.1268	0.1861
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4397	0.5131	0.6805	0.5672	0.5969	0.5759	0.4146	0.4673	0.4383	0.5462	0.6005	0.5474	0.5401	0.6494	0.6214	0.7740	0.6833	0.6025	0.5653	0.6612	0.8226	0.7361	0.6831	0.7709	0.7487	0.7679	1.0000	0.7278	0.6913	0.8631	0.8237	0.8186	0.8142	0.8008	0.8003	0.3592	0.3558	0.2707	0.3234	0.3403	0.0958	0.0991
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4705	0.5021	0.5402	0.5076	0.5997	0.5633	0.5200	0.5502	0.5327	0.5750	0.6639	0.6203	0.6180	0.7948	0.6630	0.6504	0.6939	0.6829	0.5877	0.6820	0.7560	0.7958	0.7727	0.7727	0.7127	0.7111	0.7278	1.0000	0.8380	0.7993	0.8588	0.7912	0.8224	0.8846	0.9038	0.3890	0.3575	0.2745	0.3197	0.3334	0.1121	0.1204
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4464	0.4633	0.5838	0.5004	0.6016	0.5505	0.4930	0.5280	0.5075	0.5892	0.6377	0.6206	0.6005	0.6851	0.6822	0.6384	0.6934	0.6533	0.6186	0.6527	0.7490	0.7142	0.7267	0.7326	0.7081	0.7105	0.6913	0.8380	1.0000	0.7531	0.7828	0.7220	0.7629	0.8263	0.7823	0.3677	0.4127	0.2794	0.3286	0.3603	0.1677	0.1265
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4644	0.4868	0.6266	0.5330	0.5924	0.5013	0.5290	0.5811	0.5645	0.5908	0.6808	0.6229	0.6230	0.6482	0.5936	0.8017	0.6812	0.5943	0.5446	0.7207	0.8284	0.7766	0.7449	0.8440	0.7076	0.7349	0.8631	0.7993	0.7531	1.0000	0.8952	0.8974	0.8151	0.8213	0.8366	0.4119	0.3474	0.2549	0.2974	0.3097	0.1123	0.1178
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4937	0.5315	0.6193	0.5538	0.6179	0.5482	0.5727	0.6208	0.6058	0.6230	0.7253	0.6611	0.6667	0.7857	0.6565	0.7716	0.7155	0.6774	0.5815	0.7291	0.8313	0.8393	0.7945	0.8546	0.7452	0.7691	0.8237	0.8588	0.7828	0.8952	1.0000	0.8913	0.8727	0.8553	0.9168	0.4439	0.3630	0.2717	0.3309	0.3182	0.1131	0.1284
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4975	0.5136	0.5986	0.5427	0.6284	0.5300	0.5947	0.6497	0.6381	0.6290	0.7354	0.6727	0.6773	0.7017	0.6239	0.7639	0.6995	0.6286	0.5694	0.7471	0.8163	0.8294	0.7936	0.9295	0.7294	0.7423	0.8186	0.7912	0.7220	0.8974	0.8913	1.0000	0.8294	0.8083	0.8628	0.4674	0.4162	0.2696	0.3408	0.3117	0.1836	0.1409
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4804	0.5356	0.6621	0.5826	0.6532	0.5949	0.5511	0.5954	0.5632	0.6828	0.7359	0.6911	0.6792	0.8779	0.7570	0.8068	0.8126	0.7752	0.6826	0.6948	0.8749	0.8184	0.7884	0.8221	0.8304	0.8444	0.8142	0.8224	0.7629	0.8151	0.8727	0.8294	1.0000	0.8470	0.8991	0.4188	0.4086	0.3142	0.3663	0.3806	0.1329	0.1641
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5109	0.5666	0.6348	0.5891	0.6744	0.6703	0.5105	0.5493	0.5197	0.6373	0.6972	0.6646	0.6471	0.7820	0.7116	0.6941	0.7845	0.7442	0.6984	0.7428	0.8398	0.8264	0.8031	0.8090	0.8030	0.7946	0.8008	0.8846	0.8263	0.8213	0.8553	0.8083	0.8470	1.0000	0.9023	0.4089	0.4140	0.3294	0.4060	0.4218	0.1192	0.1271
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5414	0.5981	0.6080	0.5906	0.6654	0.6641	0.5560	0.6036	0.5819	0.6203	0.7288	0.6555	0.6650	0.8942	0.7301	0.7066	0.7450	0.7405	0.6316	0.7404	0.8251	0.8999	0.8275	0.8433	0.7989	0.7962	0.8003	0.9038	0.7823	0.8366	0.9168	0.8628	0.8991	0.9023	1.0000	0.4437	0.4174	0.3014	0.3840	0.3647	0.1449	0.1430
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3578	0.2770	0.2807	0.3113	0.3607	0.2845	0.5961	0.6522	0.6491	0.5532	0.6440	0.6204	0.6148	0.3457	0.2886	0.3789	0.4743	0.4292	0.4517	0.5005	0.4934	0.5548	0.5227	0.5339	0.3971	0.3881	0.3592	0.3890	0.3677	0.4119	0.4439	0.4674	0.4188	0.4089	0.4437	1.0000	0.2091	0.1673	0.2703	0.1977	0.0603	0.1390
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2802	0.3552	0.3345	0.3221	0.6003	0.4777	0.2618	0.2844	0.2633	0.3575	0.3636	0.3629	0.3367	0.3953	0.4781	0.3080	0.4298	0.3988	0.4199	0.4269	0.4174	0.4416	0.4988	0.4687	0.5824	0.4240	0.3558	0.3575	0.4127	0.3474	0.3630	0.4162	0.4086	0.4140	0.4174	0.2091	1.0000	0.2607	0.2895	0.3128	0.7556	0.0968
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2247	0.2658	0.2492	0.2543	0.3317	0.3143	0.2178	0.2534	0.2070	0.3203	0.3058	0.3220	0.2906	0.2780	0.2891	0.2474	0.3773	0.3477	0.3791	0.3153	0.3551	0.3168	0.3366	0.3072	0.3743	0.3214	0.2707	0.2745	0.2794	0.2549	0.2717	0.2696	0.3142	0.3294	0.3014	0.1673	0.2607	1.0000	0.2189	0.2410	0.1509	0.0834
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2860	0.3011	0.3143	0.3143	0.4061	0.3968	0.3395	0.3614	0.3535	0.4366	0.4545	0.4532	0.4250	0.3270	0.3572	0.2906	0.4698	0.4497	0.4824	0.5065	0.4664	0.4095	0.4567	0.4093	0.4463	0.3981	0.3234	0.3197	0.3286	0.2974	0.3309	0.3408	0.3663	0.4060	0.3840	0.2703	0.2895	0.2189	1.0000	0.2849	0.1153	0.0926
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2931	0.3443	0.3334	0.3593	0.4183	0.4821	0.2450	0.2717	0.2337	0.4058	0.3661	0.3893	0.3508	0.3452	0.3940	0.2800	0.4813	0.4502	0.5189	0.5962	0.4388	0.3932	0.4060	0.3665	0.4831	0.4233	0.3403	0.3334	0.3603	0.3097	0.3182	0.3117	0.3806	0.4218	0.3647	0.1977	0.3128	0.2410	0.2849	1.0000	0.1273	0.1117
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1010	0.1604	0.0948	0.1772	0.3684	0.1940	0.1297	0.0906	0.0840	0.1012	0.1115	0.1098	0.0980	0.1519	0.2642	0.0932	0.1281	0.1154	0.1233	0.1440	0.1209	0.1620	0.2637	0.1786	0.3408	0.1268	0.0958	0.1121	0.1677	0.1123	0.1131	0.1836	0.1329	0.1192	0.1449	0.0603	0.7556	0.1509	0.1153	0.1273	1.0000	0.0268
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1208	0.0930	0.0992	0.1154	0.1559	0.1142	0.2302	0.2227	0.2043	0.2239	0.2334	0.2136	0.2163	0.1295	0.1607	0.1269	0.2064	0.1859	0.1991	0.1638	0.1628	0.1646	0.1955	0.1842	0.1585	0.1861	0.0991	0.1204	0.1265	0.1178	0.1284	0.1409	0.1641	0.1271	0.1430	0.1390	0.0968	0.0834	0.0926	0.1117	0.0268	1.0000
