#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3703	0.5087	0.4502	0.4761	0.7720	0.7972	0.7982	0.7894	0.8334	0.8475	1.0000	0.9136	0.9024	0.8839	0.8998	0.9061	0.9041	0.9195	0.9061	0.8918	0.8755	0.8510	0.8514	0.7745	0.7791	0.8113	0.7746	0.7765	0.7621	0.7518	0.7825	0.7813	0.7448	0.7409	0.8188	0.8142	0.8293	0.8850	0.9143	0.6720	0.7592	0.7326
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3492	0.4854	0.4297	0.4534	0.7689	0.7845	0.7945	0.7924	0.8170	0.8286	0.9136	1.0000	0.8862	0.8722	0.8776	0.8936	0.8935	0.9053	0.8990	0.8768	0.8657	0.8430	0.8441	0.7715	0.7461	0.7937	0.7590	0.7575	0.7400	0.7295	0.7548	0.7569	0.7249	0.7212	0.7897	0.8024	0.8011	0.8588	0.8874	0.6473	0.7306	0.7082
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3005	0.4397	0.3805	0.4037	0.8030	0.7903	0.8461	0.8632	0.8511	0.8616	0.9024	0.8862	1.0000	0.9057	0.8797	0.8907	0.9033	0.9125	0.9107	0.8759	0.8658	0.8663	0.8636	0.7941	0.7671	0.7664	0.7812	0.7687	0.7432	0.7449	0.7740	0.7657	0.7349	0.7355	0.7660	0.8018	0.8231	0.8903	0.8590	0.6102	0.7036	0.6760
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2747	0.4159	0.3562	0.3803	0.8258	0.8108	0.8400	0.8549	0.8295	0.8292	0.8839	0.8722	0.9057	1.0000	0.8675	0.8740	0.8908	0.9007	0.9035	0.8869	0.8800	0.8748	0.8674	0.7850	0.7489	0.7717	0.7563	0.7490	0.7269	0.7025	0.7422	0.7323	0.7005	0.7047	0.7625	0.7911	0.7945	0.8425	0.8338	0.5952	0.6861	0.6500
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3144	0.4493	0.3949	0.4194	0.7892	0.7998	0.7961	0.7986	0.8034	0.8133	0.8998	0.8776	0.8797	0.8675	1.0000	0.8795	0.8860	0.8995	0.8958	0.8822	0.8654	0.8514	0.8458	0.7610	0.7497	0.7902	0.7312	0.7349	0.7153	0.6927	0.7304	0.7261	0.6931	0.6890	0.7777	0.7684	0.7824	0.8311	0.8540	0.6252	0.7124	0.6829
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3113	0.4477	0.3915	0.4158	0.7877	0.7943	0.8034	0.8085	0.8124	0.8248	0.9061	0.8936	0.8907	0.8740	0.8795	1.0000	0.8971	0.9029	0.9057	0.8813	0.8719	0.8525	0.8530	0.7702	0.7549	0.7836	0.7394	0.7416	0.7228	0.7059	0.7373	0.7365	0.7033	0.7008	0.7730	0.7867	0.7870	0.8450	0.8686	0.6201	0.7060	0.6824
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2902	0.4309	0.3741	0.3995	0.8203	0.8188	0.8289	0.8383	0.8177	0.8241	0.9041	0.8935	0.9033	0.8908	0.8860	0.8971	1.0000	0.9128	0.9172	0.8999	0.8880	0.8752	0.8734	0.7813	0.7561	0.7959	0.7406	0.7432	0.7189	0.6959	0.7311	0.7295	0.6962	0.6930	0.7763	0.7785	0.7852	0.8411	0.8572	0.6162	0.7031	0.6748
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3014	0.4479	0.3864	0.4126	0.8221	0.8263	0.8317	0.8439	0.8355	0.8342	0.9195	0.9053	0.9125	0.9007	0.8995	0.9029	0.9128	1.0000	0.9293	0.9145	0.9005	0.8867	0.8802	0.7988	0.7749	0.8030	0.7683	0.7604	0.7382	0.7106	0.7507	0.7430	0.7138	0.7071	0.7898	0.8056	0.8026	0.8627	0.8698	0.6280	0.7187	0.6865
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2340	0.3804	0.3221	0.3474	0.8651	0.8457	0.8484	0.8766	0.8175	0.8235	0.9061	0.8990	0.9107	0.9035	0.8958	0.9057	0.9172	0.9293	1.0000	0.9210	0.9105	0.9071	0.8959	0.7972	0.7612	0.7951	0.7274	0.7240	0.6954	0.6618	0.6990	0.6973	0.6711	0.6694	0.7560	0.7697	0.7608	0.8207	0.8465	0.5802	0.6716	0.6407
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2068	0.3603	0.2983	0.3288	0.8600	0.8590	0.8209	0.8379	0.7914	0.7858	0.8918	0.8768	0.8759	0.8869	0.8822	0.8813	0.8999	0.9145	0.9210	1.0000	0.9153	0.9020	0.8740	0.7722	0.7594	0.7983	0.7006	0.7088	0.6810	0.6197	0.6730	0.6673	0.6396	0.6326	0.7588	0.7429	0.7432	0.7846	0.8280	0.5783	0.6664	0.6272
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2094	0.3625	0.2984	0.3283	0.8478	0.8421	0.8154	0.8372	0.7831	0.7766	0.8755	0.8657	0.8658	0.8800	0.8654	0.8719	0.8880	0.9005	0.9105	0.9153	1.0000	0.8876	0.8716	0.7717	0.7565	0.7829	0.6939	0.7078	0.6848	0.6265	0.6792	0.6711	0.6359	0.6315	0.7461	0.7388	0.7409	0.7792	0.8174	0.5674	0.6541	0.6167
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1576	0.3054	0.2467	0.2729	0.8695	0.8364	0.8242	0.8589	0.7738	0.7709	0.8510	0.8430	0.8663	0.8748	0.8514	0.8525	0.8752	0.8867	0.9071	0.9020	0.8876	1.0000	0.8672	0.7610	0.7288	0.7556	0.6751	0.6743	0.6423	0.5885	0.6376	0.6313	0.6085	0.6070	0.7048	0.7119	0.7071	0.7530	0.7801	0.5192	0.6086	0.5702
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1963	0.3339	0.2783	0.3001	0.8515	0.8121	0.8291	0.8600	0.7873	0.7840	0.8514	0.8441	0.8636	0.8674	0.8458	0.8530	0.8734	0.8802	0.8959	0.8740	0.8716	0.8672	1.0000	0.7750	0.7162	0.7446	0.7011	0.6858	0.6578	0.6241	0.6607	0.6563	0.6350	0.6375	0.7047	0.7468	0.7160	0.7742	0.7846	0.5228	0.6162	0.5760
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2869	0.4042	0.3563	0.3756	0.7163	0.7054	0.7436	0.7544	0.7264	0.7144	0.7745	0.7715	0.7941	0.7850	0.7610	0.7702	0.7813	0.7988	0.7972	0.7722	0.7717	0.7610	0.7750	1.0000	0.6671	0.6851	0.6781	0.6655	0.6534	0.6302	0.6617	0.6572	0.6247	0.6254	0.6739	0.7328	0.6951	0.7447	0.7342	0.5429	0.6179	0.5953
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3267	0.4451	0.3912	0.4194	0.6696	0.6915	0.6769	0.6759	0.6841	0.6783	0.7791	0.7461	0.7671	0.7489	0.7497	0.7549	0.7561	0.7749	0.7612	0.7594	0.7565	0.7288	0.7162	0.6671	1.0000	0.6953	0.6261	0.6606	0.6552	0.6183	0.6651	0.6581	0.6014	0.5873	0.7031	0.6721	0.7083	0.7351	0.7369	0.5863	0.6527	0.6380
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3970	0.5091	0.4709	0.4923	0.6960	0.7347	0.7081	0.6915	0.7073	0.7061	0.8113	0.7937	0.7664	0.7717	0.7902	0.7836	0.7959	0.8030	0.7951	0.7983	0.7829	0.7556	0.7446	0.6851	0.6953	1.0000	0.6535	0.6779	0.6689	0.6387	0.6744	0.6799	0.6305	0.6221	0.7714	0.6965	0.7136	0.7417	0.7818	0.6614	0.7196	0.7041
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4422	0.5395	0.4964	0.5113	0.5834	0.6132	0.6805	0.6690	0.7747	0.7622	0.7746	0.7590	0.7812	0.7563	0.7312	0.7394	0.7406	0.7683	0.7274	0.7006	0.6939	0.6751	0.7011	0.6781	0.6261	0.6535	1.0000	0.7310	0.7262	0.7561	0.7677	0.7533	0.7366	0.7424	0.7148	0.7975	0.7755	0.8392	0.7640	0.6195	0.6912	0.6713
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4734	0.5743	0.5297	0.5487	0.5794	0.6245	0.6638	0.6357	0.7373	0.7285	0.7765	0.7575	0.7687	0.7490	0.7349	0.7416	0.7432	0.7604	0.7240	0.7088	0.7078	0.6743	0.6858	0.6655	0.6606	0.6779	0.7310	1.0000	0.7446	0.7526	0.7803	0.7662	0.7156	0.7087	0.7390	0.7531	0.7879	0.8228	0.7741	0.6611	0.7216	0.7070
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5271	0.6216	0.5787	0.5975	0.5388	0.5964	0.6374	0.6020	0.7199	0.7079	0.7621	0.7400	0.7432	0.7269	0.7153	0.7228	0.7189	0.7382	0.6954	0.6810	0.6848	0.6423	0.6578	0.6534	0.6552	0.6689	0.7262	0.7446	1.0000	0.7676	0.7960	0.7803	0.7186	0.7142	0.7462	0.7586	0.7956	0.8189	0.7697	0.6862	0.7398	0.7296
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6016	0.6783	0.6427	0.6518	0.4754	0.5320	0.6245	0.5768	0.7292	0.7370	0.7518	0.7295	0.7449	0.7025	0.6927	0.7059	0.6959	0.7106	0.6618	0.6197	0.6265	0.5885	0.6241	0.6302	0.6183	0.6387	0.7561	0.7526	0.7676	1.0000	0.8351	0.8308	0.7706	0.7714	0.7392	0.7718	0.8125	0.8595	0.7788	0.6991	0.7539	0.7501
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5845	0.6765	0.6331	0.6486	0.5232	0.5826	0.6473	0.6064	0.7511	0.7465	0.7825	0.7548	0.7740	0.7422	0.7304	0.7373	0.7311	0.7507	0.6990	0.6730	0.6792	0.6376	0.6607	0.6617	0.6651	0.6744	0.7677	0.7803	0.7960	0.8351	1.0000	0.8442	0.7739	0.7674	0.7749	0.7900	0.8457	0.8781	0.7988	0.7243	0.7788	0.7708
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5895	0.6761	0.6375	0.6520	0.5203	0.5798	0.6454	0.6001	0.7400	0.7408	0.7813	0.7569	0.7657	0.7323	0.7261	0.7365	0.7295	0.7430	0.6973	0.6673	0.6711	0.6313	0.6563	0.6572	0.6581	0.6799	0.7533	0.7662	0.7803	0.8308	0.8442	1.0000	0.7654	0.7594	0.7715	0.7806	0.8259	0.8624	0.7991	0.7228	0.7749	0.7717
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5143	0.5952	0.5601	0.5705	0.5066	0.5504	0.6245	0.5885	0.7228	0.7269	0.7448	0.7249	0.7349	0.7005	0.6931	0.7033	0.6962	0.7138	0.6711	0.6396	0.6359	0.6085	0.6350	0.6247	0.6014	0.6305	0.7366	0.7156	0.7186	0.7706	0.7739	0.7654	1.0000	0.7339	0.7057	0.7472	0.7675	0.8163	0.7566	0.6431	0.7027	0.6943
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5021	0.5830	0.5474	0.5576	0.5066	0.5474	0.6260	0.5957	0.7322	0.7428	0.7409	0.7212	0.7355	0.7047	0.6890	0.7008	0.6930	0.7071	0.6694	0.6326	0.6315	0.6070	0.6375	0.6254	0.5873	0.6221	0.7424	0.7087	0.7142	0.7714	0.7674	0.7594	0.7339	1.0000	0.6991	0.7589	0.7643	0.8139	0.7540	0.6308	0.6931	0.6832
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5319	0.6420	0.5964	0.6186	0.6145	0.6824	0.6762	0.6357	0.7320	0.7264	0.8188	0.7897	0.7660	0.7625	0.7777	0.7730	0.7763	0.7898	0.7560	0.7588	0.7461	0.7048	0.7047	0.6739	0.7031	0.7714	0.7148	0.7390	0.7462	0.7392	0.7749	0.7715	0.7057	0.6991	1.0000	0.7516	0.7913	0.8140	0.8108	0.7474	0.7998	0.7852
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4596	0.5637	0.5187	0.5358	0.6160	0.6534	0.7071	0.6958	0.7924	0.7768	0.8142	0.8024	0.8018	0.7911	0.7684	0.7867	0.7785	0.8056	0.7697	0.7429	0.7388	0.7119	0.7468	0.7328	0.6721	0.6965	0.7975	0.7531	0.7586	0.7718	0.7900	0.7806	0.7472	0.7589	0.7516	1.0000	0.7984	0.8554	0.8063	0.6524	0.7242	0.7044
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5143	0.6244	0.5738	0.5947	0.5997	0.6490	0.6962	0.6621	0.7817	0.7815	0.8293	0.8011	0.8231	0.7945	0.7824	0.7870	0.7852	0.8026	0.7608	0.7432	0.7409	0.7071	0.7160	0.6951	0.7083	0.7136	0.7755	0.7879	0.7956	0.8125	0.8457	0.8259	0.7675	0.7643	0.7913	0.7984	1.0000	0.8863	0.8339	0.7124	0.7782	0.7634
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5039	0.6206	0.5668	0.5870	0.6469	0.6848	0.7543	0.7324	0.8470	0.8501	0.8850	0.8588	0.8903	0.8425	0.8311	0.8450	0.8411	0.8627	0.8207	0.7846	0.7792	0.7530	0.7742	0.7447	0.7351	0.7417	0.8392	0.8228	0.8189	0.8595	0.8781	0.8624	0.8163	0.8139	0.8140	0.8554	0.8863	1.0000	0.8819	0.7156	0.7949	0.7781
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4370	0.5686	0.5118	0.5360	0.6775	0.7241	0.7321	0.7046	0.7984	0.8243	0.9143	0.8874	0.8590	0.8338	0.8540	0.8686	0.8572	0.8698	0.8465	0.8280	0.8174	0.7801	0.7846	0.7342	0.7369	0.7818	0.7640	0.7741	0.7697	0.7788	0.7988	0.7991	0.7566	0.7540	0.8108	0.8063	0.8339	0.8819	1.0000	0.6974	0.7767	0.7577
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6652	0.7257	0.7067	0.7228	0.4060	0.5093	0.5106	0.4422	0.5937	0.5845	0.6720	0.6473	0.6102	0.5952	0.6252	0.6201	0.6162	0.6280	0.5802	0.5783	0.5674	0.5192	0.5228	0.5429	0.5863	0.6614	0.6195	0.6611	0.6862	0.6991	0.7243	0.7228	0.6431	0.6308	0.7474	0.6524	0.7124	0.7156	0.6974	1.0000	0.7771	0.7944
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6297	0.7149	0.6812	0.7001	0.4976	0.5865	0.5983	0.5377	0.6787	0.6738	0.7592	0.7306	0.7036	0.6861	0.7124	0.7060	0.7031	0.7187	0.6716	0.6664	0.6541	0.6086	0.6162	0.6179	0.6527	0.7196	0.6912	0.7216	0.7398	0.7539	0.7788	0.7749	0.7027	0.6931	0.7998	0.7242	0.7782	0.7949	0.7767	0.7771	1.0000	0.8132
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6730	0.7396	0.7204	0.7363	0.4499	0.5487	0.5624	0.4986	0.6522	0.6491	0.7326	0.7082	0.6760	0.6500	0.6829	0.6824	0.6748	0.6865	0.6407	0.6272	0.6167	0.5702	0.5760	0.5953	0.6380	0.7041	0.6713	0.7070	0.7296	0.7501	0.7708	0.7717	0.6943	0.6832	0.7852	0.7044	0.7634	0.7781	0.7577	0.7944	0.8132	1.0000
