#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5423	0.6314	0.6093	0.5920	0.7754	0.7874	0.8167	0.8475	0.8045	0.7685	1.0000	0.7790	0.7860	0.7979	0.8097	0.7544	0.7498	0.7072	0.7593	0.7461	0.6364	0.7901	0.8072	0.7716	0.7836	0.8029	0.7768	0.7785	0.7931	0.7741	0.7674	0.6760	0.7622	0.7480	0.7472	0.7293	0.7186	0.7105	0.6900	0.7079	0.7049	0.7212
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5880	0.6714	0.6503	0.6341	0.7805	0.7916	0.8236	0.8455	0.8001	0.7651	0.7790	1.0000	0.7987	0.8101	0.8238	0.7579	0.7543	0.7280	0.7748	0.7650	0.6011	0.7752	0.7947	0.7545	0.7645	0.7826	0.7606	0.7577	0.7746	0.7605	0.7511	0.6502	0.7378	0.7237	0.7270	0.7054	0.6907	0.6877	0.6628	0.6974	0.6997	0.7128
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6555	0.7243	0.7009	0.6926	0.7768	0.8032	0.8375	0.8791	0.8100	0.7890	0.7860	0.7987	1.0000	0.8543	0.8571	0.8020	0.8026	0.7416	0.7894	0.7854	0.5465	0.7672	0.7868	0.7352	0.7429	0.7810	0.7472	0.7376	0.7502	0.7674	0.7741	0.5954	0.7088	0.6724	0.6782	0.6760	0.6442	0.6753	0.6378	0.6780	0.6689	0.6890
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6435	0.7208	0.6988	0.6869	0.8041	0.8111	0.8499	0.8832	0.8271	0.7878	0.7979	0.8101	0.8543	1.0000	0.8654	0.7974	0.7930	0.7613	0.8064	0.8033	0.5852	0.7910	0.8122	0.7642	0.7690	0.8012	0.7733	0.7673	0.7787	0.7773	0.7794	0.6369	0.7400	0.7132	0.7163	0.7044	0.6814	0.6944	0.6596	0.7008	0.7037	0.7234
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6397	0.7216	0.6973	0.6836	0.8071	0.8180	0.8664	0.8956	0.8265	0.7998	0.8097	0.8238	0.8571	0.8654	1.0000	0.8036	0.7995	0.7624	0.8104	0.8028	0.5876	0.7889	0.8129	0.7679	0.7773	0.8071	0.7739	0.7684	0.7854	0.7861	0.7831	0.6394	0.7413	0.7179	0.7234	0.7078	0.6869	0.6957	0.6647	0.7048	0.7096	0.7188
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5798	0.6522	0.6298	0.6214	0.7485	0.7813	0.7991	0.8419	0.7905	0.7727	0.7544	0.7579	0.8020	0.7974	0.8036	1.0000	0.7710	0.6923	0.7454	0.7379	0.5737	0.7633	0.7810	0.7359	0.7421	0.7726	0.7449	0.7387	0.7535	0.7612	0.7661	0.6127	0.7171	0.6897	0.6871	0.6862	0.6625	0.6762	0.6477	0.6726	0.6556	0.6828
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5703	0.6425	0.6201	0.6116	0.7444	0.7922	0.7973	0.8405	0.7901	0.7779	0.7498	0.7543	0.8026	0.7930	0.7995	0.7710	1.0000	0.6842	0.7380	0.7293	0.5747	0.7613	0.7786	0.7333	0.7456	0.7731	0.7436	0.7366	0.7483	0.7700	0.7801	0.6109	0.7159	0.6843	0.6839	0.6889	0.6614	0.6774	0.6533	0.6738	0.6439	0.6773
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7051	0.7595	0.7561	0.7422	0.7789	0.7018	0.7526	0.7594	0.7381	0.6751	0.7072	0.7280	0.7416	0.7613	0.7624	0.6923	0.6842	1.0000	0.8052	0.8203	0.4856	0.6964	0.7175	0.6778	0.6518	0.6707	0.6732	0.6702	0.6809	0.6544	0.6476	0.5748	0.6399	0.6357	0.6257	0.5896	0.5854	0.5798	0.5270	0.6012	0.6378	0.7045
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6750	0.7508	0.7381	0.7213	0.8254	0.7636	0.8099	0.8279	0.8079	0.7371	0.7593	0.7748	0.7894	0.8064	0.8104	0.7454	0.7380	0.8052	1.0000	0.8375	0.5654	0.7687	0.7937	0.7534	0.7304	0.7515	0.7479	0.7456	0.7592	0.7275	0.7248	0.6423	0.7192	0.7120	0.7013	0.6702	0.6626	0.6548	0.6086	0.6667	0.6965	0.7554
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7128	0.7717	0.7690	0.7550	0.8123	0.7461	0.7965	0.8130	0.7906	0.7192	0.7461	0.7650	0.7854	0.8033	0.8028	0.7379	0.7293	0.8203	0.8375	1.0000	0.5244	0.7486	0.7698	0.7276	0.6997	0.7273	0.7268	0.7204	0.7309	0.7041	0.7029	0.6098	0.6921	0.6781	0.6683	0.6357	0.6294	0.6241	0.5751	0.6473	0.6831	0.7419
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1620	0.2864	0.2592	0.2392	0.6678	0.6680	0.6542	0.6964	0.7211	0.6404	0.6364	0.6011	0.5465	0.5852	0.5876	0.5737	0.5747	0.4856	0.5654	0.5244	1.0000	0.8006	0.8037	0.8186	0.8500	0.8328	0.8175	0.8452	0.8470	0.7464	0.7421	0.8508	0.8845	0.8792	0.8694	0.8728	0.8876	0.8398	0.8952	0.7528	0.7145	0.7391
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4343	0.5557	0.5275	0.5064	0.8213	0.8297	0.8289	0.8800	0.9027	0.7935	0.7901	0.7752	0.7672	0.7910	0.7889	0.7633	0.7613	0.6964	0.7687	0.7486	0.8006	1.0000	0.9258	0.8948	0.8909	0.9057	0.9086	0.9087	0.9187	0.8439	0.8555	0.8148	0.9134	0.8936	0.8842	0.8658	0.8650	0.8234	0.8262	0.7987	0.7798	0.8243
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4531	0.5758	0.5471	0.5244	0.8467	0.8403	0.8538	0.9031	0.9260	0.8070	0.8072	0.7947	0.7868	0.8122	0.8129	0.7810	0.7786	0.7175	0.7937	0.7698	0.8037	0.9258	1.0000	0.9144	0.9013	0.9202	0.9196	0.9181	0.9312	0.8586	0.8725	0.8259	0.9197	0.9071	0.8927	0.8726	0.8720	0.8269	0.8242	0.8016	0.8082	0.8395
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4050	0.5249	0.4984	0.4765	0.8111	0.8004	0.8130	0.8559	0.8744	0.7689	0.7716	0.7545	0.7352	0.7642	0.7679	0.7359	0.7333	0.6778	0.7534	0.7276	0.8186	0.8948	0.9144	1.0000	0.8864	0.8991	0.8962	0.9024	0.9141	0.8320	0.8414	0.8289	0.9106	0.8993	0.8849	0.8679	0.8721	0.8242	0.8310	0.7904	0.7835	0.8216
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3707	0.4965	0.4652	0.4436	0.7978	0.8204	0.8225	0.8651	0.8576	0.7898	0.7836	0.7645	0.7429	0.7690	0.7773	0.7421	0.7456	0.6518	0.7304	0.6997	0.8500	0.8909	0.9013	0.8864	1.0000	0.9206	0.8925	0.9064	0.9154	0.8538	0.8538	0.8373	0.9178	0.9033	0.8979	0.8867	0.8925	0.8629	0.8787	0.8129	0.7842	0.8056
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3993	0.5236	0.4917	0.4708	0.8066	0.8304	0.8495	0.9062	0.8821	0.8109	0.8029	0.7826	0.7810	0.8012	0.8071	0.7726	0.7731	0.6707	0.7515	0.7273	0.8328	0.9057	0.9202	0.8991	0.9206	1.0000	0.9092	0.9192	0.9271	0.8722	0.8805	0.8229	0.9254	0.8970	0.8894	0.8853	0.8873	0.8680	0.8832	0.8239	0.8042	0.8064
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4018	0.5226	0.4951	0.4735	0.8070	0.8165	0.8170	0.8678	0.8870	0.7763	0.7768	0.7606	0.7472	0.7733	0.7739	0.7449	0.7436	0.6732	0.7479	0.7268	0.8175	0.9086	0.9196	0.8962	0.8925	0.9092	1.0000	0.9117	0.9167	0.8397	0.8518	0.8234	0.9191	0.8981	0.8900	0.8735	0.8734	0.8306	0.8398	0.7985	0.7875	0.8157
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3841	0.5091	0.4815	0.4592	0.8106	0.8095	0.8153	0.8642	0.8772	0.7770	0.7785	0.7577	0.7376	0.7673	0.7684	0.7387	0.7366	0.6702	0.7456	0.7204	0.8452	0.9087	0.9181	0.9024	0.9064	0.9192	0.9117	1.0000	0.9253	0.8441	0.8508	0.8444	0.9291	0.9143	0.9040	0.8913	0.8924	0.8526	0.8646	0.8075	0.7890	0.8266
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3942	0.5244	0.4933	0.4697	0.8224	0.8324	0.8304	0.8823	0.8877	0.8004	0.7931	0.7746	0.7502	0.7787	0.7854	0.7535	0.7483	0.6809	0.7592	0.7309	0.8470	0.9187	0.9312	0.9141	0.9154	0.9271	0.9167	0.9253	1.0000	0.8589	0.8590	0.8511	0.9394	0.9269	0.9153	0.8972	0.9029	0.8555	0.8698	0.8233	0.8058	0.8330
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4355	0.5377	0.5119	0.4954	0.7751	0.8213	0.8129	0.8687	0.8281	0.8060	0.7741	0.7605	0.7674	0.7773	0.7861	0.7612	0.7700	0.6544	0.7275	0.7041	0.7464	0.8439	0.8586	0.8320	0.8538	0.8722	0.8397	0.8441	0.8589	1.0000	0.8401	0.7515	0.8437	0.8222	0.8154	0.8181	0.8060	0.7938	0.8011	0.7620	0.7285	0.7530
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4272	0.5324	0.5037	0.4894	0.7717	0.8083	0.8132	0.8716	0.8524	0.7949	0.7674	0.7511	0.7741	0.7794	0.7831	0.7661	0.7801	0.6476	0.7248	0.7029	0.7421	0.8555	0.8725	0.8414	0.8538	0.8805	0.8518	0.8508	0.8590	0.8401	1.0000	0.7453	0.8494	0.8189	0.8109	0.8154	0.8039	0.7900	0.7958	0.7520	0.7249	0.7536
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2651	0.3858	0.3643	0.3401	0.7269	0.7010	0.6977	0.7298	0.7616	0.6671	0.6760	0.6502	0.5954	0.6369	0.6394	0.6127	0.6109	0.5748	0.6423	0.6098	0.8508	0.8148	0.8259	0.8289	0.8373	0.8229	0.8234	0.8444	0.8511	0.7515	0.7453	1.0000	0.8684	0.8788	0.8645	0.8391	0.8593	0.7993	0.8243	0.7421	0.7319	0.7715
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3368	0.4667	0.4376	0.4152	0.7935	0.8018	0.7945	0.8465	0.8678	0.7650	0.7622	0.7378	0.7088	0.7400	0.7413	0.7171	0.7159	0.6399	0.7192	0.6921	0.8845	0.9134	0.9197	0.9106	0.9178	0.9254	0.9191	0.9291	0.9394	0.8437	0.8494	0.8684	1.0000	0.9329	0.9238	0.9106	0.9205	0.8697	0.8976	0.8223	0.7943	0.8274
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3099	0.4457	0.4181	0.3910	0.7931	0.7789	0.7792	0.8162	0.8510	0.7427	0.7480	0.7237	0.6724	0.7132	0.7179	0.6897	0.6843	0.6357	0.7120	0.6781	0.8792	0.8936	0.9071	0.8993	0.9033	0.8970	0.8981	0.9143	0.9269	0.8222	0.8189	0.8788	0.9329	1.0000	0.9270	0.8921	0.9158	0.8463	0.8657	0.7992	0.7907	0.8274
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3113	0.4471	0.4165	0.3905	0.7821	0.7755	0.7774	0.8119	0.8414	0.7378	0.7472	0.7270	0.6782	0.7163	0.7234	0.6871	0.6839	0.6257	0.7013	0.6683	0.8694	0.8842	0.8927	0.8849	0.8979	0.8894	0.8900	0.9040	0.9153	0.8154	0.8109	0.8645	0.9238	0.9270	1.0000	0.8900	0.9038	0.8423	0.8656	0.7998	0.7883	0.8136
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3030	0.4251	0.3954	0.3758	0.7491	0.7823	0.7560	0.8067	0.8144	0.7433	0.7293	0.7054	0.6760	0.7044	0.7078	0.6862	0.6889	0.5896	0.6702	0.6357	0.8728	0.8658	0.8726	0.8679	0.8867	0.8853	0.8735	0.8913	0.8972	0.8181	0.8154	0.8391	0.9106	0.8921	0.8900	1.0000	0.8861	0.8534	0.8834	0.8031	0.7547	0.7826
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2686	0.3994	0.3706	0.3474	0.7475	0.7515	0.7473	0.7879	0.8098	0.7199	0.7186	0.6907	0.6442	0.6814	0.6869	0.6625	0.6614	0.5854	0.6626	0.6294	0.8876	0.8650	0.8720	0.8721	0.8925	0.8873	0.8734	0.8924	0.9029	0.8060	0.8039	0.8593	0.9205	0.9158	0.9038	0.8861	1.0000	0.8491	0.8823	0.7908	0.7662	0.7910
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3280	0.4360	0.4067	0.3939	0.7236	0.7475	0.7381	0.7881	0.7687	0.7236	0.7105	0.6877	0.6753	0.6944	0.6957	0.6762	0.6774	0.5798	0.6548	0.6241	0.8398	0.8234	0.8269	0.8242	0.8629	0.8680	0.8306	0.8526	0.8555	0.7938	0.7900	0.7993	0.8697	0.8463	0.8423	0.8534	0.8491	1.0000	0.8812	0.7783	0.7217	0.7512
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2483	0.3635	0.3339	0.3188	0.6951	0.7406	0.7127	0.7719	0.7502	0.7156	0.6900	0.6628	0.6378	0.6596	0.6647	0.6477	0.6533	0.5270	0.6086	0.5751	0.8952	0.8262	0.8242	0.8310	0.8787	0.8832	0.8398	0.8646	0.8698	0.8011	0.7958	0.8243	0.8976	0.8657	0.8656	0.8834	0.8823	0.8812	1.0000	0.7909	0.7269	0.7435
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3782	0.4821	0.4567	0.4391	0.7159	0.7660	0.7335	0.7773	0.7656	0.7197	0.7079	0.6974	0.6780	0.7008	0.7048	0.6726	0.6738	0.6012	0.6667	0.6473	0.7528	0.7987	0.8016	0.7904	0.8129	0.8239	0.7985	0.8075	0.8233	0.7620	0.7520	0.7421	0.8223	0.7992	0.7998	0.8031	0.7908	0.7783	0.7909	1.0000	0.7095	0.7260
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4090	0.5142	0.4911	0.4666	0.7409	0.7167	0.7474	0.7730	0.7698	0.6770	0.7049	0.6997	0.6689	0.7037	0.7096	0.6556	0.6439	0.6378	0.6965	0.6831	0.7145	0.7798	0.8082	0.7835	0.7842	0.8042	0.7875	0.7890	0.8058	0.7285	0.7249	0.7319	0.7943	0.7907	0.7883	0.7547	0.7662	0.7217	0.7269	0.7095	1.0000	0.7345
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4705	0.5704	0.5553	0.5374	0.8016	0.7400	0.7539	0.7818	0.8129	0.7036	0.7212	0.7128	0.6890	0.7234	0.7188	0.6828	0.6773	0.7045	0.7554	0.7419	0.7391	0.8243	0.8395	0.8216	0.8056	0.8064	0.8157	0.8266	0.8330	0.7530	0.7536	0.7715	0.8274	0.8274	0.8136	0.7826	0.7910	0.7512	0.7435	0.7260	0.7345	1.0000
