#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6521	0.7219	0.7022	0.7195	0.6925	0.6621	0.6934	0.7147	0.7400	0.7611	0.7604	0.6837	0.6741	0.7710	0.7528	0.7736	0.7470	0.7801	0.8021	1.0000	0.5256	0.4244	0.6271	0.6086	0.5968	0.5510	0.5590	0.5438	0.4872	0.7208	0.6952	0.6706	0.6344	0.6691	0.6696	0.6602	0.6737	0.6435	0.6443	0.5770	0.6187	0.6853
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1092	0.2520	0.1981	0.2271	0.6081	0.6011	0.6393	0.5770	0.5129	0.5638	0.5605	0.5335	0.5324	0.6671	0.6347	0.6750	0.7128	0.4823	0.5648	0.5256	1.0000	0.8207	0.8411	0.8526	0.8351	0.8300	0.8058	0.7581	0.7901	0.7898	0.7764	0.7890	0.8035	0.7927	0.7871	0.8116	0.8201	0.7015	0.6980	0.6928	0.6766	0.7222
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	-0.0120	0.1352	0.0790	0.1040	0.5625	0.5703	0.6014	0.5197	0.4549	0.5034	0.4994	0.4887	0.4904	0.5984	0.5842	0.6358	0.6661	0.3766	0.4743	0.4244	0.8207	1.0000	0.8613	0.8554	0.8432	0.8648	0.8466	0.8073	0.8741	0.7645	0.7611	0.8007	0.8196	0.7820	0.7808	0.8142	0.8165	0.6968	0.6945	0.7047	0.6566	0.6847
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1984	0.3527	0.2915	0.3188	0.7130	0.7188	0.7613	0.6837	0.6492	0.6879	0.6856	0.6595	0.6590	0.7506	0.7525	0.8154	0.8415	0.5638	0.6604	0.6271	0.8411	0.8613	1.0000	0.9191	0.9080	0.9039	0.8922	0.8433	0.8769	0.9033	0.8954	0.9108	0.9004	0.8923	0.9023	0.9141	0.9267	0.8127	0.8216	0.7895	0.7529	0.7913
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1634	0.3251	0.2607	0.2931	0.6955	0.6917	0.7326	0.6660	0.6044	0.6592	0.6521	0.6264	0.6205	0.7488	0.7328	0.7787	0.8212	0.5567	0.6502	0.6086	0.8526	0.8554	0.9191	1.0000	0.9114	0.8984	0.8699	0.8154	0.8394	0.8877	0.8720	0.8774	0.8831	0.8782	0.8772	0.8960	0.9115	0.7873	0.7855	0.7622	0.7485	0.7901
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1655	0.3271	0.2595	0.2917	0.6945	0.6850	0.7285	0.6696	0.6115	0.6658	0.6556	0.6230	0.6201	0.7347	0.7304	0.7733	0.8093	0.5444	0.6368	0.5968	0.8351	0.8432	0.9080	0.9114	1.0000	0.8837	0.8676	0.8100	0.8387	0.8704	0.8602	0.8673	0.8759	0.8604	0.8675	0.8837	0.8970	0.7787	0.7758	0.7617	0.7451	0.7737
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1155	0.2712	0.2092	0.2378	0.6603	0.6648	0.7003	0.6271	0.5721	0.6226	0.6153	0.5946	0.5941	0.6945	0.6953	0.7452	0.7717	0.4967	0.5918	0.5510	0.8300	0.8648	0.9039	0.8984	0.8837	1.0000	0.8626	0.8181	0.8588	0.8458	0.8378	0.8654	0.8701	0.8458	0.8473	0.8704	0.8824	0.7683	0.7679	0.7506	0.7183	0.7475
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1583	0.3034	0.2447	0.2687	0.6739	0.6923	0.7375	0.6447	0.6100	0.6480	0.6428	0.6227	0.6259	0.6961	0.7060	0.7675	0.7773	0.5033	0.6012	0.5590	0.8058	0.8466	0.8922	0.8699	0.8676	0.8626	1.0000	0.8230	0.8594	0.8469	0.8384	0.8625	0.8629	0.8404	0.8479	0.8685	0.8759	0.7819	0.7811	0.7665	0.7057	0.7373
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1861	0.3140	0.2649	0.2801	0.6504	0.6699	0.6962	0.6224	0.6090	0.6327	0.6304	0.6110	0.6137	0.6651	0.6845	0.7457	0.7230	0.4899	0.5819	0.5438	0.7581	0.8073	0.8433	0.8154	0.8100	0.8181	0.8230	1.0000	0.8571	0.7920	0.7874	0.8427	0.8340	0.7883	0.7972	0.8222	0.8260	0.7535	0.7519	0.7346	0.6654	0.6985
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0945	0.2309	0.1779	0.1961	0.6281	0.6609	0.6893	0.5944	0.5661	0.5972	0.5907	0.5786	0.5859	0.6326	0.6558	0.7272	0.7014	0.4283	0.5287	0.4872	0.7901	0.8741	0.8769	0.8394	0.8387	0.8588	0.8594	0.8571	1.0000	0.7895	0.7915	0.8610	0.8545	0.7971	0.8073	0.8376	0.8440	0.7625	0.7580	0.7504	0.6723	0.6908
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3379	0.4835	0.4225	0.4503	0.7673	0.7680	0.8069	0.7514	0.7420	0.7737	0.7718	0.7353	0.7332	0.8142	0.8228	0.8826	0.9106	0.6564	0.7497	0.7208	0.7898	0.7645	0.9033	0.8877	0.8704	0.8458	0.8469	0.7920	0.7895	1.0000	0.9098	0.9044	0.8803	0.8963	0.9032	0.9007	0.9168	0.8305	0.8485	0.7654	0.7696	0.8057
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3157	0.4597	0.4013	0.4270	0.7468	0.7511	0.7939	0.7285	0.7183	0.7449	0.7460	0.7145	0.7121	0.7840	0.7929	0.8549	0.8824	0.6314	0.7197	0.6952	0.7764	0.7611	0.8954	0.8720	0.8602	0.8378	0.8384	0.7874	0.7915	0.9098	1.0000	0.8869	0.8677	0.8727	0.8892	0.8893	0.9015	0.8125	0.8281	0.7616	0.7354	0.7876
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2761	0.4233	0.3613	0.3862	0.7635	0.7745	0.7973	0.7387	0.7373	0.7684	0.7603	0.7271	0.7283	0.7679	0.8199	0.8879	0.8591	0.6022	0.7012	0.6706	0.7890	0.8007	0.9108	0.8774	0.8673	0.8654	0.8625	0.8427	0.8610	0.9044	0.8869	1.0000	0.9055	0.8790	0.8907	0.9036	0.9131	0.8474	0.8584	0.7906	0.7652	0.7672
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2375	0.3869	0.3244	0.3502	0.7384	0.7484	0.7830	0.7152	0.6900	0.7305	0.7200	0.6889	0.6949	0.7549	0.7858	0.8375	0.8281	0.5761	0.6730	0.6344	0.8035	0.8196	0.9004	0.8831	0.8759	0.8701	0.8629	0.8340	0.8545	0.8803	0.8677	0.9055	1.0000	0.8626	0.8701	0.8863	0.8971	0.8250	0.8275	0.7763	0.7394	0.7638
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2793	0.4224	0.3657	0.3917	0.7244	0.7226	0.7592	0.7031	0.6801	0.7193	0.7137	0.6819	0.6790	0.7710	0.7741	0.8260	0.8488	0.6081	0.7013	0.6691	0.7927	0.7820	0.8923	0.8782	0.8604	0.8458	0.8404	0.7883	0.7971	0.8963	0.8727	0.8790	0.8626	1.0000	0.8752	0.8818	0.8958	0.7983	0.8114	0.7514	0.7397	0.7837
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2784	0.4219	0.3635	0.3898	0.7316	0.7311	0.7786	0.7115	0.6947	0.7271	0.7259	0.6932	0.6916	0.7682	0.7793	0.8407	0.8644	0.6050	0.6961	0.6696	0.7871	0.7808	0.9023	0.8772	0.8675	0.8473	0.8479	0.7972	0.8073	0.9032	0.8892	0.8907	0.8701	0.8752	1.0000	0.8930	0.8995	0.8076	0.8233	0.7612	0.7451	0.7781
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2540	0.4026	0.3432	0.3703	0.7323	0.7320	0.7699	0.7064	0.6832	0.7196	0.7170	0.6847	0.6831	0.7695	0.7766	0.8362	0.8522	0.5989	0.6907	0.6602	0.8116	0.8142	0.9141	0.8960	0.8837	0.8704	0.8685	0.8222	0.8376	0.9007	0.8893	0.9036	0.8863	0.8818	0.8930	1.0000	0.9094	0.8132	0.8229	0.7721	0.7462	0.7894
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2668	0.4212	0.3571	0.3853	0.7502	0.7601	0.7975	0.7269	0.6988	0.7406	0.7321	0.7026	0.6973	0.7847	0.7951	0.8581	0.8651	0.6125	0.7082	0.6737	0.8201	0.8165	0.9267	0.9115	0.8970	0.8824	0.8759	0.8260	0.8440	0.9168	0.9015	0.9131	0.8971	0.8958	0.8995	0.9094	1.0000	0.8309	0.8328	0.7911	0.7667	0.7979
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3208	0.4424	0.3923	0.4119	0.7294	0.7666	0.7860	0.7120	0.7205	0.7431	0.7322	0.7130	0.7234	0.7303	0.7755	0.8419	0.7940	0.5839	0.6725	0.6435	0.7015	0.6968	0.8127	0.7873	0.7787	0.7683	0.7819	0.7535	0.7625	0.8305	0.8125	0.8474	0.8250	0.7983	0.8076	0.8132	0.8309	1.0000	0.8087	0.7187	0.6770	0.7033
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3142	0.4381	0.3873	0.4053	0.7229	0.7556	0.7728	0.7030	0.7306	0.7413	0.7363	0.7192	0.7362	0.7287	0.7778	0.8467	0.8244	0.5780	0.6722	0.6443	0.6980	0.6945	0.8216	0.7855	0.7758	0.7679	0.7811	0.7519	0.7580	0.8485	0.8281	0.8584	0.8275	0.8114	0.8233	0.8229	0.8328	0.8087	1.0000	0.7091	0.6739	0.7064
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2518	0.3756	0.3248	0.3456	0.6514	0.6676	0.7222	0.6390	0.6163	0.6479	0.6422	0.6106	0.6130	0.6615	0.6827	0.7362	0.7234	0.5214	0.6019	0.5770	0.6928	0.7047	0.7895	0.7622	0.7617	0.7506	0.7665	0.7346	0.7504	0.7654	0.7616	0.7906	0.7763	0.7514	0.7612	0.7721	0.7911	0.7187	0.7091	1.0000	0.6535	0.6726
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2878	0.4121	0.3564	0.3859	0.6458	0.6151	0.6601	0.6395	0.6028	0.6519	0.6430	0.5886	0.5747	0.6877	0.6963	0.7287	0.7260	0.5626	0.6341	0.6187	0.6766	0.6566	0.7529	0.7485	0.7451	0.7183	0.7057	0.6654	0.6723	0.7696	0.7354	0.7652	0.7394	0.7397	0.7451	0.7462	0.7667	0.6770	0.6739	0.6535	1.0000	0.6793
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3566	0.4752	0.4356	0.4588	0.6621	0.6448	0.6860	0.6518	0.6237	0.6599	0.6639	0.6180	0.6123	0.7562	0.7022	0.7368	0.7744	0.6384	0.7009	0.6853	0.7222	0.6847	0.7913	0.7901	0.7737	0.7475	0.7373	0.6985	0.6908	0.8057	0.7876	0.7672	0.7638	0.7837	0.7781	0.7894	0.7979	0.7033	0.7064	0.6726	0.6793	1.0000
