#plotCorrelation --outFileCorMatrix
	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4388	0.6142	0.5435	0.4630	0.5921	0.5343	0.5476	0.3876	0.4105	0.6890	1.0000	0.7281	0.7709	0.8324	0.7997	0.7775	0.8210	0.7569	0.7350	0.6514	0.6799	0.7168	0.6307	0.6730	0.7039	0.7428	0.6823	0.7331	0.7490	0.7217	0.4532	0.5472	0.5577	0.5692	0.6516	0.6174	0.6233	0.6305	0.1629	0.2589	0.3753	0.3314
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4609	0.6418	0.6300	0.5166	0.7093	0.6258	0.6230	0.4515	0.4663	0.7376	0.7281	1.0000	0.8444	0.7190	0.7683	0.7923	0.7932	0.7370	0.7449	0.7272	0.7423	0.8077	0.7051	0.7330	0.8056	0.8220	0.7073	0.7258	0.7703	0.7575	0.4742	0.5535	0.5651	0.5916	0.6916	0.7024	0.6546	0.6638	0.1107	0.2854	0.3589	0.3660
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4903	0.6649	0.5934	0.5329	0.6778	0.6308	0.6000	0.4419	0.4485	0.8775	0.7709	0.8444	1.0000	0.8372	0.8785	0.9012	0.8618	0.8282	0.8450	0.8248	0.8000	0.8390	0.7287	0.8140	0.8393	0.8869	0.7471	0.8077	0.8472	0.8345	0.5297	0.6354	0.6436	0.6641	0.7708	0.7292	0.7292	0.7308	0.1179	0.3136	0.3604	0.3799
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4585	0.5984	0.5230	0.5074	0.5623	0.5484	0.5764	0.3754	0.3837	0.8048	0.8324	0.7190	0.8372	1.0000	0.8703	0.9068	0.8967	0.8190	0.8098	0.6709	0.7355	0.7187	0.5993	0.7004	0.7038	0.7517	0.7137	0.7715	0.7914	0.8028	0.4635	0.5570	0.5694	0.5780	0.6702	0.5954	0.6305	0.6222	0.0846	0.2483	0.3053	0.3259
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4785	0.6153	0.5157	0.5304	0.6264	0.5858	0.5608	0.3846	0.3682	0.7999	0.7997	0.7683	0.8785	0.8703	1.0000	0.9140	0.8638	0.8962	0.8927	0.7700	0.8115	0.7434	0.5950	0.6967	0.7185	0.8067	0.7483	0.7930	0.8549	0.8368	0.5147	0.5997	0.6264	0.6335	0.7183	0.6311	0.6681	0.6533	0.0943	0.2621	0.3167	0.3262
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5259	0.6617	0.5744	0.5938	0.6251	0.6304	0.6767	0.4393	0.4154	0.9048	0.7775	0.7923	0.9012	0.9068	0.9140	1.0000	0.9091	0.8446	0.8674	0.7227	0.7993	0.8019	0.6402	0.7521	0.7493	0.8178	0.7627	0.8071	0.8511	0.8982	0.5106	0.5897	0.6096	0.6219	0.7193	0.6341	0.6704	0.6522	0.1243	0.2805	0.3634	0.3505
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4923	0.6640	0.5536	0.5660	0.6535	0.6273	0.6698	0.4577	0.4698	0.7984	0.8210	0.7932	0.8618	0.8967	0.8638	0.9091	1.0000	0.8384	0.8229	0.7142	0.8054	0.7994	0.6943	0.7582	0.7843	0.8301	0.7710	0.7928	0.8258	0.8329	0.4854	0.5590	0.5677	0.5843	0.7013	0.6524	0.6609	0.6641	0.0842	0.2636	0.3429	0.3787
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4521	0.5972	0.4768	0.4947	0.6420	0.5684	0.5159	0.3517	0.3591	0.6720	0.7569	0.7370	0.8282	0.8190	0.8962	0.8446	0.8384	1.0000	0.9019	0.8048	0.8603	0.7121	0.5593	0.6227	0.6858	0.8060	0.7401	0.7472	0.8464	0.7819	0.4787	0.5540	0.5824	0.5907	0.6732	0.5974	0.6241	0.6142	0.0968	0.2421	0.3075	0.3075
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4949	0.6697	0.5153	0.5254	0.6126	0.5800	0.5544	0.4092	0.3743	0.7227	0.7350	0.7449	0.8450	0.8098	0.8927	0.8674	0.8229	0.9019	1.0000	0.7723	0.8050	0.7589	0.5995	0.6644	0.7163	0.8045	0.7783	0.8215	0.9321	0.8396	0.5474	0.6319	0.6668	0.6706	0.7399	0.6497	0.6911	0.6779	0.2168	0.2780	0.4230	0.3400
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4210	0.5597	0.4538	0.4159	0.6061	0.5314	0.4282	0.3599	0.3462	0.6175	0.6514	0.7272	0.8248	0.6709	0.7700	0.7227	0.7142	0.8048	0.7723	1.0000	0.7600	0.6935	0.6032	0.6433	0.7172	0.8553	0.6718	0.6786	0.7584	0.6885	0.4767	0.5599	0.5730	0.5957	0.6676	0.6617	0.6367	0.6384	0.0813	0.2639	0.2749	0.3058
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4090	0.5690	0.4762	0.5102	0.6835	0.5851	0.5678	0.3511	0.3659	0.6553	0.6799	0.7423	0.8000	0.7355	0.8115	0.7993	0.8054	0.8603	0.8050	0.7600	1.0000	0.7208	0.5295	0.5888	0.6472	0.7720	0.6546	0.6451	0.7508	0.7187	0.3868	0.4144	0.4330	0.4513	0.5583	0.5140	0.5096	0.5046	0.0636	0.1919	0.2857	0.3006
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5215	0.7916	0.6156	0.5707	0.6665	0.6539	0.6992	0.5075	0.5366	0.7612	0.7168	0.8077	0.8390	0.7187	0.7434	0.8019	0.7994	0.7121	0.7589	0.6935	0.7208	1.0000	0.7656	0.7807	0.8254	0.8375	0.7453	0.8133	0.7867	0.7931	0.4878	0.5724	0.5689	0.6045	0.7150	0.7030	0.6769	0.6924	0.3959	0.3002	0.6056	0.4377
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5272	0.6523	0.4616	0.4474	0.5542	0.6102	0.5864	0.5466	0.5662	0.6143	0.6307	0.7051	0.7287	0.5993	0.5950	0.6402	0.6943	0.5593	0.5995	0.6032	0.5295	0.7656	1.0000	0.8676	0.9047	0.8582	0.7635	0.7561	0.7227	0.7203	0.6030	0.7354	0.7155	0.7427	0.8345	0.8580	0.8285	0.8763	0.0957	0.3831	0.3425	0.4300
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5219	0.6476	0.5054	0.4843	0.5477	0.6041	0.5923	0.5203	0.5192	0.7567	0.6730	0.7330	0.8140	0.7004	0.6967	0.7521	0.7582	0.6227	0.6644	0.6433	0.5888	0.7807	0.8676	1.0000	0.8879	0.8511	0.7568	0.7818	0.7526	0.7715	0.5768	0.7059	0.6873	0.7129	0.8130	0.8075	0.7984	0.8290	0.0859	0.3769	0.3334	0.4110
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5288	0.6913	0.5290	0.4769	0.6156	0.6296	0.5999	0.5398	0.5425	0.7156	0.7039	0.8056	0.8393	0.7038	0.7185	0.7493	0.7843	0.6858	0.7163	0.7172	0.6472	0.8254	0.9047	0.8879	1.0000	0.9086	0.8064	0.8206	0.8105	0.7867	0.6148	0.7380	0.7237	0.7594	0.8517	0.8888	0.8389	0.8767	0.1013	0.3810	0.3590	0.4342
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5557	0.6875	0.5156	0.5178	0.6951	0.6688	0.5960	0.5319	0.5041	0.7159	0.7428	0.8220	0.8869	0.7517	0.8067	0.8178	0.8301	0.8060	0.8045	0.8553	0.7720	0.8375	0.8582	0.8511	0.9086	1.0000	0.8328	0.8185	0.8563	0.8291	0.6140	0.7267	0.7282	0.7510	0.8490	0.8310	0.8215	0.8411	0.0902	0.3619	0.3432	0.4118
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5968	0.6877	0.4521	0.5257	0.5651	0.6048	0.6041	0.5713	0.6310	0.6179	0.6823	0.7073	0.7471	0.7137	0.7483	0.7627	0.7710	0.7401	0.7783	0.6718	0.6546	0.7453	0.7635	0.7568	0.8064	0.8328	1.0000	0.8377	0.8533	0.8490	0.6191	0.7351	0.7558	0.7679	0.8358	0.7704	0.8028	0.8077	0.1288	0.3375	0.3779	0.3851
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5512	0.7558	0.5270	0.5258	0.5529	0.5846	0.6049	0.5216	0.4715	0.7129	0.7331	0.7258	0.8077	0.7715	0.7930	0.8071	0.7928	0.7472	0.8215	0.6786	0.6451	0.8133	0.7561	0.7818	0.8206	0.8185	0.8377	1.0000	0.8665	0.8483	0.6246	0.7386	0.7556	0.7647	0.8399	0.7686	0.8035	0.8108	0.3244	0.3526	0.5281	0.4150
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5403	0.7123	0.5214	0.5327	0.6163	0.6131	0.5926	0.4876	0.4393	0.7194	0.7490	0.7703	0.8472	0.7914	0.8549	0.8511	0.8258	0.8464	0.9321	0.7584	0.7508	0.7867	0.7227	0.7526	0.8105	0.8563	0.8533	0.8665	1.0000	0.8812	0.6370	0.7467	0.7782	0.7795	0.8445	0.7691	0.8055	0.8050	0.1833	0.3468	0.4341	0.3820
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7391	0.6994	0.5329	0.6122	0.5808	0.6525	0.6985	0.4762	0.4559	0.7957	0.7217	0.7575	0.8345	0.8028	0.8368	0.8982	0.8329	0.7819	0.8396	0.6885	0.7187	0.7931	0.7203	0.7715	0.7867	0.8291	0.8490	0.8483	0.8812	1.0000	0.6371	0.7174	0.7480	0.7794	0.8318	0.7420	0.7800	0.7682	0.1523	0.3266	0.3952	0.3794
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4250	0.4405	0.2803	0.3047	0.3455	0.4041	0.3314	0.3825	0.3008	0.4287	0.4532	0.4742	0.5297	0.4635	0.5147	0.5106	0.4854	0.4787	0.5474	0.4767	0.3868	0.4878	0.6030	0.5768	0.6148	0.6140	0.6191	0.6246	0.6370	0.6371	1.0000	0.7275	0.7639	0.7589	0.7570	0.6879	0.7379	0.7403	0.0550	0.3312	0.2134	0.2583
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5071	0.5192	0.3328	0.3276	0.4030	0.6242	0.3672	0.4478	0.3555	0.5192	0.5472	0.5535	0.6354	0.5570	0.5997	0.5897	0.5590	0.5540	0.6319	0.5599	0.4144	0.5724	0.7354	0.7059	0.7380	0.7267	0.7351	0.7386	0.7467	0.7174	0.7275	1.0000	0.9232	0.9115	0.9033	0.8328	0.8890	0.8999	0.0876	0.4421	0.2496	0.3083
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5270	0.5207	0.3357	0.3459	0.4174	0.4801	0.3725	0.4571	0.3449	0.5200	0.5577	0.5651	0.6436	0.5694	0.6264	0.6096	0.5677	0.5824	0.6668	0.5730	0.4330	0.5689	0.7155	0.6873	0.7237	0.7282	0.7558	0.7556	0.7782	0.7480	0.7639	0.9232	1.0000	0.9520	0.9322	0.8431	0.9089	0.9121	0.0695	0.4171	0.2515	0.3014
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6265	0.5411	0.3556	0.3602	0.4258	0.5117	0.4061	0.4563	0.3736	0.5417	0.5692	0.5916	0.6641	0.5780	0.6335	0.6219	0.5843	0.5907	0.6706	0.5957	0.4513	0.6045	0.7427	0.7129	0.7594	0.7510	0.7679	0.7647	0.7795	0.7794	0.7589	0.9115	0.9520	1.0000	0.9384	0.8912	0.9090	0.9140	0.0725	0.4238	0.2622	0.3343
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5992	0.6292	0.4289	0.4423	0.5293	0.5857	0.5008	0.5286	0.4467	0.6415	0.6516	0.6916	0.7708	0.6702	0.7183	0.7193	0.7013	0.6732	0.7399	0.6676	0.5583	0.7150	0.8345	0.8130	0.8517	0.8490	0.8358	0.8399	0.8445	0.8318	0.7570	0.9033	0.9322	0.9384	1.0000	0.9026	0.9391	0.9507	0.0856	0.4250	0.3111	0.3783
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5539	0.6115	0.4350	0.3987	0.5094	0.5698	0.4946	0.5156	0.4795	0.5911	0.6174	0.7024	0.7292	0.5954	0.6311	0.6341	0.6524	0.5974	0.6497	0.6617	0.5140	0.7030	0.8580	0.8075	0.8888	0.8310	0.7704	0.7686	0.7691	0.7420	0.6879	0.8328	0.8431	0.8912	0.9026	1.0000	0.8872	0.9203	0.0765	0.4106	0.3028	0.3856
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5443	0.6013	0.4071	0.3959	0.4911	0.5435	0.4572	0.5107	0.4373	0.6056	0.6233	0.6546	0.7292	0.6305	0.6681	0.6704	0.6609	0.6241	0.6911	0.6367	0.5096	0.6769	0.8285	0.7984	0.8389	0.8215	0.8028	0.8035	0.8055	0.7800	0.7379	0.8890	0.9089	0.9090	0.9391	0.8872	1.0000	0.9424	0.0791	0.4249	0.2949	0.3661
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5387	0.6159	0.4110	0.3861	0.4980	0.5447	0.4659	0.5267	0.4650	0.5945	0.6305	0.6638	0.7308	0.6222	0.6533	0.6522	0.6641	0.6142	0.6779	0.6384	0.5046	0.6924	0.8763	0.8290	0.8767	0.8411	0.8077	0.8108	0.8050	0.7682	0.7403	0.8999	0.9121	0.9140	0.9507	0.9203	0.9424	1.0000	0.0826	0.4306	0.3058	0.3872
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0990	0.5101	0.3235	0.1897	0.0765	0.1180	0.2052	0.1392	0.1451	0.1377	0.1629	0.1107	0.1179	0.0846	0.0943	0.1243	0.0842	0.0968	0.2168	0.0813	0.0636	0.3959	0.0957	0.0859	0.1013	0.0902	0.1288	0.3244	0.1833	0.1523	0.0550	0.0876	0.0695	0.0725	0.0856	0.0765	0.0791	0.0826	1.0000	0.0356	0.8623	0.1841
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2323	0.2599	0.1772	0.1613	0.2011	0.2343	0.2062	0.2217	0.2067	0.2538	0.2589	0.2854	0.3136	0.2483	0.2621	0.2805	0.2636	0.2421	0.2780	0.2639	0.1919	0.3002	0.3831	0.3769	0.3810	0.3619	0.3375	0.3526	0.3468	0.3266	0.3312	0.4421	0.4171	0.4238	0.4250	0.4106	0.4249	0.4306	0.0356	1.0000	0.1359	0.1659
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2503	0.6900	0.4364	0.3494	0.2824	0.2803	0.4336	0.2970	0.3137	0.3544	0.3753	0.3589	0.3604	0.3053	0.3167	0.3634	0.3429	0.3075	0.4230	0.2749	0.2857	0.6056	0.3425	0.3334	0.3590	0.3432	0.3779	0.5281	0.4341	0.3952	0.2134	0.2496	0.2515	0.2622	0.3111	0.3028	0.2949	0.3058	0.8623	0.1359	1.0000	0.2951
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2649	0.4015	0.2746	0.3121	0.2886	0.3068	0.3440	0.2814	0.2999	0.3300	0.3314	0.3660	0.3799	0.3259	0.3262	0.3505	0.3787	0.3075	0.3400	0.3058	0.3006	0.4377	0.4300	0.4110	0.4342	0.4118	0.3851	0.4150	0.3820	0.3794	0.2583	0.3083	0.3014	0.3343	0.3783	0.3856	0.3661	0.3872	0.1841	0.1659	0.2951	1.0000
