#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5651	0.6491	0.6288	0.6132	0.7858	0.7966	0.8110	0.8540	0.8255	0.7777	1.0000	0.7898	0.7958	0.8071	0.8181	0.7649	0.7601	0.7215	0.7710	0.7586	0.6895	0.6530	0.7719	0.7589	0.7562	0.7399	0.7313	0.7236	0.7026	0.7969	0.8131	0.8096	0.7933	0.7816	0.7829	0.7884	0.8019	0.7828	0.7751	0.7341	0.7151	0.7207
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6094	0.6886	0.6685	0.6532	0.7916	0.8009	0.8078	0.8522	0.8320	0.7744	0.7898	1.0000	0.8079	0.8191	0.8319	0.7692	0.7650	0.7416	0.7860	0.7775	0.6657	0.6200	0.7492	0.7363	0.7376	0.7174	0.7050	0.7019	0.6765	0.7827	0.8015	0.7899	0.7756	0.7661	0.7681	0.7690	0.7847	0.7700	0.7594	0.7277	0.7102	0.7114
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6727	0.7363	0.7146	0.7081	0.7873	0.8126	0.8136	0.8849	0.8462	0.7994	0.7958	0.8079	1.0000	0.8614	0.8643	0.8108	0.8118	0.7539	0.7991	0.7952	0.6120	0.5686	0.7195	0.6850	0.6876	0.6873	0.6599	0.6917	0.6561	0.7718	0.7903	0.7914	0.7558	0.7461	0.7515	0.7481	0.7599	0.7774	0.7834	0.7036	0.6769	0.6920
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6619	0.7340	0.7140	0.7031	0.8135	0.8207	0.8313	0.8887	0.8577	0.7977	0.8071	0.8191	0.8614	1.0000	0.8724	0.8066	0.8023	0.7732	0.8157	0.8126	0.6523	0.6055	0.7502	0.7248	0.7254	0.7154	0.6958	0.7094	0.6758	0.7958	0.8162	0.8096	0.7805	0.7749	0.7777	0.7775	0.7880	0.7871	0.7876	0.7372	0.7117	0.7146
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6581	0.7345	0.7120	0.6999	0.8160	0.8266	0.8298	0.9005	0.8732	0.8090	0.8181	0.8319	0.8643	0.8724	1.0000	0.8127	0.8087	0.7739	0.8191	0.8120	0.6540	0.6075	0.7508	0.7290	0.7314	0.7181	0.7009	0.7106	0.6811	0.7930	0.8160	0.8156	0.7882	0.7778	0.7775	0.7780	0.7937	0.7953	0.7916	0.7329	0.7168	0.7178
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5998	0.6675	0.6469	0.6391	0.7592	0.7909	0.7960	0.8487	0.8083	0.7825	0.7649	0.7692	0.8108	0.8066	0.8127	1.0000	0.7801	0.7060	0.7563	0.7495	0.6276	0.5933	0.7276	0.7013	0.6966	0.6970	0.6767	0.6916	0.6639	0.7689	0.7858	0.7821	0.7537	0.7463	0.7504	0.7490	0.7625	0.7712	0.7748	0.6966	0.6659	0.6865
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5902	0.6580	0.6362	0.6295	0.7550	0.8013	0.7944	0.8474	0.8064	0.7875	0.7601	0.7650	0.8118	0.8023	0.8087	0.7801	1.0000	0.6974	0.7489	0.7407	0.6253	0.5940	0.7262	0.6956	0.6930	0.6991	0.6756	0.6928	0.6696	0.7662	0.7829	0.7831	0.7575	0.7434	0.7481	0.7466	0.7576	0.7791	0.7887	0.6907	0.6538	0.6871
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7221	0.7723	0.7700	0.7572	0.7913	0.7158	0.7478	0.7700	0.7646	0.6890	0.7215	0.7416	0.7539	0.7732	0.7739	0.7060	0.6974	1.0000	0.8158	0.8304	0.5935	0.5105	0.6553	0.6525	0.6405	0.6064	0.6050	0.5996	0.5481	0.7066	0.7268	0.6838	0.6686	0.6933	0.6831	0.6857	0.6953	0.6687	0.6608	0.7207	0.6502	0.6201
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6932	0.7643	0.7525	0.7370	0.8354	0.7746	0.8138	0.8352	0.8188	0.7479	0.7710	0.7860	0.7991	0.8157	0.8191	0.7563	0.7489	0.8158	1.0000	0.8468	0.6582	0.5864	0.7307	0.7253	0.7125	0.6833	0.6783	0.6711	0.6256	0.7757	0.7993	0.7604	0.7433	0.7652	0.7544	0.7574	0.7699	0.7386	0.7339	0.7691	0.7059	0.6821
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7295	0.7849	0.7823	0.7695	0.8231	0.7578	0.7976	0.8209	0.8062	0.7315	0.7586	0.7775	0.7952	0.8126	0.8120	0.7495	0.7407	0.8304	0.8468	1.0000	0.6269	0.5475	0.7052	0.6930	0.6812	0.6506	0.6469	0.6421	0.5938	0.7571	0.7769	0.7372	0.7138	0.7409	0.7347	0.7337	0.7431	0.7163	0.7128	0.7567	0.6932	0.6636
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3000	0.4143	0.3935	0.3714	0.7379	0.7129	0.7717	0.7399	0.7094	0.6791	0.6895	0.6657	0.6120	0.6523	0.6540	0.6276	0.6253	0.5935	0.6582	0.6269	1.0000	0.8554	0.8734	0.8837	0.8690	0.8451	0.8647	0.8056	0.8271	0.8215	0.8325	0.8262	0.8426	0.8360	0.8291	0.8507	0.8569	0.7595	0.7524	0.7808	0.7419	0.7527
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2044	0.3215	0.2961	0.2776	0.6833	0.6839	0.7313	0.7108	0.6707	0.6570	0.6530	0.6200	0.5686	0.6055	0.6075	0.5933	0.5940	0.5105	0.5864	0.5475	0.8554	1.0000	0.8883	0.8828	0.8715	0.8763	0.8916	0.8471	0.8980	0.8064	0.8090	0.8394	0.8564	0.8261	0.8208	0.8514	0.8528	0.7570	0.7523	0.7506	0.7226	0.7634
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3677	0.4910	0.4629	0.4423	0.8013	0.8089	0.8731	0.8513	0.8018	0.7729	0.7719	0.7492	0.7195	0.7502	0.7508	0.7276	0.7262	0.6553	0.7307	0.7052	0.8734	0.8883	1.0000	0.9353	0.9262	0.9139	0.9233	0.8730	0.8972	0.9159	0.9221	0.9240	0.9196	0.9139	0.9211	0.9317	0.9417	0.8480	0.8518	0.8334	0.8018	0.8297
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3438	0.4728	0.4462	0.4215	0.8019	0.7870	0.8573	0.8224	0.7873	0.7514	0.7589	0.7363	0.6850	0.7248	0.7290	0.7013	0.6956	0.6525	0.7253	0.6930	0.8837	0.8828	0.9353	1.0000	0.9293	0.8959	0.9188	0.8505	0.8662	0.8971	0.9102	0.8962	0.9055	0.9036	0.9007	0.9179	0.9297	0.8272	0.8220	0.8348	0.7987	0.8075
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3421	0.4714	0.4420	0.4179	0.7892	0.7816	0.8482	0.8158	0.7831	0.7436	0.7562	0.7376	0.6876	0.7254	0.7314	0.6966	0.6930	0.6405	0.7125	0.6812	0.8690	0.8715	0.9262	0.9293	1.0000	0.8938	0.9060	0.8441	0.8630	0.8884	0.8970	0.8858	0.8981	0.8883	0.8940	0.9069	0.9176	0.8190	0.8118	0.8193	0.7970	0.8067
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3347	0.4505	0.4216	0.4039	0.7579	0.7893	0.8219	0.8124	0.7640	0.7510	0.7399	0.7174	0.6873	0.7154	0.7181	0.6970	0.6991	0.6064	0.6833	0.6506	0.8451	0.8763	0.9139	0.8959	0.8938	1.0000	0.8898	0.8567	0.8825	0.8707	0.8770	0.8847	0.8890	0.8722	0.8771	0.8949	0.9007	0.8229	0.8185	0.7901	0.7641	0.8105
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3042	0.4283	0.4007	0.3797	0.7587	0.7620	0.8171	0.7967	0.7582	0.7310	0.7313	0.7050	0.6599	0.6958	0.7009	0.6767	0.6756	0.6050	0.6783	0.6469	0.8647	0.8916	0.9233	0.9188	0.9060	0.8898	1.0000	0.8544	0.8840	0.8688	0.8755	0.8894	0.8962	0.8774	0.8760	0.8970	0.9068	0.8130	0.8096	0.8000	0.7737	0.7999
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3622	0.4636	0.4360	0.4252	0.7358	0.7593	0.7752	0.7981	0.7507	0.7369	0.7236	0.7019	0.6917	0.7094	0.7106	0.6916	0.6928	0.5996	0.6711	0.6421	0.8056	0.8471	0.8730	0.8505	0.8441	0.8567	0.8544	1.0000	0.8860	0.8263	0.8296	0.8738	0.8692	0.8309	0.8317	0.8577	0.8598	0.8023	0.7986	0.7620	0.7281	0.7871
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2850	0.3930	0.3649	0.3520	0.7072	0.7521	0.7545	0.7824	0.7261	0.7292	0.7026	0.6765	0.6561	0.6758	0.6811	0.6639	0.6696	0.5481	0.6256	0.5938	0.8271	0.8980	0.8972	0.8662	0.8630	0.8825	0.8840	0.8860	1.0000	0.8257	0.8238	0.8891	0.8834	0.8351	0.8375	0.8670	0.8714	0.8088	0.8049	0.7525	0.7299	0.7973
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4583	0.5734	0.5463	0.5270	0.8257	0.8328	0.9062	0.8800	0.8315	0.7966	0.7969	0.7827	0.7718	0.7958	0.7930	0.7689	0.7662	0.7066	0.7757	0.7571	0.8215	0.8064	0.9159	0.8971	0.8884	0.8707	0.8688	0.8263	0.8257	1.0000	0.9280	0.9015	0.8913	0.8969	0.9115	0.9107	0.9206	0.8460	0.8541	0.8285	0.7882	0.8055
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4761	0.5930	0.5652	0.5442	0.8496	0.8430	0.9287	0.9024	0.8552	0.8098	0.8131	0.8015	0.7903	0.8162	0.8160	0.7858	0.7829	0.7268	0.7993	0.7769	0.8325	0.8090	0.9221	0.9102	0.8970	0.8770	0.8755	0.8296	0.8238	0.9280	1.0000	0.9149	0.9011	0.9158	0.9220	0.9201	0.9328	0.8600	0.8704	0.8429	0.8161	0.8084
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4276	0.5437	0.5138	0.4952	0.8121	0.8371	0.8799	0.9098	0.8555	0.8196	0.8096	0.7899	0.7914	0.8096	0.8156	0.7821	0.7831	0.6838	0.7604	0.7372	0.8262	0.8394	0.9240	0.8962	0.8858	0.8847	0.8894	0.8738	0.8891	0.9015	0.9149	1.0000	0.9232	0.8999	0.9036	0.9188	0.9260	0.8766	0.8854	0.8118	0.8030	0.8286
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4029	0.5212	0.4916	0.4724	0.8069	0.8286	0.8605	0.8715	0.8313	0.7996	0.7933	0.7756	0.7558	0.7805	0.7882	0.7537	0.7575	0.6686	0.7433	0.7138	0.8426	0.8564	0.9196	0.9055	0.8981	0.8890	0.8962	0.8692	0.8834	0.8913	0.9011	0.9232	1.0000	0.8907	0.8917	0.9094	0.9178	0.8599	0.8593	0.8140	0.7884	0.8202
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4352	0.5487	0.5235	0.5036	0.8199	0.8088	0.8785	0.8611	0.8206	0.7777	0.7816	0.7661	0.7461	0.7749	0.7778	0.7463	0.7434	0.6933	0.7652	0.7409	0.8360	0.8261	0.9139	0.9036	0.8883	0.8722	0.8774	0.8309	0.8351	0.8969	0.9158	0.8999	0.8907	1.0000	0.8977	0.9065	0.9175	0.8374	0.8447	0.8301	0.7905	0.7997
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4257	0.5406	0.5139	0.4940	0.8107	0.8192	0.8912	0.8676	0.8194	0.7791	0.7829	0.7681	0.7515	0.7777	0.7775	0.7504	0.7481	0.6831	0.7544	0.7347	0.8291	0.8208	0.9211	0.9007	0.8940	0.8771	0.8760	0.8317	0.8375	0.9115	0.9220	0.9036	0.8917	0.8977	1.0000	0.9130	0.9182	0.8409	0.8499	0.8193	0.7959	0.8046
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4150	0.5332	0.5066	0.4863	0.8187	0.8172	0.8818	0.8692	0.8228	0.7850	0.7884	0.7690	0.7481	0.7775	0.7780	0.7490	0.7466	0.6857	0.7574	0.7337	0.8507	0.8514	0.9317	0.9179	0.9069	0.8949	0.8970	0.8577	0.8670	0.9107	0.9201	0.9188	0.9094	0.9065	0.9130	1.0000	0.9283	0.8492	0.8537	0.8341	0.7961	0.8159
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4239	0.5469	0.5173	0.4959	0.8296	0.8387	0.8918	0.8860	0.8367	0.8069	0.8019	0.7847	0.7599	0.7880	0.7937	0.7625	0.7576	0.6953	0.7699	0.7431	0.8569	0.8528	0.9417	0.9297	0.9176	0.9007	0.9068	0.8598	0.8714	0.9206	0.9328	0.9260	0.9178	0.9175	0.9182	0.9283	1.0000	0.8630	0.8611	0.8399	0.8125	0.8307
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4618	0.5579	0.5338	0.5189	0.7832	0.8282	0.8317	0.8738	0.8208	0.8133	0.7828	0.7700	0.7774	0.7871	0.7953	0.7712	0.7791	0.6687	0.7386	0.7163	0.7595	0.7570	0.8480	0.8272	0.8190	0.8229	0.8130	0.8023	0.8088	0.8460	0.8600	0.8766	0.8599	0.8374	0.8409	0.8492	0.8630	1.0000	0.8456	0.7622	0.7349	0.7708
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4520	0.5503	0.5235	0.5111	0.7781	0.8152	0.8520	0.8762	0.8201	0.8031	0.7751	0.7594	0.7834	0.7876	0.7916	0.7748	0.7887	0.6608	0.7339	0.7128	0.7524	0.7523	0.8518	0.8220	0.8118	0.8185	0.8096	0.7986	0.8049	0.8541	0.8704	0.8854	0.8593	0.8447	0.8499	0.8537	0.8611	0.8456	1.0000	0.7608	0.7285	0.7600
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5009	0.5947	0.5804	0.5639	0.8126	0.7522	0.8187	0.7912	0.7654	0.7166	0.7341	0.7277	0.7036	0.7372	0.7329	0.6966	0.6907	0.7207	0.7691	0.7567	0.7808	0.7506	0.8334	0.8348	0.8193	0.7901	0.8000	0.7620	0.7525	0.8285	0.8429	0.8118	0.8140	0.8301	0.8193	0.8341	0.8399	0.7622	0.7608	1.0000	0.7422	0.7385
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4343	0.5340	0.5123	0.4891	0.7482	0.7243	0.7798	0.7772	0.7529	0.6848	0.7151	0.7102	0.6769	0.7117	0.7168	0.6659	0.6538	0.6502	0.7059	0.6932	0.7419	0.7226	0.8018	0.7987	0.7970	0.7641	0.7737	0.7281	0.7299	0.7882	0.8161	0.8030	0.7884	0.7905	0.7959	0.7961	0.8125	0.7349	0.7285	0.7422	1.0000	0.7200
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4086	0.5065	0.4824	0.4669	0.7294	0.7760	0.7749	0.7866	0.7451	0.7306	0.7207	0.7114	0.6920	0.7146	0.7178	0.6865	0.6871	0.6201	0.6821	0.6636	0.7527	0.7634	0.8297	0.8075	0.8067	0.8105	0.7999	0.7871	0.7973	0.8055	0.8084	0.8286	0.8202	0.7997	0.8046	0.8159	0.8307	0.7708	0.7600	0.7385	0.7200	1.0000
