#plotCorrelation --outFileCorMatrix
	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3057	0.1492	0.7875	0.7259	0.7244	0.7121	0.8497	0.8904	0.7746	0.8252	0.8360	0.9590	1.0000	0.9903	0.9795	0.9800	0.9735	0.9452	0.9388	0.9343	0.9231	0.9422	0.9551	0.9167	0.9292	0.9226	0.9031	0.9422	0.8459	0.8065	0.8295	0.8756	0.8415	0.7475	0.6921	0.6436	0.8046	0.7080	0.4866	0.4922	0.4700	0.4432
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3639	0.1480	0.7571	0.6848	0.6841	0.6726	0.8327	0.8628	0.7374	0.8081	0.8308	0.9541	0.9903	1.0000	0.9857	0.9827	0.9735	0.9675	0.9376	0.9334	0.9159	0.9356	0.9650	0.9012	0.9223	0.9059	0.8861	0.9225	0.8368	0.7998	0.8206	0.8685	0.8437	0.7346	0.7032	0.6509	0.8012	0.6870	0.4627	0.4559	0.4877	0.4533
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2763	0.1426	0.7346	0.6559	0.6536	0.6476	0.7950	0.8183	0.7203	0.7860	0.8136	0.9561	0.9795	0.9857	1.0000	0.9854	0.9809	0.9635	0.9090	0.9088	0.9115	0.9237	0.9560	0.8931	0.9019	0.8669	0.8748	0.9249	0.8171	0.7820	0.7979	0.8333	0.8084	0.6871	0.6624	0.6103	0.8058	0.6777	0.4322	0.4415	0.4745	0.3979
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3171	0.1482	0.7015	0.6379	0.6209	0.6193	0.7831	0.8066	0.7282	0.7952	0.8258	0.9509	0.9800	0.9827	0.9854	1.0000	0.9909	0.9675	0.9478	0.9502	0.9485	0.9606	0.9776	0.8946	0.9050	0.8871	0.8963	0.9230	0.8484	0.8097	0.8346	0.8734	0.8500	0.7028	0.7091	0.6439	0.8341	0.7076	0.4360	0.4492	0.4717	0.4281
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2626	0.1469	0.6874	0.6297	0.6091	0.6111	0.7728	0.7911	0.7253	0.7942	0.8164	0.9480	0.9735	0.9735	0.9809	0.9909	1.0000	0.9533	0.9416	0.9493	0.9508	0.9679	0.9817	0.8844	0.8896	0.8708	0.8914	0.9214	0.8434	0.7906	0.8258	0.8626	0.8351	0.6952	0.6993	0.6251	0.8400	0.7050	0.4197	0.4442	0.4547	0.4028
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4792	0.1518	0.6600	0.5793	0.5681	0.5626	0.7419	0.7672	0.6652	0.7609	0.8213	0.9073	0.9452	0.9675	0.9635	0.9675	0.9533	1.0000	0.9300	0.9241	0.9027	0.9166	0.9565	0.8477	0.8860	0.8610	0.8410	0.8649	0.8421	0.7950	0.8116	0.8594	0.8505	0.6831	0.7312	0.6694	0.7997	0.6649	0.4185	0.3977	0.5313	0.4890
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4555	0.1561	0.6505	0.6267	0.5862	0.5819	0.7637	0.7943	0.7388	0.7995	0.8213	0.8888	0.9388	0.9376	0.9090	0.9478	0.9416	0.9300	1.0000	0.9822	0.9610	0.9734	0.9585	0.8752	0.8951	0.9208	0.8937	0.8727	0.8784	0.8562	0.8921	0.9295	0.9103	0.7294	0.7784	0.7113	0.8301	0.7337	0.4748	0.4726	0.4610	0.5255
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4195	0.1623	0.6408	0.6134	0.5683	0.5785	0.7487	0.7717	0.7461	0.8071	0.8283	0.8900	0.9343	0.9334	0.9088	0.9502	0.9493	0.9241	0.9822	1.0000	0.9710	0.9781	0.9729	0.8779	0.8987	0.9154	0.9066	0.8802	0.8860	0.8594	0.8909	0.9382	0.9246	0.7201	0.7864	0.7152	0.8423	0.7609	0.4692	0.4983	0.4626	0.5281
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3061	0.1526	0.6252	0.5946	0.5497	0.5768	0.7227	0.7305	0.7470	0.7833	0.7937	0.8935	0.9231	0.9159	0.9115	0.9485	0.9508	0.9027	0.9610	0.9710	1.0000	0.9783	0.9537	0.8858	0.8839	0.8884	0.9388	0.8922	0.8855	0.8640	0.8716	0.9089	0.8939	0.6694	0.7256	0.6574	0.8484	0.7802	0.4462	0.5271	0.4005	0.4378
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3231	0.1536	0.6203	0.5915	0.5506	0.5570	0.7460	0.7638	0.7170	0.7790	0.7973	0.9070	0.9422	0.9356	0.9237	0.9606	0.9679	0.9166	0.9734	0.9781	0.9783	1.0000	0.9709	0.8634	0.8679	0.8791	0.8953	0.8863	0.8738	0.8099	0.8512	0.8993	0.8722	0.7036	0.7447	0.6513	0.8461	0.7315	0.4286	0.4431	0.4141	0.4399
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3666	0.1505	0.6474	0.5948	0.5659	0.5721	0.7520	0.7648	0.7102	0.7936	0.8231	0.9210	0.9551	0.9650	0.9560	0.9776	0.9817	0.9565	0.9585	0.9729	0.9537	0.9709	1.0000	0.8680	0.8877	0.8799	0.8884	0.8906	0.8604	0.8104	0.8479	0.8926	0.8802	0.7006	0.7527	0.6738	0.8448	0.7181	0.4306	0.4445	0.4747	0.4727
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2424	0.1944	0.8315	0.8056	0.7758	0.7808	0.8725	0.8543	0.8888	0.8583	0.8552	0.8872	0.9167	0.9012	0.8931	0.8946	0.8844	0.8477	0.8752	0.8779	0.8858	0.8634	0.8680	1.0000	0.9514	0.9248	0.8972	0.9442	0.8540	0.9185	0.8914	0.8894	0.8555	0.7078	0.6730	0.6833	0.7684	0.7626	0.6358	0.6777	0.4978	0.5690
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3756	0.2119	0.8658	0.7968	0.7852	0.7995	0.8374	0.8801	0.8673	0.8777	0.8815	0.8818	0.9292	0.9223	0.9019	0.9050	0.8896	0.8860	0.8951	0.8987	0.8839	0.8679	0.8877	0.9514	1.0000	0.9493	0.9063	0.9300	0.8495	0.9021	0.8734	0.9123	0.8871	0.7408	0.7136	0.7202	0.7680	0.7679	0.6011	0.6722	0.5633	0.5877
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4079	0.1724	0.8345	0.8144	0.7946	0.7899	0.8347	0.8949	0.8674	0.8809	0.8518	0.8584	0.9226	0.9059	0.8669	0.8871	0.8708	0.8610	0.9208	0.9154	0.8884	0.8791	0.8799	0.9248	0.9493	1.0000	0.9218	0.8911	0.8558	0.9039	0.9189	0.9317	0.9108	0.7632	0.7253	0.7462	0.7439	0.7806	0.5955	0.6681	0.5045	0.5847
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2485	0.1527	0.7491	0.7043	0.6896	0.7250	0.7614	0.7925	0.8090	0.8166	0.7910	0.8671	0.9031	0.8861	0.8748	0.8963	0.8914	0.8410	0.8937	0.9066	0.9388	0.8953	0.8884	0.8972	0.9063	0.9218	1.0000	0.8952	0.8442	0.8609	0.8474	0.8810	0.8681	0.6762	0.6555	0.6482	0.7652	0.7839	0.4961	0.6538	0.4027	0.4234
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1726	0.1706	0.8228	0.7741	0.7611	0.7717	0.8481	0.8651	0.8454	0.8402	0.8442	0.9101	0.9422	0.9225	0.9249	0.9230	0.9214	0.8649	0.8727	0.8802	0.8922	0.8863	0.8906	0.9442	0.9300	0.8911	0.8952	1.0000	0.8322	0.8291	0.8097	0.8553	0.8108	0.7116	0.7033	0.6157	0.8018	0.7359	0.5572	0.6076	0.4761	0.4656
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3430	0.1776	0.6454	0.6212	0.5848	0.6025	0.7218	0.7235	0.7560	0.7671	0.7826	0.8026	0.8459	0.8368	0.8171	0.8484	0.8434	0.8421	0.8784	0.8860	0.8855	0.8738	0.8604	0.8540	0.8495	0.8558	0.8442	0.8322	1.0000	0.8395	0.8413	0.8793	0.8605	0.6607	0.7172	0.6685	0.7624	0.7593	0.5320	0.5743	0.4350	0.5601
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3987	0.1832	0.7094	0.7333	0.6563	0.6766	0.7059	0.7174	0.8683	0.8288	0.8091	0.7632	0.8065	0.7998	0.7820	0.8097	0.7906	0.7950	0.8562	0.8594	0.8640	0.8099	0.8104	0.9185	0.9021	0.9039	0.8609	0.8291	0.8395	1.0000	0.9489	0.9037	0.9026	0.6343	0.7065	0.7459	0.7393	0.7853	0.6153	0.7138	0.4882	0.6497
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3879	0.1930	0.6775	0.7083	0.6363	0.6255	0.7043	0.7295	0.8228	0.8238	0.8088	0.7778	0.8295	0.8206	0.7979	0.8346	0.8258	0.8116	0.8921	0.8909	0.8716	0.8512	0.8479	0.8914	0.8734	0.9189	0.8474	0.8097	0.8413	0.9489	1.0000	0.9111	0.8991	0.6623	0.7257	0.7635	0.7523	0.7474	0.5722	0.6157	0.4915	0.6286
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4653	0.3278	0.7039	0.6775	0.6337	0.6468	0.7557	0.7918	0.8070	0.8377	0.8872	0.8178	0.8756	0.8685	0.8333	0.8734	0.8626	0.8594	0.9295	0.9382	0.9089	0.8993	0.8926	0.8894	0.9123	0.9317	0.8810	0.8553	0.8793	0.9037	0.9111	1.0000	0.9383	0.7365	0.7995	0.7850	0.7978	0.8002	0.5880	0.6185	0.6135	0.6601
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5207	0.1743	0.6492	0.6281	0.5843	0.6026	0.6993	0.7254	0.7746	0.8158	0.8221	0.7841	0.8415	0.8437	0.8084	0.8500	0.8351	0.8505	0.9103	0.9246	0.8939	0.8722	0.8802	0.8555	0.8871	0.9108	0.8681	0.8108	0.8605	0.9026	0.8991	0.9383	1.0000	0.6841	0.7877	0.8011	0.7736	0.8095	0.5462	0.6127	0.5139	0.6494
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3509	0.2145	0.6821	0.6506	0.6522	0.6307	0.7137	0.7745	0.6633	0.6923	0.7138	0.6867	0.7475	0.7346	0.6871	0.7028	0.6952	0.6831	0.7294	0.7201	0.6694	0.7036	0.7006	0.7078	0.7408	0.7632	0.6762	0.7116	0.6607	0.6343	0.6623	0.7365	0.6841	1.0000	0.6072	0.5797	0.5953	0.5623	0.5003	0.4506	0.4786	0.4980
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5540	0.1935	0.4754	0.4568	0.4079	0.4184	0.5746	0.5890	0.5925	0.6527	0.7213	0.6346	0.6921	0.7032	0.6624	0.7091	0.6993	0.7312	0.7784	0.7864	0.7256	0.7447	0.7527	0.6730	0.7136	0.7253	0.6555	0.7033	0.7172	0.7065	0.7257	0.7995	0.7877	0.6072	1.0000	0.6800	0.6739	0.6150	0.4680	0.4113	0.5190	0.6520
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5245	0.3244	0.5538	0.5440	0.4959	0.4979	0.5660	0.6043	0.6401	0.6972	0.7287	0.5820	0.6436	0.6509	0.6103	0.6439	0.6251	0.6694	0.7113	0.7152	0.6574	0.6513	0.6738	0.6833	0.7202	0.7462	0.6482	0.6157	0.6685	0.7459	0.7635	0.7850	0.8011	0.5797	0.6800	1.0000	0.6070	0.6162	0.5068	0.4997	0.5938	0.6519
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2840	0.1869	0.5307	0.4919	0.4503	0.4605	0.6222	0.6282	0.6435	0.6793	0.7388	0.7778	0.8046	0.8012	0.8058	0.8341	0.8400	0.7997	0.8301	0.8423	0.8484	0.8461	0.8448	0.7684	0.7680	0.7439	0.7652	0.8018	0.7624	0.7393	0.7523	0.7978	0.7736	0.5953	0.6739	0.6070	1.0000	0.6637	0.4141	0.4218	0.4431	0.4528
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2425	0.1425	0.6131	0.5952	0.5663	0.6112	0.6030	0.6154	0.7466	0.7324	0.7016	0.6675	0.7080	0.6870	0.6777	0.7076	0.7050	0.6649	0.7337	0.7609	0.7802	0.7315	0.7181	0.7626	0.7679	0.7806	0.7839	0.7359	0.7593	0.7853	0.7474	0.8002	0.8095	0.5623	0.6150	0.6162	0.6637	1.0000	0.5072	0.6849	0.3969	0.5089
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2244	0.2260	0.6095	0.6094	0.5969	0.5942	0.6123	0.5752	0.6526	0.5799	0.5984	0.4396	0.4866	0.4627	0.4322	0.4360	0.4197	0.4185	0.4748	0.4692	0.4462	0.4286	0.4306	0.6358	0.6011	0.5955	0.4961	0.5572	0.5320	0.6153	0.5722	0.5880	0.5462	0.5003	0.4680	0.5068	0.4141	0.5072	1.0000	0.5855	0.4499	0.5942
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0877	0.0995	0.7099	0.7099	0.6968	0.7747	0.5466	0.5586	0.7994	0.6759	0.5820	0.4580	0.4922	0.4559	0.4415	0.4492	0.4442	0.3977	0.4726	0.4983	0.5271	0.4431	0.4445	0.6777	0.6722	0.6681	0.6538	0.6076	0.5743	0.7138	0.6157	0.6185	0.6127	0.4506	0.4113	0.4997	0.4218	0.6849	0.5855	1.0000	0.3330	0.5044
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4149	0.7357	0.5050	0.4017	0.4061	0.4022	0.4467	0.5047	0.4397	0.5259	0.7405	0.4229	0.4700	0.4877	0.4745	0.4717	0.4547	0.5313	0.4610	0.4626	0.4005	0.4141	0.4747	0.4978	0.5633	0.5045	0.4027	0.4761	0.4350	0.4882	0.4915	0.6135	0.5139	0.4786	0.5190	0.5938	0.4431	0.3969	0.4499	0.3330	1.0000	0.5882
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5909	0.2198	0.4655	0.4726	0.4269	0.4246	0.4897	0.4844	0.5772	0.5637	0.6510	0.3726	0.4432	0.4533	0.3979	0.4281	0.4028	0.4890	0.5255	0.5281	0.4378	0.4399	0.4727	0.5690	0.5877	0.5847	0.4234	0.4656	0.5601	0.6497	0.6286	0.6601	0.6494	0.4980	0.6520	0.6519	0.4528	0.5089	0.5942	0.5044	0.5882	1.0000
