#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3546	0.4911	0.4598	0.4352	0.7704	0.7868	0.7961	0.7948	0.8194	0.8300	1.0000	0.9144	0.8876	0.8737	0.8786	0.8946	0.8946	0.9063	0.9000	0.8779	0.8670	0.8453	0.8446	0.7697	0.7479	0.7965	0.7613	0.7601	0.7428	0.7326	0.7603	0.7581	0.7274	0.7244	0.7925	0.8046	0.8033	0.8606	0.8884	0.6516	0.7338	0.7115
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3760	0.5144	0.4820	0.4558	0.7735	0.7992	0.7996	0.7918	0.8357	0.8491	0.9144	1.0000	0.9033	0.8849	0.9009	0.9068	0.9052	0.9204	0.9067	0.8927	0.8766	0.8527	0.8522	0.7726	0.7805	0.8139	0.7767	0.7787	0.7645	0.7548	0.7847	0.7858	0.7477	0.7441	0.8214	0.8159	0.8312	0.8870	0.9152	0.6759	0.7623	0.7358
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3063	0.4458	0.4104	0.3864	0.8049	0.7926	0.8475	0.8645	0.8520	0.8619	0.8876	0.9033	1.0000	0.9065	0.8807	0.8917	0.9040	0.9133	0.9118	0.8774	0.8676	0.8651	0.8679	0.7954	0.7693	0.7695	0.7820	0.7703	0.7454	0.7466	0.7680	0.7758	0.7366	0.7378	0.7690	0.8032	0.8241	0.8909	0.8603	0.6147	0.7069	0.6796
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2803	0.4219	0.3865	0.3619	0.8271	0.8129	0.8421	0.8569	0.8308	0.8298	0.8737	0.8849	0.9065	1.0000	0.8684	0.8750	0.8916	0.9017	0.9046	0.8879	0.8815	0.8688	0.8762	0.7849	0.7513	0.7743	0.7580	0.7511	0.7295	0.7050	0.7353	0.7449	0.7028	0.7074	0.7650	0.7934	0.7963	0.8439	0.8354	0.5992	0.6889	0.6536
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3201	0.4551	0.4254	0.4002	0.7906	0.8017	0.7975	0.8008	0.8057	0.8151	0.8786	0.9009	0.8807	0.8684	1.0000	0.8806	0.8873	0.9005	0.8966	0.8833	0.8670	0.8472	0.8525	0.7594	0.7516	0.7927	0.7338	0.7375	0.7184	0.6961	0.7297	0.7340	0.6959	0.6924	0.7805	0.7706	0.7847	0.8333	0.8555	0.6296	0.7156	0.6866
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3168	0.4532	0.4218	0.3970	0.7893	0.7965	0.8043	0.8107	0.8142	0.8264	0.8946	0.9068	0.8917	0.8750	0.8806	1.0000	0.8981	0.9036	0.9064	0.8824	0.8732	0.8541	0.8536	0.7689	0.7563	0.7861	0.7415	0.7436	0.7252	0.7089	0.7397	0.7406	0.7061	0.7038	0.7755	0.7886	0.7892	0.8469	0.8697	0.6242	0.7090	0.6857
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2958	0.4366	0.4055	0.3794	0.8217	0.8209	0.8301	0.8401	0.8197	0.8256	0.8946	0.9052	0.9040	0.8916	0.8873	0.8981	1.0000	0.9137	0.9181	0.9011	0.8894	0.8747	0.8764	0.7797	0.7580	0.7984	0.7427	0.7453	0.7219	0.6987	0.7327	0.7344	0.6990	0.6962	0.7790	0.7804	0.7873	0.8429	0.8587	0.6204	0.7062	0.6780
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3069	0.4537	0.4184	0.3916	0.8234	0.8278	0.8329	0.8459	0.8372	0.8353	0.9063	0.9204	0.9133	0.9017	0.9005	0.9036	0.9137	1.0000	0.9299	0.9152	0.9018	0.8815	0.8879	0.7976	0.7767	0.8054	0.7703	0.7622	0.7409	0.7133	0.7464	0.7540	0.7164	0.7102	0.7924	0.8077	0.8046	0.8644	0.8709	0.6321	0.7216	0.6897
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2405	0.3871	0.3544	0.3284	0.8661	0.8472	0.8496	0.8784	0.8192	0.8248	0.9000	0.9067	0.9118	0.9046	0.8966	0.9064	0.9181	0.9299	1.0000	0.9217	0.9114	0.8966	0.9081	0.7961	0.7632	0.7980	0.7295	0.7268	0.6985	0.6653	0.7011	0.7027	0.6742	0.6728	0.7589	0.7720	0.7632	0.8229	0.8477	0.5848	0.6751	0.6446
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2134	0.3670	0.3357	0.3046	0.8606	0.8604	0.8220	0.8399	0.7940	0.7877	0.8779	0.8927	0.8774	0.8879	0.8833	0.8824	0.9011	0.9152	0.9217	1.0000	0.9162	0.8750	0.9028	0.7705	0.7611	0.8011	0.7036	0.7115	0.6846	0.6240	0.6721	0.6776	0.6432	0.6365	0.7619	0.7457	0.7463	0.7874	0.8296	0.5831	0.6700	0.6314
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2158	0.3694	0.3351	0.3047	0.8490	0.8439	0.8171	0.8395	0.7857	0.7787	0.8670	0.8766	0.8676	0.8815	0.8670	0.8732	0.8894	0.9018	0.9114	0.9162	1.0000	0.8728	0.8887	0.7705	0.7581	0.7857	0.6967	0.7106	0.6885	0.6308	0.6758	0.6839	0.6397	0.6354	0.7496	0.7418	0.7442	0.7822	0.8189	0.5726	0.6581	0.6209
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2025	0.3403	0.3067	0.2843	0.8527	0.8142	0.8305	0.8619	0.7898	0.7857	0.8453	0.8527	0.8651	0.8688	0.8472	0.8541	0.8747	0.8815	0.8966	0.8750	0.8728	1.0000	0.8685	0.7738	0.7180	0.7471	0.7038	0.6888	0.6610	0.6280	0.6608	0.6647	0.6384	0.6415	0.7083	0.7492	0.7189	0.7768	0.7864	0.5276	0.6200	0.5804
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1641	0.3121	0.2799	0.2532	0.8703	0.8379	0.8259	0.8609	0.7761	0.7725	0.8446	0.8522	0.8679	0.8762	0.8525	0.8536	0.8764	0.8879	0.9081	0.9028	0.8887	0.8685	1.0000	0.7607	0.7310	0.7581	0.6780	0.6776	0.6459	0.5924	0.6355	0.6418	0.6120	0.6111	0.7081	0.7149	0.7101	0.7556	0.7821	0.5242	0.6124	0.5745
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2902	0.4068	0.3789	0.3588	0.7168	0.7045	0.7449	0.7564	0.7260	0.7134	0.7697	0.7726	0.7954	0.7849	0.7594	0.7689	0.7797	0.7976	0.7961	0.7705	0.7705	0.7738	0.7607	1.0000	0.6675	0.6848	0.6775	0.6657	0.6537	0.6313	0.6578	0.6628	0.6245	0.6260	0.6734	0.7317	0.6947	0.7439	0.7322	0.5435	0.6175	0.5960
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3307	0.4491	0.4238	0.3954	0.6723	0.6933	0.6797	0.6796	0.6866	0.6803	0.7479	0.7805	0.7693	0.7513	0.7516	0.7563	0.7580	0.7767	0.7632	0.7611	0.7581	0.7180	0.7310	0.6675	1.0000	0.6977	0.6291	0.6629	0.6579	0.6215	0.6619	0.6687	0.6051	0.5909	0.7050	0.6751	0.7112	0.7375	0.7383	0.5895	0.6549	0.6402
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4011	0.5134	0.4969	0.4747	0.6987	0.7373	0.7109	0.6955	0.7111	0.7094	0.7965	0.8139	0.7695	0.7743	0.7927	0.7861	0.7984	0.8054	0.7980	0.8011	0.7857	0.7471	0.7581	0.6848	0.6977	1.0000	0.6565	0.6804	0.6718	0.6426	0.6842	0.6785	0.6340	0.6262	0.7741	0.7001	0.7171	0.7449	0.7844	0.6646	0.7221	0.7069
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4466	0.5441	0.5157	0.5006	0.5864	0.6168	0.6825	0.6712	0.7762	0.7633	0.7613	0.7767	0.7820	0.7580	0.7338	0.7415	0.7427	0.7703	0.7295	0.7036	0.6967	0.7038	0.6780	0.6775	0.6291	0.6565	1.0000	0.7328	0.7284	0.7577	0.7551	0.7692	0.7384	0.7440	0.7178	0.7990	0.7770	0.8401	0.7659	0.6233	0.6938	0.6745
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4774	0.5780	0.5532	0.5334	0.5827	0.6281	0.6672	0.6393	0.7392	0.7300	0.7601	0.7787	0.7703	0.7511	0.7375	0.7436	0.7453	0.7622	0.7268	0.7115	0.7106	0.6888	0.6776	0.6657	0.6629	0.6804	0.7328	1.0000	0.7472	0.7545	0.7685	0.7820	0.7175	0.7114	0.7413	0.7554	0.7899	0.8237	0.7760	0.6639	0.7240	0.7093
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5305	0.6248	0.6012	0.5819	0.5430	0.6003	0.6404	0.6064	0.7227	0.7101	0.7428	0.7645	0.7454	0.7295	0.7184	0.7252	0.7219	0.7409	0.6985	0.6846	0.6885	0.6610	0.6459	0.6537	0.6579	0.6718	0.7284	0.7472	1.0000	0.7693	0.7826	0.7982	0.7211	0.7163	0.7487	0.7609	0.7976	0.8205	0.7718	0.6889	0.7420	0.7319
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6054	0.6819	0.6557	0.6464	0.4799	0.5369	0.6276	0.5803	0.7319	0.7384	0.7326	0.7548	0.7466	0.7050	0.6961	0.7089	0.6987	0.7133	0.6653	0.6240	0.6308	0.6280	0.5924	0.6313	0.6215	0.6426	0.7577	0.7545	0.7693	1.0000	0.8324	0.8364	0.7725	0.7731	0.7422	0.7736	0.8143	0.8604	0.7815	0.7023	0.7567	0.7528
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5931	0.6799	0.6559	0.6412	0.5251	0.5852	0.6490	0.6041	0.7426	0.7427	0.7603	0.7847	0.7680	0.7353	0.7297	0.7397	0.7327	0.7464	0.7011	0.6721	0.6758	0.6608	0.6355	0.6578	0.6619	0.6842	0.7551	0.7685	0.7826	0.8324	1.0000	0.8464	0.7672	0.7611	0.7748	0.7832	0.8278	0.8639	0.8020	0.7267	0.7777	0.7748
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5882	0.6805	0.6527	0.6368	0.5277	0.5878	0.6508	0.6103	0.7537	0.7482	0.7581	0.7858	0.7758	0.7449	0.7340	0.7406	0.7344	0.7540	0.7027	0.6776	0.6839	0.6647	0.6418	0.6628	0.6687	0.6785	0.7692	0.7820	0.7982	0.8364	0.8464	1.0000	0.7757	0.7693	0.7785	0.7919	0.8475	0.8791	0.8017	0.7275	0.7816	0.7739
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5184	0.5994	0.5748	0.5645	0.5103	0.5548	0.6273	0.5917	0.7250	0.7289	0.7274	0.7477	0.7366	0.7028	0.6959	0.7061	0.6990	0.7164	0.6742	0.6432	0.6397	0.6384	0.6120	0.6245	0.6051	0.6340	0.7384	0.7175	0.7211	0.7725	0.7672	0.7757	1.0000	0.7358	0.7085	0.7492	0.7695	0.8177	0.7593	0.6464	0.7057	0.6975
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5061	0.5870	0.5619	0.5514	0.5108	0.5521	0.6293	0.5992	0.7347	0.7452	0.7244	0.7441	0.7378	0.7074	0.6924	0.7038	0.6962	0.7102	0.6728	0.6365	0.6354	0.6415	0.6111	0.6260	0.5909	0.6262	0.7440	0.7114	0.7163	0.7731	0.7611	0.7693	0.7358	1.0000	0.7025	0.7607	0.7663	0.8157	0.7570	0.6346	0.6962	0.6863
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5348	0.6450	0.6217	0.5991	0.6180	0.6861	0.6792	0.6403	0.7355	0.7294	0.7925	0.8214	0.7690	0.7650	0.7805	0.7755	0.7790	0.7924	0.7589	0.7619	0.7496	0.7083	0.7081	0.6734	0.7050	0.7741	0.7178	0.7413	0.7487	0.7422	0.7748	0.7785	0.7085	0.7025	1.0000	0.7546	0.7937	0.8168	0.8131	0.7494	0.8018	0.7871
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4641	0.5683	0.5409	0.5231	0.6193	0.6568	0.7098	0.6987	0.7944	0.7777	0.8046	0.8159	0.8032	0.7934	0.7706	0.7886	0.7804	0.8077	0.7720	0.7457	0.7418	0.7492	0.7149	0.7317	0.6751	0.7001	0.7990	0.7554	0.7609	0.7736	0.7832	0.7919	0.7492	0.7607	0.7546	1.0000	0.8007	0.8565	0.8081	0.6564	0.7271	0.7074
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5187	0.6290	0.5992	0.5778	0.6030	0.6528	0.6989	0.6654	0.7836	0.7825	0.8033	0.8312	0.8241	0.7963	0.7847	0.7892	0.7873	0.8046	0.7632	0.7463	0.7442	0.7189	0.7101	0.6947	0.7112	0.7171	0.7770	0.7899	0.7976	0.8143	0.8278	0.8475	0.7695	0.7663	0.7937	0.8007	1.0000	0.8872	0.8360	0.7157	0.7806	0.7666
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5080	0.6249	0.5918	0.5708	0.6501	0.6883	0.7561	0.7351	0.8485	0.8511	0.8606	0.8870	0.8909	0.8439	0.8333	0.8469	0.8429	0.8644	0.8229	0.7874	0.7822	0.7768	0.7556	0.7439	0.7375	0.7449	0.8401	0.8237	0.8205	0.8604	0.8639	0.8791	0.8177	0.8157	0.8168	0.8565	0.8872	1.0000	0.8835	0.7192	0.7974	0.7810
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4416	0.5733	0.5410	0.5159	0.6797	0.7267	0.7340	0.7075	0.8006	0.8262	0.8884	0.9152	0.8603	0.8354	0.8555	0.8697	0.8587	0.8709	0.8477	0.8296	0.8189	0.7864	0.7821	0.7322	0.7383	0.7844	0.7659	0.7760	0.7718	0.7815	0.8020	0.8017	0.7593	0.7570	0.8131	0.8081	0.8360	0.8835	1.0000	0.7008	0.7791	0.7603
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6664	0.7277	0.7243	0.7078	0.4111	0.5141	0.5154	0.4483	0.5986	0.5889	0.6516	0.6759	0.6147	0.5992	0.6296	0.6242	0.6204	0.6321	0.5848	0.5831	0.5726	0.5276	0.5242	0.5435	0.5895	0.6646	0.6233	0.6639	0.6889	0.7023	0.7267	0.7275	0.6464	0.6346	0.7494	0.6564	0.7157	0.7192	0.7008	1.0000	0.7789	0.7960
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6318	0.7176	0.7028	0.6829	0.5019	0.5906	0.6016	0.5426	0.6825	0.6770	0.7338	0.7623	0.7069	0.6889	0.7156	0.7090	0.7062	0.7216	0.6751	0.6700	0.6581	0.6200	0.6124	0.6175	0.6549	0.7221	0.6938	0.7240	0.7420	0.7567	0.7777	0.7816	0.7057	0.6962	0.8018	0.7271	0.7806	0.7974	0.7791	0.7789	1.0000	0.8154
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6749	0.7416	0.7386	0.7223	0.4548	0.5532	0.5668	0.5040	0.6560	0.6524	0.7115	0.7358	0.6796	0.6536	0.6866	0.6857	0.6780	0.6897	0.6446	0.6314	0.6209	0.5804	0.5745	0.5960	0.6402	0.7069	0.6745	0.7093	0.7319	0.7528	0.7748	0.7739	0.6975	0.6863	0.7871	0.7074	0.7666	0.7810	0.7603	0.7960	0.8154	1.0000
