#plotCorrelation --outFileCorMatrix
	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4192	0.4598	0.4084	0.4117	0.3321	0.3659	0.3502	0.5088	0.4095	0.5042	0.4973	0.5040	0.4867	0.5219	0.5444	0.6060	0.5168	0.5193	0.5182	0.5293	0.5574	0.5853	0.5575	0.5260	0.4823	0.5252	0.5038	0.4945	0.4558	0.2823	0.3094	0.3465	1.0000	0.4199	0.4702	0.4625	0.4180	0.5700	0.3065	0.4540	0.2898	0.1209
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5139	0.5326	0.5030	0.4888	0.3817	0.4100	0.4002	0.6948	0.5989	0.5619	0.6292	0.5505	0.5733	0.5585	0.7136	0.5825	0.5739	0.6175	0.5344	0.6836	0.6552	0.6318	0.7027	0.7354	0.6409	0.6368	0.6205	0.5624	0.6010	0.3011	0.3392	0.3625	0.4199	1.0000	0.5831	0.5260	0.4784	0.5269	0.3409	0.3264	0.2753	0.1372
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5642	0.5678	0.5517	0.5368	0.4190	0.4455	0.4219	0.6466	0.5739	0.6312	0.7086	0.6773	0.6407	0.5784	0.6999	0.6776	0.6561	0.6539	0.7630	0.7664	0.7353	0.7441	0.7552	0.8101	0.6196	0.6782	0.6428	0.6803	0.6973	0.5584	0.3904	0.4269	0.4702	0.5831	1.0000	0.5311	0.5884	0.6203	0.3639	0.3739	0.3130	0.1971
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5454	0.5634	0.5185	0.5121	0.6112	0.4760	0.4412	0.5800	0.4987	0.5668	0.6062	0.5755	0.5984	0.5799	0.6502	0.6317	0.5820	0.5899	0.5558	0.6073	0.6068	0.6136	0.6610	0.6177	0.5507	0.5741	0.5654	0.5283	0.5216	0.5894	0.3410	0.3874	0.4625	0.5260	0.5311	1.0000	0.4648	0.5983	0.3638	0.4408	0.2802	0.1551
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5340	0.5335	0.5335	0.5079	0.4109	0.4335	0.4132	0.5150	0.4477	0.6130	0.6208	0.5884	0.6125	0.5859	0.6108	0.5900	0.5812	0.6100	0.5377	0.5814	0.6018	0.5773	0.6308	0.5997	0.4923	0.5254	0.5268	0.5204	0.5487	0.4257	0.3893	0.4099	0.4180	0.4784	0.5884	0.4648	1.0000	0.5869	0.3611	0.3607	0.2945	0.1730
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5315	0.5291	0.4984	0.4791	0.3675	0.4117	0.3688	0.5914	0.4369	0.6623	0.6462	0.6353	0.6628	0.6167	0.6478	0.7033	0.6132	0.5900	0.6296	0.6211	0.6848	0.6830	0.7200	0.6574	0.5183	0.5697	0.5456	0.5813	0.5624	0.3672	0.4166	0.4984	0.5700	0.5269	0.6203	0.5983	0.5869	1.0000	0.3454	0.4938	0.3294	0.1492
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6357	0.7093	0.6959	0.6873	0.6679	0.7081	0.7123	0.4008	0.4300	0.4596	0.5649	0.5167	0.5474	0.5795	0.5675	0.6250	0.6103	0.6151	0.4089	0.4915	0.4770	0.5088	0.4867	0.4607	0.4599	0.5030	0.5353	0.4464	0.4336	0.2428	0.3322	0.2692	0.3065	0.3409	0.3639	0.3638	0.3611	0.3454	1.0000	0.3842	0.2224	0.2074
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5393	0.5807	0.5225	0.5225	0.4787	0.6104	0.4990	0.4059	0.3961	0.4687	0.5094	0.5007	0.5172	0.5736	0.5429	0.7290	0.5308	0.5142	0.4291	0.4658	0.4741	0.5158	0.5111	0.4524	0.4309	0.4618	0.4708	0.4384	0.4228	0.2575	0.2812	0.3026	0.4540	0.3264	0.3739	0.4408	0.3607	0.4938	0.3842	1.0000	0.2332	0.1546
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3583	0.3442	0.3590	0.3315	0.2654	0.2939	0.2572	0.2952	0.2757	0.3545	0.4110	0.3859	0.4145	0.3504	0.3901	0.3493	0.3631	0.3404	0.3093	0.3504	0.3621	0.3325	0.3913	0.3529	0.2835	0.3051	0.2976	0.3068	0.3076	0.2009	0.2439	0.2644	0.2898	0.2753	0.3130	0.2802	0.2945	0.3294	0.2224	0.2332	1.0000	0.1134
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2862	0.2982	0.2852	0.2847	0.2919	0.2867	0.2765	0.1386	0.1729	0.2132	0.2646	0.2429	0.2586	0.2305	0.2254	0.2281	0.2595	0.2471	0.1780	0.2190	0.1811	0.1957	0.2121	0.2291	0.1674	0.1841	0.1982	0.1724	0.1786	0.1152	0.1365	0.1445	0.1209	0.1372	0.1971	0.1551	0.1730	0.1492	0.2074	0.1546	0.1134	1.0000
