#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5595	0.6441	0.6072	0.6230	0.7828	0.7935	0.8090	0.8228	0.8524	0.7747	1.0000	0.7860	0.7923	0.8156	0.8040	0.7615	0.7562	0.7168	0.7679	0.7553	0.6860	0.6489	0.7689	0.7560	0.7536	0.7273	0.7367	0.7195	0.6978	0.8108	0.7944	0.8067	0.7906	0.7791	0.7809	0.7858	0.7995	0.7805	0.7723	0.7310	0.7197	0.7117
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6047	0.6843	0.6480	0.6632	0.7878	0.7983	0.8049	0.8286	0.8499	0.7707	0.7860	1.0000	0.8050	0.8289	0.8159	0.7644	0.7608	0.7377	0.7825	0.7737	0.6620	0.6150	0.7458	0.7332	0.7342	0.7010	0.7134	0.6978	0.6707	0.7987	0.7801	0.7862	0.7723	0.7629	0.7653	0.7654	0.7815	0.7664	0.7556	0.7236	0.7103	0.7073
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6674	0.7315	0.7028	0.7097	0.7829	0.8091	0.8101	0.8437	0.8833	0.7966	0.7923	0.8050	1.0000	0.8624	0.8589	0.8082	0.8084	0.7489	0.7950	0.7914	0.6058	0.5619	0.7151	0.6798	0.6826	0.6547	0.6822	0.6870	0.6508	0.7867	0.7680	0.7885	0.7519	0.7421	0.7477	0.7444	0.7558	0.7741	0.7806	0.6983	0.6890	0.6728
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6534	0.7296	0.6946	0.7072	0.8120	0.8243	0.8269	0.8711	0.8992	0.8067	0.8156	0.8289	0.8624	1.0000	0.8697	0.8103	0.8061	0.7699	0.8158	0.8087	0.6484	0.6011	0.7467	0.7245	0.7270	0.6957	0.7134	0.7063	0.6753	0.8130	0.7896	0.8131	0.7849	0.7738	0.7746	0.7742	0.7900	0.7925	0.7890	0.7279	0.7157	0.7126
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6571	0.7293	0.6980	0.7097	0.8092	0.8171	0.8283	0.8550	0.8867	0.7949	0.8040	0.8159	0.8589	0.8697	1.0000	0.8035	0.7997	0.7686	0.8122	0.8094	0.6468	0.5987	0.7459	0.7203	0.7208	0.6908	0.7105	0.7049	0.6698	0.8128	0.7923	0.8060	0.7766	0.7707	0.7748	0.7734	0.7841	0.7836	0.7843	0.7324	0.7123	0.7077
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5945	0.6628	0.6336	0.6419	0.7551	0.7882	0.7926	0.8052	0.8467	0.7790	0.7615	0.7644	0.8082	0.8103	0.8035	1.0000	0.7772	0.7024	0.7528	0.7452	0.6223	0.5876	0.7233	0.6969	0.6916	0.6716	0.6924	0.6871	0.6590	0.7824	0.7656	0.7793	0.7498	0.7427	0.7471	0.7451	0.7590	0.7678	0.7717	0.6921	0.6847	0.6614
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5846	0.6523	0.6233	0.6316	0.7499	0.7983	0.7905	0.8037	0.8448	0.7844	0.7562	0.7608	0.8084	0.8061	0.7997	0.7772	1.0000	0.6924	0.7446	0.7356	0.6191	0.5876	0.7216	0.6908	0.6880	0.6702	0.6939	0.6876	0.6642	0.7787	0.7623	0.7795	0.7534	0.7394	0.7448	0.7422	0.7533	0.7759	0.7849	0.6854	0.6850	0.6489
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7194	0.7694	0.7543	0.7670	0.7884	0.7113	0.7440	0.7601	0.7657	0.6840	0.7168	0.7377	0.7489	0.7699	0.7686	0.7024	0.6924	1.0000	0.8134	0.8277	0.5883	0.5037	0.6504	0.6479	0.6357	0.5990	0.6014	0.5943	0.5397	0.7228	0.7020	0.6774	0.6633	0.6889	0.6793	0.6808	0.6909	0.6632	0.6542	0.7166	0.6184	0.6467
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6902	0.7611	0.7338	0.7499	0.8328	0.7719	0.8114	0.8162	0.8324	0.7440	0.7679	0.7825	0.7950	0.8158	0.8122	0.7528	0.7446	0.8134	1.0000	0.8448	0.6541	0.5809	0.7274	0.7217	0.7087	0.6742	0.6794	0.6674	0.6195	0.7969	0.7726	0.7556	0.7398	0.7622	0.7521	0.7539	0.7666	0.7340	0.7297	0.7663	0.6816	0.7033
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7268	0.7821	0.7669	0.7801	0.8204	0.7549	0.7947	0.8025	0.8178	0.7266	0.7553	0.7737	0.7914	0.8087	0.8094	0.7452	0.7356	0.8277	0.8448	1.0000	0.6220	0.5410	0.7008	0.6884	0.6769	0.6416	0.6456	0.6368	0.5865	0.7740	0.7534	0.7319	0.7093	0.7371	0.7314	0.7298	0.7394	0.7113	0.7080	0.7533	0.6624	0.6911
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2924	0.4074	0.3635	0.3865	0.7343	0.7096	0.7690	0.7053	0.7362	0.6744	0.6860	0.6620	0.6058	0.6484	0.6468	0.6223	0.6191	0.5883	0.6541	0.6220	1.0000	0.8542	0.8720	0.8819	0.8673	0.8628	0.8433	0.8041	0.8242	0.8306	0.8195	0.8231	0.8408	0.8338	0.8271	0.8490	0.8556	0.7560	0.7485	0.7779	0.7532	0.7398
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1947	0.3122	0.2678	0.2871	0.6786	0.6799	0.7285	0.6661	0.7065	0.6521	0.6489	0.6150	0.5619	0.6011	0.5987	0.5876	0.5876	0.5037	0.5809	0.5410	0.8542	1.0000	0.8871	0.8821	0.8705	0.8905	0.8751	0.8452	0.8956	0.8073	0.8047	0.8363	0.8550	0.8241	0.8196	0.8499	0.8517	0.7538	0.7491	0.7471	0.7623	0.7199
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3597	0.4836	0.4343	0.4559	0.7984	0.8068	0.8719	0.7991	0.8492	0.7696	0.7689	0.7458	0.7151	0.7467	0.7459	0.7233	0.7216	0.6504	0.7274	0.7008	0.8720	0.8871	1.0000	0.9346	0.9253	0.9222	0.9128	0.8717	0.8950	0.9216	0.9154	0.9223	0.9184	0.9130	0.9205	0.9308	0.9410	0.8461	0.8497	0.8309	0.8302	0.7999
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3362	0.4657	0.4137	0.4396	0.7991	0.7847	0.8558	0.7841	0.8197	0.7478	0.7560	0.7332	0.6798	0.7245	0.7203	0.6969	0.6908	0.6479	0.7217	0.6884	0.8819	0.8821	0.9346	1.0000	0.9284	0.9176	0.8948	0.8496	0.8639	0.9093	0.8964	0.8941	0.9045	0.9023	0.8998	0.9164	0.9290	0.8249	0.8190	0.8321	0.8090	0.7972
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3350	0.4645	0.4101	0.4355	0.7859	0.7791	0.8467	0.7798	0.8131	0.7399	0.7536	0.7342	0.6826	0.7270	0.7208	0.6916	0.6880	0.6357	0.7087	0.6769	0.8673	0.8705	0.9253	0.9284	1.0000	0.9049	0.8926	0.8429	0.8606	0.8960	0.8877	0.8834	0.8967	0.8868	0.8930	0.9057	0.9166	0.8162	0.8091	0.8170	0.8073	0.7954
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2958	0.4201	0.3709	0.3934	0.7548	0.7590	0.8148	0.7546	0.7936	0.7270	0.7273	0.7010	0.6547	0.6957	0.6908	0.6716	0.6702	0.5990	0.6742	0.6416	0.8628	0.8905	0.9222	0.9176	0.9049	1.0000	0.8881	0.8524	0.8814	0.8742	0.8677	0.8866	0.8948	0.8760	0.8747	0.8955	0.9054	0.8103	0.8069	0.7972	0.7996	0.7710
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3267	0.4433	0.3963	0.4149	0.7544	0.7869	0.8198	0.7606	0.8094	0.7469	0.7367	0.7134	0.6822	0.7134	0.7105	0.6924	0.6939	0.6014	0.6794	0.6456	0.8433	0.8751	0.9128	0.8948	0.8926	0.8881	1.0000	0.8554	0.8800	0.8758	0.8693	0.8822	0.8876	0.8706	0.8766	0.8935	0.8996	0.8199	0.8155	0.7874	0.8109	0.7620
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3536	0.4555	0.4164	0.4284	0.7328	0.7564	0.7733	0.7476	0.7957	0.7338	0.7195	0.6978	0.6870	0.7063	0.7049	0.6871	0.6876	0.5943	0.6674	0.6368	0.8041	0.8452	0.8717	0.8496	0.8429	0.8524	0.8554	1.0000	0.8837	0.8281	0.8246	0.8714	0.8672	0.8296	0.8312	0.8564	0.8587	0.7999	0.7964	0.7590	0.7853	0.7255
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2742	0.3823	0.3406	0.3546	0.7012	0.7479	0.7509	0.7216	0.7789	0.7253	0.6978	0.6707	0.6508	0.6753	0.6698	0.6590	0.6642	0.5397	0.6195	0.5865	0.8242	0.8956	0.8950	0.8639	0.8606	0.8814	0.8800	0.8837	1.0000	0.8209	0.8229	0.8874	0.8809	0.8321	0.8350	0.8645	0.8688	0.8062	0.8022	0.7474	0.7943	0.7257
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4700	0.5869	0.5380	0.5597	0.8474	0.8413	0.9278	0.8531	0.9005	0.8065	0.8108	0.7987	0.7867	0.8130	0.8128	0.7824	0.7787	0.7228	0.7969	0.7740	0.8306	0.8073	0.9216	0.9093	0.8960	0.8742	0.8758	0.8281	0.8209	1.0000	0.9274	0.9132	0.9001	0.9149	0.9216	0.9190	0.9320	0.8580	0.8681	0.8411	0.8099	0.8145
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4516	0.5672	0.5203	0.5404	0.8228	0.8310	0.9054	0.8293	0.8784	0.7931	0.7944	0.7801	0.7680	0.7896	0.7923	0.7656	0.7623	0.7020	0.7726	0.7534	0.8195	0.8047	0.9154	0.8964	0.8877	0.8677	0.8693	0.8246	0.8229	0.9274	1.0000	0.8997	0.8902	0.8961	0.9109	0.9097	0.9198	0.8439	0.8521	0.8264	0.8067	0.7864
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4186	0.5351	0.4866	0.5059	0.8078	0.8348	0.8777	0.8537	0.9086	0.8175	0.8067	0.7862	0.7885	0.8131	0.8060	0.7793	0.7795	0.6774	0.7556	0.7319	0.8231	0.8363	0.9223	0.8941	0.8834	0.8866	0.8822	0.8714	0.8874	0.9132	0.8997	1.0000	0.9218	0.8978	0.9021	0.9174	0.9243	0.8753	0.8842	0.8075	0.8263	0.7997
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3950	0.5137	0.4642	0.4844	0.8039	0.8260	0.8586	0.8286	0.8696	0.7965	0.7906	0.7723	0.7519	0.7849	0.7766	0.7498	0.7534	0.6633	0.7398	0.7093	0.8408	0.8550	0.9184	0.9045	0.8967	0.8948	0.8876	0.8672	0.8809	0.9001	0.8902	0.9218	1.0000	0.8894	0.8909	0.9082	0.9165	0.8579	0.8573	0.8112	0.8199	0.7859
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4283	0.5421	0.4969	0.5173	0.8170	0.8066	0.8770	0.8179	0.8589	0.7742	0.7791	0.7629	0.7421	0.7738	0.7707	0.7427	0.7394	0.6889	0.7622	0.7371	0.8338	0.8241	0.9130	0.9023	0.8868	0.8760	0.8706	0.8296	0.8321	0.9149	0.8961	0.8978	0.8894	1.0000	0.8972	0.9053	0.9163	0.8350	0.8422	0.8275	0.8002	0.7884
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4190	0.5350	0.4877	0.5085	0.8086	0.8180	0.8901	0.8172	0.8660	0.7762	0.7809	0.7653	0.7477	0.7746	0.7748	0.7471	0.7448	0.6793	0.7521	0.7314	0.8271	0.8196	0.9205	0.8998	0.8930	0.8747	0.8766	0.8312	0.8350	0.9216	0.9109	0.9021	0.8909	0.8972	1.0000	0.9122	0.9175	0.8393	0.8478	0.8173	0.8057	0.7940
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4077	0.5263	0.4789	0.5001	0.8157	0.8150	0.8801	0.8201	0.8672	0.7819	0.7858	0.7654	0.7444	0.7742	0.7734	0.7451	0.7422	0.6808	0.7539	0.7298	0.8490	0.8499	0.9308	0.9164	0.9057	0.8955	0.8935	0.8564	0.8645	0.9190	0.9097	0.9174	0.9082	0.9053	0.9122	1.0000	0.9275	0.8472	0.8514	0.8318	0.8168	0.7944
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4168	0.5403	0.4888	0.5110	0.8267	0.8367	0.8904	0.8342	0.8840	0.8037	0.7995	0.7815	0.7558	0.7900	0.7841	0.7590	0.7533	0.6909	0.7666	0.7394	0.8556	0.8517	0.9410	0.9290	0.9166	0.9054	0.8996	0.8587	0.8688	0.9320	0.9198	0.9243	0.9165	0.9163	0.9175	0.9275	1.0000	0.8611	0.8588	0.8376	0.8315	0.8106
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4541	0.5504	0.5114	0.5265	0.7789	0.8263	0.8291	0.8185	0.8720	0.8110	0.7805	0.7664	0.7741	0.7925	0.7836	0.7678	0.7759	0.6632	0.7340	0.7113	0.7560	0.7538	0.8461	0.8249	0.8162	0.8103	0.8199	0.7999	0.8062	0.8580	0.8439	0.8753	0.8579	0.8350	0.8393	0.8472	0.8611	1.0000	0.8436	0.7576	0.7698	0.7325
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4443	0.5427	0.5029	0.5165	0.7735	0.8131	0.8496	0.8180	0.8743	0.8009	0.7723	0.7556	0.7806	0.7890	0.7843	0.7717	0.7849	0.6542	0.7297	0.7080	0.7485	0.7491	0.8497	0.8190	0.8091	0.8069	0.8155	0.7964	0.8022	0.8681	0.8521	0.8842	0.8573	0.8422	0.8478	0.8514	0.8588	0.8436	1.0000	0.7562	0.7590	0.7252
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4950	0.5891	0.5575	0.5756	0.8091	0.7484	0.8162	0.7616	0.7874	0.7117	0.7310	0.7236	0.6983	0.7279	0.7324	0.6921	0.6854	0.7166	0.7663	0.7533	0.7779	0.7471	0.8309	0.8321	0.8170	0.7972	0.7874	0.7590	0.7474	0.8411	0.8264	0.8075	0.8112	0.8275	0.8173	0.8318	0.8376	0.7576	0.7562	1.0000	0.7376	0.7402
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4036	0.5031	0.4624	0.4784	0.7286	0.7762	0.7761	0.7438	0.7863	0.7295	0.7197	0.7103	0.6890	0.7157	0.7123	0.6847	0.6850	0.6184	0.6816	0.6624	0.7532	0.7623	0.8302	0.8090	0.8073	0.7996	0.8109	0.7853	0.7943	0.8099	0.8067	0.8263	0.8199	0.8002	0.8057	0.8168	0.8315	0.7698	0.7590	0.7376	1.0000	0.7193
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4286	0.5287	0.4831	0.5068	0.7458	0.7216	0.7781	0.7501	0.7746	0.6812	0.7117	0.7073	0.6728	0.7126	0.7077	0.6614	0.6489	0.6467	0.7033	0.6911	0.7398	0.7199	0.7999	0.7972	0.7954	0.7710	0.7620	0.7255	0.7257	0.8145	0.7864	0.7997	0.7859	0.7884	0.7940	0.7944	0.8106	0.7325	0.7252	0.7402	0.7193	1.0000
