#plotCorrelation --outFileCorMatrix
	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1488	0.5979	0.5028	0.4803	0.6920	0.6478	0.6065	0.6618	0.6329	0.6691	1.0000	0.7349	0.8064	0.7662	0.7444	0.7071	0.6857	0.6674	0.7200	0.7107	0.7865	0.8314	0.6513	0.6596	0.6783	0.6824	0.7118	0.7291	0.7446	0.7875	0.7091	0.7237	0.7562	0.7465	0.7431	0.4980	0.5246	0.5807	0.5182	0.5861	0.4246	0.3876
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1104	0.5192	0.6737	0.5639	0.6773	0.6965	0.6218	0.6440	0.6146	0.7466	0.7349	1.0000	0.8122	0.8612	0.9059	0.8757	0.8443	0.8601	0.8994	0.8291	0.8279	0.8237	0.8692	0.7468	0.7812	0.8497	0.9199	0.9447	0.8652	0.9167	0.9379	0.9252	0.8763	0.9191	0.9257	0.5693	0.6732	0.7280	0.6272	0.6281	0.4457	0.5251
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2852	0.5839	0.5629	0.5181	0.7937	0.7069	0.6770	0.7472	0.7106	0.7953	0.8064	0.8122	1.0000	0.8717	0.8686	0.8383	0.7941	0.7767	0.7932	0.8007	0.8291	0.8406	0.7312	0.7495	0.7426	0.7899	0.8195	0.8291	0.8176	0.8809	0.7886	0.8089	0.8449	0.8339	0.8174	0.5873	0.5958	0.6783	0.6286	0.6633	0.5894	0.5234
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1980	0.6096	0.6543	0.6562	0.8682	0.7672	0.7527	0.7735	0.7228	0.7896	0.7662	0.8612	0.8717	1.0000	0.9031	0.8558	0.8354	0.8415	0.8422	0.8940	0.8533	0.9003	0.8113	0.7826	0.7366	0.7994	0.8119	0.8437	0.8246	0.8638	0.7745	0.8175	0.8380	0.8340	0.8101	0.5475	0.5977	0.6806	0.6542	0.6931	0.5531	0.5336
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1384	0.5981	0.6955	0.6482	0.7745	0.7618	0.7044	0.7503	0.7194	0.7763	0.7444	0.9059	0.8686	0.9031	1.0000	0.9062	0.9199	0.9039	0.8806	0.9050	0.7878	0.8516	0.8546	0.7929	0.7105	0.8215	0.8865	0.9033	0.7985	0.8755	0.8309	0.8546	0.8393	0.8484	0.8223	0.5799	0.5911	0.7354	0.7042	0.7175	0.5123	0.5980
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3527	0.6209	0.6766	0.5722	0.6824	0.7028	0.5856	0.6243	0.6134	0.8554	0.7071	0.8757	0.8383	0.8558	0.9062	1.0000	0.8748	0.8911	0.8768	0.8550	0.7530	0.8061	0.7578	0.7484	0.6625	0.7978	0.8774	0.8983	0.7436	0.8274	0.8390	0.8386	0.7941	0.8153	0.7931	0.6077	0.6338	0.7930	0.7375	0.7858	0.6831	0.6184
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1685	0.6090	0.6274	0.5798	0.6920	0.7612	0.6110	0.6935	0.7189	0.7589	0.6857	0.8443	0.7941	0.8354	0.9199	0.8748	1.0000	0.8507	0.8489	0.9211	0.7327	0.8472	0.7385	0.7642	0.6521	0.7535	0.8504	0.8552	0.7316	0.8030	0.7944	0.7989	0.7636	0.7910	0.7724	0.5440	0.5902	0.7113	0.7025	0.7501	0.5119	0.5396
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1320	0.5690	0.6979	0.5740	0.6479	0.6788	0.5769	0.6139	0.5872	0.7528	0.6674	0.8601	0.7767	0.8415	0.9039	0.8911	0.8507	1.0000	0.8661	0.8473	0.7062	0.7725	0.7640	0.7414	0.6426	0.8064	0.8635	0.8893	0.7352	0.8105	0.8082	0.8384	0.7928	0.8012	0.7676	0.5605	0.5944	0.7691	0.7522	0.7593	0.5226	0.6692
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1252	0.5986	0.6912	0.5886	0.6734	0.7078	0.6057	0.6395	0.6130	0.7558	0.7200	0.8994	0.7932	0.8422	0.8806	0.8768	0.8489	0.8661	1.0000	0.8401	0.7802	0.8203	0.7687	0.7289	0.6979	0.7924	0.8640	0.8874	0.7795	0.8479	0.8560	0.8511	0.8077	0.8349	0.8237	0.5628	0.6320	0.7436	0.6567	0.7344	0.4806	0.5498
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1490	0.6646	0.6792	0.7162	0.7967	0.8510	0.7485	0.7913	0.8076	0.7558	0.7107	0.8291	0.8007	0.8940	0.9050	0.8550	0.9211	0.8473	0.8401	1.0000	0.7916	0.9073	0.7771	0.8018	0.6337	0.7162	0.7807	0.7983	0.7084	0.7682	0.7118	0.7322	0.7300	0.7435	0.7094	0.5120	0.5662	0.6617	0.6705	0.7521	0.4948	0.5166
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1456	0.5910	0.6167	0.6271	0.7974	0.7820	0.7417	0.7684	0.7359	0.7231	0.7865	0.8279	0.8291	0.8533	0.7878	0.7530	0.7327	0.7062	0.7802	0.7916	1.0000	0.8930	0.7641	0.7394	0.7326	0.6618	0.7166	0.7685	0.7870	0.8226	0.7536	0.7547	0.7559	0.7894	0.8072	0.4979	0.6502	0.6091	0.5130	0.5613	0.4258	0.2607
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1776	0.6755	0.6467	0.6856	0.8361	0.8309	0.7659	0.8110	0.7895	0.7580	0.8314	0.8237	0.8406	0.9003	0.8516	0.8061	0.8472	0.7725	0.8203	0.9073	0.8930	1.0000	0.7707	0.7733	0.7347	0.6896	0.7376	0.7759	0.7807	0.8161	0.7284	0.7463	0.7654	0.7794	0.7731	0.5093	0.5865	0.6053	0.5996	0.6800	0.4775	0.3550
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1038	0.4968	0.6580	0.6992	0.7576	0.7103	0.7552	0.7380	0.6562	0.6563	0.6513	0.8692	0.7312	0.8113	0.8546	0.7578	0.7385	0.7640	0.7687	0.7771	0.7641	0.7707	1.0000	0.7140	0.6488	0.6571	0.7166	0.7677	0.7108	0.7605	0.7172	0.7482	0.7138	0.7407	0.7419	0.4624	0.5153	0.5510	0.5449	0.5016	0.3739	0.3596
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1779	0.5458	0.6342	0.6344	0.7311	0.8083	0.7254	0.7715	0.8078	0.6848	0.6596	0.7468	0.7495	0.7826	0.7929	0.7484	0.7642	0.7414	0.7289	0.8018	0.7394	0.7733	0.7140	1.0000	0.5839	0.6050	0.6796	0.7150	0.6474	0.7022	0.6681	0.6753	0.6531	0.6771	0.6788	0.4678	0.5007	0.5771	0.6010	0.5936	0.4587	0.3520
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0848	0.3862	0.4535	0.3520	0.5913	0.5156	0.4899	0.5456	0.4993	0.5910	0.6783	0.7812	0.7426	0.7366	0.7105	0.6625	0.6521	0.6426	0.6979	0.6337	0.7326	0.7347	0.6488	0.5839	1.0000	0.7802	0.7511	0.7676	0.8701	0.8611	0.7807	0.8154	0.8505	0.8472	0.8535	0.4596	0.5542	0.5554	0.4613	0.4490	0.3479	0.3985
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1019	0.3930	0.4630	0.2693	0.5165	0.4476	0.3846	0.4431	0.4188	0.6793	0.6824	0.8497	0.7899	0.7994	0.8215	0.7978	0.7535	0.8064	0.7924	0.7162	0.6618	0.6896	0.6571	0.6050	0.7802	1.0000	0.9336	0.9093	0.9144	0.9259	0.8792	0.9329	0.9617	0.9331	0.8918	0.5520	0.5874	0.7520	0.6230	0.6381	0.4805	0.7924
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1095	0.4788	0.5519	0.3738	0.5488	0.5738	0.4414	0.5072	0.5098	0.7415	0.7118	0.9199	0.8195	0.8119	0.8865	0.8774	0.8504	0.8635	0.8640	0.7807	0.7166	0.7376	0.7166	0.6796	0.7511	0.9336	1.0000	0.9686	0.8549	0.9192	0.9472	0.9459	0.9110	0.9271	0.9075	0.6039	0.6518	0.8107	0.6743	0.7045	0.4967	0.7289
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1203	0.4999	0.6076	0.4467	0.6002	0.6284	0.5068	0.5535	0.5486	0.7668	0.7291	0.9447	0.8291	0.8437	0.9033	0.8983	0.8552	0.8893	0.8874	0.7983	0.7685	0.7759	0.7677	0.7150	0.7676	0.9093	0.9686	1.0000	0.8607	0.9259	0.9545	0.9599	0.9053	0.9325	0.9253	0.6079	0.6651	0.8099	0.6814	0.7046	0.5011	0.6612
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0981	0.4098	0.4992	0.3517	0.6338	0.5361	0.5166	0.5748	0.5286	0.6596	0.7446	0.8652	0.8176	0.8246	0.7985	0.7436	0.7316	0.7352	0.7795	0.7084	0.7870	0.7807	0.7108	0.6474	0.8701	0.9144	0.8549	0.8607	1.0000	0.9622	0.8684	0.9221	0.9686	0.9516	0.9478	0.5133	0.6148	0.6386	0.5378	0.5202	0.4076	0.5257
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1088	0.4827	0.5638	0.4193	0.6751	0.6107	0.5635	0.6259	0.5850	0.7291	0.7875	0.9167	0.8809	0.8638	0.8755	0.8274	0.8030	0.8105	0.8479	0.7682	0.8226	0.8161	0.7605	0.7022	0.8611	0.9259	0.9192	0.9259	0.9622	1.0000	0.9217	0.9541	0.9721	0.9696	0.9635	0.5778	0.6562	0.7183	0.6048	0.6097	0.4557	0.5802
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1106	0.4468	0.5598	0.3631	0.5335	0.5699	0.4402	0.4917	0.4932	0.7181	0.7091	0.9379	0.7886	0.7745	0.8309	0.8390	0.7944	0.8082	0.8560	0.7118	0.7536	0.7284	0.7172	0.6681	0.7807	0.8792	0.9472	0.9545	0.8684	0.9217	1.0000	0.9540	0.8925	0.9348	0.9510	0.5868	0.6731	0.7703	0.6090	0.6230	0.4495	0.5704
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1045	0.4407	0.5487	0.3682	0.5701	0.5553	0.4659	0.5162	0.4960	0.7233	0.7237	0.9252	0.8089	0.8175	0.8546	0.8386	0.7989	0.8384	0.8511	0.7322	0.7547	0.7463	0.7482	0.6753	0.8154	0.9329	0.9459	0.9599	0.9221	0.9541	0.9540	1.0000	0.9507	0.9609	0.9627	0.5820	0.6627	0.7716	0.6315	0.6340	0.4645	0.6332
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1032	0.4284	0.4996	0.3391	0.6160	0.5234	0.4895	0.5519	0.5088	0.6930	0.7562	0.8763	0.8449	0.8380	0.8393	0.7941	0.7636	0.7928	0.8077	0.7300	0.7559	0.7654	0.7138	0.6531	0.8505	0.9617	0.9110	0.9053	0.9686	0.9721	0.8925	0.9507	1.0000	0.9618	0.9412	0.5643	0.6170	0.7138	0.5986	0.5987	0.4550	0.6587
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1050	0.4404	0.5389	0.3734	0.6119	0.5688	0.5014	0.5580	0.5315	0.7121	0.7465	0.9191	0.8339	0.8340	0.8484	0.8153	0.7910	0.8012	0.8349	0.7435	0.7894	0.7794	0.7407	0.6771	0.8472	0.9331	0.9271	0.9325	0.9516	0.9696	0.9348	0.9609	0.9618	1.0000	0.9668	0.5653	0.6545	0.7247	0.5990	0.5932	0.4473	0.5945
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1034	0.4209	0.5395	0.3774	0.6070	0.5807	0.5089	0.5615	0.5393	0.6986	0.7431	0.9257	0.8174	0.8101	0.8223	0.7931	0.7724	0.7676	0.8237	0.7094	0.8072	0.7731	0.7419	0.6788	0.8535	0.8918	0.9075	0.9253	0.9478	0.9635	0.9510	0.9627	0.9412	0.9668	1.0000	0.5574	0.6650	0.6980	0.5636	0.5458	0.4182	0.4955
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1984	0.4030	0.3846	0.2976	0.4239	0.4275	0.3440	0.3856	0.3797	0.5596	0.4980	0.5693	0.5873	0.5475	0.5799	0.6077	0.5440	0.5605	0.5628	0.5120	0.4979	0.5093	0.4624	0.4678	0.4596	0.5520	0.6039	0.6079	0.5133	0.5778	0.5868	0.5820	0.5643	0.5653	0.5574	1.0000	0.4363	0.5518	0.4654	0.5112	0.4318	0.4355
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1571	0.4144	0.4464	0.3315	0.4392	0.4841	0.3524	0.3955	0.3942	0.5837	0.5246	0.6732	0.5958	0.5977	0.5911	0.6338	0.5902	0.5944	0.6320	0.5662	0.6502	0.5865	0.5153	0.5007	0.5542	0.5874	0.6518	0.6651	0.6148	0.6562	0.6731	0.6627	0.6170	0.6545	0.6650	0.4363	1.0000	0.5683	0.4812	0.5185	0.3975	0.3752
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1743	0.4846	0.4960	0.3360	0.4364	0.4991	0.3382	0.3809	0.3988	0.6947	0.5807	0.7280	0.6783	0.6806	0.7354	0.7930	0.7113	0.7691	0.7436	0.6617	0.6091	0.6053	0.5510	0.5771	0.5554	0.7520	0.8107	0.8099	0.6386	0.7183	0.7703	0.7716	0.7138	0.7247	0.6980	0.5518	0.5683	1.0000	0.6475	0.7445	0.5398	0.6946
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3124	0.4829	0.4935	0.4048	0.4982	0.5196	0.4110	0.4459	0.4592	0.6646	0.5182	0.6272	0.6286	0.6542	0.7042	0.7375	0.7025	0.7522	0.6567	0.6705	0.5130	0.5996	0.5449	0.6010	0.4613	0.6230	0.6743	0.6814	0.5378	0.6048	0.6090	0.6315	0.5986	0.5990	0.5636	0.4654	0.4812	0.6475	1.0000	0.6641	0.5710	0.5768
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2148	0.6171	0.5307	0.4612	0.5086	0.5936	0.4151	0.4630	0.4877	0.7251	0.5861	0.6281	0.6633	0.6931	0.7175	0.7858	0.7501	0.7593	0.7344	0.7521	0.5613	0.6800	0.5016	0.5936	0.4490	0.6381	0.7045	0.7046	0.5202	0.6097	0.6230	0.6340	0.5987	0.5932	0.5458	0.5112	0.5185	0.7445	0.6641	1.0000	0.5895	0.6519
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8032	0.4596	0.3483	0.2674	0.4464	0.3582	0.2965	0.3192	0.3110	0.7535	0.4246	0.4457	0.5894	0.5531	0.5123	0.6831	0.5119	0.5226	0.4806	0.4948	0.4258	0.4775	0.3739	0.4587	0.3479	0.4805	0.4967	0.5011	0.4076	0.4557	0.4495	0.4645	0.4550	0.4473	0.4182	0.4318	0.3975	0.5398	0.5710	0.5895	1.0000	0.4517
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0748	0.2764	0.2711	0.0834	0.2188	0.1786	0.0962	0.1392	0.1352	0.4976	0.3876	0.5251	0.5234	0.5336	0.5980	0.6184	0.5396	0.6692	0.5498	0.5166	0.2607	0.3550	0.3596	0.3520	0.3985	0.7924	0.7289	0.6612	0.5257	0.5802	0.5704	0.6332	0.6587	0.5945	0.4955	0.4355	0.3752	0.6946	0.5768	0.6519	0.4517	1.0000
