#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2252	0.3401	0.2955	0.3102	0.7077	0.6783	0.6486	0.6261	0.6524	0.6468	0.6365	0.6426	0.6784	0.7317	0.7016	0.7638	0.7391	0.5069	0.5917	0.5567	0.8886	0.8913	0.8574	0.8565	0.8757	0.8767	0.8151	0.8761	1.0000	0.8143	0.8170	0.8795	0.8724	0.8222	0.8312	0.8575	0.8624	0.7943	0.7899	0.7834	0.7138	0.7282
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4428	0.5654	0.5136	0.5365	0.8005	0.8024	0.7897	0.7805	0.8076	0.8066	0.7741	0.7705	0.8401	0.8358	0.8491	0.8984	0.9243	0.7099	0.7873	0.7636	0.7986	0.9172	0.9045	0.8900	0.8683	0.8691	0.8209	0.8222	0.8143	1.0000	0.9237	0.9138	0.8975	0.9116	0.9173	0.9155	0.9290	0.8526	0.8652	0.8005	0.8049	0.8337
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4239	0.5446	0.4952	0.5162	0.7866	0.7854	0.7699	0.7606	0.7830	0.7849	0.7564	0.7531	0.8141	0.8252	0.8240	0.8752	0.9005	0.6879	0.7618	0.7418	0.7958	0.9110	0.8912	0.8813	0.8613	0.8626	0.8097	0.8189	0.8170	0.9237	1.0000	0.8994	0.8871	0.8920	0.9062	0.9061	0.9164	0.8382	0.8483	0.7979	0.7756	0.8179
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3805	0.5040	0.4517	0.4720	0.8066	0.7955	0.7730	0.7745	0.8002	0.7931	0.7657	0.7663	0.7932	0.8250	0.8437	0.9030	0.8753	0.6551	0.7380	0.7133	0.8259	0.9210	0.8903	0.8813	0.8817	0.8795	0.8146	0.8643	0.8795	0.9138	0.8994	1.0000	0.9168	0.8935	0.9034	0.9146	0.9225	0.8684	0.8779	0.8180	0.7940	0.7937
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3576	0.4828	0.4301	0.4514	0.7845	0.7781	0.7586	0.7368	0.7718	0.7633	0.7349	0.7386	0.7901	0.8155	0.8183	0.8608	0.8531	0.6418	0.7224	0.6902	0.8463	0.9149	0.9003	0.8940	0.8894	0.8831	0.8330	0.8591	0.8724	0.8975	0.8871	0.9168	1.0000	0.8831	0.8886	0.9036	0.9123	0.8494	0.8489	0.8101	0.7781	0.7985
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3932	0.5128	0.4649	0.4863	0.7622	0.7658	0.7484	0.7282	0.7614	0.7577	0.7285	0.7248	0.8039	0.7954	0.8076	0.8507	0.8709	0.6686	0.7461	0.7197	0.8138	0.9080	0.8961	0.8812	0.8687	0.8640	0.8230	0.8202	0.8222	0.9116	0.8920	0.8935	0.8831	1.0000	0.8936	0.8995	0.9113	0.8263	0.8349	0.7887	0.7789	0.8151
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3901	0.5110	0.4614	0.4827	0.7695	0.7714	0.7548	0.7399	0.7676	0.7669	0.7374	0.7353	0.7995	0.8115	0.8116	0.8630	0.8840	0.6638	0.7401	0.7190	0.8125	0.9168	0.8952	0.8869	0.8696	0.8702	0.8182	0.8266	0.8312	0.9173	0.9062	0.9034	0.8886	0.8936	1.0000	0.9092	0.9142	0.8340	0.8450	0.7966	0.7833	0.8090
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3717	0.4964	0.4463	0.4685	0.7706	0.7733	0.7516	0.7311	0.7622	0.7609	0.7312	0.7283	0.8024	0.8044	0.8102	0.8596	0.8738	0.6606	0.7377	0.7124	0.8414	0.9269	0.9117	0.9011	0.8897	0.8883	0.8399	0.8492	0.8575	0.9155	0.9061	0.9146	0.9036	0.8995	0.9092	1.0000	0.9230	0.8389	0.8445	0.8067	0.7845	0.8200
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3817	0.5115	0.4572	0.4804	0.7950	0.7881	0.7686	0.7441	0.7795	0.7727	0.7466	0.7408	0.8146	0.8283	0.8255	0.8786	0.8848	0.6712	0.7514	0.7230	0.8430	0.9376	0.9246	0.9121	0.8999	0.8943	0.8467	0.8516	0.8624	0.9290	0.9164	0.9225	0.9123	0.9113	0.9142	0.9230	1.0000	0.8545	0.8532	0.8221	0.8010	0.8264
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4198	0.5217	0.4796	0.4958	0.8006	0.7677	0.7524	0.7604	0.7798	0.7700	0.7549	0.7632	0.7630	0.8164	0.8069	0.8647	0.8217	0.6404	0.7157	0.6920	0.7389	0.8386	0.8154	0.8079	0.8001	0.8120	0.7424	0.7885	0.7943	0.8526	0.8382	0.8684	0.8494	0.8263	0.8340	0.8389	0.8545	1.0000	0.8356	0.7579	0.7205	0.7412
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4092	0.5138	0.4708	0.4852	0.7898	0.7598	0.7416	0.7677	0.7759	0.7709	0.7588	0.7728	0.7581	0.8027	0.8068	0.8676	0.8447	0.6320	0.7114	0.6892	0.7341	0.8438	0.8104	0.8020	0.7971	0.8087	0.7355	0.7851	0.7899	0.8652	0.8483	0.8779	0.8489	0.8349	0.8450	0.8445	0.8532	0.8356	1.0000	0.7472	0.7150	0.7402
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3681	0.4719	0.4293	0.4466	0.7151	0.7040	0.6933	0.6727	0.7003	0.6963	0.6676	0.6681	0.7113	0.7636	0.7301	0.7741	0.7644	0.5947	0.6616	0.6411	0.7494	0.8208	0.7986	0.7979	0.7885	0.8014	0.7396	0.7738	0.7834	0.8005	0.7979	0.8180	0.8101	0.7887	0.7966	0.8067	0.8221	0.7579	0.7472	1.0000	0.7053	0.7215
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4030	0.5081	0.4602	0.4850	0.6689	0.6993	0.6948	0.6616	0.7031	0.6971	0.6465	0.6343	0.7370	0.7100	0.7418	0.7655	0.7672	0.6335	0.6924	0.6793	0.7081	0.7890	0.7876	0.7848	0.7604	0.7493	0.7275	0.7144	0.7138	0.8049	0.7756	0.7940	0.7781	0.7789	0.7833	0.7845	0.8010	0.7205	0.7150	0.7053	1.0000	0.7307
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4656	0.5647	0.5309	0.5500	0.6933	0.7148	0.7068	0.6800	0.7114	0.7164	0.6730	0.6652	0.7974	0.7317	0.7466	0.7717	0.8073	0.7000	0.7514	0.7377	0.7317	0.8197	0.8220	0.8083	0.7842	0.7748	0.7657	0.7426	0.7282	0.8337	0.8179	0.7937	0.7985	0.8151	0.8090	0.8200	0.8264	0.7412	0.7402	0.7215	0.7307	1.0000
