#plotCorrelation --outFileCorMatrix
	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7406	0.7614	0.7557	0.7863	0.8497	0.8339	0.8176	0.7777	0.7928	0.8401	0.8447	0.8481	0.8586	1.0000	0.8721	0.7309	0.7889	0.7522	0.8137	0.8178	0.8385	0.7574	0.8107	0.8146	0.8021	0.7598	0.6849	0.6840	0.5741	0.5829	0.6178	0.6640	0.7396	0.6115	0.3787	0.5213	0.5214	0.5239	0.5022	0.4545	0.2599	0.2354
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7396	0.7720	0.7715	0.7724	0.8482	0.8160	0.8087	0.7299	0.7452	0.8099	0.8449	0.8665	0.8725	0.8721	1.0000	0.7163	0.7898	0.7570	0.8415	0.8243	0.8540	0.8462	0.8639	0.9330	0.7828	0.7835	0.7642	0.7507	0.6188	0.5938	0.5961	0.6590	0.7207	0.6179	0.3524	0.4960	0.5234	0.5106	0.4599	0.4180	0.1842	0.2239
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5104	0.5359	0.5106	0.5968	0.6498	0.6021	0.6078	0.6290	0.7580	0.7207	0.6201	0.7278	0.7872	0.7309	0.7163	1.0000	0.8032	0.7053	0.8768	0.7959	0.9001	0.6737	0.8034	0.7234	0.7725	0.7547	0.6672	0.6113	0.5384	0.5598	0.6335	0.7663	0.6302	0.4210	0.3166	0.4281	0.5222	0.4281	0.3780	0.3883	0.1611	0.1619
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5590	0.5749	0.5682	0.6069	0.6782	0.6421	0.6420	0.6233	0.7070	0.7143	0.7121	0.7742	0.7945	0.7889	0.7898	0.8032	1.0000	0.8505	0.8325	0.8923	0.9075	0.8142	0.8694	0.8076	0.7342	0.7323	0.7402	0.6671	0.5661	0.5335	0.5866	0.6805	0.6358	0.4556	0.3108	0.3907	0.4989	0.4339	0.3649	0.3742	0.1228	0.1524
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5460	0.5659	0.5565	0.6263	0.6645	0.6506	0.6356	0.6556	0.6865	0.7193	0.6881	0.7701	0.7274	0.7522	0.7570	0.7053	0.8505	1.0000	0.7829	0.8390	0.7969	0.7699	0.7993	0.7449	0.7306	0.7330	0.7023	0.6572	0.6048	0.5274	0.5707	0.7006	0.6377	0.4423	0.3172	0.4421	0.4625	0.4213	0.3753	0.4014	0.1760	0.1605
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6088	0.6380	0.6165	0.7210	0.7603	0.7242	0.7153	0.7281	0.8013	0.8363	0.7366	0.8944	0.8237	0.8137	0.8415	0.8768	0.8325	0.7829	1.0000	0.8583	0.9002	0.8272	0.8812	0.8435	0.8509	0.8595	0.8171	0.8171	0.6848	0.6106	0.6205	0.7679	0.6945	0.5010	0.3562	0.4427	0.5285	0.4639	0.4208	0.4288	0.1438	0.2009
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5534	0.5770	0.5599	0.6624	0.7084	0.6818	0.6692	0.7240	0.7662	0.7975	0.7662	0.8506	0.8260	0.8178	0.8243	0.7959	0.8923	0.8390	0.8583	1.0000	0.9094	0.8326	0.8659	0.8241	0.8201	0.8123	0.8095	0.7070	0.6583	0.6110	0.6867	0.7332	0.7077	0.4824	0.3654	0.4470	0.5590	0.4690	0.4445	0.4628	0.1297	0.1597
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5927	0.6277	0.6129	0.6508	0.7383	0.6752	0.6857	0.6680	0.7609	0.7636	0.7681	0.8415	0.8955	0.8385	0.8540	0.9001	0.9075	0.7969	0.9002	0.9094	1.0000	0.8477	0.9233	0.8736	0.8193	0.8138	0.8094	0.7197	0.6345	0.6180	0.6873	0.7458	0.6991	0.5136	0.3389	0.4495	0.5885	0.5126	0.4272	0.4083	0.1540	0.1752
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5567	0.5897	0.5833	0.6100	0.6822	0.6330	0.6361	0.5765	0.6247	0.6957	0.7372	0.8315	0.7748	0.7574	0.8462	0.6737	0.8142	0.7699	0.8272	0.8326	0.8477	1.0000	0.9012	0.9026	0.7240	0.7523	0.8653	0.8060	0.6435	0.5550	0.5234	0.6201	0.6255	0.4627	0.2886	0.3778	0.4849	0.4274	0.3363	0.3473	0.1223	0.1470
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6094	0.6389	0.6343	0.6524	0.7347	0.6810	0.6884	0.6222	0.7067	0.7372	0.7554	0.8426	0.8370	0.8107	0.8639	0.8034	0.8694	0.7993	0.8812	0.8659	0.9233	0.9012	1.0000	0.9002	0.7654	0.7867	0.8270	0.7799	0.6392	0.5777	0.5736	0.6781	0.6548	0.5083	0.3100	0.3972	0.5270	0.4580	0.3767	0.3618	0.1239	0.1619
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6363	0.6713	0.6698	0.6646	0.7503	0.6987	0.7050	0.6168	0.6673	0.7273	0.7760	0.8314	0.8333	0.8146	0.9330	0.7234	0.8076	0.7449	0.8435	0.8241	0.8736	0.9026	0.9002	1.0000	0.7519	0.7643	0.8199	0.7746	0.6201	0.5682	0.5551	0.6489	0.6676	0.5363	0.3099	0.4466	0.5106	0.4668	0.3881	0.3580	0.1905	0.1759
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5559	0.5935	0.5529	0.7123	0.7235	0.7037	0.6792	0.7947	0.7943	0.8451	0.7472	0.8632	0.7975	0.8021	0.7828	0.7725	0.7342	0.7306	0.8509	0.8201	0.8193	0.7240	0.7654	0.7519	1.0000	0.8382	0.7568	0.6941	0.6932	0.6531	0.7216	0.7596	0.7668	0.4838	0.4084	0.6001	0.5614	0.5049	0.4844	0.5214	0.3351	0.1927
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5463	0.5800	0.5572	0.6933	0.7079	0.6815	0.6651	0.7377	0.7488	0.8218	0.7172	0.8489	0.7717	0.7598	0.7835	0.7547	0.7323	0.7330	0.8595	0.8123	0.8138	0.7523	0.7867	0.7643	0.8382	1.0000	0.7766	0.7204	0.7380	0.6231	0.6599	0.8103	0.6869	0.4696	0.3598	0.4561	0.5288	0.4541	0.4432	0.4660	0.1374	0.2178
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4298	0.4670	0.4471	0.5462	0.5879	0.5418	0.5389	0.5768	0.6161	0.6806	0.6675	0.8148	0.7273	0.6849	0.7642	0.6672	0.7402	0.7023	0.8171	0.8095	0.8094	0.8653	0.8270	0.8199	0.7568	0.7766	1.0000	0.7704	0.6959	0.5826	0.5944	0.6442	0.6206	0.4015	0.2971	0.3819	0.5108	0.4010	0.3513	0.3715	0.1045	0.1205
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5311	0.5712	0.5465	0.6449	0.6538	0.6244	0.6183	0.5845	0.6190	0.7002	0.6580	0.8555	0.6783	0.6840	0.7507	0.6113	0.6671	0.6572	0.8171	0.7070	0.7197	0.8060	0.7799	0.7746	0.6941	0.7204	0.7704	1.0000	0.6042	0.5069	0.4404	0.5771	0.5809	0.4392	0.2824	0.3389	0.4105	0.4035	0.3325	0.3209	0.1034	0.1577
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3895	0.4156	0.4058	0.5169	0.5342	0.5058	0.4925	0.5752	0.5543	0.6307	0.5624	0.7133	0.5843	0.5741	0.6188	0.5384	0.5661	0.6048	0.6848	0.6583	0.6345	0.6435	0.6392	0.6201	0.6932	0.7380	0.6959	0.6042	1.0000	0.5310	0.5289	0.5852	0.5489	0.3459	0.2805	0.3625	0.4231	0.3283	0.3471	0.3698	0.1047	0.1239
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6126	0.4856	0.4498	0.5520	0.5685	0.5243	0.5192	0.6011	0.5805	0.6095	0.5856	0.6537	0.6370	0.5829	0.5938	0.5598	0.5335	0.5274	0.6106	0.6110	0.6180	0.5550	0.5777	0.5682	0.6531	0.6231	0.5826	0.5069	0.5310	1.0000	0.6003	0.5338	0.5527	0.3706	0.2863	0.3511	0.4665	0.4480	0.3492	0.3937	0.1850	0.1426
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3684	0.4131	0.3709	0.5272	0.5247	0.4930	0.4766	0.6490	0.6275	0.6357	0.6203	0.6388	0.7060	0.6178	0.5961	0.6335	0.5866	0.5707	0.6205	0.6867	0.6873	0.5234	0.5736	0.5551	0.7216	0.6599	0.5944	0.4404	0.5289	0.6003	1.0000	0.6277	0.6604	0.3458	0.3392	0.4936	0.5791	0.4907	0.4208	0.5057	0.1973	0.1370
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4251	0.4496	0.4266	0.5634	0.5671	0.5503	0.5368	0.6356	0.6763	0.7045	0.5822	0.6954	0.6790	0.6640	0.6590	0.7663	0.6805	0.7006	0.7679	0.7332	0.7458	0.6201	0.6781	0.6489	0.7596	0.8103	0.6442	0.5771	0.5852	0.5338	0.6277	1.0000	0.6367	0.3699	0.3256	0.5050	0.4776	0.3722	0.4001	0.4366	0.2690	0.1893
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5339	0.5578	0.5340	0.6501	0.6648	0.6572	0.6340	0.7070	0.6894	0.7348	0.7103	0.7388	0.7201	0.7396	0.7207	0.6302	0.6358	0.6377	0.6945	0.7077	0.6991	0.6255	0.6548	0.6676	0.7668	0.6869	0.6206	0.5809	0.5489	0.5527	0.6604	0.6367	1.0000	0.4488	0.3726	0.6120	0.5066	0.4561	0.4498	0.4636	0.3663	0.1915
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6755	0.7125	0.7167	0.6442	0.7147	0.7010	0.6942	0.5558	0.5290	0.5743	0.5842	0.5749	0.6276	0.6115	0.6179	0.4210	0.4556	0.4423	0.5010	0.4824	0.5136	0.4627	0.5083	0.5363	0.4838	0.4696	0.4015	0.4392	0.3459	0.3706	0.3458	0.3699	0.4488	1.0000	0.2296	0.2697	0.3066	0.3850	0.3405	0.2773	0.0776	0.1848
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2759	0.3025	0.2675	0.3648	0.3512	0.3656	0.3393	0.4181	0.3902	0.4159	0.3593	0.3947	0.3571	0.3787	0.3524	0.3166	0.3108	0.3172	0.3562	0.3654	0.3389	0.2886	0.3100	0.3099	0.4084	0.3598	0.2971	0.2824	0.2805	0.2863	0.3392	0.3256	0.3726	0.2296	1.0000	0.2877	0.2975	0.2360	0.2544	0.2760	0.1580	0.1079
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3103	0.3266	0.3115	0.3949	0.3977	0.3976	0.3763	0.4529	0.4339	0.4614	0.4588	0.4515	0.4665	0.5213	0.4960	0.4281	0.3907	0.4421	0.4427	0.4470	0.4495	0.3778	0.3972	0.4466	0.6001	0.4561	0.3819	0.3389	0.3625	0.3511	0.4936	0.5050	0.6120	0.2697	0.2877	1.0000	0.3611	0.2770	0.3198	0.3445	0.7466	0.1205
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3310	0.3649	0.3489	0.4163	0.4555	0.4037	0.4087	0.4788	0.4984	0.4904	0.5233	0.5368	0.6073	0.5214	0.5234	0.5222	0.4989	0.4625	0.5285	0.5590	0.5885	0.4849	0.5270	0.5106	0.5614	0.5288	0.5108	0.4105	0.4231	0.4665	0.5791	0.4776	0.5066	0.3066	0.2975	0.3611	1.0000	0.4478	0.3133	0.3531	0.1592	0.1083
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4802	0.6138	0.5008	0.5384	0.5803	0.5196	0.5220	0.5154	0.4972	0.5061	0.5711	0.5440	0.7309	0.5239	0.5106	0.4281	0.4339	0.4213	0.4639	0.4690	0.5126	0.4274	0.4580	0.4668	0.5049	0.4541	0.4010	0.4035	0.3283	0.4480	0.4907	0.3722	0.4561	0.3850	0.2360	0.2770	0.4478	1.0000	0.2879	0.3045	0.0967	0.1376
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4063	0.4179	0.4163	0.4875	0.5000	0.4996	0.4781	0.5260	0.4983	0.5157	0.5477	0.5089	0.4516	0.5022	0.4599	0.3780	0.3649	0.3753	0.4208	0.4445	0.4272	0.3363	0.3767	0.3881	0.4844	0.4432	0.3513	0.3325	0.3471	0.3492	0.4208	0.4001	0.4498	0.3405	0.2544	0.3198	0.3133	0.2879	1.0000	0.3241	0.1233	0.1237
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3137	0.3358	0.3045	0.4546	0.4184	0.4390	0.4056	0.5568	0.4973	0.5230	0.6185	0.4836	0.4401	0.4545	0.4180	0.3883	0.3742	0.4014	0.4288	0.4628	0.4083	0.3473	0.3618	0.3580	0.5214	0.4660	0.3715	0.3209	0.3698	0.3937	0.5057	0.4366	0.4636	0.2773	0.2760	0.3445	0.3531	0.3045	0.3241	1.0000	0.1370	0.1400
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1369	0.1029	0.0983	0.1139	0.1223	0.1206	0.1110	0.1344	0.1277	0.1386	0.1534	0.1326	0.1669	0.2599	0.1842	0.1611	0.1228	0.1760	0.1438	0.1297	0.1540	0.1223	0.1239	0.1905	0.3351	0.1374	0.1045	0.1034	0.1047	0.1850	0.1973	0.2690	0.3663	0.0776	0.1580	0.7466	0.1592	0.0967	0.1233	0.1370	1.0000	0.0344
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2705	0.2596	0.2477	0.2635	0.2707	0.2552	0.2576	0.2384	0.2257	0.2459	0.2057	0.2026	0.2027	0.2354	0.2239	0.1619	0.1524	0.1605	0.2009	0.1597	0.1752	0.1470	0.1619	0.1759	0.1927	0.2178	0.1205	0.1577	0.1239	0.1426	0.1370	0.1893	0.1915	0.1848	0.1079	0.1205	0.1083	0.1376	0.1237	0.1400	0.0344	1.0000
