#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5037	0.6000	0.5762	0.5583	0.7555	0.7676	0.8006	0.8332	0.7846	0.7469	1.0000	0.7595	0.7668	0.7795	0.7928	0.7319	0.7261	0.6818	0.7387	0.7248	0.6033	0.7686	0.7869	0.7830	0.7640	0.7506	0.7525	0.7582	0.7736	0.7523	0.7440	0.6458	0.7393	0.7250	0.7221	0.7028	0.6931	0.6840	0.6599	0.6969	0.6756	0.6813
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5538	0.6442	0.6216	0.6038	0.7616	0.7725	0.8078	0.8312	0.7803	0.7429	0.7595	1.0000	0.7807	0.7932	0.8085	0.7365	0.7311	0.7045	0.7552	0.7455	0.5659	0.7520	0.7730	0.7603	0.7434	0.7321	0.7353	0.7358	0.7538	0.7377	0.7259	0.6187	0.7131	0.6990	0.7007	0.6772	0.6630	0.6596	0.6300	0.6888	0.6701	0.6702
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6270	0.6999	0.6753	0.6676	0.7584	0.7859	0.8244	0.8684	0.7886	0.7708	0.7668	0.7807	1.0000	0.8416	0.8451	0.7844	0.7851	0.7197	0.7716	0.7674	0.5077	0.7409	0.7621	0.7621	0.7215	0.7109	0.7178	0.7134	0.7267	0.7462	0.7528	0.5588	0.6807	0.6418	0.6452	0.6443	0.6127	0.6485	0.6069	0.6631	0.6338	0.6492
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6146	0.6970	0.6743	0.6616	0.7879	0.7952	0.8370	0.8728	0.8085	0.7693	0.7795	0.7932	0.8416	1.0000	0.8545	0.7798	0.7741	0.7420	0.7905	0.7870	0.5495	0.7679	0.7912	0.7827	0.7499	0.7433	0.7477	0.7463	0.7583	0.7571	0.7579	0.6042	0.7151	0.6869	0.6879	0.6757	0.6533	0.6682	0.6291	0.7011	0.6730	0.6745
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6105	0.6984	0.6723	0.6583	0.7915	0.8024	0.8553	0.8864	0.8070	0.7819	0.7928	0.8085	0.8451	0.8545	1.0000	0.7869	0.7815	0.7433	0.7946	0.7868	0.5522	0.7652	0.7916	0.7895	0.7587	0.7472	0.7477	0.7472	0.7652	0.7667	0.7623	0.6066	0.7163	0.6921	0.6951	0.6790	0.6591	0.6697	0.6349	0.6965	0.6788	0.6789
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5444	0.6219	0.5983	0.5890	0.7264	0.7616	0.7820	0.8274	0.7683	0.7521	0.7319	0.7365	0.7844	0.7798	0.7869	1.0000	0.7490	0.6659	0.7226	0.7150	0.5362	0.7377	0.7571	0.7514	0.7190	0.7113	0.7166	0.7142	0.7299	0.7391	0.7430	0.5765	0.6896	0.6602	0.6551	0.6551	0.6316	0.6478	0.6158	0.6550	0.6209	0.6430
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5332	0.6105	0.5861	0.5778	0.7211	0.7736	0.7791	0.8256	0.7665	0.7576	0.7261	0.7311	0.7851	0.7741	0.7815	0.7490	1.0000	0.6554	0.7144	0.7046	0.5373	0.7346	0.7535	0.7525	0.7238	0.7078	0.7142	0.7117	0.7241	0.7484	0.7589	0.5741	0.6882	0.6544	0.6513	0.6579	0.6305	0.6501	0.6228	0.6478	0.6070	0.6439
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6829	0.7404	0.7376	0.7229	0.7622	0.6760	0.7315	0.7380	0.7124	0.6463	0.6818	0.7045	0.7197	0.7420	0.7433	0.6659	0.6554	1.0000	0.7896	0.8064	0.4407	0.6655	0.6883	0.6399	0.6218	0.6494	0.6388	0.6408	0.6515	0.6226	0.6141	0.5359	0.6060	0.6030	0.5896	0.5505	0.5486	0.5424	0.4836	0.6813	0.6015	0.5667
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6496	0.7311	0.7175	0.6998	0.8123	0.7430	0.7933	0.8120	0.7877	0.7135	0.7387	0.7552	0.7716	0.7905	0.7946	0.7226	0.7144	0.7896	1.0000	0.8249	0.5272	0.7443	0.7709	0.7272	0.7071	0.7314	0.7200	0.7226	0.7368	0.7022	0.6975	0.6096	0.6922	0.6860	0.6716	0.6382	0.6324	0.6243	0.5725	0.7365	0.6648	0.6372
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6912	0.7549	0.7518	0.7371	0.7980	0.7239	0.7793	0.7961	0.7692	0.6947	0.7248	0.7455	0.7674	0.7870	0.7868	0.7150	0.7046	0.8064	0.8249	1.0000	0.4829	0.7226	0.7453	0.7010	0.6734	0.7039	0.6974	0.6955	0.7060	0.6766	0.6738	0.5737	0.6628	0.6491	0.6360	0.6008	0.5966	0.5915	0.5359	0.7225	0.6507	0.6165
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0918	0.2252	0.1961	0.1747	0.6378	0.6388	0.6243	0.6697	0.6935	0.6082	0.6033	0.5659	0.5077	0.5495	0.5522	0.5362	0.5373	0.4407	0.5272	0.4829	1.0000	0.7789	0.7821	0.8168	0.8357	0.8010	0.7957	0.8301	0.8318	0.7228	0.7182	0.8346	0.8723	0.8660	0.8531	0.8586	0.8759	0.8244	0.8828	0.7143	0.6838	0.7293
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3817	0.5131	0.4827	0.4602	0.8008	0.8095	0.8087	0.8641	0.8931	0.7692	0.7686	0.7520	0.7409	0.7679	0.7652	0.7377	0.7346	0.6655	0.7443	0.7226	0.7789	1.0000	0.9177	0.8893	0.8767	0.8824	0.8988	0.8979	0.9093	0.8256	0.8355	0.7961	0.9040	0.8826	0.8727	0.8520	0.8502	0.8020	0.8015	0.8042	0.7585	0.7782
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4020	0.5352	0.5036	0.4797	0.8281	0.8212	0.8356	0.8896	0.9185	0.7844	0.7869	0.7730	0.7621	0.7912	0.7916	0.7571	0.7535	0.6883	0.7709	0.7453	0.7821	0.9177	1.0000	0.9047	0.8878	0.9039	0.9111	0.9088	0.9233	0.8418	0.8540	0.8088	0.9109	0.8973	0.8823	0.8595	0.8580	0.8058	0.7996	0.8208	0.7900	0.7812
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3472	0.4801	0.4462	0.4244	0.7862	0.8145	0.8354	0.8972	0.8645	0.7941	0.7830	0.7603	0.7621	0.7827	0.7895	0.7514	0.7525	0.6399	0.7272	0.7010	0.8168	0.8893	0.9047	1.0000	0.9126	0.8869	0.8918	0.9083	0.9169	0.8591	0.8690	0.8034	0.9145	0.8831	0.8717	0.8696	0.8746	0.8560	0.8729	0.7861	0.7773	0.8053
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3186	0.4536	0.4201	0.3975	0.7793	0.8045	0.8075	0.8533	0.8415	0.7714	0.7640	0.7434	0.7215	0.7499	0.7587	0.7190	0.7238	0.6218	0.7071	0.6734	0.8357	0.8767	0.8878	0.9126	1.0000	0.8751	0.8772	0.8966	0.9062	0.8402	0.8400	0.8209	0.9083	0.8924	0.8842	0.8736	0.8816	0.8500	0.8662	0.7877	0.7595	0.7947
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3547	0.4842	0.4557	0.4327	0.7933	0.7816	0.7956	0.8420	0.8614	0.7473	0.7506	0.7321	0.7109	0.7433	0.7472	0.7113	0.7078	0.6494	0.7314	0.7039	0.8010	0.8824	0.9039	0.8869	0.8751	1.0000	0.8834	0.8931	0.9054	0.8153	0.8240	0.8125	0.9014	0.8894	0.8723	0.8538	0.8599	0.8068	0.8119	0.8053	0.7608	0.7711
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3447	0.4760	0.4456	0.4225	0.7840	0.7943	0.7951	0.8500	0.8758	0.7493	0.7525	0.7353	0.7178	0.7477	0.7477	0.7166	0.7142	0.6388	0.7200	0.6974	0.7957	0.8988	0.9111	0.8918	0.8772	0.8834	1.0000	0.9011	0.9067	0.8202	0.8309	0.8052	0.9101	0.8869	0.8791	0.8600	0.8588	0.8085	0.8152	0.7938	0.7675	0.7769
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3316	0.4664	0.4362	0.4128	0.7922	0.7913	0.7979	0.8512	0.8652	0.7553	0.7582	0.7358	0.7134	0.7463	0.7472	0.7142	0.7117	0.6408	0.7226	0.6955	0.8301	0.8979	0.9088	0.9083	0.8966	0.8931	0.9011	1.0000	0.9178	0.8283	0.8344	0.8296	0.9219	0.9061	0.8938	0.8800	0.8823	0.8373	0.8482	0.8103	0.7675	0.7895
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3418	0.4822	0.4485	0.4238	0.8046	0.8158	0.8140	0.8704	0.8766	0.7803	0.7736	0.7538	0.7267	0.7583	0.7652	0.7299	0.7241	0.6515	0.7368	0.7060	0.8318	0.9093	0.9233	0.9169	0.9062	0.9054	0.9067	0.9178	1.0000	0.8444	0.8428	0.8367	0.9333	0.9194	0.9059	0.8866	0.8934	0.8400	0.8534	0.8168	0.7861	0.8065
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3862	0.4964	0.4687	0.4517	0.7530	0.8042	0.7956	0.8560	0.8092	0.7873	0.7523	0.7377	0.7462	0.7571	0.7667	0.7391	0.7484	0.6226	0.7022	0.6766	0.7228	0.8256	0.8418	0.8591	0.8402	0.8153	0.8202	0.8283	0.8444	1.0000	0.8242	0.7270	0.8273	0.8041	0.7952	0.7989	0.7870	0.7745	0.7817	0.7295	0.6991	0.7389
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3761	0.4886	0.4583	0.4430	0.7479	0.7898	0.7952	0.8588	0.8331	0.7753	0.7440	0.7259	0.7528	0.7579	0.7623	0.7430	0.7589	0.6141	0.6975	0.6738	0.7182	0.8355	0.8540	0.8690	0.8400	0.8240	0.8309	0.8344	0.8428	0.8242	1.0000	0.7196	0.8324	0.7986	0.7877	0.7946	0.7839	0.7703	0.7772	0.7283	0.6929	0.7266
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2011	0.3315	0.3074	0.2821	0.7004	0.6729	0.6692	0.7043	0.7398	0.6352	0.6458	0.6187	0.5588	0.6042	0.6066	0.5765	0.5741	0.5359	0.6096	0.5737	0.8346	0.7961	0.8088	0.8034	0.8209	0.8125	0.8052	0.8296	0.8367	0.7270	0.7196	1.0000	0.8554	0.8671	0.8502	0.8230	0.8458	0.7783	0.8035	0.7493	0.7052	0.7176
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2779	0.4185	0.3866	0.3626	0.7723	0.7818	0.7741	0.8308	0.8551	0.7413	0.7393	0.7131	0.6807	0.7151	0.7163	0.6896	0.6882	0.6060	0.6922	0.6628	0.8723	0.9040	0.9109	0.9145	0.9083	0.9014	0.9101	0.9219	0.9333	0.8273	0.8324	0.8554	1.0000	0.9259	0.9157	0.9015	0.9124	0.8549	0.8830	0.8092	0.7738	0.8053
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2507	0.3977	0.3676	0.3389	0.7734	0.7572	0.7579	0.7981	0.8374	0.7175	0.7250	0.6990	0.6418	0.6869	0.6921	0.6602	0.6544	0.6030	0.6860	0.6491	0.8660	0.8826	0.8973	0.8831	0.8924	0.8894	0.8869	0.9061	0.9194	0.8041	0.7986	0.8671	0.9259	1.0000	0.9193	0.8810	0.9073	0.8294	0.8477	0.8108	0.7702	0.7802
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2489	0.3963	0.3632	0.3353	0.7590	0.7515	0.7535	0.7911	0.8271	0.7093	0.7221	0.7007	0.6452	0.6879	0.6951	0.6551	0.6513	0.5896	0.6716	0.6360	0.8531	0.8727	0.8823	0.8717	0.8842	0.8723	0.8791	0.8938	0.9059	0.7952	0.7877	0.8502	0.9157	0.9193	1.0000	0.8786	0.8929	0.8223	0.8445	0.7934	0.7681	0.7796
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2405	0.3725	0.3396	0.3189	0.7232	0.7595	0.7314	0.7866	0.7967	0.7166	0.7028	0.6772	0.6443	0.6757	0.6790	0.6551	0.6579	0.5505	0.6382	0.6008	0.8586	0.8520	0.8595	0.8696	0.8736	0.8538	0.8600	0.8800	0.8866	0.7989	0.7946	0.8230	0.9015	0.8810	0.8786	1.0000	0.8741	0.8364	0.8662	0.7600	0.7307	0.7832
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2055	0.3472	0.3159	0.2913	0.7239	0.7285	0.7244	0.7683	0.7915	0.6938	0.6931	0.6630	0.6127	0.6533	0.6591	0.6316	0.6305	0.5486	0.6324	0.5966	0.8759	0.8502	0.8580	0.8746	0.8816	0.8599	0.8588	0.8823	0.8934	0.7870	0.7839	0.8458	0.9124	0.9073	0.8929	0.8741	1.0000	0.8332	0.8676	0.7713	0.7417	0.7717
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2723	0.3879	0.3564	0.3435	0.6982	0.7253	0.7154	0.7695	0.7436	0.6997	0.6840	0.6596	0.6485	0.6682	0.6697	0.6478	0.6501	0.5424	0.6243	0.5915	0.8244	0.8020	0.8058	0.8560	0.8500	0.8068	0.8085	0.8373	0.8400	0.7745	0.7703	0.7783	0.8549	0.8294	0.8223	0.8364	0.8332	1.0000	0.8693	0.7278	0.6906	0.7566
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1838	0.3071	0.2751	0.2598	0.6652	0.7167	0.6868	0.7512	0.7205	0.6903	0.6599	0.6300	0.6069	0.6291	0.6349	0.6158	0.6228	0.4836	0.5725	0.5359	0.8828	0.8015	0.7996	0.8729	0.8662	0.8119	0.8152	0.8482	0.8534	0.7817	0.7772	0.8035	0.8830	0.8477	0.8445	0.8662	0.8676	0.8693	1.0000	0.7168	0.6927	0.7683
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4302	0.5373	0.5213	0.5020	0.7857	0.7174	0.7327	0.7621	0.7933	0.6776	0.6969	0.6888	0.6631	0.7011	0.6965	0.6550	0.6478	0.6813	0.7365	0.7225	0.7143	0.8042	0.8208	0.7861	0.7877	0.8053	0.7938	0.8103	0.8168	0.7295	0.7283	0.7493	0.8092	0.8108	0.7934	0.7600	0.7713	0.7278	0.7168	1.0000	0.7065	0.7014
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3554	0.4688	0.4441	0.4174	0.7135	0.6863	0.7195	0.7474	0.7492	0.6423	0.6756	0.6701	0.6338	0.6730	0.6788	0.6209	0.6070	0.6015	0.6648	0.6507	0.6838	0.7585	0.7900	0.7773	0.7595	0.7608	0.7675	0.7675	0.7861	0.6991	0.6929	0.7052	0.7738	0.7702	0.7681	0.7307	0.7417	0.6906	0.6927	0.7065	1.0000	0.6806
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3251	0.4370	0.4099	0.3920	0.6905	0.7443	0.7093	0.7568	0.7433	0.6934	0.6813	0.6702	0.6492	0.6745	0.6789	0.6430	0.6439	0.5667	0.6372	0.6165	0.7293	0.7782	0.7812	0.8053	0.7947	0.7711	0.7769	0.7895	0.8065	0.7389	0.7266	0.7176	0.8053	0.7802	0.7796	0.7832	0.7717	0.7566	0.7683	0.7014	0.6806	1.0000
