#plotCorrelation --outFileCorMatrix
	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4699	0.4692	0.5193	0.6546	0.5446	0.5155	0.9135	0.9265	0.9250	0.9155	1.0000	0.9412	0.9205	0.5749	0.6387	0.6708	0.6532	0.7602	0.6983	0.7426	0.6727	0.7311	0.7425	0.6726	0.6962	0.7072	0.6917	0.7963	0.8023	0.8198	0.8251	0.8459	0.8417	0.8485	0.8403	0.4847	0.7396	0.6025	0.3285	0.3704	0.1109	0.2566
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5017	0.4253	0.4902	0.6532	0.5365	0.4951	0.8880	0.8976	0.9184	0.9321	0.9412	1.0000	0.9217	0.5337	0.6110	0.6423	0.6436	0.7306	0.6788	0.6884	0.6273	0.6846	0.6955	0.6389	0.6572	0.6930	0.6708	0.8382	0.8285	0.8502	0.8124	0.7950	0.8128	0.8308	0.8291	0.4833	0.7238	0.5476	0.3444	0.3738	0.1114	0.2393
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4554	0.4225	0.4752	0.6240	0.5160	0.4694	0.8804	0.8872	0.9008	0.8879	0.9205	0.9217	1.0000	0.5247	0.6012	0.6352	0.6236	0.7131	0.6593	0.6899	0.6254	0.6840	0.6958	0.6313	0.6413	0.6620	0.6481	0.7774	0.7805	0.7980	0.7828	0.7910	0.8000	0.8119	0.8072	0.4614	0.7161	0.5441	0.3164	0.3494	0.1008	0.2421
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4118	0.5250	0.6917	0.6079	0.6222	0.5829	0.4277	0.4500	0.4315	0.5539	0.5749	0.5337	0.5247	1.0000	0.7705	0.7281	0.6928	0.8225	0.7984	0.8087	0.8625	0.8231	0.8120	0.6811	0.7175	0.7447	0.7669	0.5665	0.6245	0.6776	0.8183	0.7125	0.7525	0.6725	0.6667	0.3383	0.3866	0.3981	0.2796	0.3527	0.0926	0.1092
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3600	0.4298	0.5956	0.5727	0.5548	0.4319	0.5266	0.5555	0.5403	0.6576	0.6387	0.6110	0.6012	0.7705	1.0000	0.6540	0.6443	0.8182	0.6966	0.7192	0.8009	0.7764	0.7663	0.6211	0.6374	0.6812	0.7073	0.5683	0.6265	0.6903	0.8539	0.6707	0.7402	0.6669	0.6671	0.3154	0.4388	0.4045	0.2641	0.3145	0.0939	0.1446
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4241	0.5145	0.5605	0.6309	0.6455	0.5775	0.5566	0.5667	0.5791	0.6223	0.6708	0.6423	0.6352	0.7281	0.6540	1.0000	0.8438	0.8190	0.8855	0.9045	0.8060	0.8572	0.7933	0.8047	0.6614	0.7187	0.7126	0.6217	0.7211	0.7139	0.7761	0.7856	0.7780	0.7314	0.7787	0.3546	0.4614	0.4484	0.2944	0.3626	0.1125	0.1418
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4544	0.4818	0.6008	0.6321	0.6799	0.5702	0.5401	0.5529	0.5593	0.6377	0.6532	0.6436	0.6236	0.6928	0.6443	0.8438	1.0000	0.7776	0.8314	0.7971	0.7615	0.7924	0.7326	0.7203	0.6557	0.7182	0.7193	0.6489	0.7020	0.7150	0.7667	0.7209	0.7451	0.7005	0.7399	0.3619	0.4431	0.4349	0.2980	0.4190	0.1683	0.1481
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5000	0.5572	0.6917	0.6997	0.7370	0.6233	0.6077	0.6338	0.6321	0.7520	0.7602	0.7306	0.7131	0.8225	0.8182	0.8190	0.7776	1.0000	0.8546	0.8946	0.8305	0.8726	0.8391	0.8783	0.7744	0.8468	0.8544	0.7353	0.8237	0.8431	0.9080	0.8199	0.8406	0.7663	0.8072	0.4111	0.5124	0.4814	0.3439	0.4224	0.1353	0.1918
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5268	0.5798	0.6498	0.7021	0.7060	0.6856	0.5420	0.5628	0.5646	0.6777	0.6983	0.6788	0.6593	0.7984	0.6966	0.8855	0.8314	0.8546	1.0000	0.9091	0.8237	0.8556	0.8094	0.8125	0.7523	0.8074	0.7971	0.7227	0.7874	0.7985	0.8520	0.8158	0.8099	0.7821	0.8053	0.4346	0.4751	0.4792	0.3485	0.4184	0.1173	0.1475
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4685	0.6135	0.6404	0.7045	0.7116	0.6851	0.6120	0.6298	0.6242	0.6796	0.7426	0.6884	0.6899	0.8087	0.7192	0.9045	0.7971	0.8946	0.9091	1.0000	0.8527	0.9164	0.8697	0.8959	0.7732	0.8133	0.8039	0.6775	0.7792	0.7735	0.8576	0.8925	0.8543	0.8029	0.8376	0.4262	0.5236	0.5304	0.3275	0.4266	0.1469	0.1678
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3735	0.5021	0.6373	0.6145	0.5970	0.5079	0.5693	0.5787	0.5722	0.6202	0.6727	0.6273	0.6254	0.8625	0.8009	0.8060	0.7615	0.8305	0.8237	0.8527	1.0000	0.9013	0.8977	0.6875	0.6860	0.7099	0.7394	0.5654	0.6347	0.6911	0.8342	0.7695	0.8381	0.7446	0.7434	0.3217	0.4672	0.4344	0.2698	0.3498	0.1117	0.1347
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4063	0.5425	0.6397	0.6488	0.6402	0.5554	0.6275	0.6362	0.6349	0.6738	0.7311	0.6846	0.6840	0.8231	0.7764	0.8572	0.7924	0.8726	0.8556	0.9164	0.9013	1.0000	0.8932	0.7945	0.7158	0.7498	0.7709	0.6195	0.7141	0.7374	0.8509	0.8289	0.8586	0.7787	0.7999	0.3659	0.5188	0.4711	0.2924	0.3683	0.1123	0.1508
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3947	0.5241	0.6116	0.6563	0.6182	0.5369	0.6593	0.6652	0.6610	0.6794	0.7425	0.6955	0.6958	0.8120	0.7663	0.7933	0.7326	0.8391	0.8094	0.8697	0.8977	0.8932	1.0000	0.7254	0.7022	0.7348	0.7472	0.6062	0.6735	0.7216	0.8319	0.8264	0.9294	0.7903	0.8011	0.3741	0.5435	0.4781	0.2898	0.4193	0.1840	0.1636
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4816	0.5617	0.5665	0.6647	0.7467	0.6571	0.5213	0.5521	0.5490	0.6515	0.6726	0.6389	0.6313	0.6811	0.6211	0.8047	0.7203	0.8783	0.8125	0.8959	0.6875	0.7945	0.7254	1.0000	0.7241	0.7948	0.7643	0.6767	0.8030	0.7587	0.7664	0.7962	0.7323	0.6747	0.7487	0.3945	0.4465	0.4625	0.3232	0.4269	0.1635	0.1627
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5354	0.5779	0.6598	0.6720	0.6545	0.7044	0.5411	0.5837	0.5622	0.6960	0.6962	0.6572	0.6413	0.7175	0.6374	0.6614	0.6557	0.7744	0.7523	0.7732	0.6860	0.7158	0.7022	0.7241	1.0000	0.7937	0.7754	0.7323	0.7390	0.7646	0.8143	0.7766	0.7321	0.7292	0.7135	0.4339	0.4614	0.5526	0.3378	0.4104	0.1343	0.1695
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5950	0.5848	0.6817	0.7650	0.7403	0.7250	0.5268	0.5715	0.5546	0.7227	0.7072	0.6930	0.6620	0.7447	0.6812	0.7187	0.7182	0.8468	0.8074	0.8133	0.7099	0.7498	0.7348	0.7948	0.7937	1.0000	0.8241	0.7881	0.8147	0.8406	0.8569	0.7822	0.7651	0.7536	0.7865	0.4724	0.4670	0.5109	0.3917	0.5845	0.3371	0.1804
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5307	0.5502	0.7361	0.6772	0.7943	0.6604	0.5331	0.5580	0.5505	0.7032	0.6917	0.6708	0.6481	0.7669	0.7073	0.7126	0.7193	0.8544	0.7971	0.8039	0.7394	0.7709	0.7472	0.7643	0.7754	0.8241	1.0000	0.7313	0.7642	0.8179	0.8445	0.7562	0.7678	0.7237	0.7395	0.4303	0.4594	0.4575	0.3411	0.4299	0.1261	0.2069
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6430	0.5031	0.5593	0.7037	0.6306	0.6638	0.6381	0.6774	0.6863	0.8519	0.7963	0.8382	0.7774	0.5665	0.5683	0.6217	0.6489	0.7353	0.7227	0.6775	0.5654	0.6195	0.6062	0.6767	0.7323	0.7881	0.7313	1.0000	0.8807	0.8924	0.8239	0.7374	0.7180	0.7743	0.7673	0.5124	0.5529	0.5286	0.4008	0.4314	0.1225	0.2250
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5990	0.5313	0.5647	0.7151	0.6768	0.6540	0.6390	0.6761	0.6914	0.8345	0.8023	0.8285	0.7805	0.6245	0.6265	0.7211	0.7020	0.8237	0.7874	0.7792	0.6347	0.7141	0.6735	0.8030	0.7390	0.8147	0.7642	0.8807	1.0000	0.9063	0.8523	0.7854	0.7605	0.7914	0.8120	0.5050	0.5536	0.5253	0.3917	0.4261	0.1201	0.2250
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6082	0.5213	0.6198	0.7373	0.6937	0.6490	0.6557	0.6934	0.7077	0.8719	0.8198	0.8502	0.7980	0.6776	0.6903	0.7139	0.7150	0.8431	0.7985	0.7735	0.6911	0.7374	0.7216	0.7587	0.7646	0.8406	0.8179	0.8924	0.9063	1.0000	0.8936	0.7918	0.8037	0.8204	0.8338	0.5016	0.5723	0.5222	0.3996	0.4402	0.1291	0.2319
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5503	0.5657	0.7068	0.7355	0.6827	0.6426	0.6724	0.7047	0.6990	0.8303	0.8251	0.8124	0.7828	0.8183	0.8539	0.7761	0.7667	0.9080	0.8520	0.8576	0.8342	0.8509	0.8319	0.7664	0.8143	0.8569	0.8445	0.8239	0.8523	0.8936	1.0000	0.8436	0.8622	0.8512	0.8388	0.4930	0.5749	0.5537	0.3751	0.4264	0.1212	0.1872
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4918	0.6126	0.5756	0.7154	0.6498	0.6861	0.7478	0.7876	0.7554	0.7798	0.8459	0.7950	0.7910	0.7125	0.6707	0.7856	0.7209	0.8199	0.8158	0.8925	0.7695	0.8289	0.8264	0.7962	0.7766	0.7822	0.7562	0.7374	0.7854	0.7918	0.8436	1.0000	0.8707	0.8691	0.8555	0.4461	0.6472	0.7361	0.3407	0.4414	0.1600	0.1937
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4647	0.5389	0.6054	0.7113	0.6335	0.5819	0.7615	0.7670	0.7710	0.7903	0.8417	0.8128	0.8000	0.7525	0.7402	0.7780	0.7451	0.8406	0.8099	0.8543	0.8381	0.8586	0.9294	0.7323	0.7321	0.7651	0.7678	0.7180	0.7605	0.8037	0.8622	0.8707	1.0000	0.8615	0.8600	0.4445	0.6280	0.5247	0.3299	0.4702	0.1767	0.2108
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5795	0.5505	0.5624	0.7195	0.5840	0.6204	0.7488	0.7667	0.7691	0.8059	0.8485	0.8308	0.8119	0.6725	0.6669	0.7314	0.7005	0.7663	0.7821	0.8029	0.7446	0.7787	0.7903	0.6747	0.7292	0.7536	0.7237	0.7743	0.7914	0.8204	0.8512	0.8691	0.8615	1.0000	0.8619	0.5536	0.6172	0.5975	0.3486	0.4451	0.1481	0.1978
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5121	0.5377	0.5560	0.7344	0.6383	0.6083	0.7416	0.7521	0.7678	0.8029	0.8403	0.8291	0.8072	0.6667	0.6671	0.7787	0.7399	0.8072	0.8053	0.8376	0.7434	0.7999	0.8011	0.7487	0.7135	0.7865	0.7395	0.7673	0.8120	0.8338	0.8388	0.8555	0.8600	0.8619	1.0000	0.4881	0.6196	0.5384	0.3583	0.4990	0.2573	0.2218
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3703	0.3348	0.3326	0.4435	0.3889	0.4340	0.3957	0.3991	0.4077	0.4873	0.4847	0.4833	0.4614	0.3383	0.3154	0.3546	0.3619	0.4111	0.4346	0.4262	0.3217	0.3659	0.3741	0.3945	0.4339	0.4724	0.4303	0.5124	0.5050	0.5016	0.4930	0.4461	0.4445	0.5536	0.4881	1.0000	0.3344	0.2887	0.2409	0.3041	0.1191	0.1118
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3061	0.3140	0.3264	0.4448	0.3502	0.3294	0.7490	0.7472	0.7461	0.6814	0.7396	0.7238	0.7161	0.3866	0.4388	0.4614	0.4431	0.5124	0.4751	0.5236	0.4672	0.5188	0.5435	0.4465	0.4614	0.4670	0.4594	0.5529	0.5536	0.5723	0.5749	0.6472	0.6280	0.6172	0.6196	0.3344	1.0000	0.4176	0.2134	0.2489	0.0711	0.1798
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3503	0.4408	0.3263	0.4612	0.3745	0.4839	0.5201	0.6310	0.5268	0.5694	0.6025	0.5476	0.5441	0.3981	0.4045	0.4484	0.4349	0.4814	0.4792	0.5304	0.4344	0.4711	0.4781	0.4625	0.5526	0.5109	0.4575	0.5286	0.5253	0.5222	0.5537	0.7361	0.5247	0.5975	0.5384	0.2887	0.4176	1.0000	0.2308	0.2688	0.0943	0.1364
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3119	0.3005	0.2615	0.3610	0.3098	0.3341	0.2409	0.2796	0.2635	0.3553	0.3285	0.3444	0.3164	0.2796	0.2641	0.2944	0.2980	0.3439	0.3485	0.3275	0.2698	0.2924	0.2898	0.3232	0.3378	0.3917	0.3411	0.4008	0.3917	0.3996	0.3751	0.3407	0.3299	0.3486	0.3583	0.2409	0.2134	0.2308	1.0000	0.2704	0.1528	0.0974
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3845	0.3700	0.3395	0.6065	0.4859	0.4917	0.2825	0.2998	0.2972	0.3827	0.3704	0.3738	0.3494	0.3527	0.3145	0.3626	0.4190	0.4224	0.4184	0.4266	0.3498	0.3683	0.4193	0.4269	0.4104	0.5845	0.4299	0.4314	0.4261	0.4402	0.4264	0.4414	0.4702	0.4451	0.4990	0.3041	0.2489	0.2688	0.2704	1.0000	0.7565	0.1086
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1552	0.1695	0.0940	0.3770	0.2703	0.1993	0.0871	0.0923	0.0953	0.1068	0.1109	0.1114	0.1008	0.0926	0.0939	0.1125	0.1683	0.1353	0.1173	0.1469	0.1117	0.1123	0.1840	0.1635	0.1343	0.3371	0.1261	0.1225	0.1201	0.1291	0.1212	0.1600	0.1767	0.1481	0.2573	0.1191	0.0711	0.0943	0.1528	0.7565	1.0000	0.0301
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1567	0.1080	0.1121	0.1817	0.1809	0.1320	0.2315	0.2463	0.2707	0.2583	0.2566	0.2393	0.2421	0.1092	0.1446	0.1418	0.1481	0.1918	0.1475	0.1678	0.1347	0.1508	0.1636	0.1627	0.1695	0.1804	0.2069	0.2250	0.2250	0.2319	0.1872	0.1937	0.2108	0.1978	0.2218	0.1118	0.1798	0.1364	0.0974	0.1086	0.0301	1.0000
