#plotCorrelation --outFileCorMatrix
	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1995	0.8610	0.8892	0.8793	0.9032	0.8820	0.9282	0.9184	0.9082	0.9385	0.9331	0.8997	0.8961	0.9526	1.0000	0.9174	0.8722	0.9079	0.9093	0.8915	0.8787	0.8807	0.9482	0.9347	0.9171	0.9348	0.7921	0.8064	0.7648	0.8039	0.7994	0.8010	0.8436	0.8229	0.7907	0.7731	0.7577	0.6009	0.6435	0.5299	0.6060	0.6873
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1747	0.8679	0.8354	0.8772	0.8949	0.8867	0.9040	0.8831	0.9430	0.8849	0.8911	0.8938	0.8709	0.9048	0.9174	1.0000	0.8935	0.8924	0.8245	0.8251	0.8069	0.8526	0.8714	0.8605	0.8599	0.8487	0.6779	0.6793	0.7602	0.8004	0.7486	0.7069	0.8099	0.7747	0.7198	0.7113	0.7381	0.5119	0.6517	0.3360	0.4766	0.4996
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1894	0.9066	0.8364	0.9192	0.9127	0.9128	0.9301	0.9038	0.8946	0.8492	0.8592	0.8788	0.8678	0.9175	0.8722	0.8935	1.0000	0.9400	0.8744	0.8414	0.8429	0.8339	0.8342	0.7971	0.8231	0.8072	0.6970	0.6318	0.7964	0.7570	0.8201	0.7198	0.8492	0.8385	0.7849	0.7737	0.7792	0.5601	0.6156	0.2297	0.5188	0.5088
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2124	0.8810	0.8285	0.8854	0.8832	0.8709	0.9046	0.8875	0.8872	0.8567	0.8572	0.8546	0.8446	0.9427	0.9079	0.8924	0.9400	1.0000	0.8678	0.8552	0.8577	0.8589	0.8741	0.8450	0.9162	0.8864	0.6853	0.7019	0.7603	0.7825	0.8666	0.7218	0.8892	0.8480	0.8143	0.7898	0.7852	0.6427	0.6842	0.3171	0.5511	0.6168
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2495	0.8466	0.8085	0.8474	0.8441	0.8259	0.9042	0.8818	0.7936	0.8362	0.8183	0.8130	0.8040	0.9012	0.9093	0.8245	0.8744	0.8678	1.0000	0.8394	0.8349	0.7776	0.8327	0.7851	0.7753	0.7841	0.6698	0.6779	0.6828	0.6775	0.8464	0.7948	0.8151	0.9004	0.8494	0.8711	0.8321	0.5836	0.5654	0.4041	0.5830	0.5777
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2240	0.7994	0.7937	0.8186	0.8312	0.8317	0.8510	0.8383	0.8138	0.8277	0.8480	0.8191	0.8377	0.8865	0.8915	0.8251	0.8414	0.8552	0.8394	1.0000	0.8435	0.8026	0.8616	0.8447	0.8380	0.8526	0.7267	0.7515	0.7264	0.7627	0.7531	0.7361	0.8679	0.8096	0.8349	0.7840	0.7788	0.5799	0.6565	0.3760	0.6048	0.6479
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4211	0.8059	0.8536	0.8402	0.8554	0.8418	0.8616	0.8608	0.8267	0.8558	0.8629	0.8331	0.8532	0.9006	0.8787	0.8069	0.8429	0.8577	0.8349	0.8435	1.0000	0.8199	0.9087	0.8607	0.8353	0.8428	0.7836	0.7865	0.7635	0.7380	0.7500	0.7633	0.7777	0.7685	0.6984	0.6802	0.6749	0.6073	0.5749	0.4931	0.7902	0.7258
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2024	0.8202	0.8601	0.8390	0.8681	0.8580	0.8700	0.8627	0.8984	0.8935	0.8970	0.8896	0.8721	0.8690	0.8807	0.8526	0.8339	0.8589	0.7776	0.8026	0.8199	1.0000	0.8950	0.8794	0.8518	0.8625	0.7657	0.7310	0.7750	0.7821	0.7382	0.7210	0.7603	0.6795	0.6429	0.6112	0.6170	0.5555	0.5714	0.4515	0.5381	0.6520
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3308	0.8276	0.8889	0.8495	0.8886	0.8708	0.8919	0.8919	0.9110	0.9434	0.9483	0.9100	0.9055	0.9222	0.9482	0.8714	0.8342	0.8741	0.8327	0.8616	0.9087	0.8950	1.0000	0.9539	0.9075	0.9235	0.8534	0.8429	0.8007	0.8107	0.7512	0.7913	0.7884	0.7163	0.6759	0.6372	0.6352	0.5987	0.5938	0.5815	0.7026	0.7566
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2005	0.7994	0.8858	0.8304	0.8702	0.8475	0.8665	0.8748	0.8981	0.9312	0.9366	0.8877	0.8940	0.9060	0.9347	0.8605	0.7971	0.8450	0.7851	0.8447	0.8607	0.8794	0.9539	1.0000	0.9075	0.9132	0.8459	0.8562	0.7806	0.8156	0.7056	0.7554	0.7615	0.6751	0.6372	0.6003	0.6020	0.5682	0.5870	0.6321	0.6309	0.7526
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2048	0.7700	0.8162	0.7915	0.8161	0.7875	0.8196	0.8154	0.8693	0.8666	0.8544	0.8144	0.8022	0.9174	0.9171	0.8599	0.8231	0.9162	0.7753	0.8380	0.8353	0.8518	0.9075	0.9075	1.0000	0.9468	0.7389	0.7847	0.7248	0.7989	0.7128	0.6885	0.8655	0.7478	0.7540	0.6917	0.6937	0.6362	0.7061	0.5132	0.5804	0.7175
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2150	0.7959	0.8383	0.8206	0.8547	0.8407	0.8544	0.8490	0.8795	0.9049	0.9030	0.8664	0.8634	0.8908	0.9348	0.8487	0.8072	0.8864	0.7841	0.8526	0.8428	0.8625	0.9235	0.9132	0.9468	1.0000	0.7792	0.8131	0.7648	0.7673	0.7115	0.7256	0.8179	0.7099	0.7249	0.6644	0.6377	0.5900	0.6068	0.4950	0.5930	0.7180
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2140	0.6841	0.7999	0.7195	0.7661	0.7498	0.7540	0.7747	0.7554	0.8342	0.8448	0.7936	0.8161	0.7644	0.7921	0.6779	0.6970	0.6853	0.6698	0.7267	0.7836	0.7657	0.8534	0.8459	0.7389	0.7792	1.0000	0.7792	0.7197	0.6510	0.6074	0.7051	0.5977	0.5170	0.4816	0.4361	0.4317	0.4945	0.4025	0.6565	0.6415	0.7633
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3254	0.6377	0.7510	0.6737	0.7113	0.6858	0.7097	0.7268	0.7097	0.7839	0.7863	0.7195	0.7466	0.7722	0.8064	0.6793	0.6318	0.7019	0.6779	0.7515	0.7865	0.7310	0.8429	0.8562	0.7847	0.8131	0.7792	1.0000	0.6654	0.6591	0.5933	0.6734	0.6451	0.5843	0.5575	0.5144	0.5021	0.5312	0.4879	0.6369	0.6896	0.7564
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2035	0.7914	0.7899	0.8181	0.8406	0.8453	0.8227	0.8167	0.8363	0.8254	0.8437	0.8464	0.8479	0.7764	0.7648	0.7602	0.7964	0.7603	0.6828	0.7264	0.7635	0.7750	0.8007	0.7806	0.7248	0.7648	0.7197	0.6654	1.0000	0.6792	0.6306	0.6598	0.6496	0.5731	0.5264	0.4894	0.4879	0.4386	0.4248	0.3634	0.5234	0.5480
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1657	0.7034	0.6922	0.7096	0.7355	0.7297	0.7407	0.7190	0.8004	0.7534	0.7747	0.7550	0.7348	0.7945	0.8039	0.8004	0.7570	0.7825	0.6775	0.7627	0.7380	0.7821	0.8107	0.8156	0.7989	0.7673	0.6510	0.6591	0.6792	1.0000	0.6210	0.6194	0.7682	0.6634	0.6340	0.6111	0.6451	0.5346	0.6912	0.3285	0.4777	0.5728
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1742	0.7715	0.7290	0.7786	0.7712	0.7603	0.8206	0.8140	0.7341	0.7492	0.7422	0.7448	0.7451	0.8063	0.7994	0.7486	0.8201	0.8666	0.8464	0.7531	0.7500	0.7382	0.7512	0.7056	0.7128	0.7115	0.6074	0.5933	0.6306	0.6210	1.0000	0.6943	0.7388	0.7854	0.7407	0.7525	0.7274	0.5914	0.5264	0.3102	0.4907	0.5453
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2380	0.7209	0.7455	0.7333	0.7565	0.7456	0.7843	0.7803	0.7270	0.7853	0.7837	0.7621	0.7637	0.7755	0.8010	0.7069	0.7198	0.7218	0.7948	0.7361	0.7633	0.7210	0.7913	0.7554	0.6885	0.7256	0.7051	0.6734	0.6598	0.6194	0.6943	1.0000	0.6627	0.6743	0.6336	0.6289	0.6028	0.5237	0.4476	0.4726	0.5755	0.6099
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1582	0.7332	0.6566	0.7227	0.7284	0.7261	0.7660	0.7270	0.7592	0.7262	0.7352	0.7190	0.7010	0.8583	0.8436	0.8099	0.8492	0.8892	0.8151	0.8679	0.7777	0.7603	0.7884	0.7615	0.8655	0.8179	0.5977	0.6451	0.6496	0.7682	0.7388	0.6627	1.0000	0.8617	0.9089	0.8522	0.8644	0.6475	0.8072	0.2114	0.4775	0.5888
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2224	0.7487	0.6698	0.7506	0.7219	0.7090	0.7859	0.7555	0.6737	0.6667	0.6639	0.6514	0.6652	0.8682	0.8229	0.7747	0.8385	0.8480	0.9004	0.8096	0.7685	0.6795	0.7163	0.6751	0.7478	0.7099	0.5170	0.5843	0.5731	0.6634	0.7854	0.6743	0.8617	1.0000	0.9080	0.9508	0.9470	0.6075	0.7304	0.2174	0.5379	0.5019
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1410	0.6756	0.5788	0.6645	0.6498	0.6447	0.7168	0.6750	0.6300	0.6280	0.6242	0.6114	0.6050	0.7899	0.7907	0.7198	0.7849	0.8143	0.8494	0.8349	0.6984	0.6429	0.6759	0.6372	0.7540	0.7249	0.4816	0.5575	0.5264	0.6340	0.7407	0.6336	0.9089	0.9080	1.0000	0.9353	0.9149	0.6000	0.7282	0.1531	0.4276	0.4893
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1361	0.6729	0.5677	0.6614	0.6333	0.6240	0.7127	0.6716	0.5923	0.5919	0.5825	0.5732	0.5758	0.7802	0.7731	0.7113	0.7737	0.7898	0.8711	0.7840	0.6802	0.6112	0.6372	0.6003	0.6917	0.6644	0.4361	0.5144	0.4894	0.6111	0.7525	0.6289	0.8522	0.9508	0.9353	1.0000	0.9521	0.5909	0.7228	0.1439	0.4266	0.4457
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1415	0.6584	0.5515	0.6482	0.6229	0.6179	0.6943	0.6528	0.6076	0.5760	0.5798	0.5698	0.5714	0.7836	0.7577	0.7381	0.7792	0.7852	0.8321	0.7788	0.6749	0.6170	0.6352	0.6020	0.6937	0.6377	0.4317	0.5021	0.4879	0.6451	0.7274	0.6028	0.8644	0.9470	0.9149	0.9521	1.0000	0.5800	0.7937	0.1177	0.4139	0.4290
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2340	0.4587	0.4543	0.4562	0.4634	0.4439	0.5015	0.4841	0.4820	0.5029	0.4958	0.4597	0.4572	0.6127	0.6009	0.5119	0.5601	0.6427	0.5836	0.5799	0.6073	0.5555	0.5987	0.5682	0.6362	0.5900	0.4945	0.5312	0.4386	0.5346	0.5914	0.5237	0.6475	0.6075	0.6000	0.5909	0.5800	1.0000	0.5793	0.2971	0.4819	0.5943
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1107	0.4671	0.3937	0.4455	0.4508	0.4458	0.4882	0.4507	0.5342	0.4640	0.4856	0.4448	0.4359	0.6616	0.6435	0.6517	0.6156	0.6842	0.5654	0.6565	0.5749	0.5714	0.5938	0.5870	0.7061	0.6068	0.4025	0.4879	0.4248	0.6912	0.5264	0.4476	0.8072	0.7304	0.7282	0.7228	0.7937	0.5793	1.0000	0.1195	0.3493	0.4828
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1148	0.3066	0.6048	0.3747	0.4223	0.3544	0.4101	0.4780	0.4135	0.5803	0.5252	0.4320	0.4651	0.4868	0.5299	0.3360	0.2297	0.3171	0.4041	0.3760	0.4931	0.4515	0.5815	0.6321	0.5132	0.4950	0.6565	0.6369	0.3634	0.3285	0.3102	0.4726	0.2114	0.2174	0.1531	0.1439	0.1177	0.2971	0.1195	1.0000	0.5425	0.6884
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6973	0.5024	0.6388	0.5596	0.5682	0.5447	0.5617	0.5887	0.5002	0.5812	0.5840	0.5244	0.5844	0.6426	0.6060	0.4766	0.5188	0.5511	0.5830	0.6048	0.7902	0.5381	0.7026	0.6309	0.5804	0.5930	0.6415	0.6896	0.5234	0.4777	0.4907	0.5755	0.4775	0.5379	0.4276	0.4266	0.4139	0.4819	0.3493	0.5425	1.0000	0.6830
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2321	0.4772	0.6298	0.5135	0.5513	0.5202	0.5581	0.5850	0.5411	0.6531	0.6571	0.5631	0.6078	0.6739	0.6873	0.4996	0.5088	0.6168	0.5777	0.6479	0.7258	0.6520	0.7566	0.7526	0.7175	0.7180	0.7633	0.7564	0.5480	0.5728	0.5453	0.6099	0.5888	0.5019	0.4893	0.4457	0.4290	0.5943	0.4828	0.6884	0.6830	1.0000
