#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4979	0.6025	0.5778	0.5603	0.8155	0.8308	0.8355	0.8314	0.8536	0.8605	1.0000	0.9317	0.9028	0.9152	0.9067	0.8981	0.9157	0.9248	0.9193	0.9028	0.8947	0.8753	0.8758	0.8120	0.7975	0.8381	0.8086	0.8100	0.7967	0.7879	0.8103	0.8074	0.7835	0.7806	0.8342	0.8430	0.8430	0.8873	0.9115	0.7248	0.7887	0.7725
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5149	0.6207	0.5958	0.5765	0.8179	0.8418	0.8387	0.8293	0.8666	0.8757	0.9317	1.0000	0.9207	0.9256	0.9189	0.9069	0.9245	0.9363	0.9249	0.9149	0.9023	0.8814	0.8818	0.8145	0.8238	0.8518	0.8207	0.8247	0.8134	0.8049	0.8284	0.8287	0.7994	0.7956	0.8563	0.8522	0.8647	0.9080	0.9324	0.7438	0.8108	0.7914
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4743	0.5774	0.5546	0.5364	0.8331	0.8439	0.8392	0.8399	0.8446	0.8508	0.9028	0.9207	1.0000	0.9032	0.9041	0.8960	0.9118	0.9216	0.9174	0.9076	0.8933	0.8773	0.8831	0.8056	0.8001	0.8369	0.7885	0.7942	0.7789	0.7614	0.7878	0.7912	0.7610	0.7571	0.8261	0.8185	0.8306	0.8683	0.8847	0.7099	0.7764	0.7552
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4661	0.5707	0.5461	0.5284	0.8283	0.8366	0.8404	0.8429	0.8486	0.8570	0.9152	0.9256	0.9032	1.0000	0.9092	0.8975	0.9174	0.9219	0.9235	0.9040	0.8975	0.8815	0.8812	0.8102	0.8037	0.8271	0.7914	0.7957	0.7807	0.7679	0.7920	0.7923	0.7657	0.7629	0.8184	0.8293	0.8304	0.8756	0.8959	0.7011	0.7669	0.7502
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4601	0.5659	0.5393	0.5221	0.8444	0.8332	0.8785	0.8914	0.8821	0.8900	0.9067	0.9189	0.9041	0.9092	1.0000	0.9260	0.9224	0.9294	0.9278	0.8995	0.8900	0.8892	0.8938	0.8340	0.8093	0.8140	0.8278	0.8184	0.7987	0.8011	0.8170	0.8239	0.7933	0.7931	0.8128	0.8444	0.8611	0.9137	0.8851	0.6947	0.7657	0.7459
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4452	0.5524	0.5258	0.5080	0.8629	0.8512	0.8754	0.8852	0.8660	0.8642	0.8981	0.9069	0.8960	0.8975	0.9260	1.0000	0.9144	0.9219	0.9231	0.9103	0.9036	0.8936	0.9014	0.8267	0.7981	0.8225	0.8096	0.8058	0.7887	0.7706	0.7945	0.8016	0.7676	0.7702	0.8143	0.8376	0.8412	0.8780	0.8680	0.6880	0.7567	0.7306
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4565	0.5640	0.5401	0.5213	0.8573	0.8583	0.8650	0.8701	0.8558	0.8594	0.9157	0.9245	0.9118	0.9174	0.9224	0.9144	1.0000	0.9321	0.9344	0.9213	0.9116	0.8990	0.9018	0.8212	0.8056	0.8414	0.7961	0.8007	0.7822	0.7643	0.7909	0.7921	0.7638	0.7606	0.8260	0.8270	0.8332	0.8761	0.8878	0.7040	0.7700	0.7493
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4632	0.5749	0.5479	0.5285	0.8586	0.8642	0.8668	0.8750	0.8696	0.8673	0.9248	0.9363	0.9216	0.9219	0.9294	0.9219	0.9321	1.0000	0.9438	0.9327	0.9213	0.9043	0.9112	0.8355	0.8193	0.8461	0.8172	0.8132	0.7962	0.7745	0.8002	0.8059	0.7763	0.7703	0.8348	0.8474	0.8458	0.8921	0.8969	0.7111	0.7803	0.7568
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4076	0.5202	0.4948	0.4761	0.8922	0.8779	0.8795	0.9005	0.8548	0.8585	0.9193	0.9249	0.9174	0.9235	0.9278	0.9231	0.9344	0.9438	1.0000	0.9366	0.9278	0.9165	0.9265	0.8339	0.8072	0.8375	0.7843	0.7832	0.7611	0.7350	0.7630	0.7644	0.7421	0.7398	0.8061	0.8183	0.8118	0.8586	0.8779	0.6716	0.7414	0.7188
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3929	0.5105	0.4863	0.4632	0.8870	0.8898	0.8573	0.8683	0.8342	0.8283	0.9028	0.9149	0.9076	0.9040	0.8995	0.9103	0.9213	0.9327	0.9366	1.0000	0.9330	0.8989	0.9224	0.8133	0.8079	0.8437	0.7643	0.7736	0.7525	0.7047	0.7423	0.7463	0.7190	0.7123	0.8130	0.7985	0.8002	0.8313	0.8648	0.6755	0.7424	0.7133
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3929	0.5106	0.4841	0.4617	0.8757	0.8758	0.8514	0.8656	0.8264	0.8192	0.8947	0.9023	0.8933	0.8975	0.8900	0.9036	0.9116	0.9213	0.9278	0.9330	1.0000	0.8962	0.9103	0.8120	0.8065	0.8312	0.7574	0.7715	0.7542	0.7083	0.7437	0.7494	0.7146	0.7098	0.8023	0.7935	0.7970	0.8254	0.8567	0.6661	0.7320	0.7039
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3765	0.4824	0.4566	0.4402	0.8807	0.8510	0.8635	0.8866	0.8300	0.8257	0.8753	0.8814	0.8773	0.8815	0.8892	0.8936	0.8990	0.9043	0.9165	0.8989	0.8962	1.0000	0.8934	0.8158	0.7710	0.7968	0.7627	0.7520	0.7299	0.7035	0.7289	0.7323	0.7122	0.7132	0.7653	0.7999	0.7745	0.8205	0.8283	0.6264	0.6972	0.6674
'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3516	0.4650	0.4400	0.4203	0.8958	0.8712	0.8610	0.8868	0.8213	0.8176	0.8758	0.8818	0.8831	0.8812	0.8938	0.9014	0.9018	0.9112	0.9265	0.9224	0.9103	0.8934	1.0000	0.8060	0.7828	0.8088	0.7447	0.7463	0.7207	0.6796	0.7133	0.7182	0.6940	0.6920	0.7691	0.7742	0.7715	0.8066	0.8265	0.6280	0.6955	0.6669
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4453	0.5343	0.5121	0.4983	0.7710	0.7616	0.7957	0.8011	0.7782	0.7674	0.8120	0.8145	0.8056	0.8102	0.8340	0.8267	0.8212	0.8355	0.8339	0.8133	0.8120	0.8158	0.8060	1.0000	0.7301	0.7474	0.7417	0.7332	0.7243	0.7064	0.7273	0.7309	0.7009	0.7011	0.7376	0.7855	0.7555	0.7940	0.7832	0.6384	0.6951	0.6786
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4836	0.5735	0.5529	0.5326	0.7340	0.7548	0.7414	0.7370	0.7449	0.7372	0.7975	0.8238	0.8001	0.8037	0.8093	0.7981	0.8056	0.8193	0.8072	0.8079	0.8065	0.7710	0.7828	0.7301	1.0000	0.7624	0.7005	0.7327	0.7290	0.6984	0.7311	0.7351	0.6849	0.6721	0.7669	0.7378	0.7686	0.7871	0.7910	0.6785	0.7287	0.7185
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5468	0.6319	0.6191	0.6031	0.7606	0.7941	0.7715	0.7549	0.7688	0.7645	0.8381	0.8518	0.8369	0.8271	0.8140	0.8225	0.8414	0.8461	0.8375	0.8437	0.8312	0.7968	0.8088	0.7474	0.7624	1.0000	0.7286	0.7524	0.7467	0.7224	0.7562	0.7508	0.7138	0.7063	0.8288	0.7646	0.7805	0.7991	0.8293	0.7463	0.7897	0.7781
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5686	0.6422	0.6209	0.6104	0.6735	0.6958	0.7491	0.7385	0.8232	0.8111	0.8086	0.8207	0.7885	0.7914	0.8278	0.8096	0.7961	0.8172	0.7843	0.7643	0.7574	0.7627	0.7447	0.7417	0.7005	0.7286	1.0000	0.7895	0.7858	0.8103	0.8080	0.8188	0.7942	0.7988	0.7753	0.8424	0.8243	0.8740	0.8123	0.7026	0.7575	0.7436
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5980	0.6743	0.6554	0.6410	0.6718	0.7079	0.7373	0.7129	0.7939	0.7841	0.8100	0.8247	0.7942	0.7957	0.8184	0.8058	0.8007	0.8132	0.7832	0.7736	0.7715	0.7520	0.7463	0.7332	0.7327	0.7524	0.7895	1.0000	0.8036	0.8098	0.8209	0.8312	0.7794	0.7733	0.7985	0.8082	0.8367	0.8623	0.8232	0.7399	0.7853	0.7752
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6417	0.7131	0.6946	0.6812	0.6406	0.6862	0.7172	0.6871	0.7803	0.7676	0.7967	0.8134	0.7789	0.7807	0.7987	0.7887	0.7822	0.7962	0.7611	0.7525	0.7542	0.7299	0.7207	0.7243	0.7290	0.7467	0.7858	0.8036	1.0000	0.8214	0.8323	0.8447	0.7830	0.7778	0.8057	0.8119	0.8435	0.8596	0.8195	0.7607	0.8018	0.7943
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6959	0.7532	0.7337	0.7275	0.5925	0.6359	0.7080	0.6686	0.7890	0.7916	0.7879	0.8049	0.7614	0.7679	0.8011	0.7706	0.7643	0.7745	0.7350	0.7047	0.7083	0.7035	0.6796	0.7064	0.6984	0.7224	0.8103	0.8098	0.8214	1.0000	0.8716	0.8743	0.8234	0.8233	0.7985	0.8233	0.8563	0.8918	0.8267	0.7686	0.8105	0.8085
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6897	0.7543	0.7360	0.7259	0.6280	0.6744	0.7246	0.6864	0.7970	0.7944	0.8103	0.8284	0.7878	0.7920	0.8170	0.7945	0.7909	0.8002	0.7630	0.7423	0.7437	0.7289	0.7133	0.7273	0.7311	0.7562	0.8080	0.8209	0.8323	0.8716	1.0000	0.8822	0.8186	0.8140	0.8255	0.8310	0.8677	0.8942	0.8430	0.7891	0.8283	0.8271
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6843	0.7529	0.7327	0.7216	0.6303	0.6758	0.7262	0.6917	0.8057	0.7991	0.8074	0.8287	0.7912	0.7923	0.8239	0.8016	0.7921	0.8059	0.7644	0.7463	0.7494	0.7323	0.7182	0.7309	0.7351	0.7508	0.8188	0.8312	0.8447	0.8743	0.8822	1.0000	0.8248	0.8201	0.8264	0.8365	0.8824	0.9060	0.8417	0.7886	0.8303	0.8250
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6261	0.6871	0.6684	0.6616	0.6151	0.6492	0.7069	0.6766	0.7832	0.7845	0.7835	0.7994	0.7610	0.7657	0.7933	0.7676	0.7638	0.7763	0.7421	0.7190	0.7146	0.7122	0.6940	0.7009	0.6849	0.7138	0.7942	0.7794	0.7830	0.8234	0.8186	0.8248	1.0000	0.7938	0.7709	0.8034	0.8203	0.8581	0.8093	0.7223	0.7686	0.7630
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6157	0.6766	0.6576	0.6509	0.6140	0.6455	0.7068	0.6814	0.7903	0.7971	0.7806	0.7956	0.7571	0.7629	0.7931	0.7702	0.7606	0.7703	0.7398	0.7123	0.7098	0.7132	0.6920	0.7011	0.6721	0.7063	0.7988	0.7733	0.7778	0.8233	0.8140	0.8201	0.7938	1.0000	0.7641	0.8122	0.8168	0.8558	0.8067	0.7124	0.7606	0.7533
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6494	0.7324	0.7149	0.6984	0.6975	0.7533	0.7464	0.7111	0.7871	0.7786	0.8342	0.8563	0.8261	0.8184	0.8128	0.8143	0.8260	0.8348	0.8061	0.8130	0.8023	0.7653	0.7691	0.7376	0.7669	0.8288	0.7753	0.7985	0.8057	0.7985	0.8255	0.8264	0.7709	0.7641	1.0000	0.8061	0.8386	0.8534	0.8503	0.8110	0.8504	0.8389
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5846	0.6635	0.6425	0.6300	0.7002	0.7290	0.7712	0.7604	0.8368	0.8225	0.8430	0.8522	0.8185	0.8293	0.8444	0.8376	0.8270	0.8474	0.8183	0.7985	0.7935	0.7999	0.7742	0.7855	0.7378	0.7646	0.8424	0.8082	0.8119	0.8233	0.8310	0.8365	0.8034	0.8122	0.8061	1.0000	0.8435	0.8870	0.8460	0.7302	0.7851	0.7708
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6305	0.7134	0.6911	0.6758	0.6886	0.7269	0.7631	0.7343	0.8289	0.8260	0.8430	0.8647	0.8306	0.8304	0.8611	0.8412	0.8332	0.8458	0.8118	0.8002	0.7970	0.7745	0.7715	0.7555	0.7686	0.7805	0.8243	0.8367	0.8435	0.8563	0.8677	0.8824	0.8203	0.8168	0.8386	0.8435	1.0000	0.9119	0.8687	0.7796	0.8298	0.8191
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6196	0.7074	0.6822	0.6677	0.7243	0.7536	0.8075	0.7890	0.8801	0.8812	0.8873	0.9080	0.8683	0.8756	0.9137	0.8780	0.8761	0.8921	0.8586	0.8313	0.8254	0.8205	0.8066	0.7940	0.7871	0.7991	0.8740	0.8623	0.8596	0.8918	0.8942	0.9060	0.8581	0.8558	0.8534	0.8870	0.9119	1.0000	0.9054	0.7791	0.8392	0.8275
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5665	0.6668	0.6416	0.6235	0.7440	0.7834	0.7865	0.7625	0.8389	0.8578	0.9115	0.9324	0.8847	0.8959	0.8851	0.8680	0.8878	0.8969	0.8779	0.8648	0.8567	0.8283	0.8265	0.7832	0.7910	0.8293	0.8123	0.8232	0.8195	0.8267	0.8430	0.8417	0.8093	0.8067	0.8503	0.8460	0.8687	0.9054	1.0000	0.7632	0.8246	0.8108
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7492	0.7952	0.7923	0.7803	0.5397	0.6210	0.6214	0.5640	0.6824	0.6702	0.7248	0.7438	0.7099	0.7011	0.6947	0.6880	0.7040	0.7111	0.6716	0.6755	0.6661	0.6264	0.6280	0.6384	0.6785	0.7463	0.7026	0.7399	0.7607	0.7686	0.7891	0.7886	0.7223	0.7124	0.8110	0.7302	0.7796	0.7791	0.7632	1.0000	0.8328	0.8455
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7233	0.7873	0.7761	0.7623	0.6090	0.6800	0.6874	0.6362	0.7470	0.7389	0.7887	0.8108	0.7764	0.7669	0.7657	0.7567	0.7700	0.7803	0.7414	0.7424	0.7320	0.6972	0.6955	0.6951	0.7287	0.7897	0.7575	0.7853	0.8018	0.8105	0.8283	0.8303	0.7686	0.7606	0.8504	0.7851	0.8298	0.8392	0.8246	0.8328	1.0000	0.8610
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7555	0.8053	0.8024	0.7911	0.5734	0.6519	0.6610	0.6075	0.7278	0.7210	0.7725	0.7914	0.7552	0.7502	0.7459	0.7306	0.7493	0.7568	0.7188	0.7133	0.7039	0.6674	0.6669	0.6786	0.7185	0.7781	0.7436	0.7752	0.7943	0.8085	0.8271	0.8250	0.7630	0.7533	0.8389	0.7708	0.8191	0.8275	0.8108	0.8455	0.8610	1.0000
