#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5495	0.6041	0.6166	0.7979	0.7294	0.7922	0.7584	0.6185	0.5987	0.8534	1.0000	0.8847	0.7497	0.7733	0.7576	0.7141	0.8275	0.8015	0.7693	0.7592	0.7896	0.7934	0.7382	0.7148	0.6081	0.6845	0.6346	0.6978	0.6713	0.5942	0.5475	0.5514	0.6377	0.6536	0.6739	0.4592	0.3543	0.3922	0.4640	0.5533	0.1088	0.1923
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5682	0.6277	0.6348	0.8460	0.7498	0.8181	0.7801	0.6805	0.6726	0.8680	0.8847	1.0000	0.7853	0.7987	0.7696	0.7655	0.8778	0.8246	0.7833	0.7554	0.7423	0.8269	0.8024	0.7503	0.6735	0.7124	0.6902	0.6903	0.6871	0.6040	0.6106	0.5416	0.6357	0.6759	0.7002	0.4779	0.3632	0.4087	0.4595	0.5646	0.1192	0.2009
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6874	0.7154	0.7144	0.7605	0.7680	0.7945	0.8149	0.6761	0.6480	0.7256	0.7497	0.7853	1.0000	0.8342	0.8549	0.8357	0.8282	0.7383	0.7664	0.7892	0.6477	0.7281	0.6956	0.7051	0.7355	0.7608	0.7694	0.7109	0.6707	0.6765	0.5467	0.5744	0.6014	0.5554	0.6822	0.5358	0.3073	0.4174	0.5154	0.5380	0.1409	0.1643
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6800	0.7091	0.7139	0.7602	0.7623	0.7918	0.8086	0.6672	0.6469	0.7181	0.7733	0.7987	0.8342	1.0000	0.8502	0.8302	0.8144	0.7837	0.7894	0.8279	0.7320	0.7673	0.7123	0.6942	0.7308	0.7818	0.7790	0.7614	0.7133	0.6434	0.5378	0.5600	0.5924	0.6140	0.6982	0.5356	0.3182	0.4774	0.4461	0.4590	0.2624	0.1896
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7055	0.7337	0.7178	0.7392	0.7610	0.7711	0.8219	0.7331	0.6644	0.6907	0.7576	0.7696	0.8549	0.8502	1.0000	0.8698	0.8293	0.8184	0.8240	0.9025	0.7946	0.7621	0.7452	0.7492	0.7809	0.8374	0.8298	0.7929	0.7125	0.7599	0.5731	0.6486	0.6721	0.6395	0.6905	0.5839	0.3046	0.4214	0.4129	0.4425	0.1577	0.1649
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7120	0.7355	0.7246	0.7505	0.7590	0.7767	0.8158	0.7609	0.7292	0.6620	0.7141	0.7655	0.8357	0.8302	0.8698	1.0000	0.8433	0.8228	0.7937	0.8459	0.7131	0.7418	0.7449	0.7161	0.8360	0.8486	0.9261	0.7599	0.7191	0.6245	0.5920	0.5574	0.5616	0.6079	0.6725	0.5498	0.2871	0.4447	0.3975	0.4073	0.1719	0.1789
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6139	0.6582	0.6482	0.8084	0.7499	0.7912	0.8023	0.8273	0.8520	0.7933	0.8275	0.8778	0.8282	0.8144	0.8293	0.8433	1.0000	0.8976	0.8415	0.8465	0.7479	0.8408	0.8292	0.7983	0.8303	0.8404	0.8164	0.7592	0.7459	0.6193	0.7006	0.5848	0.6197	0.6605	0.7007	0.4987	0.3380	0.3938	0.4538	0.5029	0.1103	0.1565
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5550	0.5971	0.5854	0.7300	0.6811	0.7062	0.7414	0.8231	0.8110	0.6996	0.8015	0.8246	0.7383	0.7837	0.8184	0.8228	0.8976	1.0000	0.8419	0.8874	0.8744	0.8303	0.8400	0.7598	0.8208	0.8613	0.8236	0.8044	0.7569	0.5627	0.6799	0.5772	0.6028	0.7187	0.6640	0.4415	0.3072	0.3912	0.3686	0.4528	0.1256	0.1639
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4955	0.5326	0.5240	0.6590	0.6347	0.6617	0.6851	0.7921	0.6824	0.6982	0.7693	0.7833	0.7664	0.7894	0.8240	0.7937	0.8415	0.8419	1.0000	0.9035	0.8038	0.7910	0.7786	0.7415	0.8120	0.8431	0.7924	0.8761	0.8168	0.5862	0.6329	0.6001	0.6703	0.6843	0.6714	0.4115	0.3151	0.3885	0.4005	0.4876	0.1072	0.1224
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5788	0.6063	0.5958	0.6582	0.6701	0.6732	0.7345	0.8054	0.7074	0.6450	0.7592	0.7554	0.7892	0.8279	0.9025	0.8459	0.8465	0.8874	0.9035	1.0000	0.8883	0.7949	0.7858	0.7572	0.8459	0.9104	0.8596	0.8996	0.7822	0.6199	0.6252	0.6369	0.6670	0.6895	0.6751	0.4658	0.2941	0.3983	0.3923	0.4260	0.1390	0.1431
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4714	0.5118	0.5062	0.6274	0.6028	0.6168	0.6528	0.6736	0.6025	0.6486	0.7896	0.7423	0.6477	0.7320	0.7946	0.7131	0.7479	0.8744	0.8038	0.8883	1.0000	0.7777	0.7464	0.7031	0.6712	0.7804	0.7069	0.7966	0.7040	0.5224	0.5515	0.5849	0.6422	0.7300	0.6359	0.3849	0.2920	0.4012	0.3618	0.4436	0.1575	0.1381
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4623	0.5147	0.4972	0.6980	0.6256	0.6683	0.6793	0.7384	0.6627	0.7649	0.7934	0.8269	0.7281	0.7673	0.7621	0.7418	0.8408	0.8303	0.7910	0.7949	0.7777	1.0000	0.8051	0.7735	0.6929	0.7290	0.7114	0.6969	0.6953	0.5531	0.6693	0.6066	0.7058	0.7191	0.7400	0.3905	0.3608	0.5677	0.4394	0.5568	0.3427	0.1527
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4771	0.5142	0.4983	0.6822	0.6144	0.6453	0.6684	0.7601	0.6927	0.7023	0.7382	0.8024	0.6956	0.7123	0.7452	0.7449	0.8292	0.8400	0.7786	0.7858	0.7464	0.8051	1.0000	0.7602	0.7220	0.7513	0.7241	0.6890	0.6960	0.5259	0.7251	0.5666	0.6388	0.7785	0.6422	0.3883	0.3067	0.3996	0.3916	0.4888	0.1165	0.1807
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4876	0.5253	0.5150	0.6718	0.6089	0.6342	0.6700	0.7179	0.6217	0.7054	0.7148	0.7503	0.7051	0.6942	0.7492	0.7161	0.7983	0.7598	0.7415	0.7572	0.7031	0.7735	0.7602	1.0000	0.6748	0.7019	0.6855	0.6435	0.6358	0.5557	0.6526	0.5995	0.6838	0.6341	0.6439	0.3951	0.3063	0.3833	0.4026	0.4979	0.1251	0.1441
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5492	0.5739	0.5542	0.6083	0.6125	0.6188	0.6722	0.8602	0.7967	0.5325	0.6081	0.6735	0.7355	0.7308	0.7809	0.8360	0.8303	0.8208	0.8120	0.8459	0.6712	0.6929	0.7220	0.6748	1.0000	0.8958	0.8925	0.7923	0.7446	0.5334	0.6221	0.5163	0.4852	0.5725	0.5843	0.4213	0.2381	0.3216	0.2866	0.3327	0.1025	0.1133
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5966	0.6207	0.6067	0.6513	0.6614	0.6658	0.7218	0.8214	0.7682	0.5785	0.6845	0.7124	0.7608	0.7818	0.8374	0.8486	0.8404	0.8613	0.8431	0.9104	0.7804	0.7290	0.7513	0.7019	0.8958	1.0000	0.8834	0.8447	0.7743	0.5701	0.6244	0.5573	0.5321	0.6152	0.6134	0.4622	0.2560	0.3364	0.3262	0.3592	0.1020	0.1254
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6254	0.6463	0.6291	0.6500	0.6671	0.6703	0.7273	0.8111	0.7549	0.5575	0.6346	0.6902	0.7694	0.7790	0.8298	0.9261	0.8164	0.8236	0.7924	0.8596	0.7069	0.7114	0.7241	0.6855	0.8925	0.8834	1.0000	0.7754	0.7079	0.5718	0.5937	0.5384	0.5120	0.5918	0.6197	0.4815	0.2522	0.3908	0.3316	0.3441	0.1779	0.1366
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5181	0.5435	0.5470	0.5968	0.6099	0.6219	0.6560	0.7180	0.6367	0.5869	0.6978	0.6903	0.7109	0.7614	0.7929	0.7599	0.7592	0.8044	0.8761	0.8996	0.7966	0.6969	0.6890	0.6435	0.7923	0.8447	0.7754	1.0000	0.8303	0.5497	0.5401	0.5300	0.5573	0.6222	0.5957	0.4032	0.2608	0.3317	0.3167	0.3817	0.1025	0.1170
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4875	0.5149	0.5115	0.6064	0.5870	0.6141	0.6256	0.6821	0.6254	0.6122	0.6713	0.6871	0.6707	0.7133	0.7125	0.7191	0.7459	0.7569	0.8168	0.7822	0.7040	0.6953	0.6960	0.6358	0.7446	0.7743	0.7079	0.8303	1.0000	0.5197	0.5829	0.4925	0.5493	0.6601	0.5953	0.3745	0.2628	0.3906	0.3207	0.4108	0.1607	0.1212
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5572	0.6025	0.5742	0.6057	0.6020	0.6214	0.6468	0.4925	0.4676	0.5679	0.5942	0.6040	0.6765	0.6434	0.7599	0.6245	0.6193	0.5627	0.5862	0.6199	0.5224	0.5531	0.5259	0.5557	0.5334	0.5701	0.5718	0.5497	0.5197	1.0000	0.3877	0.5508	0.5230	0.4379	0.5214	0.4278	0.2422	0.3011	0.3215	0.3673	0.1111	0.1381
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3551	0.3762	0.3545	0.5124	0.4587	0.4804	0.5135	0.6800	0.5845	0.5435	0.5475	0.6106	0.5467	0.5378	0.5731	0.5920	0.7006	0.6799	0.6329	0.6252	0.5515	0.6693	0.7251	0.6526	0.6221	0.6244	0.5937	0.5401	0.5829	0.3877	1.0000	0.4539	0.5156	0.5557	0.5119	0.2786	0.2355	0.3153	0.3040	0.3841	0.0858	0.0943
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3384	0.3676	0.3412	0.4620	0.4313	0.4377	0.4893	0.5430	0.4398	0.5170	0.5514	0.5416	0.5744	0.5600	0.6486	0.5574	0.5848	0.5772	0.6001	0.6369	0.5849	0.6066	0.5666	0.5995	0.5163	0.5573	0.5384	0.5300	0.4925	0.5508	0.4539	1.0000	0.6158	0.5020	0.5392	0.2911	0.2705	0.3732	0.3338	0.4110	0.1764	0.0981
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2946	0.3371	0.3084	0.5186	0.4385	0.4719	0.4892	0.5670	0.4076	0.6486	0.6377	0.6357	0.6014	0.5924	0.6721	0.5616	0.6197	0.6028	0.6703	0.6670	0.6422	0.7058	0.6388	0.6838	0.4852	0.5321	0.5120	0.5573	0.5493	0.5230	0.5156	0.6158	1.0000	0.6047	0.6455	0.2698	0.3084	0.4734	0.4086	0.5522	0.1955	0.1116
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3473	0.3823	0.3709	0.5436	0.4840	0.5108	0.5193	0.6042	0.5335	0.6055	0.6536	0.6759	0.5554	0.6140	0.6395	0.6079	0.6605	0.7187	0.6843	0.6895	0.7300	0.7191	0.7785	0.6341	0.5725	0.6152	0.5918	0.6222	0.6601	0.4379	0.5557	0.5020	0.6047	1.0000	0.6016	0.2857	0.2800	0.4634	0.3577	0.4667	0.2680	0.1577
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4396	0.4787	0.4745	0.6189	0.5717	0.6083	0.6098	0.5901	0.5412	0.6615	0.6739	0.7002	0.6822	0.6982	0.6905	0.6725	0.7007	0.6640	0.6714	0.6751	0.6359	0.7400	0.6422	0.6439	0.5843	0.6134	0.6197	0.5957	0.5953	0.5214	0.5119	0.5392	0.6455	0.6016	1.0000	0.3620	0.3251	0.5894	0.4038	0.4826	0.3820	0.1522
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6831	0.6923	0.6797	0.5956	0.6389	0.6475	0.6714	0.3550	0.3842	0.4494	0.4592	0.4779	0.5358	0.5356	0.5839	0.5498	0.4987	0.4415	0.4115	0.4658	0.3849	0.3905	0.3883	0.3951	0.4213	0.4622	0.4815	0.4032	0.3745	0.4278	0.2786	0.2911	0.2698	0.2857	0.3620	1.0000	0.1553	0.1958	0.2674	0.2196	0.0559	0.1425
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1792	0.2301	0.2057	0.3147	0.2684	0.3017	0.2832	0.2566	0.2327	0.3640	0.3543	0.3632	0.3073	0.3182	0.3046	0.2871	0.3380	0.3072	0.3151	0.2941	0.2920	0.3608	0.3067	0.3063	0.2381	0.2560	0.2522	0.2608	0.2628	0.2422	0.2355	0.2705	0.3084	0.2800	0.3251	0.1553	1.0000	0.2460	0.2099	0.2770	0.1468	0.0767
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2325	0.2565	0.2497	0.3488	0.3100	0.3397	0.3356	0.3303	0.2858	0.3992	0.3922	0.4087	0.4174	0.4774	0.4214	0.4447	0.3938	0.3912	0.3885	0.3983	0.4012	0.5677	0.3996	0.3833	0.3216	0.3364	0.3908	0.3317	0.3906	0.3011	0.3153	0.3732	0.4734	0.4634	0.5894	0.1958	0.2460	1.0000	0.2771	0.3533	0.7616	0.0892
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3327	0.3446	0.3470	0.4433	0.4107	0.4394	0.4422	0.3144	0.2789	0.4712	0.4640	0.4595	0.5154	0.4461	0.4129	0.3975	0.4538	0.3686	0.4005	0.3923	0.3618	0.4394	0.3916	0.4026	0.2866	0.3262	0.3316	0.3167	0.3207	0.3215	0.3040	0.3338	0.4086	0.3577	0.4038	0.2674	0.2099	0.2771	1.0000	0.3289	0.1130	0.0874
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2369	0.2805	0.2713	0.4826	0.3888	0.4439	0.4058	0.3841	0.3177	0.6034	0.5533	0.5646	0.5380	0.4590	0.4425	0.4073	0.5029	0.4528	0.4876	0.4260	0.4436	0.5568	0.4888	0.4979	0.3327	0.3592	0.3441	0.3817	0.4108	0.3673	0.3841	0.4110	0.5522	0.4667	0.4826	0.2196	0.2770	0.3533	0.3289	1.0000	0.1476	0.1268
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0729	0.0804	0.0826	0.0952	0.0883	0.1013	0.1004	0.0847	0.0846	0.1120	0.1088	0.1192	0.1409	0.2624	0.1577	0.1719	0.1103	0.1256	0.1072	0.1390	0.1575	0.3427	0.1165	0.1251	0.1025	0.1020	0.1779	0.1025	0.1607	0.1111	0.0858	0.1764	0.1955	0.2680	0.3820	0.0559	0.1468	0.7616	0.1130	0.1476	1.0000	0.0243
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1982	0.2198	0.2439	0.2290	0.2099	0.2075	0.2286	0.0946	0.1214	0.1913	0.1923	0.2009	0.1643	0.1896	0.1649	0.1789	0.1565	0.1639	0.1224	0.1431	0.1381	0.1527	0.1807	0.1441	0.1133	0.1254	0.1366	0.1170	0.1212	0.1381	0.0943	0.0981	0.1116	0.1577	0.1522	0.1425	0.0767	0.0892	0.0874	0.1268	0.0243	1.0000
