#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4510	0.5595	0.5126	0.5306	0.7969	0.8547	0.8047	0.7517	0.7507	0.7967	1.0000	0.7559	0.7697	0.7875	0.7784	0.7453	0.7578	0.6491	0.7234	0.7021	0.6498	0.6121	0.7677	0.7402	0.7362	0.7089	0.7444	0.7049	0.6980	0.8125	0.7998	0.8030	0.7889	0.7659	0.7850	0.7760	0.8032	0.7919	0.7789	0.7298	0.6694	0.6946
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5165	0.6138	0.5695	0.5885	0.7927	0.8194	0.7659	0.7419	0.7401	0.7256	0.7559	1.0000	0.7651	0.7934	0.7765	0.7173	0.7133	0.6797	0.7350	0.7237	0.5894	0.5329	0.6927	0.6756	0.6794	0.6375	0.6544	0.6341	0.6060	0.7588	0.7363	0.7464	0.7231	0.7114	0.7198	0.7152	0.7351	0.7201	0.7116	0.6492	0.6495	0.6626
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5960	0.6756	0.6393	0.6482	0.8102	0.8587	0.7769	0.7388	0.7492	0.7543	0.7697	0.7651	1.0000	0.8327	0.8286	0.7682	0.7686	0.6968	0.7536	0.7479	0.5275	0.4708	0.6592	0.6162	0.6229	0.5845	0.6209	0.6208	0.5785	0.7497	0.7265	0.7451	0.6992	0.6897	0.7033	0.6929	0.7079	0.7285	0.7382	0.6271	0.6138	0.6354
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5779	0.6724	0.6286	0.6444	0.8434	0.8778	0.7969	0.7740	0.7771	0.7667	0.7875	0.7934	0.8327	1.0000	0.8417	0.7709	0.7660	0.7216	0.7783	0.7688	0.5779	0.5182	0.6972	0.6697	0.6759	0.6338	0.6582	0.6446	0.6093	0.7808	0.7524	0.7756	0.7391	0.7278	0.7354	0.7285	0.7487	0.7506	0.7485	0.6585	0.6616	0.6709
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5815	0.6711	0.6314	0.6461	0.8238	0.8628	0.7969	0.7695	0.7631	0.7531	0.7784	0.7765	0.8286	0.8417	1.0000	0.7632	0.7579	0.7185	0.7728	0.7681	0.5742	0.5141	0.6948	0.6630	0.6663	0.6268	0.6528	0.6417	0.6025	0.7789	0.7537	0.7673	0.7284	0.7226	0.7340	0.7259	0.7404	0.7400	0.7438	0.6529	0.6539	0.6746
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5095	0.5933	0.5564	0.5673	0.7649	0.8151	0.7553	0.7068	0.7128	0.7343	0.7453	0.7173	0.7682	0.7709	0.7632	1.0000	0.7322	0.6412	0.7031	0.6939	0.5481	0.5034	0.6695	0.6377	0.6341	0.6066	0.6334	0.6232	0.5907	0.7436	0.7230	0.7356	0.6987	0.6916	0.7021	0.6945	0.7118	0.7216	0.7275	0.6219	0.6004	0.6301
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4989	0.5821	0.5453	0.5563	0.7631	0.8128	0.7536	0.7012	0.7069	0.7402	0.7578	0.7133	0.7686	0.7660	0.7579	0.7322	1.0000	0.6306	0.6948	0.6831	0.5451	0.5044	0.6681	0.6313	0.6305	0.6050	0.6362	0.6243	0.5972	0.7405	0.7203	0.7352	0.7028	0.6878	0.6999	0.6917	0.7055	0.7308	0.7430	0.6230	0.5854	0.6231
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6546	0.7155	0.6971	0.7131	0.7087	0.7177	0.6926	0.7381	0.6563	0.6205	0.6491	0.6797	0.6968	0.7216	0.7185	0.6412	0.6306	1.0000	0.7698	0.7872	0.4981	0.3952	0.5766	0.5699	0.5585	0.5116	0.5175	0.5053	0.4451	0.6668	0.6416	0.6142	0.5893	0.6198	0.6162	0.6107	0.6240	0.5962	0.5902	0.5361	0.5753	0.6501
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6181	0.7052	0.6714	0.6910	0.7776	0.7994	0.7748	0.7938	0.7184	0.6941	0.7234	0.7350	0.7536	0.7783	0.7728	0.7031	0.6948	0.7698	1.0000	0.8083	0.5791	0.4901	0.6704	0.6610	0.6481	0.6038	0.6130	0.5951	0.5428	0.7575	0.7282	0.7101	0.6835	0.7104	0.7049	0.7006	0.7173	0.6826	0.6816	0.6136	0.6447	0.7107
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6629	0.7313	0.7119	0.7286	0.7605	0.7808	0.7541	0.7784	0.7025	0.6720	0.7021	0.7237	0.7479	0.7688	0.7681	0.6939	0.6831	0.7872	0.8083	1.0000	0.5402	0.4414	0.6380	0.6206	0.6093	0.5643	0.5717	0.5576	0.5022	0.7292	0.7039	0.6803	0.6459	0.6793	0.6792	0.6706	0.6836	0.6544	0.6545	0.5904	0.6296	0.6960
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1366	0.2759	0.2232	0.2511	0.6458	0.6847	0.7211	0.6774	0.6204	0.6128	0.6498	0.5894	0.5275	0.5779	0.5742	0.5481	0.5451	0.4981	0.5791	0.5402	1.0000	0.8254	0.8457	0.8571	0.8401	0.8349	0.8113	0.7652	0.7959	0.7956	0.7830	0.7950	0.8093	0.7988	0.7930	0.8171	0.8253	0.7103	0.7066	0.7018	0.6858	0.7304
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0179	0.1617	0.1064	0.1303	0.5963	0.6461	0.6751	0.6100	0.5754	0.5823	0.6121	0.5329	0.4708	0.5182	0.5141	0.5034	0.5044	0.3952	0.4901	0.4414	0.8254	1.0000	0.8651	0.8594	0.8473	0.8686	0.8510	0.8128	0.8772	0.7708	0.7678	0.8060	0.8244	0.7878	0.7865	0.8192	0.8212	0.7050	0.7030	0.7130	0.6657	0.6940
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2222	0.3727	0.3125	0.3388	0.7598	0.8207	0.8460	0.7575	0.7216	0.7268	0.7677	0.6927	0.6592	0.6972	0.6948	0.6695	0.6681	0.5766	0.6704	0.6380	0.8457	0.8651	1.0000	0.9216	0.9106	0.9068	0.8951	0.8475	0.8802	0.9060	0.8985	0.9132	0.9030	0.8953	0.9051	0.9169	0.9288	0.8178	0.8264	0.7955	0.7599	0.7973
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1889	0.3467	0.2834	0.3148	0.7411	0.7854	0.8263	0.7561	0.7049	0.7009	0.7402	0.6756	0.6162	0.6697	0.6630	0.6377	0.6313	0.5699	0.6610	0.6206	0.8571	0.8594	0.9216	1.0000	0.9139	0.9012	0.8737	0.8208	0.8440	0.8910	0.8758	0.8808	0.8864	0.8817	0.8807	0.8992	0.9141	0.7931	0.7914	0.7691	0.7556	0.7966
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1911	0.3484	0.2824	0.3133	0.7386	0.7800	0.8148	0.7427	0.7039	0.6942	0.7362	0.6794	0.6229	0.6759	0.6663	0.6341	0.6305	0.5585	0.6481	0.6093	0.8401	0.8473	0.9106	0.9139	1.0000	0.8869	0.8711	0.8153	0.8430	0.8741	0.8644	0.8709	0.8795	0.8644	0.8713	0.8872	0.9000	0.7848	0.7819	0.7689	0.7525	0.7804
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1417	0.2935	0.2328	0.2602	0.7044	0.7526	0.7781	0.7027	0.6701	0.6742	0.7089	0.6375	0.5845	0.6338	0.6268	0.6066	0.6050	0.5116	0.6038	0.5643	0.8349	0.8686	0.9068	0.9012	0.8869	1.0000	0.8663	0.8233	0.8626	0.8500	0.8422	0.8690	0.8736	0.8501	0.8514	0.8739	0.8858	0.7744	0.7740	0.7581	0.7259	0.7551
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1831	0.3245	0.2672	0.2903	0.7146	0.7740	0.7835	0.7043	0.6836	0.7010	0.7444	0.6544	0.6209	0.6582	0.6528	0.6334	0.6362	0.5175	0.6130	0.5717	0.8113	0.8510	0.8951	0.8737	0.8711	0.8663	1.0000	0.8281	0.8632	0.8509	0.8430	0.8660	0.8666	0.8446	0.8519	0.8721	0.8793	0.7876	0.7867	0.7727	0.7136	0.7448
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2110	0.3361	0.2878	0.3027	0.6944	0.7536	0.7309	0.6755	0.6606	0.6798	0.7049	0.6341	0.6208	0.6446	0.6417	0.6232	0.6243	0.5053	0.5951	0.5576	0.7652	0.8128	0.8475	0.8208	0.8153	0.8233	0.8281	1.0000	0.8609	0.7980	0.7938	0.8473	0.8390	0.7948	0.8028	0.8278	0.8310	0.7603	0.7588	0.7421	0.6749	0.7081
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1210	0.2545	0.2023	0.2197	0.6659	0.7350	0.7097	0.6431	0.6388	0.6705	0.6980	0.6060	0.5785	0.6093	0.6025	0.5907	0.5972	0.4451	0.5428	0.5022	0.7959	0.8772	0.8802	0.8440	0.8430	0.8626	0.8632	0.8609	1.0000	0.7951	0.7975	0.8650	0.8586	0.8026	0.8127	0.8424	0.8480	0.7688	0.7648	0.7575	0.6808	0.6997
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3579	0.5003	0.4403	0.4670	0.8285	0.8862	0.9132	0.8191	0.7743	0.7750	0.8125	0.7588	0.7497	0.7808	0.7789	0.7436	0.7405	0.6668	0.7575	0.7292	0.7956	0.7708	0.9060	0.8910	0.8741	0.8500	0.8509	0.7980	0.7951	1.0000	0.9127	0.9070	0.8837	0.8987	0.9058	0.9036	0.9190	0.8351	0.8526	0.7724	0.7763	0.8113
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3357	0.4764	0.4190	0.4433	0.7994	0.8590	0.8860	0.7895	0.7544	0.7586	0.7998	0.7363	0.7265	0.7524	0.7537	0.7230	0.7203	0.6416	0.7282	0.7039	0.7830	0.7678	0.8985	0.8758	0.8644	0.8422	0.8430	0.7938	0.7975	0.9127	1.0000	0.8902	0.8717	0.8762	0.8926	0.8927	0.9043	0.8179	0.8331	0.7685	0.7432	0.7936
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2976	0.4411	0.3804	0.4043	0.8251	0.8909	0.8629	0.7743	0.7703	0.7809	0.8030	0.7464	0.7451	0.7756	0.7673	0.7356	0.7352	0.6142	0.7101	0.6803	0.7950	0.8060	0.9132	0.8808	0.8709	0.8690	0.8660	0.8473	0.8650	0.9070	0.8902	1.0000	0.9082	0.8823	0.8936	0.9064	0.9154	0.8516	0.8621	0.7964	0.7716	0.7740
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2606	0.4067	0.3452	0.3705	0.7923	0.8424	0.8330	0.7623	0.7459	0.7556	0.7889	0.7231	0.6992	0.7391	0.7284	0.6987	0.7028	0.5893	0.6835	0.6459	0.8093	0.8244	0.9030	0.8864	0.8795	0.8736	0.8666	0.8390	0.8586	0.8837	0.8717	0.9082	1.0000	0.8664	0.8735	0.8897	0.9004	0.8299	0.8321	0.7830	0.7466	0.7712
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3016	0.4407	0.3851	0.4103	0.7808	0.8312	0.8527	0.7774	0.7325	0.7305	0.7659	0.7114	0.6897	0.7278	0.7226	0.6916	0.6878	0.6198	0.7104	0.6793	0.7988	0.7878	0.8953	0.8817	0.8644	0.8501	0.8446	0.7948	0.8026	0.8987	0.8762	0.8823	0.8664	1.0000	0.8782	0.8849	0.8986	0.8039	0.8166	0.7587	0.7465	0.7906
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2993	0.4397	0.3823	0.4074	0.7858	0.8452	0.8681	0.7740	0.7393	0.7388	0.7850	0.7198	0.7033	0.7354	0.7340	0.7021	0.6999	0.6162	0.7049	0.6792	0.7930	0.7865	0.9051	0.8807	0.8713	0.8514	0.8519	0.8028	0.8127	0.9058	0.8926	0.8936	0.8735	0.8782	1.0000	0.8962	0.9023	0.8127	0.8281	0.7680	0.7525	0.7842
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2766	0.4216	0.3633	0.3893	0.7834	0.8413	0.8563	0.7763	0.7403	0.7401	0.7760	0.7152	0.6929	0.7285	0.7259	0.6945	0.6917	0.6107	0.7006	0.6706	0.8171	0.8192	0.9169	0.8992	0.8872	0.8739	0.8721	0.8278	0.8424	0.9036	0.8927	0.9064	0.8897	0.8849	0.8962	1.0000	0.9122	0.8185	0.8278	0.7788	0.7534	0.7958
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2892	0.4397	0.3769	0.4041	0.8015	0.8624	0.8687	0.7908	0.7579	0.7674	0.8032	0.7351	0.7079	0.7487	0.7404	0.7118	0.7055	0.6240	0.7173	0.6836	0.8253	0.8212	0.9288	0.9141	0.9000	0.8858	0.8793	0.8310	0.8480	0.9190	0.9043	0.9154	0.9004	0.8986	0.9023	0.9122	1.0000	0.8356	0.8375	0.7967	0.7732	0.8040
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3414	0.4596	0.4108	0.4299	0.7824	0.8464	0.7997	0.7374	0.7370	0.7736	0.7919	0.7201	0.7285	0.7506	0.7400	0.7216	0.7308	0.5962	0.6826	0.6544	0.7103	0.7050	0.8178	0.7931	0.7848	0.7744	0.7876	0.7603	0.7688	0.8351	0.8179	0.8516	0.8299	0.8039	0.8127	0.8185	0.8356	1.0000	0.8143	0.7256	0.6856	0.7119
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3336	0.4548	0.4047	0.4219	0.7842	0.8508	0.8293	0.7360	0.7312	0.7624	0.7789	0.7116	0.7382	0.7485	0.7438	0.7275	0.7430	0.5902	0.6816	0.6545	0.7066	0.7030	0.8264	0.7914	0.7819	0.7740	0.7867	0.7588	0.7648	0.8526	0.8331	0.8621	0.8321	0.8166	0.8281	0.8278	0.8375	0.8143	1.0000	0.7166	0.6827	0.7146
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2741	0.3952	0.3454	0.3656	0.6922	0.7439	0.7313	0.6711	0.6612	0.6770	0.7298	0.6492	0.6271	0.6585	0.6529	0.6219	0.6230	0.5361	0.6136	0.5904	0.7018	0.7130	0.7955	0.7691	0.7689	0.7581	0.7727	0.7421	0.7575	0.7724	0.7685	0.7964	0.7830	0.7587	0.7680	0.7788	0.7967	0.7256	0.7166	1.0000	0.6637	0.6825
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3087	0.4298	0.3753	0.4039	0.7051	0.7361	0.7333	0.6962	0.6561	0.6258	0.6694	0.6495	0.6138	0.6616	0.6539	0.6004	0.5854	0.5753	0.6447	0.6296	0.6858	0.6657	0.7599	0.7556	0.7525	0.7259	0.7136	0.6749	0.6808	0.7763	0.7432	0.7716	0.7466	0.7465	0.7525	0.7534	0.7732	0.6856	0.6827	0.6637	1.0000	0.6889
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3773	0.4930	0.4541	0.4760	0.7117	0.7450	0.7807	0.7644	0.6732	0.6556	0.6946	0.6626	0.6354	0.6709	0.6746	0.6301	0.6231	0.6501	0.7107	0.6960	0.7304	0.6940	0.7973	0.7966	0.7804	0.7551	0.7448	0.7081	0.6997	0.8113	0.7936	0.7740	0.7712	0.7906	0.7842	0.7958	0.8040	0.7119	0.7146	0.6825	0.6889	1.0000
