File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF141FYD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEA	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RFX5-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF913HCU/, /files/ENCFF772ZHK/, /files/ENCFF872VKF/	137113	ENCODE Processing Pipeline	a28246d171b531e176be9e655d6aca38		https://www.encodeproject.org/files/ENCFF141FYD/@@download/ENCFF141FYD.bed.gz				released	s3://encode-public/2020/12/12/32a8797c-110b-4c87-967c-f82f542e78dc/ENCFF141FYD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/32a8797c-110b-4c87-967c-f82f542e78dc/ENCFF141FYD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF079UOJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEK	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										JUN-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF025JIA/, /files/ENCFF356LFX/, /files/ENCFF683VBW/, /files/ENCFF772ZHK/	330562	ENCODE Processing Pipeline	28b06a0ec11c0344cd2b93163e570797		https://www.encodeproject.org/files/ENCFF079UOJ/@@download/ENCFF079UOJ.bed.gz				released	s3://encode-public/2020/12/10/72b11402-794b-44cb-a4ed-0d357fe890e8/ENCFF079UOJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/72b11402-794b-44cb-a4ed-0d357fe890e8/ENCFF079UOJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF157DSR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEE	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CEBPB-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF384ZEY/, /files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF692KBO/	924549	ENCODE Processing Pipeline	f4717fbedcab1d2d3962451e189e593e		https://www.encodeproject.org/files/ENCFF157DSR/@@download/ENCFF157DSR.bed.gz				released	s3://encode-public/2021/01/01/b4d60d9b-a3ef-4432-9652-965a98507b63/ENCFF157DSR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/01/b4d60d9b-a3ef-4432-9652-965a98507b63/ENCFF157DSR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment, borderline replicate concordance		
ENCFF119PKI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DUG	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF536KSL/, /files/ENCFF691ZUP/, /files/ENCFF762KMR/, /files/ENCFF356LFX/	811101	ENCODE Processing Pipeline	56ab5dab3bc7063c2f989196ac2f2797		https://www.encodeproject.org/files/ENCFF119PKI/@@download/ENCFF119PKI.bed.gz				released	s3://encode-public/2020/09/25/3599350f-356f-4a21-9b88-6c5663e05142/ENCFF119PKI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/25/3599350f-356f-4a21-9b88-6c5663e05142/ENCFF119PKI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms, mild to moderate bottlenecking, low read depth, low read length, moderate library complexity	insufficient read depth	
ENCFF373UVF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJG	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TCF12-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF410FWZ/, /files/ENCFF875HPK/, /files/ENCFF882REA/, /files/ENCFF527WLW/, /files/ENCFF356LFX/	79468	ENCODE Processing Pipeline	10bdeb2d64a11fbcc87d488770b67e98		https://www.encodeproject.org/files/ENCFF373UVF/@@download/ENCFF373UVF.bed.gz				released	s3://encode-public/2020/12/11/7e35e4cf-7a0f-42d0-bb0f-b11997e6521a/ENCFF373UVF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/7e35e4cf-7a0f-42d0-bb0f-b11997e6521a/ENCFF373UVF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity	insufficient replicate concordance	
ENCFF200SDQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJL	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										REST-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF281XTY/, /files/ENCFF709XZV/, /files/ENCFF102EWF/, /files/ENCFF293TQJ/	45966	ENCODE Processing Pipeline	3ac1f22e143e68ed9126b61bd7829a36		https://www.encodeproject.org/files/ENCFF200SDQ/@@download/ENCFF200SDQ.bed.gz				released	s3://encode-public/2020/12/26/93ca9fc1-553f-4e0a-b7c2-ba974f809faa/ENCFF200SDQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/93ca9fc1-553f-4e0a-b7c2-ba974f809faa/ENCFF200SDQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, moderate library complexity		
ENCFF308CTG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR101FJU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF384-human	DNA						2014-07-07	ENCODE		see document	150-350	1, 2	1_1, 2_1							/files/ENCFF548TWG/, /files/ENCFF793CHH/, /files/ENCFF356LFX/, /files/ENCFF958XVX/, /files/ENCFF129IXQ/	309007	ENCODE Processing Pipeline	5d9286328cfe5c46b4aed36d7889963c		https://www.encodeproject.org/files/ENCFF308CTG/@@download/ENCFF308CTG.bed.gz				released	s3://encode-public/2020/12/04/bac02b4f-924b-4b83-b96b-bab40059582e/ENCFF308CTG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/bac02b4f-924b-4b83-b96b-bab40059582e/ENCFF308CTG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF958OUE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNT	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YY1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF622ORU/, /files/ENCFF356LFX/, /files/ENCFF459YUC/, /files/ENCFF423OGY/, /files/ENCFF285GKD/	389684	ENCODE Processing Pipeline	3cc0af849cd8bd8d5619a6560ec1d38d		https://www.encodeproject.org/files/ENCFF958OUE/@@download/ENCFF958OUE.bed.gz				released	s3://encode-public/2020/12/28/140dee0f-2a38-49ae-af18-2271bffb3f62/ENCFF958OUE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/28/140dee0f-2a38-49ae-af18-2271bffb3f62/ENCFF958OUE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity	insufficient read depth, insufficient replicate concordance	
ENCFF393LUP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BLW	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EP300-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF285GKD/, /files/ENCFF459YUC/, /files/ENCFF356LFX/, /files/ENCFF092MIT/, /files/ENCFF634FYT/	547960	ENCODE Processing Pipeline	9b1856ed3c9ad3a8346fda20d3db7685		https://www.encodeproject.org/files/ENCFF393LUP/@@download/ENCFF393LUP.bed.gz				released	s3://encode-public/2020/12/27/d7cd8826-0361-414c-8410-c697f9827de3/ENCFF393LUP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/d7cd8826-0361-414c-8410-c697f9827de3/ENCFF393LUP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF839JEO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BMZ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ELF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF285GKD/, /files/ENCFF356LFX/, /files/ENCFF798COW/, /files/ENCFF480BHZ/, /files/ENCFF459YUC/	356723	ENCODE Processing Pipeline	a12b33dd26df8fb581481d51a4b5aee1		https://www.encodeproject.org/files/ENCFF839JEO/@@download/ENCFF839JEO.bed.gz				released	s3://encode-public/2021/01/05/f33cf0be-922b-4ab6-8b06-a4e60807f39b/ENCFF839JEO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/05/f33cf0be-922b-4ab6-8b06-a4e60807f39b/ENCFF839JEO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF086ZTC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDN	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MAZ-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF772ZHK/, /files/ENCFF196QUX/, /files/ENCFF856OTT/, /files/ENCFF356LFX/	279823	ENCODE Processing Pipeline	7e2c16f589c17c286cdcee8974720963		https://www.encodeproject.org/files/ENCFF086ZTC/@@download/ENCFF086ZTC.bed.gz				released	s3://encode-public/2020/12/11/7fdacd0b-aaf9-4c61-814b-3f4d1f9a0679/ENCFF086ZTC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/7fdacd0b-aaf9-4c61-814b-3f4d1f9a0679/ENCFF086ZTC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, mild to moderate bottlenecking, low read depth, borderline replicate concordance, low read length, moderate library complexity		
ENCFF022KBD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDQ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RCOR1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF589TAG/, /files/ENCFF772ZHK/, /files/ENCFF702KIM/	88835	ENCODE Processing Pipeline	dc207932c88f94e6dfc0661d33375957		https://www.encodeproject.org/files/ENCFF022KBD/@@download/ENCFF022KBD.bed.gz				released	s3://encode-public/2020/12/27/f6de90ef-45d3-4854-8d7b-a7a7d082af4d/ENCFF022KBD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/f6de90ef-45d3-4854-8d7b-a7a7d082af4d/ENCFF022KBD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment, borderline replicate concordance		
ENCFF890WJZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJK	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										GABPA-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF517SWL/, /files/ENCFF211TLP/, /files/ENCFF102EWF/, /files/ENCFF293TQJ/	147513	ENCODE Processing Pipeline	3ebbbc41466012efd785c57bf4a7aa32		https://www.encodeproject.org/files/ENCFF890WJZ/@@download/ENCFF890WJZ.bed.gz				released	s3://encode-public/2020/12/26/caebaf00-b9f6-455f-ad9f-83ffb164b166/ENCFF890WJZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/caebaf00-b9f6-455f-ad9f-83ffb164b166/ENCFF890WJZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF488UHZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EP300-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF772ZHK/, /files/ENCFF947ZDL/, /files/ENCFF209BNC/	154896	ENCODE Processing Pipeline	cd9d92d88b921e5fd880b9ccfc1db42e		https://www.encodeproject.org/files/ENCFF488UHZ/@@download/ENCFF488UHZ.bed.gz				released	s3://encode-public/2020/12/26/b62a18db-e6ef-4949-bcff-dd89bb2348d4/ENCFF488UHZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/b62a18db-e6ef-4949-bcff-dd89bb2348d4/ENCFF488UHZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
