gene_id_clean,gene_id,transcript_id(s),logFC,logCPM,LR,PValue,FDR,hgnc_symbol,description,gene_biotype,total_exon_length
ENSG00000210082,ENSG00000210082.2,ENST00000387347.2,-19.741048,11.405644,3365.05476,0,0,MT-RNR2,mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471],Mt_rRNA,1559
ENSG00000211459,ENSG00000211459.2,ENST00000389680.2,-13.680757,8.75457757,1567.53374,0,0,MT-RNR1,mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470],Mt_rRNA,954
ENSG00000212907,ENSG00000212907.2,ENST00000361335.1,-15.222452,6.88757598,1828.89537,0,0,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460],protein_coding,297
ENSG00000228253,ENSG00000228253.1,ENST00000361851.1,-15.464542,7.12964934,1997.79827,0,0,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415],protein_coding,207
ENSG00000198763,ENSG00000198763.3,ENST00000361453.3,-14.229001,10.0404901,1479.6033,0.00E-02,0.00E-02,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456],protein_coding,1042
ENSG00000248527,ENSG00000248527.1,ENST00000514057.1,-5.8748391,6.03080652,990.698935,1.89E-217,9.29E-214,MTATP6P1,MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575],unprocessed_pseudogene,681
ENSG00000275215,ENSG00000275215.1,ENST00000613359.1,-13.731326,5.33850452,219.773347,1.01E-49,3.99E-46,RNA5-8SN3,"RNA, 5.8S ribosomal N3 [Source:HGNC Symbol;Acc:HGNC:53525]",rRNA,153
ENSG00000277739,ENSG00000277739.1,ENST00000610460.1,-13.731326,5.33850452,219.773347,1.01E-49,3.99E-46,,5.8S ribosomal RNA [Source:RFAM;Acc:RF00002],rRNA,153
ENSG00000278189,ENSG00000278189.1,ENST00000619471.1,-13.731326,5.33850452,219.773347,1.01E-49,3.99E-46,RNA5-8SN1,"RNA, 5.8S ribosomal N1 [Source:HGNC Symbol;Acc:HGNC:53517]",rRNA,153
ENSG00000278233,ENSG00000278233.1,ENST00000612463.1,-13.731326,5.33850452,219.773347,1.01E-49,3.99E-46,RNA5-8SN2,"RNA, 5.8S ribosomal N2 [Source:HGNC Symbol;Acc:HGNC:53521]",rRNA,153
ENSG00000229344,ENSG00000229344.1,ENST00000427426.1,3.89985914,-0.047853,195.029527,2.54E-44,9.52E-41,MTCO2P12,MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028],unprocessed_pseudogene,682
ENSG00000198744,ENSG00000198744.5,ENST00000416718.2,3.6141677,-0.1207975,177.536659,1.67E-40,5.98E-37,MTCO3P12,MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042],unprocessed_pseudogene,547
ENSG00000280800,ENSG00000280800.1,ENST00000631211.1,-9.8832819,11.5506551,160.724598,7.86E-37,2.69E-33,,"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",lncRNA,923
ENSG00000210127,ENSG00000210127.1,ENST00000387392.1,-4.5767979,-2.5700701,158.348432,2.60E-36,8.52E-33,MT-TA,mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475],Mt_tRNA,69
ENSG00000247627,ENSG00000247627.2,ENST00000498999.2,6.85283648,4.06336323,137.094248,1.15E-31,3.62E-28,MTND4P12,MT-ND4 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42199],processed_pseudogene,1377
ENSG00000210140,ENSG00000210140.1,ENST00000387405.1,-4.5524322,-2.5686914,123.798697,9.32E-29,2.82E-25,MT-TC,mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477],Mt_tRNA,66
ENSG00000225972,ENSG00000225972.1,ENST00000416931.1,-6.0379138,2.69573867,102.274713,4.83E-24,1.41E-20,MTND1P23,MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092],unprocessed_pseudogene,372
ENSG00000237973,ENSG00000237973.1,ENST00000414273.1,-2.0684277,4.63767074,90.3175237,2.03E-21,5.70E-18,MTCO1P12,MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014],unprocessed_pseudogene,1543
ENSG00000259045,ENSG00000259045.1,ENST00000554243.1,4.01877581,-2.7742463,87.2964027,9.34E-21,2.54E-17,MTCO1P2,MT-CO1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:19932],unprocessed_pseudogene,703
ENSG00000248923,ENSG00000248923.1,ENST00000511037.1,5.55053275,0.07523677,86.7096914,1.26E-20,3.30E-17,MTND5P11,MT-ND5 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42273],processed_pseudogene,1812
ENSG00000280614,ENSG00000280614.1,ENST00000625598.1,-7.5196176,11.556962,70.5339878,4.52E-17,1.11E-13,,"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",lncRNA,923
ENSG00000281181,ENSG00000281181.1,ENST00000627981.1,-7.5196176,11.556962,70.5339878,4.52E-17,1.11E-13,,"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",lncRNA,923
ENSG00000267541,ENSG00000267541.1,ENST00000591258.1,3.11970532,-2.6670434,63.2733085,1.80E-15,4.29E-12,MTCO2P2,MT-CO2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:25354],processed_pseudogene,225
ENSG00000210144,ENSG00000210144.1,ENST00000387409.1,-3.3727412,-2.9645804,63.0581893,2.01E-15,4.65E-12,MT-TY,mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502],Mt_tRNA,66
ENSG00000289901,ENSG00000289901.2,ENST00000701490.2,-4.6135972,-1.1422664,53.9703463,2.04E-13,4.58E-10,,novel transcripts,lncRNA,219
ENSG00000265401,ENSG00000265401.2,"ENST00000583934.1,ENST00000829395.1,ENST00000829396.1,ENST00000829397.1,ENST00000829398.1",-2.7886174,3.48948414,48.8936071,2.70E-12,5.91E-09,,novel transcript,lncRNA,3275
ENSG00000286149,ENSG00000286149.1,ENST00000652220.1,-4.3081896,-2.662254,42.3341964,7.69E-11,1.55E-07,,TEC,TEC,479
ENSG00000286155,ENSG00000286155.1,ENST00000651830.1,-4.3081896,-2.662254,42.3341964,7.69E-11,1.55E-07,,TEC,TEC,479
ENSG00000286267,ENSG00000286267.1,ENST00000650962.1,-4.3081896,-2.662254,42.3341964,7.69E-11,1.55E-07,,TEC,TEC,479
ENSG00000309428,ENSG00000309428.1,"ENST00000841030.1,ENST00000841031.1,ENST00000841032.1,ENST00000841033.1,ENST00000841034.1,ENST00000841035.1,ENST00000841036.1,ENST00000841037.1,ENST00000841038.1,ENST00000841039.1,ENST00000841040.1,ENST00000841041.1",-1.5475326,1.35588116,41.1421807,1.42E-10,2.79E-07,,novel transcript,lncRNA,8389
ENSG00000210135,ENSG00000210135.1,ENST00000387400.1,-2.5443613,-3.1329233,37.5422435,8.95E-10,1.72E-06,MT-TN,mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493],Mt_tRNA,73
ENSG00000210194,ENSG00000210194.1,ENST00000387459.1,-2.6377609,-3.1151059,37.3866008,9.69E-10,1.82E-06,MT-TE,mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479],Mt_tRNA,69
ENSG00000306153,ENSG00000306153.1,ENST00000815693.1,-2.3964765,-2.4141038,36.0632575,1.91E-09,3.50E-06,,novel transcript,lncRNA,791
ENSG00000210077,ENSG00000210077.1,ENST00000387342.1,-2.8086471,-3.0863106,34.2706065,4.80E-09,8.58E-06,MT-TV,mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500],Mt_tRNA,69
ENSG00000240409,ENSG00000240409.1,ENST00000467115.1,2.63794668,-2.865312,34.109374,5.21E-09,9.11E-06,MTATP8P1,MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571],unprocessed_pseudogene,207
ENSG00000286054,ENSG00000286054.1,ENST00000652151.1,-3.3853093,-2.9617277,32.6662576,1.09E-08,1.79E-05,,TEC,TEC,234
ENSG00000286057,ENSG00000286057.1,ENST00000652328.1,-3.3853093,-2.9617277,32.6662576,1.09E-08,1.79E-05,,TEC,TEC,234
ENSG00000286091,ENSG00000286091.1,ENST00000651001.1,-3.3853093,-2.9617277,32.6662576,1.09E-08,1.79E-05,,TEC,TEC,234
ENSG00000209082,ENSG00000209082.1,ENST00000386347.1,-2.6232876,-3.1200112,31.1955414,2.33E-08,3.75E-05,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490],Mt_tRNA,75
ENSG00000310416,ENSG00000310416.1,"ENST00000849582.1,ENST00000849583.1,ENST00000849584.1,ENST00000849585.1,ENST00000849586.1,ENST00000849587.1,ENST00000849588.1,ENST00000849589.1,ENST00000849590.1,ENST00000849591.1,ENST00000849592.1,ENST00000849593.1,ENST00000849594.1,ENST00000849595.1,ENST00000849596.1,ENST00000849597.1,ENST00000849598.1,ENST00000849599.1,ENST00000849600.1,ENST00000849601.1,ENST00000849602.1,ENST00000849603.1,ENST00000849604.1,ENST00000849605.1,ENST00000849606.1,ENST00000849607.1,ENST00000849608.1,ENST00000849609.1,ENST00000849610.1,ENST00000849611.1,ENST00000849612.1,ENST00000849613.1,ENST00000849614.1,ENST00000849615.1,ENST00000849616.1,ENST00000849617.1,ENST00000849618.1,ENST00000849619.1,ENST00000849620.1,ENST00000849621.1,ENST00000849622.1,ENST00000849623.1,ENST00000849624.1,ENST00000849625.1,ENST00000849626.1,ENST00000849627.1,ENST00000849628.1,ENST00000849629.1,ENST00000849630.1,ENST00000849631.1,ENST00000849632.1,ENST00000849633.1,ENST00000849634.1,ENST00000849635.1,ENST00000849636.1,ENST00000849637.1,ENST00000849638.1,ENST00000849639.1,ENST00000849640.1,ENST00000849641.1,ENST00000849642.1,ENST00000849643.1,ENST00000849644.1,ENST00000849645.1,ENST00000849646.1,ENST00000849647.1,ENST00000849648.1,ENST00000849649.1,ENST00000849650.1,ENST00000849651.1,ENST00000849652.1,ENST00000849653.1,ENST00000849654.1,ENST00000849655.1,ENST00000849656.1",-2.1800439,0.99046172,30.6652952,3.07E-08,4.83E-05,,novel transcript,lncRNA,49167
ENSG00000198868,ENSG00000198868.3,ENST00000454092.1,2.32251573,-3.1661227,30.5069377,3.33E-08,5.14E-05,MTND4LP30,MT-ND4L pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:42264],processed_pseudogene,297
ENSG00000289474,ENSG00000289474.2,ENST00000690366.2,-4.3736958,-2.6307075,30.1353697,4.03E-08,6.10E-05,,"novel transcript, antisense to KIF5C",lncRNA,116
ENSG00000285761,ENSG00000285761.2,"ENST00000648999.2,ENST00000850390.1,ENST00000850391.1,ENST00000850392.1,ENST00000850393.1,ENST00000850394.1,ENST00000850395.1,ENST00000850396.1",-2.3781643,-1.9327075,28.7290215,8.32E-08,0.00012365,,novel transcript,lncRNA,9827
ENSG00000306644,ENSG00000306644.1,"ENST00000819936.1,ENST00000819937.1,ENST00000819938.1,ENST00000819939.1,ENST00000819940.1,ENST00000819941.1",-1.4323155,-2.1256317,27.5929949,1.50E-07,0.00021827,,novel transcript,lncRNA,2929
ENSG00000296299,ENSG00000296299.1,"ENST00000737891.1,ENST00000737892.1,ENST00000737893.1,ENST00000737894.1,ENST00000737895.1,ENST00000737896.1,ENST00000737897.1,ENST00000737898.1,ENST00000737899.1",-1.9909664,0.05578655,25.1236919,5.38E-07,0.00076961,,novel transcript,lncRNA,7115
ENSG00000273345,ENSG00000273345.6,"ENST00000518409.2,ENST00000520515.5,ENST00000703312.1,ENST00000703313.1,ENST00000703316.1,ENST00000703317.1,ENST00000703355.1",-2.4154826,0.52635544,24.1729481,8.81E-07,0.00123794,,novel transcript,protein_coding,6449
ENSG00000283023,ENSG00000283023.1,ENST00000634617.1,-2.5548588,-2.456627,23.5589922,1.21E-06,0.00167312,FRG1GP,"FSHD region gene 1 family member G, pseudogene [Source:HGNC Symbol;Acc:HGNC:51766]",transcribed_unprocessed_pseudogene,774
ENSG00000298396,ENSG00000298396.1,ENST00000755297.1,-4.3733273,-1.5647634,23.3981867,1.32E-06,0.00178761,,"novel transcript, antisense to HLA-B and HLA-C",lncRNA,237
ENSG00000262902,ENSG00000262902.1,ENST00000574371.1,2.18333669,-2.3001931,22.9683218,1.65E-06,0.00219751,MTCO1P40,MT-CO1 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:52105],processed_pseudogene,625
ENSG00000280145,ENSG00000280145.4,"ENST00000623047.1,ENST00000623106.3,ENST00000623225.1,ENST00000623313.2,ENST00000623324.2,ENST00000623950.1,ENST00000624181.1,ENST00000624846.3,ENST00000624965.1,ENST00000625185.3,ENST00000791757.1,ENST00000791758.1,ENST00000791759.1,ENST00000791760.1,ENST00000791761.1,ENST00000791762.1,ENST00000791763.1,ENST00000791764.1,ENST00000791765.1,ENST00000791766.1,ENST00000791767.1,ENST00000791768.1,ENST00000791769.1,ENST00000791770.1,ENST00000791771.1,ENST00000791772.1,ENST00000791773.1,ENST00000791774.1,ENST00000791775.1,ENST00000791776.1,ENST00000791777.1,ENST00000791778.1,ENST00000791779.1,ENST00000791780.1,ENST00000791781.1,ENST00000791782.1,ENST00000791783.1,ENST00000791784.1,ENST00000791785.1,ENST00000791786.1,ENST00000791787.1,ENST00000791788.1,ENST00000791789.1,ENST00000791790.1,ENST00000791791.1,ENST00000791792.1,ENST00000791793.1,ENST00000791794.1,ENST00000791795.1,ENST00000791796.1,ENST00000791797.1,ENST00000791798.1,ENST00000791799.1,ENST00000791800.1,ENST00000791801.1,ENST00000791802.1,ENST00000791803.1,ENST00000791804.1,ENST00000791805.1,ENST00000791806.1,ENST00000791807.1,ENST00000791808.1,ENST00000791809.1,ENST00000791810.1,ENST00000791811.1,ENST00000791812.1,ENST00000791813.1,ENST00000791814.1,ENST00000791815.1,ENST00000791816.1,ENST00000791817.1,ENST00000791818.1,ENST00000791819.1,ENST00000791820.1,ENST00000791821.1,ENST00000791822.1,ENST00000791823.1,ENST00000791824.1,ENST00000791825.1,ENST00000791826.1,ENST00000791827.1,ENST00000791828.1,ENST00000791829.1,ENST00000791830.1,ENST00000791831.1,ENST00000791832.1,ENST00000791833.1,ENST00000791834.1,ENST00000791835.1,ENST00000791836.1,ENST00000791837.1,ENST00000791838.1,ENST00000791839.1,ENST00000791840.1,ENST00000791841.1,ENST00000791842.1,ENST00000791843.1,ENST00000791844.1,ENST00000791845.1,ENST00000791846.1,ENST00000791847.1,ENST00000791848.1,ENST00000791849.1,ENST00000791850.1,ENST00000791851.1,ENST00000791852.1,ENST00000791853.1,ENST00000791854.1,ENST00000791855.1,ENST00000791856.1,ENST00000791857.1,ENST00000791858.1,ENST00000791859.1",-1.05907,1.91030468,21.9363177,2.82E-06,0.00369805,,novel transcript,lncRNA,49078
ENSG00000232815,ENSG00000232815.1,ENST00000455245.1,-1.6153247,-0.6788264,21.7763386,3.06E-06,0.00395369,DUX4L50,double homeobox 4 like 50 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51788],unprocessed_pseudogene,715
ENSG00000293616,ENSG00000293616.2,"ENST00000366234.7,ENST00000411429.5,ENST00000413069.5,ENST00000413436.5,ENST00000413791.5,ENST00000415060.6,ENST00000415222.5,ENST00000415742.5,ENST00000416068.6,ENST00000416395.6,ENST00000416506.5,ENST00000418308.5,ENST00000418564.5,ENST00000419963.5,ENST00000420309.6,ENST00000421255.5,ENST00000421843.5,ENST00000422515.6,ENST00000423402.5,ENST00000425333.5,ENST00000425601.7,ENST00000429599.6,ENST00000432604.5,ENST00000434781.5,ENST00000435880.6,ENST00000437019.2,ENST00000437456.5,ENST00000439670.6,ENST00000439892.6,ENST00000442040.5,ENST00000444320.5,ENST00000444410.6,ENST00000449178.6,ENST00000452431.5,ENST00000456161.5,ENST00000457076.5,ENST00000457770.6,ENST00000458686.5,ENST00000458698.6,ENST00000594376.6,ENST00000594548.5,ENST00000595459.5,ENST00000596028.5,ENST00000596259.3,ENST00000596573.5,ENST00000596665.5,ENST00000597318.5,ENST00000598586.1,ENST00000599427.5,ENST00000599673.5,ENST00000600002.5,ENST00000601395.1,ENST00000601396.5,ENST00000601431.6,ENST00000601494.1,ENST00000602091.1,ENST00000603347.5,ENST00000604346.5,ENST00000609075.5,ENST00000609543.6,ENST00000610168.1,ENST00000612202.5,ENST00000612430.3,ENST00000612876.4,ENST00000613944.3,ENST00000614826.4,ENST00000617142.4,ENST00000625215.2,ENST00000625227.2,ENST00000625257.2,ENST00000625439.2,ENST00000625447.2,ENST00000625490.2,ENST00000625518.2,ENST00000625625.2,ENST00000625691.2,ENST00000625724.1,ENST00000625783.2,ENST00000625788.3,ENST00000625838.2,ENST00000625864.2,ENST00000625888.2,ENST00000625955.3,ENST00000626162.2,ENST00000626343.2,ENST00000626370.2,ENST00000626440.2,ENST00000626495.2,ENST00000626509.3,ENST00000626515.2,ENST00000626558.3,ENST00000626574.2,ENST00000626609.2,ENST00000626632.2,ENST00000626683.2,ENST00000626735.2,ENST00000626769.2,ENST00000626834.2,ENST00000626842.2,ENST00000626898.2,ENST00000627019.1,ENST00000627037.2,ENST00000627050.2,ENST00000627074.2,ENST00000627155.2,ENST00000627181.2,ENST00000627189.2,ENST00000627325.2,ENST00000627327.2,ENST00000627398.2,ENST00000627487.3,ENST00000627528.2,ENST00000627540.2,ENST00000627542.2,ENST00000627630.2,ENST00000627918.2,ENST00000628102.2,ENST00000628147.2,ENST00000628201.2,ENST00000628263.2,ENST00000628305.2,ENST00000628308.2,ENST00000628322.2,ENST00000628374.2,ENST00000628455.2,ENST00000628551.2,ENST00000628667.2,ENST00000628757.2,ENST00000628837.2,ENST00000628883.2,ENST00000628920.2,ENST00000629084.2,ENST00000629178.2,ENST00000629184.2,ENST00000629188.2,ENST00000629212.2,ENST00000629304.1,ENST00000629339.3,ENST00000629374.2,ENST00000629407.2,ENST00000629415.2,ENST00000629485.2,ENST00000629506.2,ENST00000629533.2,ENST00000629603.2,ENST00000629605.2,ENST00000629825.2,ENST00000629836.2,ENST00000629909.2,ENST00000629943.3,ENST00000630206.2,ENST00000630214.2,ENST00000630280.2,ENST00000630283.2,ENST00000630377.2,ENST00000630457.2,ENST00000630520.3,ENST00000630522.2,ENST00000630685.2,ENST00000630746.2,ENST00000630759.2,ENST00000630985.2,ENST00000631107.2,ENST00000631110.2,ENST00000653064.1,ENST00000653114.1,ENST00000653289.1,ENST00000653596.1,ENST00000653606.1,ENST00000653811.1,ENST00000654336.1,ENST00000654601.1,ENST00000654716.1,ENST00000654878.1,ENST00000654958.1,ENST00000655058.1,ENST00000655086.1,ENST00000655096.1,ENST00000655140.2,ENST00000655420.1,ENST00000655481.1,ENST00000656308.1,ENST00000656326.1,ENST00000656852.1,ENST00000657164.1,ENST00000657291.1,ENST00000657575.2,ENST00000658454.1,ENST00000659305.1,ENST00000659531.1,ENST00000659586.1,ENST00000659941.2,ENST00000660404.2,ENST00000660903.1,ENST00000661703.1,ENST00000661863.1,ENST00000661989.1,ENST00000662103.1,ENST00000662224.1,ENST00000662425.1,ENST00000663033.1,ENST00000663209.1,ENST00000663375.1,ENST00000664014.1,ENST00000664049.1,ENST00000664419.1,ENST00000664483.1,ENST00000664533.1,ENST00000664754.1,ENST00000664773.1,ENST00000664958.1,ENST00000665172.1,ENST00000665264.1,ENST00000665708.1,ENST00000665838.1,ENST00000666074.1,ENST00000666075.1,ENST00000666167.1,ENST00000667307.1,ENST00000667874.1,ENST00000667952.1,ENST00000668191.1,ENST00000668711.1,ENST00000669570.1,ENST00000669583.1,ENST00000669812.1,ENST00000669896.1,ENST00000670036.1,ENST00000670313.1,ENST00000670785.1,ENST00000670786.1,ENST00000670845.1,ENST00000670974.1,ENST00000684857.1,ENST00000684907.1,ENST00000685037.1,ENST00000685079.1,ENST00000685127.1,ENST00000685803.1,ENST00000685918.1,ENST00000686055.1,ENST00000686517.1,ENST00000686800.1,ENST00000687011.1,ENST00000687866.1,ENST00000687898.1,ENST00000687961.1,ENST00000688045.1,ENST00000688056.1,ENST00000688278.1,ENST00000688311.2,ENST00000688473.1,ENST00000688860.1,ENST00000689138.1,ENST00000689275.1,ENST00000689420.1,ENST00000690200.1,ENST00000690464.1,ENST00000690924.1,ENST00000691287.1,ENST00000691445.2,ENST00000691678.1,ENST00000691987.1,ENST00000692333.1,ENST00000692564.1,ENST00000692733.1,ENST00000693279.2,ENST00000693581.1,ENST00000693628.1,ENST00000700892.1,ENST00000701046.1,ENST00000701085.1,ENST00000701351.1,ENST00000701533.1,ENST00000702027.1,ENST00000702210.1,ENST00000702284.1,ENST00000702416.1,ENST00000702556.1,ENST00000702582.1,ENST00000702602.1,ENST00000702715.1,ENST00000702758.1,ENST00000702840.1,ENST00000702869.1,ENST00000702870.1,ENST00000812502.1,ENST00000812503.1,ENST00000812504.1",1.31632228,4.90388926,21.6932172,3.20E-06,0.00401908,PCBP1-AS1,PCBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42948],lncRNA,163228
ENSG00000279094,ENSG00000279094.4,"ENST00000623227.2,ENST00000624261.2,ENST00000624859.4,ENST00000743697.1,ENST00000743698.1,ENST00000743699.1,ENST00000743700.1,ENST00000743701.1,ENST00000743702.1,ENST00000743703.1,ENST00000743704.1",-2.0005506,-0.0436832,21.6829802,3.22E-06,0.00401908,LINC01670,long intergenic non-protein coding RNA 1670 [Source:HGNC Symbol;Acc:HGNC:52458],lncRNA,8891
ENSG00000258465,ENSG00000258465.8,"ENST00000485079.1,ENST00000556710.6,ENST00000647676.1",-2.613897,1.27049081,21.6356102,3.30E-06,0.0040552,,novel protein,protein_coding,3745
ENSG00000290397,ENSG00000290397.2,"ENST00000657566.2,ENST00000849402.1,ENST00000849403.1,ENST00000849404.1,ENST00000849405.1,ENST00000849406.1,ENST00000849407.1,ENST00000849408.1,ENST00000849409.1,ENST00000849410.1,ENST00000849411.1,ENST00000849412.1,ENST00000849413.1,ENST00000849414.1,ENST00000849415.1,ENST00000849416.1,ENST00000849417.1,ENST00000849418.1,ENST00000849419.1,ENST00000849420.1,ENST00000849421.1,ENST00000849422.1,ENST00000849423.1,ENST00000849424.1,ENST00000849425.1,ENST00000849426.1,ENST00000849427.1,ENST00000849428.1,ENST00000849429.1,ENST00000849430.1,ENST00000849431.1,ENST00000849432.1,ENST00000849433.1,ENST00000849434.1,ENST00000849435.1,ENST00000849436.1,ENST00000849437.1,ENST00000849438.1,ENST00000849439.1,ENST00000849440.1,ENST00000849441.1,ENST00000849442.1,ENST00000849443.1,ENST00000849444.1,ENST00000849445.1",-1.6379851,0.11920431,20.8482605,4.97E-06,0.0060211,,novel transcript,lncRNA,24984
ENSG00000251056,ENSG00000251056.1,ENST00000511745.1,-2.172135,-2.8623024,19.3190898,1.11E-05,0.01319165,ANKRD20A17P,"ankyrin repeat domain 20 family member A17, pseudogene [Source:HGNC Symbol;Acc:HGNC:43608]",transcribed_unprocessed_pseudogene,1330
ENSG00000286012,ENSG00000286012.1,ENST00000651349.1,-3.196231,-3.0045268,19.2164633,1.17E-05,0.01331492,,TEC,TEC,312
ENSG00000286148,ENSG00000286148.1,ENST00000651888.1,-3.196231,-3.0045268,19.2164633,1.17E-05,0.01331492,,TEC,TEC,312
ENSG00000286178,ENSG00000286178.1,ENST00000652229.1,-3.196231,-3.0045268,19.2164633,1.17E-05,0.01331492,,TEC,TEC,312
ENSG00000286146,ENSG00000286146.1,ENST00000652246.1,-3.9139889,-2.7976343,18.6541656,1.57E-05,0.01762344,,TEC,TEC,329
ENSG00000210151,ENSG00000210151.2,ENST00000387416.2,-1.6592502,-3.2451169,17.7643015,2.50E-05,0.02772314,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497],Mt_tRNA,69
ENSG00000249119,ENSG00000249119.1,ENST00000506002.1,1.88497002,-2.9940131,17.2245413,3.32E-05,0.03631344,MTND6P4,MT-ND6 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39467],processed_pseudogene,522
ENSG00000298460,ENSG00000298460.1,ENST00000755620.1,-2.1768883,0.33124869,16.6274148,4.55E-05,0.04891961,,"novel transcript, antisense to HLA-C",lncRNA,508
ENSG00000286032,ENSG00000286032.1,ENST00000651130.1,-3.6514917,-2.8796681,16.6068728,4.60E-05,0.04891961,,TEC,TEC,333
